id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1486482765700861955,1486417241012850704,1643240083000.0,2022-01-26 15:34:43,-700,,@DenovoDunlop Oh #plandemic #scamdemic,und,"['plandemic', 'scamdemic']",[],3327904901,3327904901,MeatHead_Motors,Meat-Head,3,15,https://twitter.com/MeatHead_Motors/status/1486482765700861955,[],[],0,,False,1,0,0,,#scamdemic,,,,,,,"[{'screen_name': 'DenovoDunlop', 'name': 'Dunlop_Denovo', 'id': '1310676051064954880'}]",,,,
1486477055978090500,1486477055978090500,1643238722000.0,2022-01-26 15:12:02,-700,,"@Neilyoung : it’s me or @joerogan   @Spotify : Say less 🤚🏼  Bye, old misinformed man.   #joerogan #winning #scamdemic #novax #freedom #norestrictions",en,"['joerogan', 'winning', 'scamdemic', 'novax', 'freedom', 'norestrictions']",[],1461782397465370628,1461782397465370628,JustinHaskett6,Justin Haskett,3,15,https://twitter.com/JustinHaskett6/status/1486477055978090500,[],[],0,,False,0,0,0,,#scamdemic,,,,,,,[],,,,
1486464433849253888,1486464433849253888,1643235712000.0,2022-01-26 14:21:52,-700,,🤭😂  #Reptilians #Simulation #Convid #Plandemic #Scamdemic #Funny #Meme  https://t.co/QoQsnB5KH0,und,"['reptilians', 'simulation', 'convid', 'plandemic', 'scamdemic', 'funny', 'meme']",[],1254072678278926342,1254072678278926342,ShanxPennywise,🏴󠁧󠁢󠁷󠁬󠁳󠁿 Shannon S 🏴󠁧󠁢󠁷󠁬󠁳󠁿,3,14,https://twitter.com/ShanxPennywise/status/1486464433849253888,[],['https://pbs.twimg.com/media/FKD7hmgXwAgmJBZ.jpg'],1,https://pbs.twimg.com/media/FKD7hmgXwAgmJBZ.jpg,False,10,2,2,,#scamdemic,,,,,,,[],,,,
1486463096134770692,1486463096134770692,1643235393000.0,2022-01-26 14:16:33,-700,,The best evidence yet that the #Scamdemic is just part of the Marxist-Socialist #GreatReset,en,"['scamdemic', 'greatreset']",[],819918954781089792,819918954781089792,amityfranksilva,Frank Silva🏴,3,14,https://twitter.com/amityfranksilva/status/1486463096134770692,[],[],0,,False,4,0,2,https://twitter.com/but_im_kim_tran/status/1485069964008587265,#scamdemic,,,,,,,[],,,,
1486460774264582148,1486425434111807504,1643234840000.0,2022-01-26 14:07:20,-700,,@drnathimdladla @MoshabelaMosa the #scamdemic is over. Change the narrative.,en,['scamdemic'],[],1195745614140715010,1195745614140715010,tebz1423,tebz1423,3,14,https://twitter.com/tebz1423/status/1486460774264582148,[],[],0,,False,3,0,0,https://twitter.com/ZubyMusic/status/1486422070170947595,#scamdemic,,,,,,,"[{'screen_name': 'drnathimdladla', 'name': 'Dr Nathi Mdladla', 'id': '1383440714193797123'}]",,,,
1486456948795052037,1486369744978591746,1643233928000.0,2022-01-26 13:52:08,-700,,@CJB3331 He has a lot invested in this scam.  #CVHoax #Scamdemic #C_VID19Lie #VotingDoesNotWork #TheWorldIsAStage #PoliticalTheatre #Agenda21 #TheGreatReset #WorldEconomicForum,en,"['cvhoax', 'scamdemic', 'c_vid19lie', 'votingdoesnotwork', 'theworldisastage', 'politicaltheatre', 'agenda21', 'thegreatreset', 'worldeconomicforum']",[],22619485,22619485,James_IsFree,James Is Free,3,13,https://twitter.com/James_IsFree/status/1486456948795052037,[],[],0,,False,1,2,0,,#scamdemic,,,,,,,"[{'screen_name': 'CJB3331', 'name': 'C.J.', 'id': '1447628728578854920'}]",,,,
1486445955410972681,1486445955410972681,1643231307000.0,2022-01-26 13:08:27,-700,,Why are they scared of us seeing the research data??? #ScamDemic #PlanDemic,en,"['scamdemic', 'plandemic']",[],480644832,480644832,robfortino,Rob Angelo 🇮🇹 🇺🇸,3,13,https://twitter.com/robfortino/status/1486445955410972681,[],[],0,,False,2,0,2,https://twitter.com/disclosetv/status/1486441773056643081,#scamdemic,,,,,,,[],,,,
1486435559337824264,1486417344964567042,1643228828000.0,2022-01-26 12:27:08,-700,,"@londonjessicas I'd say you're better informed than most, if not all of the Cabinet, including the PM. After all,  he'll only be acting on the advice of his advisors. Look how well that turned out with the #Scamdemic.",en,['scamdemic'],[],967137521946841088,967137521946841088,FortyVictoria,Sir Jack Union 🇬🇧,3,12,https://twitter.com/FortyVictoria/status/1486435559337824264,[],[],0,,False,1,0,0,,#scamdemic,,,,,,,"[{'screen_name': 'londonjessicas', 'name': 'Jessica S', 'id': '289510670'}]",,,,
1486428186481246208,1486422806430687236,1643227070000.0,2022-01-26 11:57:50,-700,,@_Jet_NL @DonElPaso1 @NUnl Newsflash! Uitgestelde zorg word alweer steeds meer opgepakt maar blijkbaar volg je het dus totaal niet. #Plandemie #Scamdemic,nl,"['plandemie', 'scamdemic']",[],1383484938742161418,1383484938742161418,MBU1801,Melvin,3,11,https://twitter.com/MBU1801/status/1486428186481246208,[],[],0,,False,1,0,0,,#scamdemic,,,,,,,"[{'screen_name': '_Jet_NL', 'name': '🖤 𝓙ℯ𝓉 🖤 💜🇪🇺', 'id': '1147343696607797248'}, {'screen_name': 'DonElPaso1', 'name': 'Donnie Ortega 🇯🇵', 'id': '1349078378511552516'}, {'screen_name': 'NUnl', 'name': 'NU.nl', 'id': '2493701'}]",,,,
1486411468719333377,1486411468719333377,1643223084000.0,2022-01-26 10:51:24,-700,,Sue ALL who are complicit with this entire #covid #scamdemic!   Every... Single... Person... Involved!   Fauci and the likes all need to be brought down to their knees for the worldwide damage they have caused! Tyranny has consequences!,en,"['covid', 'scamdemic']",[],731292058283974656,731292058283974656,LiberalsLeaving,Liberals Leaving,3,10,https://twitter.com/LiberalsLeaving/status/1486411468719333377,[],[],0,,False,1,0,0,https://twitter.com/_YvonneBurton/status/1485706103770034179,#scamdemic,,,,,,,[],,,,
