id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1487938498388762633,1487938498388762633,1643587157000.0,2022-01-30 15:59:17,-700,,Why are you allowing this traitor’s message go out into the world. His name should be like Voldemort - never spoken. Thank you. #Trumptraitor #TrumpCrimeFamily,en,"['trumptraitor', 'trumpcrimefamily']",[],141081900,141081900,Luihort,Lü,7,15,https://twitter.com/Luihort/status/1487938498388762633,[],[],0,,False,0,0,0,https://twitter.com/maggieNYT/status/1487936513690284035,#trumpcrimefamily,,,,,,,[],,,,
1487938432949272581,1487938432949272581,1643587141000.0,2022-01-30 15:59:01,-700,,#TrumpCult #LockHimUp #TrumpCrimeFamily,und,"['trumpcult', 'lockhimup', 'trumpcrimefamily']",[],2809887176,2809887176,cattylibrarian,Tina P,7,15,https://twitter.com/cattylibrarian/status/1487938432949272581,[],[],0,,False,0,0,0,https://twitter.com/CREWcrew/status/1487903808575393796,#trumpcrimefamily,,,,,,,[],,,,
1487937908916903937,1487937908916903937,1643587016000.0,2022-01-30 15:56:56,-700,,#MerrickGarland  it's time  #tRumpCrimeFamily   4 prison,en,"['merrickgarland', 'trumpcrimefamily']",[],14424230,14424230,Son_of_Ho,[ B3nz zu_B ],7,15,https://twitter.com/Son_of_Ho/status/1487937908916903937,[],[],0,,False,0,0,0,https://twitter.com/Will_Bunch/status/1487852736800600066,#trumpcrimefamily,,,,,,,[],,,,
1487937868530163714,1487937868530163714,1643587007000.0,2022-01-30 15:56:47,-700,,Yep...thugs and criminals will burn it all down. #TrumpCrimeFamily,en,['trumpcrimefamily'],[],799257301,799257301,StevePerkins14,Steve Perkins,7,15,https://twitter.com/StevePerkins14/status/1487937868530163714,[],[],0,,False,0,0,0,https://twitter.com/fred_guttenberg/status/1487805385209745408,#trumpcrimefamily,,,,,,,[],,,,
1487937687420088321,1487937687420088321,1643586963000.0,2022-01-30 15:56:03,-700,,"Look like #Trump's #Hate filled #klan rally backfired. He's more despised than ever, he called for mob violence, He's #insane, &amp; his adult #diaper leaked! His kids #TrumpCrimeFamily r bigger #racists than him, #Ivanka blongs in jail 4evah, the #Barren has no idea who he is #loser  https://t.co/3Hv2VihWZz",en,"['trump', 'hate', 'klan', 'insane', 'diaper', 'trumpcrimefamily', 'racists', 'ivanka', 'barren', 'loser']",[],1386767823721144331,1386767823721144331,IanEnglush,Ian English,7,15,https://twitter.com/IanEnglush/status/1487937687420088321,[],['https://pbs.twimg.com/media/FKY3bTEXwAUeoIo.jpg'],1,https://pbs.twimg.com/media/FKY3bTEXwAUeoIo.jpg,False,1,0,0,,#trumpcrimefamily,,,,,,,[],,,,
1487937554875879424,1487937554875879424,1643586932000.0,2022-01-30 15:55:32,-700,,New study indicates Republicans revised their moral beliefs to be more in alignment with Donald Trump Sounds like a cult! #GOP #GQP #donniedorko#donthecon #trumpcrimefamily  https://t.co/lReWgYFEuO,en,"['gop', 'gqp', 'trumpcrimefamily']",[],9726032,9726032,careyz,Tonkin Honky ¯\_(ツ)_/¯,7,15,https://twitter.com/careyz/status/1487937554875879424,['https://flip.it/2wjbwB'],[],0,,False,0,0,0,,#trumpcrimefamily,,,,,,,[],,,,
1487937313032314880,1487937313032314880,1643586874000.0,2022-01-30 15:54:34,-700,,"#Trump should have called his book...  ""The Art of the Con""!  #AccountabilityForJan6   #TrumpCoupAttempt  #TrumpCrimeFamily #democracynow #Dems #RepubliCowards #DemocratsDeliver #MSNBC #CNN  https://t.co/rp6a4HoNeT",en,"['trump', 'accountabilityforjan6', 'trumpcoupattempt', 'trumpcrimefamily', 'democracynow', 'dems', 'republicowards', 'democratsdeliver', 'msnbc', 'cnn']",[],2876491003,2876491003,callersean,callersean,7,15,https://twitter.com/callersean/status/1487937313032314880,[],"['https://pbs.twimg.com/media/FKY2_xoWYAQ6JK4.jpg', 'https://pbs.twimg.com/media/FKY3CPhX0AAINIc.jpg', 'https://pbs.twimg.com/media/FKY3EqDWQAUaXVx.jpg']",1,https://pbs.twimg.com/media/FKY2_xoWYAQ6JK4.jpg,False,0,0,0,,#trumpcrimefamily,,,,,,,[],,,,
1487937228361789441,1487937228361789441,1643586854000.0,2022-01-30 15:54:14,-700,,#TrumpCult #MAGA #LockHimUp #TrumpCrimeFamily #TrumpVirus #TrumpRally ❤️😷🗽🌎⚖️❤️,und,"['trumpcult', 'maga', 'lockhimup', 'trumpcrimefamily', 'trumpvirus', 'trumprally']",[],1074661298745425920,1074661298745425920,StansfieldTrish,Will “WEAR A MASK” o’ the Wisp,7,15,https://twitter.com/StansfieldTrish/status/1487937228361789441,[],[],0,,False,11,1,3,https://twitter.com/jilevin/status/1487935678642102277,#trumpcrimefamily,,,,,,,[],,,,
1487937157176115206,1487908754330951685,1643586837000.0,2022-01-30 15:53:57,-700,,@NBCNews #TrumpCrimeFamily,und,['trumpcrimefamily'],[],49635798,49635798,davisb29000,Barbara Davis,7,15,https://twitter.com/davisb29000/status/1487937157176115206,[],[],0,,False,0,0,0,,#trumpcrimefamily,,,,,,,"[{'screen_name': 'NBCNews', 'name': 'NBC News', 'id': '14173315'}]",,,,
1487936262338142209,1487851369042092034,1643586624000.0,2022-01-30 15:50:24,-700,,@donnedia #TrumpCrimeFamily,und,['trumpcrimefamily'],[],863963865276489728,863963865276489728,BostonBubbalooo,"Bubba Looo ♿️😷 COVID is NOT over, be careful",7,15,https://twitter.com/BostonBubbalooo/status/1487936262338142209,[],[],0,,False,1,0,0,,#trumpcrimefamily,,,,,,,"[{'screen_name': 'donnedia', 'name': 'Donnedia Edmond', 'id': '2935342215'}]",,,,
