id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1493731596158963724,1493731596158963724,1644968339000.0,2022-02-15 15:38:59,-700,,害我3年不能免隔出國玩的禍首! #武漢肺炎 #Chinavirus,zh,"['武漢肺炎', 'chinavirus']",[],1387197413765513219,1387197413765513219,cwctyty,cwctyty,2,15,https://twitter.com/cwctyty/status/1493731596158963724,[],[],0,,False,3,0,0,https://twitter.com/kennaoshi/status/1493624130750787584,#chinavirus,,,,,,,[],,,,
1493722567005257730,1493722567005257730,1644966186000.0,2022-02-15 15:03:06,-700,,Gutes Interview zum Ursprung des #WUHAN #Corona #ChinaVirus Prof. Wiesendanger sagt deutlich wie gefährlich #gainoffunction Forschung ist und wer sich damit die Hände schmutzig macht!  https://t.co/zhvkZ5tFuk,de,"['wuhan', 'corona', 'chinavirus', 'gainoffunction']",[],988116614259277825,988116614259277825,sen_inno,Sen Inno,2,15,https://twitter.com/sen_inno/status/1493722567005257730,['https://youtu.be/O9GaFuyoYoE'],[],0,,False,1,0,0,,#chinavirus,,,,,,,[],,,,
1493719867698130950,1493713721809592327,1644965543000.0,2022-02-15 14:52:23,-700,,@ScottAdamsSays @mmm_machiavelli Go back in time to before COVID. #chinavirus,en,['chinavirus'],[],1280335121896353797,1280335121896353797,Dec_16_1773,Honks for Freedom!,2,14,https://twitter.com/Dec_16_1773/status/1493719867698130950,[],[],0,,False,0,0,0,,#chinavirus,,,,,,,"[{'screen_name': 'ScottAdamsSays', 'name': 'Scott Adams', 'id': '2853461537'}, {'screen_name': 'mmm_machiavelli', 'name': ""Machiavelli's Underbelly"", 'id': '708714398785753088'}]",,,,
1493653181217206274,1493653181217206274,1644949643000.0,2022-02-15 10:27:23,-700,,Just for fun.  What if #China intentionally released the #wuhanflu to accelerate the #GreatReset and to help beat #PresidentTrump in the #2020election? #PoliticsLive #Politics #TrumpRally #ChinaVirus #COVID #Covid_19 #twitter,en,"['china', 'wuhanflu', 'greatreset', 'presidenttrump', '2020election', 'politicslive', 'politics', 'trumprally', 'chinavirus', 'covid', 'covid_19', 'twitter']",[],1379772411818610693,1379772411818610693,CommonS1776,Nevertheless He Persisted,2,10,https://twitter.com/CommonS1776/status/1493653181217206274,[],[],0,,False,0,0,0,,#chinavirus,,,,,,,[],,,,
1493652714177417222,1493652714177417222,1644949532000.0,2022-02-15 10:25:32,-700,,#ChinaVirus #ChinaDemocratVirus #CCPVirus #WuhanFlu #BigPharma #VaccineSideEffects #Pfizergate #StopTheFraud #StopTheSteal #TrumpWon #LGBFJB,und,"['chinavirus', 'chinademocratvirus', 'ccpvirus', 'wuhanflu', 'bigpharma', 'vaccinesideeffects', 'pfizergate', 'stopthefraud', 'stopthesteal', 'trumpwon', 'lgbfjb']",[],2344800446,2344800446,TheRealGMoney76,G Money,2,10,https://twitter.com/TheRealGMoney76/status/1493652714177417222,[],[],0,,False,1,0,1,https://twitter.com/The_Real_ALF_OG/status/1493651772983943179,#chinavirus,,,,,,,[],,,,
1493614186479460353,1493456922036645891,1644940346000.0,2022-02-15 07:52:26,-700,,"@Generatrix2606 @ClaudiaRiojano @cherchezla1 @monerohernandez @fisgonmonero @monerorape @Navegaciones @abrahamendieta #castroJR se destapa como el títere más obediente del estado profundo y la #BigPharma y su #DictaduraSanitaria #FASCISTA del #chinavirus y como el primer psicópata imbecil que será removido de su cargo por la gente libre, no pasará!",es,"['castrojr', 'bigpharma', 'dictadurasanitaria', 'fascista', 'chinavirus']",[],87077832,87077832,tlee_mautinus,Fantastic marvelous super hiper ultra mega pro,2,7,https://twitter.com/tlee_mautinus/status/1493614186479460353,[],[],0,,False,4,0,4,,#chinavirus,,,,,,,"[{'screen_name': 'Generatrix2606', 'name': 'Liwanag', 'id': '1236400416390361094'}, {'screen_name': 'ClaudiaRiojano', 'name': 'Claudia Riojano', 'id': '1342119903252410369'}, {'screen_name': 'cherchezla1', 'name': 'cherchezlafemme', 'id': '1965993505'}, {'screen_name': 'monerohernandez', 'name': 'Hernández', 'id': '53316590'}, {'screen_name': 'fisgonmonero', 'name': 'Rafael Barajas', 'id': '218162682'}, {'screen_name': 'monerorape', 'name': 'Monero Rapé ✍🏼', 'id': '87976010'}, {'screen_name': 'Navegaciones', 'name': 'Pedro Miguel', 'id': '85697134'}, {'screen_name': 'abrahamendieta', 'name': 'Abraham Mendieta', 'id': '347524111'}]",,,,
1493608541327921174,1493608078553632778,1644939000000.0,2022-02-15 07:30:00,-700,,@NikkiHaley #covid19 is #chinavirus. #chinavirus is #covid19. #communism is evil.,en,"['covid19', 'chinavirus', 'chinavirus', 'covid19', 'communism']",[],26180881,26180881,friarflorentino,Arvin Bernardino,2,7,https://twitter.com/friarflorentino/status/1493608541327921174,[],[],0,,False,0,0,0,,#chinavirus,,,,,,,"[{'screen_name': 'NikkiHaley', 'name': 'Nikki Haley', 'id': '1079776144524754944'}]",,,,
1493607153394933765,1493607153394933765,1644938669000.0,2022-02-15 07:24:29,-700,,Stay fearless America! It's hard when we have the worst president in the modern era. We are going to WW III. Biden does not scare Putin.  Putin wants all of Europe.  China/Russia want the USA. It all started with the #ChinaVirus. 🇺🇸🇨🇦🤠🙏🙏🙏🙏🙏,en,['chinavirus'],[],117340300,117340300,VegasNFLChickie,VegasNFLChickie,2,7,https://twitter.com/VegasNFLChickie/status/1493607153394933765,[],[],0,,False,1,0,0,,#chinavirus,,,,,,,[],,,,
1493604132346904581,1493604132346904581,1644937949000.0,2022-02-15 07:12:29,-700,,"Same ol’~ same ol’. Demented Biden is still not impeached, the great divider Obama &amp; his lil friends r running the Show. Made in China still controlling US. &amp; people r mind fukkd w the fake News &amp; think America is OK. #obamagate #chinavirus #plandemic #ArrestHillary",en,"['obamagate', 'chinavirus', 'plandemic', 'arresthillary']",[],43837643,43837643,cheli23,Gracie Chameleon,2,7,https://twitter.com/cheli23/status/1493604132346904581,[],[],0,,False,3,0,1,,#chinavirus,,,,,,,[],,,,
1493598177404100610,1493598177404100610,1644936529000.0,2022-02-15 06:48:49,-700,,to all of you who are unhappy about easing and eliminating of the #Chinavirus restrictions: please continue wearing your #mask and stay indoors for the next 25 years and get your #boostershot every 6 months,en,"['chinavirus', 'mask', 'boostershot']",[],1181126720,1181126720,Stelladmarco,Stella DiMarco,2,6,https://twitter.com/Stelladmarco/status/1493598177404100610,[],[],0,,False,0,0,0,,#chinavirus,,,,,,,[],,,,
