id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1498080575231508480,1498080575231508480,1646005216000.0,2022-02-27 15:40:16,-700,,Polymer clay earrings on sale @ Depop  Only £2.50 + free shipping 💕  Link in bio 🦊  Tags: #smallbusiness #welshbusiness #polymerclay #earrings #depop #clayearrings #depopseller  https://t.co/SYMBt4Nl5k,en,"['smallbusiness', 'welshbusiness', 'polymerclay', 'earrings', 'depop', 'clayearrings', 'depopseller']",[],1260194445309468673,1260194445309468673,Vixenvicious1,vixen creative studio,7,15,https://twitter.com/Vixenvicious1/status/1498080575231508480,[],['https://pbs.twimg.com/media/FMpAV14XsAMWx8w.jpg'],1,https://pbs.twimg.com/media/FMpAV14XsAMWx8w.jpg,False,1,0,0,,#depop,,,,,,,[],,,,
1498079883804782599,1498079883804782599,1646005051000.0,2022-02-27 15:37:31,-700,,All polymer clay earrings @ £2.50  Only on Depop!  Link in bio 💕  Tags: #polymerclay #depop #SmallBusinesses #welshbusiness #clayearrings #resin  https://t.co/ttz7mwWALH,en,"['polymerclay', 'depop', 'smallbusinesses', 'welshbusiness', 'clayearrings', 'resin']",[],1260194445309468673,1260194445309468673,Vixenvicious1,vixen creative studio,7,15,https://twitter.com/Vixenvicious1/status/1498079883804782599,[],['https://pbs.twimg.com/media/FMo_tqqXwAIfzbv.jpg'],1,https://pbs.twimg.com/media/FMo_tqqXwAIfzbv.jpg,False,1,0,1,,#depop,,,,,,,[],,,,
1498068708257898499,1498068708257898499,1646002387000.0,2022-02-27 14:53:07,-700,,"Please help me declutter my life!! Comics, cute stuff, collectables Hello Kitty, clothes, Lazy Oaf, makeup and more at my Depop store!! #Depop #DepopUK    https://t.co/uulh5oUpoC",en,"['depop', 'depopuk']",[],19741858,19741858,notwaving,⚫️ menorah barnacle,7,14,https://twitter.com/notwaving/status/1498068708257898499,['https://www.depop.com/notwaving/'],[],0,,False,0,1,0,,#depop,,,,,,,[],,,,
1498064297850769409,1498064187372847104,1646001335000.0,2022-02-27 14:35:35,-700,,#depop,und,['depop'],[],1462473713388068875,1462473713388068875,Brianna26307587,Brianna Howard,7,14,https://twitter.com/Brianna26307587/status/1498064297850769409,[],[],0,,False,0,0,0,,#depop,,,,,,,[],,,,
1498046895838556164,1498046895838556164,1645997186000.0,2022-02-27 13:26:26,-700,,Ukraine #Ukraine #Russia &amp; #Agenda2030 &amp; FAKE #RESET by monopolizers is #Fascist BS. #NWO #imperialism wants 2 #IGNITE #worldwar3 #depop over #NoWar  #Why?   #JFK WARNS OF #GLOBAL #FASCISM / 25 #NEWWORLDORDER #GOALS / FAKE #OPPOSITION #MEDIA #MONOPOLY   https://t.co/OQA6ewkfMe,en,"['ukraine', 'russia', 'agenda2030', 'reset', 'fascist', 'nwo', 'imperialism', 'ignite', 'worldwar3', 'depop', 'nowar', 'why', 'jfk', 'global', 'fascism', 'newworldorder', 'goals', 'opposition', 'media', 'monopoly']",[],1002669162517262341,1002669162517262341,JohnCordBooks2,John Cord Books,7,13,https://twitter.com/JohnCordBooks2/status/1498046895838556164,['https://youtu.be/YAct5cXZwT0'],[],0,,False,0,1,1,https://twitter.com/Reuters/status/1498041570830045189,#depop,,,,,,,[],,,,
1498042349502578705,1498042349502578705,1645996103000.0,2022-02-27 13:08:23,-700,, https://t.co/LovjOQfpuv selling a lot of stuff on #depop if anyone wants to buy stuff :D  i post new stuff almost every week  https://t.co/HIc8rM2RnA,en,['depop'],[],1063529580638683138,1063529580638683138,lewnair,BRIA🧚,7,13,https://twitter.com/lewnair/status/1498042349502578705,['https://depop.app.link/EKidQdYWZnb'],['https://pbs.twimg.com/media/FModk0bXIAMUoun.jpg'],1,https://pbs.twimg.com/media/FModk0bXIAMUoun.jpg,False,0,0,0,,#depop,,,,,,,[],,,,
1498040405920829444,1498040405920829444,1645995639000.0,2022-02-27 13:00:39,-700,,"Our top sellers starstudent and beingaugust on #Depop, collaborated with the cast of ""Tall Girl 2"" styling the stars of the hit Netflix movie, check out Chris and Jamari bts getting ready.  https://t.co/gBX88sgQmQ",en,['depop'],[],380944344,380944344,depop,Depop,7,13,https://twitter.com/depop/status/1498040405920829444,[],[],1,https://pbs.twimg.com/media/FMobzqYWYBAcgUj.jpg,False,11,1,2,,#depop,,,,,,,[],,,,
1498018934863368193,1498018934863368193,1645990520000.0,2022-02-27 11:35:20,-700,,As a former shopaholic 🛍 my depop is fire and you should check it out!  Most of my stuff is brand new or worn once #depop #ShopMyCloset #thriftfinds,en,"['depop', 'shopmycloset', 'thriftfinds']",[],1488913375656566784,1488913375656566784,Haleytheflower,Haley Tek,7,11,https://twitter.com/Haleytheflower/status/1498018934863368193,[],[],0,,False,3,2,0,,#depop,,,,,,,[],,,,
1498017687208964103,1498017687208964103,1645990223000.0,2022-02-27 11:30:23,-700,,Shipping a bunch of depop orders today! Order now to join this batch :)   https://t.co/jhlS0Td1vZ #depop #ShopMyCloset #thrift  https://t.co/OKjx4zkATv,en,"['depop', 'shopmycloset', 'thrift']",[],1488913375656566784,1488913375656566784,Haleytheflower,Haley Tek,7,11,https://twitter.com/Haleytheflower/status/1498017687208964103,['http://Depop.com/chemicalxxx'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1498017640023011335/pu/img/KUInaBEF9oV7YJmE.jpg,False,3,0,0,,#depop,,,,,,,[],,,,
1498002872650379264,1498002872650379264,1645986691000.0,2022-02-27 10:31:31,-700,,"Added a bunch of stuff to my Depop, feel free to take a look if interested😊 #depop   https://t.co/METg2FL5dF  https://t.co/qFJINLi7Oh",en,['depop'],[],790450153,790450153,__Greenwood_,Josh✨,7,10,https://twitter.com/__Greenwood_/status/1498002872650379264,['https://depop.app.link/kXcKTSHLZnb'],['https://pbs.twimg.com/media/FMn5q7aXwAQMpqy.jpg'],1,https://pbs.twimg.com/media/FMn5q7aXwAQMpqy.jpg,False,1,1,0,,#depop,,,,,,,[],,,,
1497981569549668357,1497981569549668357,1645981611000.0,2022-02-27 09:06:51,-700,, https://t.co/zi7nlLBwOe New items now available on my depop!! 💓💓💓 #depop  https://t.co/GYbXX3uCRt,en,['depop'],[],2768539180,2768539180,princesssxxnat,nat💒🎀,7,9,https://twitter.com/princesssxxnat/status/1497981569549668357,['https://depop.app.link/1ge7oiIFZnb'],['https://pbs.twimg.com/media/FMnmS_uXIAAtxKn.jpg'],1,https://pbs.twimg.com/media/FMnmS_uXIAAtxKn.jpg,False,2,1,0,,#depop,,,,,,,[],,,,
