id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1501647746121428994,1501644615878946823,1646855696000.0,2022-03-09 11:54:56,-700,,@speakfaithfully @PaulBotts3 The WHY behind Putin's invasion.  Especially when you have a creep like #arrestbillgates  promising an even worse bioweapon pathogen made most likely in an illegal lab like Ukraine or China.     https://t.co/F2Sm99OM0M,en,['arrestbillgates'],[],1451306413637058573,1451306413637058573,NoppTerri,Terri M Nopp,3,11,https://twitter.com/NoppTerri/status/1501647746121428994,['https://thenationalpulse.com/2022/03/08/obama-led-ukraine-biolab-efforts/'],[],0,,False,1,0,0,,#arrestbillgates,,,,,,,"[{'screen_name': 'speakfaithfully', 'name': 'Speakfaithfully', 'id': '444016823'}, {'screen_name': 'PaulBotts3', 'name': 'Paul Botts', 'id': '1483087765097136128'}]",,,,
1501645753650802692,1501645753650802692,1646855221000.0,2022-03-09 11:47:01,-700,,#ArrestWalensky #ArrestCollins #ArrestFauci #ArrestDaszak #ArrestBillGates,und,"['arrestwalensky', 'arrestcollins', 'arrestfauci', 'arrestdaszak', 'arrestbillgates']",[],29399339,29399339,SwamisCab,Swami's Cab (LanceHansen),3,11,https://twitter.com/SwamisCab/status/1501645753650802692,[],[],0,,False,3,0,1,https://twitter.com/TheMFingCOO/status/1501645374259445765,#arrestbillgates,,,,,,,[],,,,
1501629290336571395,1501629290336571395,1646851296000.0,2022-03-09 10:41:36,-700,,"If #arrestbillgates wants to protect his illegal, gain of function biolabs in Ukraine, that piece of shit can fork up the $14B.",en,['arrestbillgates'],[],1451306413637058573,1451306413637058573,NoppTerri,Terri M Nopp,3,10,https://twitter.com/NoppTerri/status/1501629290336571395,[],[],0,,False,0,0,0,,#arrestbillgates,,,,,,,[],,,,
1501619296363028482,1501619296363028482,1646848913000.0,2022-03-09 10:01:53,-700,,… USA DENIED OWN BIOLABS MONDAY …. THEN ADMITTED WEDNESDAY  (only after Putin bombed them)   and it’s the tax payer who pays for all this   #biolaboratories #biolabs #BigPharmaTyranny #BillGatesBioTerrorist #arrestbillgates #ArrestThemAll #Plandemic #ConspiracyTheoriesExposed,en,"['biolaboratories', 'biolabs', 'bigpharmatyranny', 'billgatesbioterrorist', 'arrestbillgates', 'arrestthemall', 'plandemic', 'conspiracytheoriesexposed']",[],1331705185228513280,1331705185228513280,ANergra,Andrea Pluma Negra 🪶,3,10,https://twitter.com/ANergra/status/1501619296363028482,[],[],0,,False,0,0,0,https://twitter.com/MarkEglinton/status/1501327602627321856,#arrestbillgates,,,,,,,[],,,,
1501616643935510534,1501616643935510534,1646848281000.0,2022-03-09 09:51:21,-700,,#Nuremberg2 #Pfizergate #ArrestBillGates #ArrestFauci,und,"['nuremberg2', 'pfizergate', 'arrestbillgates', 'arrestfauci']",[],112000259,112000259,primersenor,LeonardoBenavides,3,9,https://twitter.com/primersenor/status/1501616643935510534,[],[],0,,False,0,1,0,https://twitter.com/LakovosJustice/status/1501295965893976064,#arrestbillgates,,,,,,,[],,,,
1501615888675520517,1501615888675520517,1646848101000.0,2022-03-09 09:48:21,-700,,When you allow greedy psychopaths to make decisions bad things happen! Take democracy back now!  #arrestbillgates #arresttrudeau #TrudeauForTreason #arrestfauci #arrestwalensky #arrestklausschwab  #trudeau #dougfordresign #BorisJohnsonOut #ardene #ScottMorrison #CDC #FDA  https://t.co/CepO64QzOX,en,"['arrestbillgates', 'arresttrudeau', 'trudeaufortreason', 'arrestfauci', 'arrestwalensky', 'arrestklausschwab', 'trudeau', 'dougfordresign', 'borisjohnsonout', 'ardene', 'scottmorrison', 'cdc', 'fda']",[],53489202,53489202,DerrickSweet,Derrick Sweet,3,9,https://twitter.com/DerrickSweet/status/1501615888675520517,[],['https://pbs.twimg.com/media/FNbPqzdXMAQzCJ_.jpg'],1,https://pbs.twimg.com/media/FNbPqzdXMAQzCJ_.jpg,False,1,0,2,,#arrestbillgates,,,,,,,[],,,,
1501612807812386816,1501612807812386816,1646847366000.0,2022-03-09 09:36:06,-700,,Resisting Tyranny Depends on the Courage to Not Conform #SaveDemocracy #censorship #arresttrudeau #arrestklausschwab #arrestfauci #arrestbillgates #Liars #WarCrimes #TakeBackDemocracy #NewWorldOrder #ExhaleLove    https://t.co/qrCuLzsFlD,en,"['savedemocracy', 'censorship', 'arresttrudeau', 'arrestklausschwab', 'arrestfauci', 'arrestbillgates', 'liars', 'warcrimes', 'takebackdemocracy', 'newworldorder', 'exhalelove']",[],3969532295,3969532295,bekkalee231,Unacceptable TnkGrl,3,9,https://twitter.com/bekkalee231/status/1501612807812386816,['https://www.aier.org/article/resisting-tyranny-depends-on-the-courage-to-not-conform/'],[],0,,False,0,0,0,,#arrestbillgates,,,,,,,[],,,,
1501607289702301699,1501607289702301699,1646846051000.0,2022-03-09 09:14:11,-700,,#AdverseReactions #depopulation #ArrestBillGates #ArrestFauci #Nuremberg2,und,"['adversereactions', 'depopulation', 'arrestbillgates', 'arrestfauci', 'nuremberg2']",[],112000259,112000259,primersenor,LeonardoBenavides,3,9,https://twitter.com/primersenor/status/1501607289702301699,[],[],0,,False,0,0,0,https://twitter.com/PathJim/status/1500531106952753154,#arrestbillgates,,,,,,,[],,,,
1501594285011091461,1501594285011091461,1646842950000.0,2022-03-09 08:22:30,-700,,Lo dice el hombre que ha matado a más gente que nadie en este mundo por sus ambiciones de controlar todo. #ArrestBillGates,es,['arrestbillgates'],[],1248335082701676545,1248335082701676545,Jv14David,David JJ,3,8,https://twitter.com/Jv14David/status/1501594285011091461,[],[],0,,False,1,0,0,https://twitter.com/BillGates/status/1501586152804925440,#arrestbillgates,,,,,,,[],,,,
1501578955522187264,1501578955522187264,1646839295000.0,2022-03-09 07:21:35,-700,,The only Safe Vaccine Is the Vaccine that Is never Used.   James R Shannom.   #FakePandemic #sayNoToVaccine #arrestBillgates #Climatechange  #HAARP,en,"['fakepandemic', 'saynotovaccine', 'arrestbillgates', 'climatechange', 'haarp']",[],1048230075127255041,1048230075127255041,GajananBhagat16,Gajandra Bhagat,3,7,https://twitter.com/GajananBhagat16/status/1501578955522187264,[],[],0,,False,13,1,9,,#arrestbillgates,,,,,,,[],,,,
