id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1502719133233946627,1502177443872124930,1647111135000.0,2022-03-12 10:52:15,-700,,@charmchris3 #NurembergTrialsForCovid #pfizerwhistleblower #pfizerdocuments,und,"['nurembergtrialsforcovid', 'pfizerwhistleblower', 'pfizerdocuments']",[],1469074195418165252,1469074195418165252,Wethepeople1974,Kier,6,10,https://twitter.com/Wethepeople1974/status/1502719133233946627,[],[],0,,False,0,0,0,,#nurembergtrialsforcovid,,,,,,,"[{'screen_name': 'charmchris3', 'name': 'chris', 'id': '1433663944267210753'}]",,,,
1502718705599492102,1502132803907252225,1647111033000.0,2022-03-12 10:50:33,-700,,@cranium_frasier Evidently so! #mandatoryvaccine #NurembergTrialsForCovid #pfizerwhistleblower #pfizerdocuments,en,"['mandatoryvaccine', 'nurembergtrialsforcovid', 'pfizerwhistleblower', 'pfizerdocuments']",[],1469074195418165252,1469074195418165252,Wethepeople1974,Kier,6,10,https://twitter.com/Wethepeople1974/status/1502718705599492102,[],[],0,,False,0,0,0,,#nurembergtrialsforcovid,,,,,,,"[{'screen_name': 'cranium_frasier', 'name': 'Frasier Cranium', 'id': '1456103875639857161'}]",,,,
1502715293390442496,1502401639340146691,1647110219000.0,2022-03-12 10:36:59,-700,,@CensoredThinker #NurembergTrialsForCovid  https://t.co/7Gy1bPVmp3,und,['nurembergtrialsforcovid'],[],1430733856307433473,1430733856307433473,NewsomNwo,NWO$NEWSOM,6,10,https://twitter.com/NewsomNwo/status/1502715293390442496,[],['https://pbs.twimg.com/tweet_video_thumb/FNq3l4vVQAAmVmI.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FNq3l4vVQAAmVmI.jpg,False,0,0,0,,#nurembergtrialsforcovid,,,,,,,"[{'screen_name': 'CensoredThinker', 'name': 'CensoredThinkerFitness', 'id': '1487152834248208384'}]",,,,
1502714147141832704,1502714147141832704,1647109946000.0,2022-03-12 10:32:26,-700,,Corrupcion Dinero Vacunas PLandemia  Arruinaron las proximas generaciones con barbijos e inyectandoles veneno por una enfermedad por la que NO TIENEN NINGUN RIESGO #Genocidio #Nuremberg2 #NurembergTrialsForCovid,es,"['genocidio', 'nuremberg2', 'nurembergtrialsforcovid']",[],39505851,39505851,Oye_YPerry,TheDude,6,10,https://twitter.com/Oye_YPerry/status/1502714147141832704,[],[],0,,False,0,0,0,https://twitter.com/TuckerToday/status/1502422756587151362,#nurembergtrialsforcovid,,,,,,,[],,,,
1502701864064004097,1502701864064004097,1647107017000.0,2022-03-12 09:43:37,-700,,#NurembergTrialsForCovid #Nuremberg2 just started a couple of weeks ago! 🙏,en,"['nurembergtrialsforcovid', 'nuremberg2']",[],1253260981741907968,1253260981741907968,Margarita150264,Open your Mind 🇦🇺 @margarita150264,6,9,https://twitter.com/Margarita150264/status/1502701864064004097,[],[],0,,False,5,0,0,https://twitter.com/M_Review_guy/status/1502253238447652869,#nurembergtrialsforcovid,,,,,,,[],,,,
1502682653010673678,1502665806404112388,1647102437000.0,2022-03-12 08:27:17,-700,,"Forgot: This bit about ""holding them accountable"" is an old and common antivaccine narrative, that someday ""they"" will be held accountable, often in #Nuremberg-like trials that they call #Nuremberg2 or #NurembergTrialsForCovid. Here's a recent version.  https://t.co/8ea8gBmsJH",en,"['nuremberg', 'nuremberg2', 'nurembergtrialsforcovid']",[],85227160,85227160,gorskon,"David Gorski, MD, PhD",6,8,https://twitter.com/gorskon/status/1502682653010673678,['https://respectfulinsolence.com/2021/07/20/the-nuremberg-code-gambit/'],[],0,,False,18,1,2,,#nurembergtrialsforcovid,,,,,,,[],,,,
1502671413152563200,1502671413152563200,1647099757000.0,2022-03-12 07:42:37,-700,,Funded by Gates and therefore straight in the bin. The Lancet will have a lot to answer for #NurembergTrialsForCovid,en,['nurembergtrialsforcovid'],[],784008171857870848,784008171857870848,whitestrat69,stephen wilkinson,6,7,https://twitter.com/whitestrat69/status/1502671413152563200,[],[],0,,False,0,0,0,https://twitter.com/MattHancock/status/1502329784566693888,#nurembergtrialsforcovid,,,,,,,[],,,,
1502666838890749952,1502368672182161412,1647098667000.0,2022-03-12 07:24:27,-700,,"@FTTR61116187 WEF participation should be banned from world politics, they all headed to courts for #CORRUPTION #NurembergTrialsForCovid #CrimesAgainstHumanity #CrimesAgainstChildren #grandjury",en,"['corruption', 'nurembergtrialsforcovid', 'crimesagainsthumanity', 'crimesagainstchildren', 'grandjury']",[],517322759,517322759,DanDvl,Dvl,6,7,https://twitter.com/DanDvl/status/1502666838890749952,[],[],0,,False,3,1,2,,#nurembergtrialsforcovid,,,,,,,"[{'screen_name': 'FTTR61116187', 'name': ""Freedom'sNotFree"", 'id': '1402052663676657665'}]",,,,
1502664997863927810,1502664997863927810,1647098228000.0,2022-03-12 07:17:08,-700,,@RandPaul @SenTedCruz @GOP @SenateGOP  Redacted documents does NOT equal 'freedom of Information'. It equals fraud &amp; willful criminality.   #NurembergTrialsForCovid   NIH Responds To Covid FOIA Request With 292 Pages Of REDACTED Documents  https://t.co/bAWewwk6tT,en,['nurembergtrialsforcovid'],[],826325720557305857,826325720557305857,kewpified,JustSay1n,6,7,https://twitter.com/kewpified/status/1502664997863927810,['https://www.youtube.com/watch?v=cSAbACJjwCA'],[],0,,False,0,0,0,,#nurembergtrialsforcovid,,,,,,,[],,,,
1502654044174753792,1502490146184253442,1647095616000.0,2022-03-12 06:33:36,-700,,"@TechARP There were 1,223 deaths from Pfizer 💉 80 of those deaths were children under 16. This is unconscionable. Children 16 &amp; under have a ZERO IFR. This is Medical Murder. 3% of Pfizer’s sacrificial  Humans died. Died for a common cold with an IFR of about 1% #NurembergTrialsForCovid  https://t.co/iYP2eJ8XzO",en,['nurembergtrialsforcovid'],[],23313037,23313037,governor01,Douglas,6,6,https://twitter.com/governor01/status/1502654044174753792,[],['https://pbs.twimg.com/media/FNp_44tXsAMEn4x.jpg'],1,https://pbs.twimg.com/media/FNp_44tXsAMEn4x.jpg,False,1,1,1,,#nurembergtrialsforcovid,,,,,,,"[{'screen_name': 'TechARP', 'name': 'Tech ARP', 'id': '185257843'}]",,,,
