id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1485018790039625739,1485018790039625739,1642891044000.0,2022-01-22 14:37:24,-700,,#impfteuchinsknie #PlandemicGameOver #plandemie,und,"['impfteuchinsknie', 'plandemicgameover', 'plandemie']",[],1440038019952623616,1440038019952623616,KlaraSichtig,klara sichtig,6,14,https://twitter.com/KlaraSichtig/status/1485018790039625739,[],[],0,,False,3,0,0,https://twitter.com/Sir_Schnee/status/1484919441502650376,#plandemicgameover,,,,,,,[],,,,
1485015680621682692,1485015680621682692,1642890303000.0,2022-01-22 14:25:03,-700,,Bizdeki pcr meraklısı bengi ve esine gostersek hâlâ savunur mu diyeceğim ölümüne savunur. Niye çünkü tam bağlı satılmış. #PlandemicGameOver  #PlandemiyaBitdi #HaddiniBilSedefKabas  A$$$$$I ve pcr mümessilleri çok üzülecek pandemi the end 😆,tr,"['plandemicgameover', 'plandemiyabitdi', 'haddinibilsedefkabas']",[],1425555750022172679,1425555750022172679,herseyyyboss,🇹🇷🇹🇷 Yalansavar,6,14,https://twitter.com/herseyyyboss/status/1485015680621682692,[],[],0,,False,1,0,0,https://twitter.com/bitscharf/status/1484984988265234435,#plandemicgameover,,,,,,,[],,,,
1485014363295653890,1485014363295653890,1642889989000.0,2022-01-22 14:19:49,-700,,#NHS staff from all over the UK laying their uniforms on the steps of #TrafalgarSquare  🙏🏻  #DD2201 #PlandemicGameOver  https://t.co/ZqtvWRMcSJ,en,"['nhs', 'trafalgarsquare', 'dd2201', 'plandemicgameover']",[],188454798,188454798,ChateauDeCat,Skylar St.James,6,14,https://twitter.com/ChateauDeCat/status/1485014363295653890,[],['https://pbs.twimg.com/media/FJvUsYfXMAAGvin.jpg'],1,https://pbs.twimg.com/media/FJvUsYfXMAAGvin.jpg,False,4,0,1,,#plandemicgameover,,,,,,,[],,,,
1485011042686181379,1485011042686181379,1642889197000.0,2022-01-22 14:06:37,-700,,"Ohne Spaziergänger wie heute in #Dresden hätte es keine Wiedervereinigung nach Jahren der Spaltung gegeben und #Merkel wäre nie in die Position gekommen, das Land in die Misere zu führen, aus der es Spaziergänger nun wieder befreien müssen.  #DD2201 #Plandemie #PlandemicGameOver  https://t.co/bYGDbBJWJd",de,"['dresden', 'merkel', 'dd2201', 'plandemie', 'plandemicgameover']",[],188454798,188454798,ChateauDeCat,Skylar St.James,6,14,https://twitter.com/ChateauDeCat/status/1485011042686181379,[],['https://pbs.twimg.com/media/FJvRrHRWYA0IoD4.jpg'],1,https://pbs.twimg.com/media/FJvRrHRWYA0IoD4.jpg,False,14,0,3,,#plandemicgameover,,,,,,,[],,,,
1485002163420078085,1484545636284473351,1642887080000.0,2022-01-22 13:31:20,-700,,"@ibrahim_ozkan61 Kaldı ki camiler müslümanların meşveret yerleridir. Gerekirse camide siyaset de yapılır. Bu milletin kutsallarına hakaret edenlere parti olarak bir şey demezken, camide dile getirilmesi siyasette sayılamaz.  #halilkonakcıyanlızdeğildir  #haddinibilsezenaksu  #PlandemicGameOver",tr,"['halilkonakcıyanlızdeğildir', 'haddinibilsezenaksu', 'plandemicgameover']",[],99238753,99238753,TurkIsOs2023,イルカ,6,13,https://twitter.com/TurkIsOs2023/status/1485002163420078085,[],[],0,,False,0,0,0,,#plandemicgameover,,,,,,,"[{'screen_name': 'ibrahim_ozkan61', 'name': 'İbrahim ÖZKAN', 'id': '864861446'}]",,,,
1484999945820192772,1484999945820192772,1642886551000.0,2022-01-22 13:22:31,-700,,Was this all part of the COVID2020 #PlandemicGameOver,en,['plandemicgameover'],[],437762031,437762031,RicardoGCI,Ricardo Tavares,6,13,https://twitter.com/RicardoGCI/status/1484999945820192772,[],[],0,,False,0,0,0,https://twitter.com/SpeakerPelosi/status/1484976863562940417,#plandemicgameover,,,,,,,[],,,,
1484994424186806281,1484994424186806281,1642885235000.0,2022-01-22 13:00:35,-700,,Bir şey merak ediyor ve sormak istiyorum; Covid vaka sayıları 10.000 ve üzerinde iken kapanma ve mesafe kuralları uygulanıyordu şimdi vaka sayıları 80.000’ ne ulaştı ama hiçbir şey yok. Aşı şimdi çocuklara yapılması isteniyor Yazık… #PlandemicGameOver,tr,['plandemicgameover'],[],127639957,127639957,LiGHTNiNGHSZ,L i G H T N i N G,6,13,https://twitter.com/LiGHTNiNGHSZ/status/1484994424186806281,[],[],0,,False,0,0,0,,#plandemicgameover,,,,,,,[],,,,
1484992501484343297,1484992501484343297,1642884776000.0,2022-01-22 12:52:56,-700,,#tutuklandı  #deprem  #SedefKabasHaddiniBil  #PlandemicGameOver  #ViransehirSavcısıGoereve,und,"['tutuklandı', 'deprem', 'sedefkabashaddinibil', 'plandemicgameover', 'viransehirsavcısıgoereve']",[],1139236045537652736,1139236045537652736,14_huzur,Huzur,6,12,https://twitter.com/14_huzur/status/1484992501484343297,[],[],0,,False,1,1,0,https://twitter.com/drahmetrasim/status/1484926161402671112,#plandemicgameover,,,,,,,[],,,,
1484989487499386880,1484843864489926659,1642884058000.0,2022-01-22 12:40:58,-700,,@zukunft37 Wollte die #AfD nicht dagegen vorgehen? #PlandemicGameOver  Es wird Zeit...,de,"['afd', 'plandemicgameover']",[],1223020020,1223020020,dieDoktorandin,Daria Duygu🎻,6,12,https://twitter.com/dieDoktorandin/status/1484989487499386880,[],[],0,,False,1,0,0,,#plandemicgameover,,,,,,,"[{'screen_name': 'zukunft37', 'name': 'Bernd F. - F wie Freiheit! 🗽', 'id': '4310651783'}]",,,,
1484982824407080962,1484687291809423360,1642882469000.0,2022-01-22 12:14:29,-700,,"@HilgerAlexander Stupidity is knowing the truth, seeing the truth but still believing the lies. And that is more infectious than any other disease...#PlandemicGameOver #Corona #Impfzwang",en,"['plandemicgameover', 'corona', 'impfzwang']",[],1223020020,1223020020,dieDoktorandin,Daria Duygu🎻,6,12,https://twitter.com/dieDoktorandin/status/1484982824407080962,[],[],0,,False,1,0,0,,#plandemicgameover,,,,,,,"[{'screen_name': 'HilgerAlexander', 'name': 'Alexander Hilger', 'id': '1465472531205341187'}]",,,,
1484972586220109831,1484972586220109831,1642880028000.0,2022-01-22 11:33:48,-700,,The #Plandemic will end in February.  The “Woke” Narrative is crumbling fast.  I am #Awake are you?  #awakening #PlandemicGameOver #FauciLied #BidenWorstPresidentEver,en,"['plandemic', 'awake', 'awakening', 'plandemicgameover', 'faucilied', 'bidenworstpresidentever']",[],867804152960823296,867804152960823296,Dem_Leaks,Patrick 🍀🇺🇸,6,11,https://twitter.com/Dem_Leaks/status/1484972586220109831,[],[],0,,False,0,0,1,,#plandemicgameover,,,,,,,[],,,,
1484967028150747139,1484967028150747139,1642878703000.0,2022-01-22 11:11:43,-700,,@MichealMartinTD #Scamdemic #PlandemicGameOver #EndTyrannyNow  https://t.co/GQmaQkaGz3,und,"['scamdemic', 'plandemicgameover', 'endtyrannynow']",[],1389709066616909829,1389709066616909829,CelticRebel10,Celtic_Rebel,6,11,https://twitter.com/CelticRebel10/status/1484967028150747139,[],['https://pbs.twimg.com/media/FJupouDXMAIAepJ.jpg'],1,https://pbs.twimg.com/media/FJupouDXMAIAepJ.jpg,False,0,0,0,,#plandemicgameover,,,,,,,[],,,,
