id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1487212684164665345,1487212684164665345,1643414109000.0,2022-01-28 15:55:09,-700,,#FauciLied  #ExposeTheTruth  #ArrestFauci,und,"['faucilied', 'exposethetruth', 'arrestfauci']",[],1299893714886766593,1299893714886766593,Kel66255910,Kel,5,15,https://twitter.com/Kel66255910/status/1487212684164665345,[],[],0,,False,2,0,2,https://twitter.com/Kel66255910/status/1486367529396277256,#faucilied,,,,,,,[],,,,
1487211212718764034,1487211212718764034,1643413758000.0,2022-01-28 15:49:18,-700,,"Spoiler - as a prophylactic it helped a lot.   44% reduction in infections  56% reduction in hospitalization  70% reduction of deaths  ... and that's not including the efficacy IVM has shown in treatment, none of the study subjects were treated w/it after infection. #FauciLied",en,['faucilied'],[],1451009322113126402,1451009322113126402,TruthHawaii369,Growing Aloha,5,15,https://twitter.com/TruthHawaii369/status/1487211212718764034,[],[],0,,False,0,0,0,https://twitter.com/Covid19Critical/status/1487199093793435654,#faucilied,,,,,,,[],,,,
1487210192634888192,1487186750988595204,1643413515000.0,2022-01-28 15:45:15,-700,,@ninnyd101 #ArrestFauci  #FauciLied 🤥🤡🤑💉💸🤬👿🔥  #FauciWuhan  #FauciEmails,und,"['arrestfauci', 'faucilied', 'fauciwuhan', 'fauciemails']",[],266739563,266739563,vandacapri,Vanda Capri,5,15,https://twitter.com/vandacapri/status/1487210192634888192,[],[],0,,False,6,0,2,,#faucilied,,,,,,,"[{'screen_name': 'ninnyd101', 'name': 'Ninnyd 🇬🇧❤️🇺🇸 Waiting~4~the Revolution', 'id': '390650964'}]",,,,
1487207315459739649,1487207315459739649,1643412829000.0,2022-01-28 15:33:49,-700,,@Jim_Jordan #Fauci  is now guilty of #negligenthomicide! #coverup #FauciLied #COVID #COVID,en,"['fauci', 'negligenthomicide', 'coverup', 'faucilied', 'covid', 'covid']",[],1354829509552463872,1354829509552463872,MrsCoggrdMmerca,Vanessa,5,15,https://twitter.com/MrsCoggrdMmerca/status/1487207315459739649,[],[],0,,False,0,0,0,,#faucilied,,,,,,,[],,,,
1487203961207603202,1487203961207603202,1643412029000.0,2022-01-28 15:20:29,-700,,#SadLittleMan #FauciLied #FauciForPrison   https://t.co/Dtj765kwsg,und,"['sadlittleman', 'faucilied', 'fauciforprison']",[],1377409091211960321,1377409091211960321,NoPassports,No Vaccine Passports,5,15,https://twitter.com/NoPassports/status/1487203961207603202,['https://rumble.com/vtfypp-fauci-caught-paying-off-doctors-to-cover-up-wuhan-lab-leak.html?mref=6zof&mc=dgip3&utm_source=newsletter&utm_medium=email&utm_campaign=The+Alex+Jones+Show&ep=2'],[],0,,False,0,0,0,,#faucilied,,,,,,,[],,,,
1487202944005013504,1487198746026905602,1643411787000.0,2022-01-28 15:16:27,-700,,@paly520 @5CitiesV #FauciLied  https://t.co/vTwRTIAo5e,und,['faucilied'],[],711711410699407360,711711410699407360,Pastelpark_23,WeWillAlwaysBe5,5,15,https://twitter.com/Pastelpark_23/status/1487202944005013504,[],['https://pbs.twimg.com/media/FKObMhOUYAYqj9R.jpg'],1,https://pbs.twimg.com/media/FKObMhOUYAYqj9R.jpg,False,3,0,2,,#faucilied,,,,,,,"[{'screen_name': 'paly520', 'name': 'patty520❣️', 'id': '940748728520134657'}, {'screen_name': '5CitiesV', 'name': 'RedVegasPatriot21', 'id': '886011805817987072'}]",,,,
1487202277869985792,1487202277869985792,1643411628000.0,2022-01-28 15:13:48,-700,,Fauci lied repeatedly to the American people 🤬 for personal profit 💰 #FauciLiedMillionsDied #FauciLied #FauciForPrison  https://t.co/wSbnYgIT2I,en,"['fauciliedmillionsdied', 'faucilied', 'fauciforprison']",[],1428744011372761088,1428744011372761088,wayward122,wayward12,5,15,https://twitter.com/wayward122/status/1487202277869985792,[],"['https://pbs.twimg.com/media/FKOalr3XoAITOrj.jpg', 'https://pbs.twimg.com/media/FKOal0QXoAQu_jP.jpg']",1,https://pbs.twimg.com/media/FKOalr3XoAITOrj.jpg,False,1,0,1,https://twitter.com/paly520/status/1487198746026905602,#faucilied,,,,,,,[],,,,
1487198746026905602,1487198746026905602,1643410786000.0,2022-01-28 14:59:46,-700,,#FauciLied  https://t.co/c2q0ds7lXi,und,['faucilied'],[],940748728520134657,940748728520134657,paly520,patty520❣️,5,14,https://twitter.com/paly520/status/1487198746026905602,[],['https://pbs.twimg.com/media/FKOXYJBX0AwmRhe.jpg'],1,https://pbs.twimg.com/media/FKOXYJBX0AwmRhe.jpg,False,15,1,8,,#faucilied,,,,,,,[],,,,
1487197984009953291,1487172719074500613,1643410604000.0,2022-01-28 14:56:44,-700,,@CBS_42 They obviously don't work...Check other countries.  #FauciLied,en,['faucilied'],[],1439015238435749888,1439015238435749888,WilheimMac,Wilhelm🥋,5,14,https://twitter.com/WilheimMac/status/1487197984009953291,[],[],0,,False,0,0,0,,#faucilied,,,,,,,"[{'screen_name': 'CBS_42', 'name': 'CBS 42', 'id': '14500743'}]",,,,
1487182580138975232,1487182580138975232,1643406932000.0,2022-01-28 13:55:32,-700,,"Report: Officials Suppressed COVID Lab Leak Theory, Concerned About Public's Reaction to Chinese Involvement via @WestJournalism  https://t.co/ZdR0cpjcrw #FauciLied",en,['faucilied'],[],1462123507706433539,1462123507706433539,smfarley7777,Sarah Farley,5,13,https://twitter.com/smfarley7777/status/1487182580138975232,['https://www.westernjournal.com/report-officials-suppressed-covid-lab-leak-theory-concerned-publics-reaction-chinese-involvement/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons'],[],0,,False,1,0,1,,#faucilied,,,,,,,[],,,,
1487180590264766470,1487180590264766470,1643406457000.0,2022-01-28 13:47:37,-700,,Stop the #propaganda #NoMoreLockdowns #NoMoreMandates #EndTheMandates #ilovebiden #joebiden #FauciLied,en,"['propaganda', 'nomorelockdowns', 'nomoremandates', 'endthemandates', 'ilovebiden', 'joebiden', 'faucilied']",[],1441557742385188866,1441557742385188866,SusanWeindel,Susan Weindel,5,13,https://twitter.com/SusanWeindel/status/1487180590264766470,[],[],0,,False,0,0,0,https://twitter.com/JamesMelville/status/1486997477702131714,#faucilied,,,,,,,[],,,,
1487178377333256196,1487178377333256196,1643405930000.0,2022-01-28 13:38:50,-700,,Haha. #FauciLied and people died.  https://t.co/IYuCMWqyqi,en,['faucilied'],[],1152729978347429889,1152729978347429889,NOPC24949877,NO PC,5,13,https://twitter.com/NOPC24949877/status/1487178377333256196,[],['https://pbs.twimg.com/media/FKOE2czXoAAlYg8.jpg'],1,https://pbs.twimg.com/media/FKOE2czXoAAlYg8.jpg,False,18,0,2,,#faucilied,,,,,,,[],,,,
