id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1488655637923995650,1488655637923995650,1643758136000.0,2022-02-01 15:28:56,-700,,"Fauci wist van het Wuhan LabLeak, maar probeerde dit in een geheime videoconferentie te verdoezelen.  #Wuhan #LabLeak #Koopmans   https://t.co/NPOrH1nwn8",nl,"['wuhan', 'lableak', 'koopmans']",[],417406335,417406335,GeertJeelof,⛵️Tegenspraak ⚓️,2,15,https://twitter.com/GeertJeelof/status/1488655637923995650,['https://www.theepochtimes.com/fauci-knew-about-virus-lab-origin-from-secret-teleconference-pushed-alternate-narrative-jeff-carlson-and-hans-mahncke_4249218.html?utm_source=newsnoe&utm_campaign=breaking-2022-02-01-4&utm_medium=email&est=YTihTykDs3pq6W5hLJP0gIwcJ%2FjESZ738ry%2Fn%2FLihCsgSQ9T6GctWaN%2BNLo3fPU%3D'],[],0,,False,0,0,0,,#lableak,,,,,,,[],,,,
1488625364897128449,1488625364897128449,1643750918000.0,2022-02-01 13:28:38,-700,,"#Covid19 #Fauci #NIH #LabLeak #Global #Fascist #Oligarchy.  #Agenda2030   Bee Gees - I Started A Joke (Live in Las Vegas, 1997 - One Night Only)  https://t.co/0r3LQ1r4A2 via @YouTube",en,"['covid19', 'fauci', 'nih', 'lableak', 'global', 'fascist', 'oligarchy', 'agenda2030']",[],29750544,29750544,zombiextrader,"Merkin Muffley, Climate Envoy; They/Them, it.",2,13,https://twitter.com/zombiextrader/status/1488625364897128449,['https://youtu.be/b3kBDtjRtB0'],[],0,,False,0,0,0,,#lableak,,,,,,,[],,,,
1488621068830920704,1488621068830920704,1643749894000.0,2022-02-01 13:11:34,-700,,"Yet again, what once was considered tinfoil hat conspiracy theory, worthy of cancelation and outrage, once again appears to be true   https://t.co/qPm4d2tULZ  #lableak #ThankYouJoeRogan #JoeRogan @BretWeinstein #horsedewormer",en,"['lableak', 'thankyoujoerogan', 'joerogan', 'horsedewormer']",[],995959068,995959068,RobotGideon,Gideon Prior,2,13,https://twitter.com/RobotGideon/status/1488621068830920704,['https://news.yahoo.com/japans-kowa-says-ivermectin-effective-082516933.html'],[],0,,False,0,1,0,,#lableak,,,,,,,[],,,,
1488592184693735425,1488591666101600257,1643743008000.0,2022-02-01 11:16:48,-700,,@MarkvLoosdrecht Military Games Wuhan. #lableak,et,['lableak'],[],585886494,585886494,pjv1968,Pieter Visser,2,11,https://twitter.com/pjv1968/status/1488592184693735425,[],[],0,,False,0,1,0,,#lableak,,,,,,,"[{'screen_name': 'MarkvLoosdrecht', 'name': 'Mark van Loosdrecht', 'id': '236157669'}]",,,,
1488589376443465729,1488589376443465729,1643742338000.0,2022-02-01 11:05:38,-700,,"5,676,248 deaths on the hands of China because of Covid-19. Why is nobody talking about this? Clearly the cesspool of the earth 🇨🇳 is a problem to civilization and should pay for there poor handling of there lab made virus. #fuckchina #lableak #commonenemy",en,"['fuckchina', 'lableak', 'commonenemy']",[],1432207644551385088,1432207644551385088,KnullMathew,💪🇺🇦💪,2,11,https://twitter.com/KnullMathew/status/1488589376443465729,[],[],0,,False,0,0,0,,#lableak,,,,,,,[],,,,
1488572179465703424,1488572179465703424,1643738238000.0,2022-02-01 09:57:18,-700,,The CCP can identify you with facial recognition software if you jay walk across the street. However they don’t know where the virus came from? This is insanity. #lableak,en,['lableak'],[],1147293028605820933,1147293028605820933,BryantGaudry,DefiantBryant🇨🇦,2,9,https://twitter.com/BryantGaudry/status/1488572179465703424,[],[],0,,False,2,0,0,,#lableak,,,,,,,[],,,,
1488550418783289354,1488547908278439940,1643733050000.0,2022-02-01 08:30:50,-700,,@SteveChapman13 @WSJ Tragic.   Will China's Communist Party pay for unleashing COVID on the world?  #lableak,en,['lableak'],[],1217544666779918336,1217544666779918336,Burner20202,Burner 2020,2,8,https://twitter.com/Burner20202/status/1488550418783289354,[],[],0,,False,0,0,0,,#lableak,,,,,,,"[{'screen_name': 'SteveChapman13', 'name': '(((Steve Chapman)))', 'id': '259943801'}, {'screen_name': 'WSJ', 'name': 'The Wall Street Journal', 'id': '3108351'}]",,,,
1488548452611108865,1488545659280150534,1643732581000.0,2022-02-01 08:23:01,-700,,"@scotub @MichaelWorobey @ggronvall It's default for any opposing argument these days, despite having substantial supporting information to support a claim. I read yesterday that science isn't democratic &amp; is not ruled by consensus or group think - evidence is required. Show me the beef! #lableak is likely.",en,['lableak'],[],2987130444,2987130444,AlbaAdventureNY,Alba Adventures,2,8,https://twitter.com/AlbaAdventureNY/status/1488548452611108865,[],[],0,,False,3,1,0,,#lableak,,,,,,,"[{'screen_name': 'scotub', 'name': 'scott ferguson', 'id': '110697887'}, {'screen_name': 'MichaelWorobey', 'name': 'Michael Worobey', 'id': '2350855885'}, {'screen_name': 'ggronvall', 'name': 'Gigi Gronvall', 'id': '47430888'}]",,,,
1488541560924999681,1488541560924999681,1643730938000.0,2022-02-01 07:55:38,-700,,How corrupt is the #BidenMedia slime now their lies are being exposed ? #Ivectermin going to be interesting for the families of the victims of the #BigPharma #Lableak and the misinformation of the #BidenMedia on what appears to be a viable treatment.  https://t.co/RwfE6b2zGw,en,"['bidenmedia', 'ivectermin', 'bigpharma', 'lableak', 'bidenmedia']",[],106511766,106511766,AletheianTribe,Parmenides,2,7,https://twitter.com/AletheianTribe/status/1488541560924999681,[],['https://pbs.twimg.com/media/FKhcCJlXEAsneDY.jpg'],1,https://pbs.twimg.com/media/FKhcCJlXEAsneDY.jpg,False,2,0,1,,#lableak,,,,,,,[],,,,
1488538613847633931,1488538613847633931,1643730235000.0,2022-02-01 07:43:55,-700,,You thought you were awake? Think again...  A #MUSTSEE interview with @MichaelPSenger (#SnakeOil) by @SBergsma   About #CCPChina #XiJinping #Wuhan #LabLeak #virusses #GainOfFunction #lockdowns and many more subjects.  Best 'Bakkie' ever. Go Sietske! 💥  https://t.co/2glU4OwnKh,en,"['mustsee', 'snakeoil', 'ccpchina', 'xijinping', 'wuhan', 'lableak', 'virusses', 'gainoffunction', 'lockdowns']",[],1438240338,1438240338,Baztard50,Buz,2,7,https://twitter.com/Baztard50/status/1488538613847633931,['https://youtu.be/29nr8I4DNjw'],[],0,,False,18,2,10,,#lableak,,,,,,,[],,,,
