id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1490101003345178625,1490101003345178625,1644102738000.0,2022-02-05 15:12:18,-700,,Wearing a 😷 has become more of a political statement than it is about health. Stop normalizing wearing a diaper on your face. It's not normal. #NoMasks #EndMaskMandates #masksdontwork,en,"['nomasks', 'endmaskmandates', 'masksdontwork']",[],1451154472990912512,1451154472990912512,TXCryptoGuy80,TexasCryptoGuy,6,15,https://twitter.com/TXCryptoGuy80/status/1490101003345178625,[],[],0,,False,0,0,0,,#masksdontwork,,,,,,,[],,,,
1490100633537548298,1490100633537548298,1644102650000.0,2022-02-05 15:10:50,-700,,@GovPritzker just hold your breath!  #masksdontwork  #CrimesAgainstHumanity  #FJB,en,"['masksdontwork', 'crimesagainsthumanity', 'fjb']",[],1309132857508536321,1309132857508536321,MommaTruckin,Small Fringe Republic,6,15,https://twitter.com/MommaTruckin/status/1490100633537548298,[],[],0,,False,0,0,0,https://twitter.com/Jim_Jordan/status/1489958060697214988,#masksdontwork,,,,,,,[],,,,
1490090558307581953,1490090558307581953,1644100248000.0,2022-02-05 14:30:48,-700,, https://t.co/Hp9rd08pXs  #Covid_19 #masksdontwork #LeaveOurKidsAlone #Sturgeon #CrimesAgainstHumanity,und,"['covid_19', 'masksdontwork', 'leaveourkidsalone', 'sturgeon', 'crimesagainsthumanity']",[],1482337314395369473,1482337314395369473,GylesSarah,Sarah Gyles,6,14,https://twitter.com/GylesSarah/status/1490090558307581953,['https://youtu.be/E6zDBPMMJmI'],[],0,,False,0,0,0,,#masksdontwork,,,,,,,[],,,,
1490088509612429316,1490088509612429316,1644099759000.0,2022-02-05 14:22:39,-700,,STOP THE DISTRACTION !! 💪#NaturaLimmunity 💪  FAMILY MATTERS !! 👨‍👩‍👦 #Together #United 👨‍👩‍👧  UNION = STRENGTH !! 🇺🇸 #Resist #Genocide 🇬🇧  DEFEAT THE CCP !! #DefeatTheCCP🇨🇳  DO NOT COMPLY !! #DoNotComply   PUREBLOODS ! #ivermectine #MasksDontWork #GiletsJaunes  https://t.co/Aaby4ZGiKC,en,"['naturalimmunity', 'together', 'united', 'resist', 'genocide', 'defeattheccp', 'donotcomply', 'ivermectine', 'masksdontwork', 'giletsjaunes']",[],3362454131,3362454131,LE_369,•eL•¡s•Ra•,6,14,https://twitter.com/LE_369/status/1490088509612429316,['https://twitter.com/chi_un_lee/status/1490061053807538181/video/1'],[],0,,False,1,0,0,,#masksdontwork,,,,,,,[],,,,
1490088333770432516,1490088333770432516,1644099717000.0,2022-02-05 14:21:57,-700,,STOP THE DISTRACTION !! 💪#NaturaLimmunity 💪  FAMILY MATTERS !! 👨‍👩‍👦 #Together #United 👨‍👩‍👧  UNION = STRENGTH !! 🇺🇸 #Resist #Genocide 🇬🇧  DEFEAT THE CCP !! #DefeatTheCCP🇨🇳  DO NOT COMPLY !! #DoNotComply   PUREBLOODS ! #ivermectine #MasksDontWork #GiletsJaunes  https://t.co/uYl8RuEE5D,en,"['naturalimmunity', 'together', 'united', 'resist', 'genocide', 'defeattheccp', 'donotcomply', 'ivermectine', 'masksdontwork', 'giletsjaunes']",[],3362454131,3362454131,LE_369,•eL•¡s•Ra•,6,14,https://twitter.com/LE_369/status/1490088333770432516,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1490085286684024836/pu/img/4y4Ys_a724fLJrvq.jpg,False,2,0,1,,#masksdontwork,,,,,,,[],,,,
1490086543251279872,1490086543251279872,1644099291000.0,2022-02-05 14:14:51,-700,,"One m$sk 2 ma$k 3 ma$k 4 Pull over some panty hose To make it better than before. If yur protection begins to lag, Cover your head wi'd a plastic bag #masksdontwork #RevolutionNow",en,"['masksdontwork', 'revolutionnow']",[],2873467298,2873467298,irawhite11,Ira Lee White,6,14,https://twitter.com/irawhite11/status/1490086543251279872,[],[],0,,False,1,0,3,,#masksdontwork,,,,,,,[],,,,
1490085146036518913,1490085146036518913,1644098957000.0,2022-02-05 14:09:17,-700,,"These public school teachers are flat out child abusers!! Any teacher that segregates, humiliates, shouts down and turns off heat to a classroom because a child isn't wearing the obedience mask is guilty of child abuse! Where is Child Protective Services! #masksdontwork",en,['masksdontwork'],[],1105159342528122880,1105159342528122880,CoslettLinda,AmericanPatriot,6,14,https://twitter.com/CoslettLinda/status/1490085146036518913,[],[],0,,False,1,0,0,,#masksdontwork,,,,,,,[],,,,
1490080710312484870,1490080710312484870,1644097900000.0,2022-02-05 13:51:40,-700,,It is past time to stop stupidity from non scientists and people with agendas. It is past time to stop the stupidity of masking and past time to continue putting up with it. #stopmasksnow #stopmasks #masksdontwork #COVID19 #covidaintduetonotmasking #ifyourmaskustupid,en,"['stopmasksnow', 'stopmasks', 'masksdontwork', 'covid19', 'covidaintduetonotmasking', 'ifyourmaskustupid']",[],526611541,526611541,jasonleemuzik,Jason Lee,6,13,https://twitter.com/jasonleemuzik/status/1490080710312484870,[],[],0,,False,0,0,0,https://twitter.com/RandPaul/status/1490076776642588677,#masksdontwork,,,,,,,[],,,,
1490067436976185349,1490067436976185349,1644094735000.0,2022-02-05 12:58:55,-700,,"antes de que marchen, un cartelillo  #mascarillasNo #masksdontwork  https://t.co/xgg3StVJ2D",es,"['mascarillasno', 'masksdontwork']",[],873685662,873685662,qarambanos,Qar 🍬🕹,6,12,https://twitter.com/qarambanos/status/1490067436976185349,[],"['https://pbs.twimg.com/media/FK3IbwQXwAEzTeW.jpg', 'https://pbs.twimg.com/media/FK3Ib9-XEAcTFXM.jpg']",1,https://pbs.twimg.com/media/FK3IbwQXwAEzTeW.jpg,False,0,0,0,https://twitter.com/plaforscience/status/1489945366015447041,#masksdontwork,,,,,,,[],,,,
1490058227542892546,1490058227542892546,1644092540000.0,2022-02-05 12:22:20,-700,,What have #co2 and #ClimateEmergency narrative and #masksdontwork have in common ? Both #false,en,"['co2', 'climateemergency', 'masksdontwork', 'false']",[],981866153785135104,981866153785135104,Phlavianus,PPP1,6,12,https://twitter.com/Phlavianus/status/1490058227542892546,[],[],0,,False,0,0,0,,#masksdontwork,,,,,,,[],,,,
1490049428736073736,1489960536230010884,1644090442000.0,2022-02-05 11:47:22,-700,,"@chrisbuttimer @CTULocal1 Hey @chrisbuttimer please share the scientific studies you have proving masks prevent Covid. In the meantime, here’s some light reading proving #masksdontwork  https://t.co/zpieGer35v",en,['masksdontwork'],[],1420786795558670336,1420786795558670336,Blanco919isback,Blanco🇺🇸,6,11,https://twitter.com/Blanco919isback/status/1490049428736073736,['https://www.mdpi.com/1660-4601/18/8/4344'],[],0,,False,0,0,0,,#masksdontwork,,,,,,,"[{'screen_name': 'chrisbuttimer', 'name': 'Chris Buttimer', 'id': '49373732'}, {'screen_name': 'CTULocal1', 'name': 'ChicagoTeachersUnion', 'id': '163576195'}]",,,,
