id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1496987892836675585,1496987892836675585,1645744700000.0,2022-02-24 15:18:20,-700,,Isn't it weird that we have Bio-Labs in Ukraine!?!   https://t.co/4rmoxneVWl  #ukraine #ukrainecrisis #ukraineconflict #russia #russiainvadedukraine #russiainvasion #militaryinstallation #militaryinstallations #bioweapons,en,"['ukraine', 'ukrainecrisis', 'ukraineconflict', 'russia', 'russiainvadedukraine', 'russiainvasion', 'militaryinstallation', 'militaryinstallations', 'bioweapons']",[],1271529466553151488,1271529466553151488,DefenderPodcast,Truth Defender Podcast,4,15,https://twitter.com/DefenderPodcast/status/1496987892836675585,['http://dilyana.bg/bulgarian-journalist-confronts-robert-kadlec-over-the-us-secret-bio-weapons/'],[],0,,False,0,0,2,,#bioweapons,,,,,,,[],,,,
1496986563275681813,1496986563275681813,1645744384000.0,2022-02-24 15:13:04,-700,,This is the most logical reason I have seen for what is going on. #RussiaUkraineConflict #Russia #russianinvasion #bioweapons #Biotechnology,en,"['russiaukraineconflict', 'russia', 'russianinvasion', 'bioweapons', 'biotechnology']",[],1445159670440554498,1445159670440554498,boobznbonerz,Boobznbonerz,4,15,https://twitter.com/boobznbonerz/status/1496986563275681813,[],[],0,,False,1,0,0,https://twitter.com/NotoriouslyCute/status/1496906383530217479,#bioweapons,,,,,,,[],,,,
1496984398847045632,1496984398847045632,1645743867000.0,2022-02-24 15:04:27,-700,,Why was this acc suspended for sharing this????? #RussiaUkraineConflict #bioweapons #Ukraine #USA #Russia #WARINUKRAINE #USPolitics  https://t.co/r8ELWduRwB,en,"['russiaukraineconflict', 'bioweapons', 'ukraine', 'usa', 'russia', 'warinukraine', 'uspolitics']",[],1450759755656429578,1450759755656429578,urnnafayy201,Lilfurn,4,15,https://twitter.com/urnnafayy201/status/1496984398847045632,[],"['https://pbs.twimg.com/media/FMZbXxWVkAIeM9i.jpg', 'https://pbs.twimg.com/media/FMZbXxUVQAQfJ2N.jpg', 'https://pbs.twimg.com/media/FMZbXxvUcAo9lgu.jpg', 'https://pbs.twimg.com/media/FMZbXxxVgAMk0_4.jpg']",1,https://pbs.twimg.com/media/FMZbXxWVkAIeM9i.jpg,False,3,4,0,,#bioweapons,,,,,,,[],,,,
1496968632408047617,1496968632408047617,1645740108000.0,2022-02-24 14:01:48,-700,,#BillGates hired #CCP to release #bioweapons ?#BigPharmaGenocide  https://t.co/HpBJQoZZ92,en,"['billgates', 'ccp', 'bioweapons', 'bigpharmagenocide']",[],4004075598,4004075598,Connie33308284,Connie,4,14,https://twitter.com/Connie33308284/status/1496968632408047617,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1496968226726551552/pu/img/FT2x51dygc_foQvR.jpg,False,4,1,3,,#bioweapons,,,,,,,[],,,,
1496966957530296329,1496966957530296329,1645739709000.0,2022-02-24 13:55:09,-700,,#ukraine #russia #bioweapons  https://t.co/PApbnvzNtB,und,"['ukraine', 'russia', 'bioweapons']",[],1247503316420104192,1247503316420104192,sabu2_u,Only fools still trust the MSM!,4,13,https://twitter.com/sabu2_u/status/1496966957530296329,[],['https://pbs.twimg.com/media/FMZLfs4XMAQ9Lar.jpg'],1,https://pbs.twimg.com/media/FMZLfs4XMAQ9Lar.jpg,False,1,0,0,,#bioweapons,,,,,,,[],,,,
1496964330859864065,1496689372128763908,1645739083000.0,2022-02-24 13:44:43,-700,,@Crazydo11730706 #hongkongriots were theater too  until aug-july’19 when #bioweapons were released   where’s the riots now 💁🏻‍♂️,en,"['hongkongriots', 'bioweapons']",[],3289047373,3289047373,erik_lander,CAD CAM CNC,4,13,https://twitter.com/erik_lander/status/1496964330859864065,[],[],0,,False,0,0,0,,#bioweapons,,,,,,,"[{'screen_name': 'Crazydo11730706', 'name': 'Crazy dog lady', 'id': '1491963384362934275'}]",,,,
1496959518902824961,1496694980798476289,1645737936000.0,2022-02-24 13:25:36,-700,,@stillgray #bioweapons,und,['bioweapons'],[],767814396,767814396,hovis22,Larry,4,13,https://twitter.com/hovis22/status/1496959518902824961,[],[],0,,False,0,0,0,,#bioweapons,,,,,,,"[{'screen_name': 'stillgray', 'name': 'Ian Miles Cheong', 'id': '16106584'}]",,,,
1496959306431975428,1496959306431975428,1645737885000.0,2022-02-24 13:24:45,-700,,"Amid #Rumors of #US #BioWeapons #Laboratories in #Ukraine, we finally see #Putin get serious about tracing the TRUE source of the #CoronaVirus(!)",en,"['rumors', 'us', 'bioweapons', 'laboratories', 'ukraine', 'putin', 'coronavirus']",[],98149679,98149679,Iota_Sigma,The Mistress,4,13,https://twitter.com/Iota_Sigma/status/1496959306431975428,[],[],0,,False,0,0,0,,#bioweapons,,,,,,,[],,,,
1496957336908296205,1496707795709841414,1645737415000.0,2022-02-24 13:16:55,-700,,@willchamberlain #bioweapons,und,['bioweapons'],[],767814396,767814396,hovis22,Larry,4,13,https://twitter.com/hovis22/status/1496957336908296205,[],[],0,,False,0,0,0,,#bioweapons,,,,,,,"[{'screen_name': 'willchamberlain', 'name': 'Will Chamberlain', 'id': '21722318'}]",,,,
1496954970738143232,1496954970738143232,1645736851000.0,2022-02-24 13:07:31,-700,,As #Russia Invades #Ukraine . Look at the cities they are hitting and taking over and how the US has #biolabs  in each one of these areas.  There is a reason why Putin did not want Ukraine joining the @UN as they would be able to better defend these #bioweapons  facilities.  https://t.co/tgvmB5FA36,en,"['russia', 'ukraine', 'biolabs', 'bioweapons']",[],1494863030097788931,1494863030097788931,ABlueFalcon,Blue Falcon,4,13,https://twitter.com/ABlueFalcon/status/1496954970738143232,[],['https://pbs.twimg.com/media/FMZAmykWUAY_DrF.jpg'],1,https://pbs.twimg.com/media/FMZAmykWUAY_DrF.jpg,False,2,3,1,,#bioweapons,,,,,,,[],,,,
