id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1499533826435031047,1499511598045663235,1646351698000.0,2022-03-03 15:54:58,-700,,"@ClaudioDiManao Più che altro abbiamo notato un asse tra le narrazioni #novax, #QAnon e pro-#Putin. Una sorta di ricerca spasmodica di un Uomo Forte in un culto pagano che ha sostituito un dio tra le nubi con l'adorazione del guru di turno",it,"['novax', 'qanon', 'putin']",[],2338169095,2338169095,Bufalenet,Bufale.net,4,15,https://twitter.com/Bufalenet/status/1499533826435031047,[],[],0,,False,2,1,0,,#QAnon,,,,,,,"[{'screen_name': 'ClaudioDiManao', 'name': 'claudio di manao', 'id': '941020495583088640'}]",,,,
1499523327970340864,1499523327970340864,1646349195000.0,2022-03-03 15:13:15,-700,,#ErrorMessage when you try to #signup for #tRump #socialMedia #Gop #q #qanon  https://t.co/h322EPH6Jv,en,"['errormessage', 'signup', 'trump', 'socialmedia', 'gop', 'q', 'qanon']",[],722346578,722346578,joseph_ippolito,Sync Media Network,4,15,https://twitter.com/joseph_ippolito/status/1499523327970340864,[],['https://pbs.twimg.com/media/FM9gZAqUUAoZ3zI.jpg'],1,https://pbs.twimg.com/media/FM9gZAqUUAoZ3zI.jpg,False,1,0,1,https://twitter.com/joseph_ippolito/status/1499516373894000643,#QAnon,,,,,,,[],,,,
1499521480153051137,1499405883264090114,1646348755000.0,2022-03-03 15:05:55,-700,,@DarthPutinKGB Trust the plan.  #QAnon,en,['qanon'],[],890377614782861316,890377614782861316,GGreyscale,Surreal Outrage ✌✌,4,15,https://twitter.com/GGreyscale/status/1499521480153051137,[],[],0,,False,0,0,0,,#QAnon,,,,,,,"[{'screen_name': 'DarthPutinKGB', 'name': 'Darth Putin', 'id': '957306920'}]",,,,
1499518229508542466,1499518229508542466,1646347980000.0,2022-03-03 14:53:00,-700,,"For people who haven't been following this, the police department that sent a serial rapist to shoot a woman to death in her home also destroyed mountains of evidence implicating its cops in running a pedophilia ring. #breonnataylorbotchedraidtrial #QAnon   https://t.co/4HXU6TkdOk",en,"['breonnataylorbotchedraidtrial', 'qanon']",[],1214720599391535109,1214720599391535109,ReptileStare,Reptile Stare,4,14,https://twitter.com/ReptileStare/status/1499518229508542466,['https://www.courier-journal.com/story/news/2022/03/02/despite-ruling-courier-journal-pursues-louisville-police-sex-abuse-record/9324190002/'],[],0,,False,0,0,0,,#QAnon,,,,,,,[],,,,
1499510121021464580,1499510121021464580,1646346047000.0,2022-03-03 14:20:47,-700,,"Twitch targets misinformation, bans high-profile QAnon streamers #Bans #HighProfile #Misinformation #QAnon #Streamers #targets #Twitch #Gaming   https://t.co/kfpi4Ikmni",en,"['bans', 'highprofile', 'misinformation', 'qanon', 'streamers', 'targets', 'twitch', 'gaming']",[],1309363757320228864,1309363757320228864,telly_gupshup,Telly Gupshup,4,14,https://twitter.com/telly_gupshup/status/1499510121021464580,['https://bgmimobile.in/twitch-targets-misinformation-bans-high-profile-qanon-streamers/?feed_id=52454&_unique_id=62213f3ee1bc5'],[],0,,False,0,0,0,,#QAnon,,,,,,,[],,,,
1499505898368036897,1499505898368036897,1646345040000.0,2022-03-03 14:04:00,-700,,Here’s Why #QAnon Believes Vladimir Putin Is the Good Guy  https://t.co/8lTYXk85ss via @VICE,en,['qanon'],[],1421977052819959808,1421977052819959808,RadicalReports,Radical Reports,4,14,https://twitter.com/RadicalReports/status/1499505898368036897,['https://www.newyorker.com/video/watch/the-new-yorker-documentary-the-reasons-behind-an-immigrants-inclination-to-qanon'],[],0,,False,0,0,2,,#QAnon,,,,,,,[],,,,
1499504977709920256,1499504977709920256,1646344820000.0,2022-03-03 14:00:20,-700,,*** BREAKING *** I don’t understand how any of this works #QAnon #FollowTheWhiteRabbit #TickTockTickTockTickTock #PitterPatter,en,"['qanon', 'followthewhiterabbit', 'ticktockticktockticktock', 'pitterpatter']",[],990985771606728705,990985771606728705,SeanSpammity,Sean Spammity,4,14,https://twitter.com/SeanSpammity/status/1499504977709920256,[],[],0,,False,0,0,0,,#QAnon,,,,,,,[],,,,
1499500217846190084,1499476969095901188,1646343685000.0,2022-03-03 13:41:25,-700,,"@searche02540804 @OmaGunn As-Safirah, Syria.  From a post from March 3, 2018.  I can't seem to link to Neon Revolt's website so if you want, you can search the title ""The Strangeness of 13013 NOVA CORP BLUE #QAnon"".  https://t.co/9JZRx6YVaO",en,['qanon'],[],1211482380185174017,1211482380185174017,PeaceAnonRedux,PeaceAnonRedux,4,13,https://twitter.com/PeaceAnonRedux/status/1499500217846190084,[],['https://pbs.twimg.com/media/FM9LZUrXIA4dXCL.jpg'],1,https://pbs.twimg.com/media/FM9LZUrXIA4dXCL.jpg,False,2,0,0,,#QAnon,,,,,,,"[{'screen_name': 'searche02540804', 'name': 'searcher', 'id': '1380904066323255304'}, {'screen_name': 'OmaGunn', 'name': '𓋹 Oma Gunn 𓋹', 'id': '1471845601881071619'}]",,,,
1499495085075218433,1499495085075218433,1646342462000.0,2022-03-03 13:21:02,-700,,"Twitch targets misinformation, bans high-profile QAnon streamers #Bans #HighProfile #Misinformation #QAnon #Streamers #targets #Twitch #Gaming   https://t.co/3tkakqWkbE",en,"['bans', 'highprofile', 'misinformation', 'qanon', 'streamers', 'targets', 'twitch', 'gaming']",[],1106282927376064517,1106282927376064517,indianmotivati1,indian motivation,4,13,https://twitter.com/indianmotivati1/status/1499495085075218433,['https://bgmimobile.in/twitch-targets-misinformation-bans-high-profile-qanon-streamers/?feed_id=52453&_unique_id=6221313dee333'],[],0,,False,0,0,0,,#QAnon,,,,,,,[],,,,
1499493211768766470,1499493211768766470,1646342015000.0,2022-03-03 13:13:35,-700,,#Querdenker und #Polizist umarmen sich beim verschwörungsideologischen Aufmarsch von #QAnon-Fanboy Marcel Dittrich am 28.02.22 in #Eberswalde #Barnim #Brandenburg 🚨 #problempolizei mit Abgrenzungsproblemen nach extrem rechts (Quelle: Propaganda-YT-Kanal von Heidemarie Wachholz)  https://t.co/AlWbxYnJve,de,"['querdenker', 'polizist', 'qanon', 'eberswalde', 'barnim', 'brandenburg', 'problempolizei']",[],1474392132031062016,1474392132031062016,StoppQuerfront,Stoppt die völkische Querfront in Eberswalde,4,13,https://twitter.com/StoppQuerfront/status/1499493211768766470,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1499491738175557638/pu/img/OJTG3PxC9G4izyDZ.jpg,False,34,8,13,,#QAnon,,,,,,,[],,,,
