id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1501346594435837955,1501268682625978371,1646783896000.0,2022-03-08 15:58:16,-700,,@RVAwonk #CCPVirus #FuckCCP,und,"['ccpvirus', 'fuckccp']",[],1062644385672654848,1062644385672654848,BTC__8,BTC8,2,15,https://twitter.com/BTC__8/status/1501346594435837955,[],[],0,,False,0,0,0,,#CCPVirus,,,,,,,"[{'screen_name': 'RVAwonk', 'name': 'Caroline Orr Bueno, Ph.D', 'id': '2316383071'}]",,,,
1501345590537457664,1501345590537457664,1646783657000.0,2022-03-08 15:54:17,-700,,"I would not be surprised if we soon start seeing Chinese People beating Chinese Communists to death with folding chairs in the streets of China. #CommunismKills, #SocialismKills, #MarcosDuterteKills, #Philippines, #CCPLiedPeopleDied, #CCPVirus  https://t.co/VRSo5eh8Vz",en,"['communismkills', 'socialismkills', 'marcosdutertekills', 'philippines', 'ccpliedpeopledied', 'ccpvirus']",[],1053020504200638464,1053020504200638464,RalphSunico,Ralph Sunico,2,15,https://twitter.com/RalphSunico/status/1501345590537457664,['https://youtube.com/watch?v=MTnyYk95SCQ'],[],0,,False,0,1,0,,#CCPVirus,,,,,,,[],,,,
1501304642973675526,1501304642973675526,1646773894000.0,2022-03-08 13:11:34,-700,,"Reports Claim Putin IS DYING Escalating Danger, Biden BANS Russian Gas A...  https://t.co/3pTXj91UFj via @YouTube dear #putin have a long painful death #PutinIsaWarCriminal #PutinWarCriminal #CCP #CCPVirus",en,"['putin', 'putinisawarcriminal', 'putinwarcriminal', 'ccp', 'ccpvirus']",[],1487924191286501380,1487924191286501380,ThomasC40881649,Thomas Christopher,2,13,https://twitter.com/ThomasC40881649/status/1501304642973675526,['https://youtu.be/MQV6iDwpKxk'],[],0,,False,0,0,0,,#CCPVirus,,,,,,,[],,,,
1501303202272186371,1501303202272186371,1646773550000.0,2022-03-08 13:05:50,-700,,Yeah kinda’ like this?? #hellodanny #BidenHisTime #eviltwins #AxisOfWeasels #ukraine #fraud #CCPVirus  https://t.co/VRTMOhBJVH,en,"['hellodanny', 'bidenhistime', 'eviltwins', 'axisofweasels', 'ukraine', 'fraud', 'ccpvirus']",[],116614932,116614932,johnalphonse,John Alphonse,2,13,https://twitter.com/johnalphonse/status/1501303202272186371,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1501303147863625740/pu/img/RaUidQvveVhq7_vY.jpg,False,0,0,0,https://twitter.com/mikepompeo/status/1501269389500456971,#CCPVirus,,,,,,,[],,,,
1501289902608105475,1501289902608105475,1646770380000.0,2022-03-08 12:13:00,-700,,Anyone know what this means?  On #Pfizer  So it's probably criminal..  #vaccines #COVID19 #COVID #Russia #Ukraine #China #CCP #CCPVirus  https://t.co/OCXXhi3LS4,en,"['pfizer', 'vaccines', 'covid19', 'covid', 'russia', 'ukraine', 'china', 'ccp', 'ccpvirus']",[],1465236285526880260,1465236285526880260,GuyFawkes1111,Guy Fawkes 🗽,2,12,https://twitter.com/GuyFawkes1111/status/1501289902608105475,[],['https://pbs.twimg.com/media/FNWnNbdXIAQI9SW.jpg'],1,https://pbs.twimg.com/media/FNWnNbdXIAQI9SW.jpg,False,1,0,0,,#CCPVirus,,,,,,,[],,,,
1501248683878326274,1501248683878326274,1646760552000.0,2022-03-08 09:29:12,-700,,@liberal_party @JustinTrudeau @CCP #CCPVirus #NaziSchwab  https://t.co/GushBYLOvH,und,"['ccpvirus', 'nazischwab']",[],1256831634869026817,1256831634869026817,Tangomilonga2,FringeMinorityTango@freedom is a MUST!,2,9,https://twitter.com/Tangomilonga2/status/1501248683878326274,[],['https://pbs.twimg.com/media/FNWBuOAXMAASgv8.jpg'],1,https://pbs.twimg.com/media/FNWBuOAXMAASgv8.jpg,False,0,0,0,,#CCPVirus,,,,,,,[],,,,
1501241612009193474,1501241612009193474,1646758866000.0,2022-03-08 09:01:06,-700,,#beijingBiden #ccpvirus #scamdemic #warmonger  https://t.co/hOveZMySDY,und,"['beijingbiden', 'ccpvirus', 'scamdemic', 'warmonger']",[],1318573605417066497,1318573605417066497,PMithila1,Pawan_Mithila1,2,9,https://twitter.com/PMithila1/status/1501241612009193474,[],"['https://pbs.twimg.com/media/FNV7SWiXEAAnmJK.jpg', 'https://pbs.twimg.com/media/FNV7Sg5XsAQW9Vo.jpg']",1,https://pbs.twimg.com/media/FNV7SWiXEAAnmJK.jpg,False,1,0,0,,#CCPVirus,,,,,,,[],,,,
1501232948514734080,1501197560354013185,1646756801000.0,2022-03-08 08:26:41,-700,,@IndoPac_Info Your single Virus just destroyed the entire world #CCPVirus,en,['ccpvirus'],[],1429315753136820226,1429315753136820226,NamoTheBestPM,PATRIOT #StandWithUkraine #NoWarPls,2,8,https://twitter.com/NamoTheBestPM/status/1501232948514734080,[],[],0,,False,1,0,0,,#CCPVirus,,,,,,,"[{'screen_name': 'IndoPac_Info', 'name': 'Indo-Pacific News - Watching the CCP-China Threat', 'id': '844136511079559168'}]",,,,
1501229726706593799,1501229726706593799,1646756033000.0,2022-03-08 08:13:53,-700,,"#CCPVirus cleansing team breaks in homes to kill unattended domestic pets, leaving quarantined owners in endless despair. #CCPChina #AnimalAbuse #AnimalWelfare #Chinazi #EndCCP",en,"['ccpvirus', 'ccpchina', 'animalabuse', 'animalwelfare', 'chinazi', 'endccp']",[],1411652836580941830,1411652836580941830,DieXitlerDieCCP,DIE XITLER DIE CCP,2,8,https://twitter.com/DieXitlerDieCCP/status/1501229726706593799,[],[],0,,False,1,0,0,https://twitter.com/LQ0068/status/1500965410174390277,#CCPVirus,,,,,,,[],,,,
1501228832967180290,1501185437901082629,1646755819000.0,2022-03-08 08:10:19,-700,,@MFA_China Says the architect of the #CCPVirus,en,['ccpvirus'],[],3194639167,3194639167,The_Real_SOBO,🇺🇸Sobo-Wan Kenobi 🇵🇱🇹🇼🇦🇺,2,8,https://twitter.com/The_Real_SOBO/status/1501228832967180290,[],[],0,,False,0,0,0,,#CCPVirus,,,,,,,"[{'screen_name': 'MFA_China', 'name': 'Spokesperson发言人办公室', 'id': '1183694592433983489'}]",,,,
