id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1502794292590432262,1502794292590432262,1647129054000.0,2022-03-12 15:50:54,-700,,#inflation #pfizerdocuments #gasprices #CoverUp #FJB  https://t.co/QtSMtWm3rf,und,"['inflation', 'pfizerdocuments', 'gasprices', 'coverup', 'fjb']",[],1437129702079094785,1437129702079094785,TXRonin1,TX_Ronin,6,15,https://twitter.com/TXRonin1/status/1502794292590432262,[],['https://pbs.twimg.com/media/FNr-93SXoAEKJLe.png'],1,https://pbs.twimg.com/media/FNr-93SXoAEKJLe.png,False,0,1,0,,#pfizerdocuments,,,,,,,[],,,,
1502793024950087682,1493691544724926465,1647128752000.0,2022-03-12 15:45:52,-700,,@ghiggyluv @Deb_McD If yall hate cancer so much you guys should take a look at #PfizerDocuments and #ThomasRenz defense Dept whistleblowers. Mutagenic.,en,"['pfizerdocuments', 'thomasrenz']",[],517462465,517462465,winter_time1776,amigostrangewinter.,6,15,https://twitter.com/winter_time1776/status/1502793024950087682,[],[],0,,False,0,0,0,,#pfizerdocuments,,,,,,,"[{'screen_name': 'ghiggyluv', 'name': 'Greyhounds Rule🌵🌊🌊 🐕', 'id': '824363707312570368'}, {'screen_name': 'Deb_McD', 'name': 'Deb ElMaj 🇺🇦🇺🇦🇺🇦', 'id': '21941266'}]",,,,
1502792485201870850,1502792485201870850,1647128623000.0,2022-03-12 15:43:43,-700,,"Healthy young woman. Brain clot.  Oh, I'm sure there's absolutely nothing to see here.  #COVID19 #pfizerdocuments #HaileyBieber    https://t.co/u3rJpPCCoO",en,"['covid19', 'pfizerdocuments', 'haileybieber']",[],1494134118032056320,1494134118032056320,MikeGao88553720,Mike Gao,6,15,https://twitter.com/MikeGao88553720/status/1502792485201870850,['https://www.cbsnews.com/news/hailey-bieber-blood-clot-brain/'],[],0,,False,4,0,0,,#pfizerdocuments,,,,,,,[],,,,
1502785619742789636,1502735844435972098,1647126986000.0,2022-03-12 15:16:26,-700,,@Corleone_Roller I think the share price is the only thing that motivates Pfizer. Not our health and definitely not the truth. #pfizerdocuments  https://t.co/ZfxzIE84jg,en,['pfizerdocuments'],[],233294351,233294351,maddotsu,Madeleine,6,15,https://twitter.com/maddotsu/status/1502785619742789636,[],['https://pbs.twimg.com/media/FNr3jhBVUAMJxur.jpg'],1,https://pbs.twimg.com/media/FNr3jhBVUAMJxur.jpg,False,1,0,0,,#pfizerdocuments,,,,,,,"[{'screen_name': 'Corleone_Roller', 'name': 'Roller 🇦🇺 🇮🇹', 'id': '1317562419414147072'}]",,,,
1502726018544582663,1502702801620713475,1647112776000.0,2022-03-12 11:19:36,-700,,"@mitchisright @FrankGrimes_Jr Unemployed after 20 yrs, for an ultimatum is definitely not informed consent or freedom of choice. #freedom #pfizerdocuments #pfizerwhistleblower #CrimesAgainstHumanity",en,"['freedom', 'pfizerdocuments', 'pfizerwhistleblower', 'crimesagainsthumanity']",[],1469074195418165252,1469074195418165252,Wethepeople1974,Kier,6,11,https://twitter.com/Wethepeople1974/status/1502726018544582663,[],[],0,,False,7,0,0,,#pfizerdocuments,,,,,,,"[{'screen_name': 'mitchisright', 'name': 'small fringe minority with unacceptable views.', 'id': '812385447729045504'}, {'screen_name': 'FrankGrimes_Jr', 'name': 'Frank Grimes Jr.', 'id': '900819727'}]",,,,
1502719133233946627,1502177443872124930,1647111135000.0,2022-03-12 10:52:15,-700,,@charmchris3 #NurembergTrialsForCovid #pfizerwhistleblower #pfizerdocuments,und,"['nurembergtrialsforcovid', 'pfizerwhistleblower', 'pfizerdocuments']",[],1469074195418165252,1469074195418165252,Wethepeople1974,Kier,6,10,https://twitter.com/Wethepeople1974/status/1502719133233946627,[],[],0,,False,0,0,0,,#pfizerdocuments,,,,,,,"[{'screen_name': 'charmchris3', 'name': 'chris', 'id': '1433663944267210753'}]",,,,
1502718705599492102,1502132803907252225,1647111033000.0,2022-03-12 10:50:33,-700,,@cranium_frasier Evidently so! #mandatoryvaccine #NurembergTrialsForCovid #pfizerwhistleblower #pfizerdocuments,en,"['mandatoryvaccine', 'nurembergtrialsforcovid', 'pfizerwhistleblower', 'pfizerdocuments']",[],1469074195418165252,1469074195418165252,Wethepeople1974,Kier,6,10,https://twitter.com/Wethepeople1974/status/1502718705599492102,[],[],0,,False,0,0,0,,#pfizerdocuments,,,,,,,"[{'screen_name': 'cranium_frasier', 'name': 'Frasier Cranium', 'id': '1456103875639857161'}]",,,,
1502718246235029517,1502428841981186049,1647110923000.0,2022-03-12 10:48:43,-700,,"@jogginsboy @AndreaMicieli @PierrePoilievre Have you been around for the last 2+ years?   Who intervened to stop unscientific authoritarian mandates, vaccine passports, lockdowns, destruction of businesses and devastated families.   Who apologized after the #pfizerdocuments were released?  Nobody did = unchecked",en,['pfizerdocuments'],[],1330892277451993093,1330892277451993093,brian3692,brian369,6,10,https://twitter.com/brian3692/status/1502718246235029517,[],[],0,,False,0,0,0,,#pfizerdocuments,,,,,,,"[{'screen_name': 'jogginsboy', 'name': 'stephen mills', 'id': '83916695'}, {'screen_name': 'AndreaMicieli', 'name': 'Andrea Micieli', 'id': '331666614'}, {'screen_name': 'PierrePoilievre', 'name': 'Pierre Poilievre', 'id': '242827267'}]",,,,
1502717993020760064,1502717993020760064,1647110863000.0,2022-03-12 10:47:43,-700,,Documents have been ordered by the court to be made public.  #truth #vaxed #vaccinedamage #pfizerdocuments  https://t.co/eKzrNop7QQ,en,"['truth', 'vaxed', 'vaccinedamage', 'pfizerdocuments']",[],1496118372882333697,1496118372882333697,matrix_fairy,Matrix Fairy,6,10,https://twitter.com/matrix_fairy/status/1502717993020760064,[],['https://pbs.twimg.com/media/FNq5xS3XEAEgNNT.png'],1,https://pbs.twimg.com/media/FNq5xS3XEAEgNNT.png,False,0,0,0,,#pfizerdocuments,,,,,,,[],,,,
1502717132093763584,1502673967139758082,1647110658000.0,2022-03-12 10:44:18,-700,,@CyrilRamaphosa STOP LYING TO THE PUBLIC ABOUT THE SAFETY AND EFFICACY OF JABS!!!! With our broken administration how will we ever count the number of deaths &amp; injuries from these vaccinations. And you are putting yourself at risk too! We need the truth #pfizerdocuments #pfizersideeffects,en,"['pfizerdocuments', 'pfizersideeffects']",[],1447605582702256134,1447605582702256134,Zo3don,Zoe Donald,6,10,https://twitter.com/Zo3don/status/1502717132093763584,[],[],0,,False,2,0,0,,#pfizerdocuments,,,,,,,"[{'screen_name': 'CyrilRamaphosa', 'name': 'Cyril Ramaphosa 🇿🇦', 'id': '2987156301'}]",,,,
