id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1493736871330922496,1493713034933641224,1644969597000.0,2022-02-15 15:59:57,-700,,@GovRonDeSantis Freedom to die from #Covid,en,['covid'],[],1305758641442652168,1305758641442652168,SoloResister,Solo Resister,2,15,https://twitter.com/SoloResister/status/1493736871330922496,[],[],0,,False,0,0,0,,#COVID,,,,,,,"[{'screen_name': 'GovRonDeSantis', 'name': 'Ron DeSantis', 'id': '1058807868'}]",,,,
1493736665357209600,1493279452482187266,1644969547000.0,2022-02-15 15:59:07,-700,,"One of the projects featured, #Text4Amal, is a research-proven #mentalhealth intervention adapted from #Text4Hope in response to the #COVID-19 pandemic (supportive daily messaging in #Arabic to identify + adjust negative thoughts).  https://t.co/6qgIUwrh2Y @CdnArabInst @israelhans",en,"['text4amal', 'mentalhealth', 'text4hope', 'covid', 'arabic']",[],1288108600968151042,1288108600968151042,LAD_Canada,Language Access Coalition of Canada (LACC),2,15,https://twitter.com/LAD_Canada/status/1493736665357209600,['https://www.canadianarabinstitute.org/text4amal'],[],0,,False,4,0,1,,#COVID,,,,,,,[],,,,
1493736632838721536,1493736632838721536,1644969540000.0,2022-02-15 15:59:00,-700,,#NewZealand. Any chance we can make you another state so we can fly to you more easily? :) #nz #covid19 #coronavirus #covid,en,"['newzealand', 'nz', 'covid19', 'coronavirus', 'covid']",[],1460909375900454917,1460909375900454917,Keeling1Russell,Russell Keeling,2,15,https://twitter.com/Keeling1Russell/status/1493736632838721536,[],[],0,,False,0,0,0,,#COVID,,,,,,,[],,,,
1493736517009047554,1487074652656750594,1644969512000.0,2022-02-15 15:58:32,-700,,"@artistjamiehume @Mateoryback @MrGenier @JRDPearce2 #VaccinesReduceTransmission  #COVIDvaccines reduce the risk of spreading. They also reduce the severity of #COVID for people who do catch it, saving lives by reducing the burden on hospitals. That info is from the world's top health experts, the @WHO:   https://t.co/hGq9HhJ9Cg  https://t.co/bJnmD6x5cc",en,"['vaccinesreducetransmission', 'covidvaccines', 'covid']",[],182663887,182663887,Simon_A_Wood,#Peace #NoWarWithRussia #MakeLoveNotWar,2,15,https://twitter.com/Simon_A_Wood/status/1493736517009047554,['https://www.who.int/emergencies/diseases/novel-coronavirus-2019'],['https://pbs.twimg.com/media/FLrRWf4aUAEZC2I.jpg'],1,https://pbs.twimg.com/media/FLrRWf4aUAEZC2I.jpg,False,5,0,2,,#COVID,,,,,,,"[{'screen_name': 'artistjamiehume', 'name': 'The art of HUME', 'id': '386184136'}, {'screen_name': 'Mateoryback', 'name': 'Nut Job tendy', 'id': '1420192732925018113'}, {'screen_name': 'MrGenier', 'name': 'Chris Génier', 'id': '57431906'}, {'screen_name': 'JRDPearce2', 'name': 'Jamie R.D. Pearce🇨🇦', 'id': '1376388130744365061'}]",,,,
1493736459198685185,1493736459198685185,1644969498000.0,2022-02-15 15:58:18,-700,,WATCH &amp; SHARE THIS WITH PEOPLE YOU CARE ABOUT  Booster vs. “natural immunity”  #COVID  https://t.co/iJ8X1yuv8Y 07,en,['covid'],[],289118612,289118612,TomthunkitsMind,Tomthunkit™,2,15,https://twitter.com/TomthunkitsMind/status/1493736459198685185,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1473419852610097152/pu/img/o7UURALMb6wT4YNx.jpg,False,0,0,0,,#COVID,,,,,,,[],,,,
1493736420153851904,1493733684133830656,1644969489000.0,2022-02-15 15:58:09,-700,,@AussieAlice1 @Hels_Be11s That sign appears to be near where I live and they have just been added to my list of places to NEVER support. I understand what the rules are but businesses that activate in support of continued #COVID mania are places I’ll happily avoid. And so will my 💰💰💰.,en,['covid'],[],724794703879643137,724794703879643137,mark_rorke,Mark Rorke,2,15,https://twitter.com/mark_rorke/status/1493736420153851904,[],[],0,,False,226,8,2,,#COVID,,,,,,,"[{'screen_name': 'AussieAlice1', 'name': 'Aussie Alice', 'id': '1491936545258885120'}, {'screen_name': 'Hels_Be11s', 'name': 'Hels Bells', 'id': '978551891389956096'}]",,,,
1493736413614936070,1493736413614936070,1644969487000.0,2022-02-15 15:58:07,-700,,862 new COVID-19 cases in Montana 3083 #Montana  #Covid deaths:  https://t.co/slDPSzmEQt,en,"['montana', 'covid']",[],3768102922,3768102922,AugustadSays,Carla Augustad,2,15,https://twitter.com/AugustadSays/status/1493736413614936070,['https://nbcmontana.com/news/coronavirus/new-covid-19-cases-in-montana-02-15-2022'],[],0,,False,0,0,0,,#COVID,,,,,,,[],,,,
1493736405649944577,1493736405649944577,1644969486000.0,2022-02-15 15:58:06,-700,,Al parecer a estas alturas somos pocos los invictos con el #covid me hice mi décimo PCR y fue negativo 💪🏼,es,['covid'],[],87455065,87455065,FranPisca,Fran 🌳 #Boric,2,15,https://twitter.com/FranPisca/status/1493736405649944577,[],[],0,,False,5,1,0,,#COVID,,,,,,,[],,,,
1493736285277724672,1493694613894348810,1644969457000.0,2022-02-15 15:57:37,-700,,"@HjgTweet @JoeBorelliNYC @GovKathyHochul #ThankYou for the response. My fully #vaccinated friend wants his kid in school because, he believes children will eventually get everyone sick,thus force parents to be vaxxed eventually. Children do spread #Covid, if that accelerates eventual infection &amp; vaccination go for it.  https://t.co/MdTEc703m3",en,"['thankyou', 'vaccinated', 'covid']",[],407113566,407113566,PolSciEconSalsa,El - PolSciEconSalsa,2,15,https://twitter.com/PolSciEconSalsa/status/1493736285277724672,[],['https://pbs.twimg.com/media/FLrRPBsVcAMjbRf.jpg'],1,https://pbs.twimg.com/media/FLrRPBsVcAMjbRf.jpg,False,0,1,0,,#COVID,,,,,,,"[{'screen_name': 'HjgTweet', 'name': 'HJGTweet', 'id': '1328436721369944065'}, {'screen_name': 'JoeBorelliNYC', 'name': 'Joe Borelli', 'id': '245953646'}, {'screen_name': 'GovKathyHochul', 'name': 'Governor Kathy Hochul', 'id': '2977083957'}]",,,,
1493736274540351490,1493736274540351490,1644969454000.0,2022-02-15 15:57:34,-700,,"There are currently 51candidates Out of which, 10 candidates are in phase 3. #coronavirus #COVID #Covid-19 #vaccine #vaccines #vaccination Use #telegram and add bot 'CoronaTrackerNepal_bot' to get details and notifications.  Source:  https://t.co/HmUwd0efIQ",en,"['coronavirus', 'covid', 'covid', 'vaccine', 'vaccines', 'vaccination', 'telegram']",[],976098246882885634,976098246882885634,krishna444_test,World Alert,2,15,https://twitter.com/krishna444_test/status/1493736274540351490,['https://www.raps.org/news-and-articles/news-articles/2020/3/covid-19-vaccine-tracker'],[],0,,False,0,0,0,,#COVID,,,,,,,[],,,,
