date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:21:36,1464580492330688513,TheFittySwatter,en,"@MinMinHugs @flat__stanley @mimi_soapbox @mrmarkdolan I have an Aunt who had a Heart Attack at 34. She survived. It’s sad when they don’t of course, but things happen in life unfortunately. The #AntiVaxxers love it all though 👍🏻 It fits their warped minds. I never called you yourself an #AntiVaxxer by the way.","['antivaxxers', 'antivaxxer']",0,0,0,"[{'screen_name': 'MinMinHugs', 'name': 'MindyKay', 'id': '22145122'}, {'screen_name': 'flat__stanley', 'name': 'Jim Stanley', 'id': '4569320182'}, {'screen_name': 'mimi_soapbox', 'name': ""Mimi's Soapbox"", 'id': '108074505'}, {'screen_name': 'mrmarkdolan', 'name': 'Mark Dolan', 'id': '117088433'}]"
2022-03-07 15:47:58,830790272195973120,Crazy_CanuckCan,en,@CBCToronto @fordnation &amp; @celliottability's decisions were racially demeaning to Asian Canadians! They believe Asians are stupid &amp; ignorant! Much like @fordnation's #AntiVaxxer daughter?,['antivaxxer'],0,0,0,"[{'screen_name': 'CBCToronto', 'name': 'CBC Toronto', 'id': '19000033'}]"
2022-03-07 14:55:50,15617450,darkamor,en,Dr. Simone Gold #TrumpTerrorist #AntiVaxxer #HydroxychloroquineDeepThroat  'guilty as all f'ck' to trespassing inside U.S. Capitol on Jan. 6th! #SeditionHasConsequences &amp; so does misinformation on Covid ! ⚖️👨🏼‍⚖️   https://t.co/iKV6sVoo69,"['trumpterrorist', 'antivaxxer', 'hydroxychloroquinedeepthroat', 'seditionhasconsequences']",0,0,0,[]
2022-03-07 11:54:39,2597790811,LastWave_,en,Another #antivaxxer who keeps whining about nothing. C’mon @TheBoon777  Relax and enjoy going to your IGA And stop thinking that people are watching you.,['antivaxxer'],0,1,0,[]
2022-03-07 11:15:12,919225278068678656,TonyBarrios_24,es,Que deliciosa ironía.    LA #AntiVaxxer que se pone marbete como emblema de #Naruto va a salir conducta por violar una Orden Ejecutiva que el llegó a su vida util.  https://t.co/MCPTRyX3oX,"['antivaxxer', 'naruto']",5,1,0,[]
2022-03-07 05:08:13,447054242,Sharky_vs_Evil,en,@KyleJGlen And yet according to the #antivaxxers and freedumb idiots this isnt happening its nit real.its all fake meanwhile real honest people are literally getting bombed for trying to escape real tyranny what a joke esch and every.amti mandate #antivaxxer truely are,"['antivaxxers', 'antivaxxer']",0,0,0,"[{'screen_name': 'KyleJGlen', 'name': 'Kyle Glen', 'id': '2567654774'}]"
2022-03-07 04:18:39,1686805202,MutzUk,en,"#Pfizer : Here is a list of everything we looked for, so you know we did a thorough job.  #Antivaxxer : OMGWTF look at what they found in the #vaccine!!!   The lack of basic comprehension is scary. Did these people manage to avoid ALL education growing up?","['pfizer', 'antivaxxer', 'vaccine']",0,1,0,[]
2022-03-07 03:13:33,326100000,JenniferPeetes,en,National Narcissism predicts the Belief in and the Dissemination of Conspiracy Theories During the COVID-19 Pandemic: Evidence From 56 Countries.  #ConspiracyTheories #Convoy2022 #ConvoyForFreedom2022 #antivaxxer #QRCode #Booster #Boostershot #GetBoosted   https://t.co/1bBwcueniR,"['conspiracytheories', 'convoy2022', 'convoyforfreedom2022', 'antivaxxer', 'qrcode', 'booster', 'boostershot', 'getboosted']",0,1,0,[]
2022-03-07 02:40:19,1636453368,Jamesbobble,en,Blocked by another #antivaxxer that I have never interacted with.  Always good when the trash takes itself out 😄  https://t.co/5FRxqozydI,['antivaxxer'],61,14,3,[]
2022-03-07 02:28:24,1922781510,ScallywagRay,en,"@SteveBo63620019 The thing I love about these #antivaxxer posts that get a lot of likes, is I get to block a lot of #Bitcon, #QAnon, nutters, in quick succession....😀  #AlboForPM 😎  https://t.co/2PTLQtQiog","['antivaxxer', 'bitcon', 'qanon', 'alboforpm']",0,0,0,"[{'screen_name': 'SteveBo63620019', 'name': 'Schteve Riley', 'id': '1434148147660345348'}]"
2022-03-07 02:02:08,1922781510,ScallywagRay,en,"@badger_bretto @SteveBo63620019 Oh look, another #Bitcon pusher.....👆  These dealers have saturated the #Antivaxxer #QAnonCult. Obviously there’s a quid in marketing to dummies...","['bitcon', 'antivaxxer', 'qanoncult']",0,0,0,"[{'screen_name': 'badger_bretto', 'name': 'Brett Reyland', 'id': '1285511666092789761'}, {'screen_name': 'SteveBo63620019', 'name': 'Schteve Riley', 'id': '1434148147660345348'}]"
