date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-04 23:11:52,1258361805375565825,BrucePollock13,en,"#BeijingVirus/#XiVirus/#CCPVirus 444,118,503++ &amp; 6,010,266++ deaths US 983K+/BRA 651K+/IND 514K++/RUS 354K(708K?)IRN?deaths:Peter C Dutton/51 yr old/Minister of Defence/Parliament House, Canberra/Ph 61262777800/Wife/kids:@SpokespersonCHN @KremlinRussia @IranGov_ar @DeptDefence","['beijingvirus', 'xivirus', 'ccpvirus']",0,0,0,[]
2022-03-03 00:24:23,1120161161649876992,whynotstop123,en,"#XiVirus/#CCPVirus/#BeijingVirus 440,661,216++ &amp; 5,993,165++ deaths US 979K/BRA 650K+/IND 514K++/RUS 353K(706K?)IRN?deaths:Anthony Albanese/58 yr old/Leader- Australian Labor Party/Parliament House, Canberra/Ph 61262774022/1 kid:@mvd_official @UNDPIran @ChinaDaily_EU @SenatorWong","['xivirus', 'ccpvirus', 'beijingvirus']",0,0,0,[]
2022-02-28 23:21:28,1120161161649876992,whynotstop123,en,"#CCPVirus/#BeijingVirus/#XiVirus 437,354,619++ &amp; 5,975,546++ deaths US 975K+/BRA 649K+/IND 514K++/RUS 351K(702K?)IRN?deaths:Mr Anthony Albanese/58 yr old/Leader- Australian Labor Party/Parliament House, Canberra/Ph 61262774022/1 kid:@mod_russia @IranNW @China_Arms @PeterDutton_MP","['ccpvirus', 'beijingvirus', 'xivirus']",0,0,0,[]
2022-02-25 22:36:07,1120161161649876992,whynotstop123,en,"#XiVirus/#CCPVirus/#BeijingVirus 433,619,113++ &amp; 5,957,312++ deaths US 972K+/BRA 648K+/IND 513K++/RUS 349K(698K?)IRN?deaths:Anthony Albanese/58 yr old/Leader- Australian Labor Party/Parliament House, Canberra/Ph 61262774022/1 kid- Nathan:@MFA_China @MID_RF @IranNW @DeptDefence","['xivirus', 'ccpvirus', 'beijingvirus']",0,0,0,[]
2022-02-23 23:32:04,1120161161649876992,whynotstop123,en,"#CCPVirus/#BeijingVirus/#XiVirus 430,229,357++ &amp; 5,936,953++ deaths US 966K+/BRA 646K+/IND 512K++/RUS 347K(694K?)IRN?deaths:Daniel M Andrews/49 yr old/Victoria Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife/3 kids: @KremlinRussia_E @Iran @liberation_pla @AustralianArmy","['ccpvirus', 'beijingvirus', 'xivirus']",0,0,0,[]
2022-02-21 22:49:39,1120161161649876992,whynotstop123,en,"#BeijingVirus/#XiVirus/#CCPVirus 426,474,776++ &amp; 5,909,673++ deaths US 960K+/BRA 644K+/IND 512K++/RUS 346K(692K?)IRN?deaths:Daniel M Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife/3 kids:@mfa_russia @IRIMFA_EN @globaltimes @AuSenate","['beijingvirus', 'xivirus', 'ccpvirus']",0,0,0,[]
2022-02-17 23:13:00,1258361805375565825,BrucePollock13,en,"#XiVirus/#CCPVirus/#BeijingVirus 420,358,800++ &amp; 5,882,034++ deaths. US 955K+/BRA 641K+/IND 510K++/RUS 343K(686K?)IRN?deaths:Mr Peter C Dutton/Minister of Defence/Parliament House, Canberra/51 yr old/Ph 61262777800/Wife/3 kids:@IranGov_ar @zlj517 @IRIMFA_EN @DeptDefence","['xivirus', 'ccpvirus', 'beijingvirus']",0,0,0,[]
2022-02-15 23:39:37,1258361805375565825,BrucePollock13,en,"#CCPVirus/#BeijingVirus/#XiVirus 416,057,532++ &amp; 5,857,018++ deaths. US 949K+/BRA 639K+/IND 509K++/RUS 341K(682K?)IRN?deaths:Mr Peter C Dutton/Minister of Defence/Parliament House, Canberra/51 yr old/Ph 61262777800/Wife-Kirilly/3 kids:@MID_RF @IranGov @Beijing2022 @DeptDefence","['ccpvirus', 'beijingvirus', 'xivirus']",0,0,0,[]
2022-02-10 22:52:47,1120161161649876992,whynotstop123,en,"#XiVirus/#CCPVirus/#BeijingVirus 406,567,710++ &amp; 5,809,103++ deaths. US 939K+/BRA 636K+/IND 507K++/RUS 338K(676K?)IRN?deaths:Anthony Albanese/58 yr old/Leader- Australian Labor Party/Parliament House, Canberra/Ph 61262774022/1 kid-Nathan:@IRIMFA_EN @Russia @ChinaDaily @AuSenate","['xivirus', 'ccpvirus', 'beijingvirus']",0,0,0,[]
2022-02-08 22:33:38,1120161161649876992,whynotstop123,en,"#CCPVirus/#BeijingVirus/#XiVirus 401,182,403++ &amp; 5,782,812++ deaths. US 932K+/BRA 633K+/IND 505K++/RUS 336K(672K+?)IRN?deaths: Anthony Albanese/58 yr old/Leader- Australian Labor Party/Parliament House,Canberra/Ph 61262774022/1 kid- Nathan: @mod_russia @ChinaDaily @UNDPIran @Iran","['ccpvirus', 'beijingvirus', 'xivirus']",0,0,0,[]
2022-02-06 22:39:09,1120161161649876992,whynotstop123,en,"#BeijingVirus/#XiVirus/#CCPVirus 395,981,597++ &amp; 5,758,705++ deaths US 926K+/BRA 632K+/IND 502K++/RUS 335K(670K+?)IRN?deaths: Anthony N Albanese/58 yr old/Leader- Australian Labor Party/Parliament House Canberra/Ph 61262774022/1 kid- Nathan: @Russia @IranGov_ar @liberation_pla","['beijingvirus', 'xivirus', 'ccpvirus']",0,0,0,[]
2022-02-04 23:00:49,1258361805375565825,BrucePollock13,en,"#CCPVirus/#BeijingVirus/#XiVirus 391,603,771++ &amp; 5,744,586++ deaths. US 924K+/BRA 631K+/IND 501K++/RUS 334K(668K+?)IRN?deaths:Anthony N Albanese/58 yr old/Leader-Australian Labor Party/Parliament House Canberra/Ph 61262774022/1 kid-Nathan Albanese: @Iran @globaltimes @SovFedInfo","['ccpvirus', 'beijingvirus', 'xivirus']",0,0,0,[]
2022-02-03 22:54:22,1258361805375565825,BrucePollock13,en,"#XiVirus/#CCPVirus/#BeijingVirus 388,528,063++ &amp; 5,731,636++ deaths. US 920K+/BRA 630K+/IND 500K++/RUS 333K(666K+?)/IRN?deaths:Daniel Andrews//49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Lives in Mulgrave, Victoria: @Amirabdolahian @UNDPIran @NCUSCR","['xivirus', 'ccpvirus', 'beijingvirus']",0,0,0,[]
2022-02-03 00:02:08,1258361805375565825,BrucePollock13,en,"#BeijingVirus/#XiVirus/#CCPVirus 385,416,660++ &amp; 5,719,259++ deaths. US 917K+/BRA 629K+/IND 498K++/RUS 332K(664K+?)IRN?deaths:Daniel Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife- Cathy Andrews: @JZarif @mfa_russia @globaltimes #CCP","['beijingvirus', 'xivirus', 'ccpvirus', 'ccp']",1,0,0,[]
2022-02-01 22:40:49,1258361805375565825,BrucePollock13,en,"#CCPVirus/#BeijingVirus/#XiVirus 382,235,372++ &amp; 5,706,441++ deaths. US 913K+/BRA 628K+/IND 497K++/RUS 332K(664K+?)IRN?deaths.Daniel Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne. Vic/Ph 61396515000/Wife- Cathy Andrews: @dumagovru @IranNewsNow @zlj517 #CCP","['ccpvirus', 'beijingvirus', 'xivirus', 'ccp']",0,0,0,[]
2022-02-01 00:06:16,1258361805375565825,BrucePollock13,en,"#XiVirus/#CCPVirus/#BeijingVirus 378,871,248++ &amp; 5,692,327++ deaths. US 910K+/BRA 627K+/IND 496K++/RUS 331K(662K+?)IRN?deaths:Daniel Andrews/Victorian Premier/49 yr old/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife- Cathy Andrews: @UNDPIran @China_81_Mili @SovFedInfo","['xivirus', 'ccpvirus', 'beijingvirus']",0,0,0,[]
2022-01-30 23:11:18,1258361805375565825,BrucePollock13,en,"#BeijingVirus/#XiVirus/#CCPVirus 375,241,630++ &amp; 5,681,745++ deaths. US 907K+/BRA 626K+/IND 495K++/RUS 330K(660K+?)IRN?deaths:Daniel M Andrews/49 yr old/Victorian Premier/1 Treasury Pl, Melbourne, Vic/Ph 61396515000/Wife/3 kids: @dumagovru @IranGov @globaltimes @zlj517","['beijingvirus', 'xivirus', 'ccpvirus']",0,0,0,[]
