date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:53:39,767522616,suegrant54321,en,More and more evidence about #US #bioweapons laboratories in #Ukraine with killer pathogens.  READ THIS THREAD 👇,"['us', 'bioweapons', 'ukraine']",0,0,0,[]
2022-03-07 16:51:39,1292390448493760513,wakeywakey107,en,@FreedmFightr1 Neither is these #geoengineering #bioweapons rain bombs across #SydneyStorm #flood #cloudseeding gov killing Australians we are under attack #WW3   https://t.co/M1JduntDnc,"['geoengineering', 'bioweapons', 'sydneystorm', 'flood', 'cloudseeding', 'ww3']",0,0,0,"[{'screen_name': 'FreedmFightr1', 'name': 'OGP 🇦🇺☮️', 'id': '1400399562758524935'}]"
2022-03-07 15:52:49,2716980166,irene89383961,en,"@johnpilger 8 years of war crimes in Donbass with 13,000 dead. Ukraine  Zelensky asking  for nuclear weapons from America meant Russia really had no choice.  Also #bioweapons development risk too. Zelensky is Americas puppet. America focus was #NordStream2  fuel dependency by Europe.","['bioweapons', 'nordstream2']",0,0,0,"[{'screen_name': 'johnpilger', 'name': 'John Pilger', 'id': '869825995'}]"
2022-03-07 15:50:39,1338749414513446913,ValForever2,und,#Putin #UkraineRussianWar #Zelensky #bioweapons #BillGatesBioTerrorist,"['putin', 'ukrainerussianwar', 'zelensky', 'bioweapons', 'billgatesbioterrorist']",0,0,0,[]
2022-03-07 13:59:09,3941880252,Trudginon1,en,@DustinGDev1 Here are the Documents the U.S. Embassy in Ukraine Scrubbed on ‘Biological Threat Reduction’ Labs  https://t.co/p4KrAXNkRx  #Bioweapons #Ukraine,"['bioweapons', 'ukraine']",0,1,0,"[{'screen_name': 'DustinGDev1', 'name': 'DustinGDev', 'id': '1354754324606414848'}]"
2022-03-07 12:32:13,45603435,notafanboy,en,That explains it. Pickeld unripened tomatoes are to die for. #bioweapons,['bioweapons'],0,0,0,[]
2022-03-07 12:13:03,365732722,markhamowl,en,Here we go with the first release of docs relating to the USA role in biological weapons development in Ukraine. Part 1 #bioweapons #UkraineRussianWar  https://t.co/0rW5COVDXE,"['bioweapons', 'ukrainerussianwar']",7,4,7,[]
2022-03-07 12:09:53,36028927,Zoetnet,und,#USA #biolabs #bioweapons #ukraine,"['usa', 'biolabs', 'bioweapons', 'ukraine']",0,0,0,[]
2022-03-07 12:01:08,437867912,PacGeopolitics,en,"#US funding for biological laboratories in #Ukraine exceeded $200 million, Russian Defense Ministry says  #biolabs #bioweapons #UkraineRussiaWar","['us', 'ukraine', 'biolabs', 'bioweapons', 'ukrainerussiawar']",0,1,0,[]
2022-03-07 11:59:52,437867912,PacGeopolitics,en,30 biolabs whose activities were commissioned by #Pentagon were formed in #Ukraine - Russian MoD  #biolabs #bioweapons #UkraineRussiaWar,"['pentagon', 'ukraine', 'biolabs', 'bioweapons', 'ukrainerussiawar']",0,1,0,[]
2022-03-07 11:56:25,1412390864299642885,CJ77944664,en,The #Bioweapons Chase In #Ukraine  https://t.co/ujzlLNFsTx,"['bioweapons', 'ukraine']",0,0,0,[]
2022-03-07 11:39:32,1239353595734241281,Observer_awake,en,"There is a great chance of #Putin send #bioweapons to the #USA and all other counties under #Nato…limit entrance of #Russians to another countries, should be a good idea…","['putin', 'bioweapons', 'usa', 'nato', 'russians']",0,0,0,[]
2022-03-07 10:58:43,976119477485146113,marta_lander,en,@xenosstinkriti2 @luc_woc ✋🏼#Bioweapons Hold #VaccinationGenocide ers accountable,"['bioweapons', 'vaccinationgenocide']",0,0,0,"[{'screen_name': 'xenosstinkriti2', 'name': 'Sebastian Kowalski 2🇵🇱🇬🇷 💥💥💥TruthNews', 'id': '1499085454473322496'}, {'screen_name': 'luc_woc', 'name': '🇵🇱 gazebooo 🇵🇱', 'id': '741724019339202560'}]"
2022-03-07 10:57:51,976119477485146113,marta_lander,en,@xenosstinkriti2 @luc_woc #BanVaccines🤞 ✋🏼#Bioweapons Hold #VaccinationGenocide ers accountable,"['banvaccines', 'bioweapons', 'vaccinationgenocide']",0,0,0,"[{'screen_name': 'xenosstinkriti2', 'name': 'Sebastian Kowalski 2🇵🇱🇬🇷 💥💥💥TruthNews', 'id': '1499085454473322496'}, {'screen_name': 'luc_woc', 'name': '🇵🇱 gazebooo 🇵🇱', 'id': '741724019339202560'}]"
2022-03-07 10:56:00,1274497529258733568,Carie4USA,en,How come we’re finding this out from #Russia instead of the US Government? #Ukraine️ #biolabs #bioweapons,"['russia', 'ukraine️', 'biolabs', 'bioweapons']",1,1,1,[]
2022-03-07 10:46:31,3107884289,spike_marie,en,Russia makes new claims on US-financed biolabs in Ukraine  https://t.co/sTO7mx7kjV #bioweapons #Russia,"['bioweapons', 'russia']",0,0,0,[]
2022-03-07 10:38:17,1380266021936844801,PA_TheRawZone,en,Russia claims Ukraine destroying evidence of US-funded #bioweapons program  https://t.co/KbgVeTSeJo,['bioweapons'],0,0,0,[]
2022-03-07 10:25:58,1488521025184841730,MoschosMichael,en,"“Georgia disestablished its own epidemic prevention agency and replaced it with a lab set up by the United States in 2003. After that, Crimean-Congo hemorrhagic fever and anthrax broke out in Georgia.” #biolabs  #bioweapons   https://t.co/usniE4lc2W","['biolabs', 'bioweapons']",0,0,0,[]
2022-03-07 10:25:52,1033968080680939520,ShannonRavenhi1,en,This needs to be seriously investigated. #Bioweapons #Ukraine,"['bioweapons', 'ukraine']",1,1,0,[]
2022-03-07 10:25:31,1033968080680939520,ShannonRavenhi1,en,"This needs to be seriously investigated.#Bioweapons, #Ukraine","['bioweapons', 'ukraine']",1,0,1,[]
