date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 14:31:38,790546093,AlanTonelson,en,"#Psaki:  ""[U]nvaccinated #teenagers are 3X as likely to be hospitalized if they get #COVID than vaccinated teenagers.""  But w/latest daily #CCPVirus-related #hospital admissions for all 0-17s at 0.24/100K, that means 178 (of a total population of c. 74m):   https://t.co/zpyQLSjgfV","['psaki', 'teenagers', 'covid', 'ccpvirus', 'hospital']",1,0,1,[]
2022-03-07 14:18:00,22210538,Sessler,en,"Spoke with @EpochTimes for the second time, the first being at #AmericaFest. It's always refreshing to interview for media that is not fake news &amp; propaganda. Thank u for always showing Americans the truths the mainstream media tries to ignore &amp; hide. #CCPvirus #EndCCP #CPAC2022  https://t.co/iP0sV4uoy2","['americafest', 'ccpvirus', 'endccp', 'cpac2022']",4,2,1,[]
2022-03-07 13:22:08,1430105082423652352,SeniorChiefEXW,und,#fauciliedpeopledied @CDCDirector #CCPVirus #COVID,"['fauciliedpeopledied', 'ccpvirus', 'covid']",0,0,0,[]
2022-03-07 11:54:57,1397779652949643271,FarmSailing,en,CCP's Plan 13579 - How to destroy Western countries with the bioweapon CCP Virus &amp; vaccines step by step. Mr. Miles Guo was the first person to give warning to the world.  ⚠️CCP ≠ Chinese people⚠️  #takedowntheccp #ccpvirus #whistleblowermovement #newfederalstateofchina,"['takedowntheccp', 'ccpvirus', 'whistleblowermovement', 'newfederalstateofchina']",3,0,3,[]
2022-03-07 09:28:25,212314080,Ptmcweb,en,"@CawthornforNC Exactly! #China should be prosecuted extensively but the sovereignty doctrine prevents that, however sanctions &amp; tariffs can hurt a country and should in this case,  don't see anywhere that a political party like the #CCPChina couldn't be prosecuted. #CCPvirus  #World #Genocide","['china', 'ccpchina', 'ccpvirus', 'world', 'genocide']",0,0,0,"[{'screen_name': 'CawthornforNC', 'name': 'Madison Cawthorn', 'id': '1207874097251639296'}]"
2022-03-07 09:24:14,790546093,AlanTonelson,en,"And now it's ""official"":   https://t.co/VEa84TBuCr #CCPvirus #coronavirus #COVID19 #SixMillion #Holocaust #China #ThanksChina!","['ccpvirus', 'coronavirus', 'covid19', 'sixmillion', 'holocaust', 'china', 'thankschina']",0,0,0,[]
2022-03-07 08:42:14,101278333,Spinboydotcom,en,Famous Covid Doctor Reveals What's Really Going On | Dr. Zev Zelenko 2021  https://t.co/cg5275W30U via @YouTube #CCPVirus,['ccpvirus'],0,0,0,[]
2022-03-07 06:55:24,1411938908787535878,Earth_oo17,zh,#FDA败诉 #疫苗灾难 #CCPvirus #疫苗副作用 随着FDA的败诉，辉瑞公司不得不公开关于新冠疫苗的所有数据。 55000页公布文件的内容中含有整整9页的副作用！  https://t.co/YQSWvK4sYz,"['fda败诉', '疫苗灾难', 'ccpvirus', '疫苗副作用']",43,1,30,[]
2022-03-07 05:02:23,4576136113,vangelicmonk,en,@next_china @bopinion Nope. Never trust the CCP in China ever again. #ccpliedpeopledied #CCPvirus #UyghurGenocide #FreeHongKong  #TiananmenSquareMassacre #freetibet,"['ccpliedpeopledied', 'ccpvirus', 'uyghurgenocide', 'freehongkong', 'tiananmensquaremassacre', 'freetibet']",0,0,0,"[{'screen_name': 'next_china', 'name': 'Bloomberg Next China', 'id': '2820507071'}, {'screen_name': 'bopinion', 'name': 'Bloomberg Opinion', 'id': '227682918'}]"
2022-03-07 04:30:20,1348596989425033218,CovidSapien,en,We should all protest COVID every day China’s Official Vicious Infectious Disease NEVER about people–ALWAYS about the #CCP That’s why it’s OFFICIAL People: force CCP to “Lose Face” &amp; change #CCPVirus #Trump #KAG #MAGA #freedom #congress #senate #Biden #PC  https://t.co/k0o4YceeME  https://t.co/0DqXDWmlTg,"['ccp', 'ccpvirus', 'trump', 'kag', 'maga', 'freedom', 'congress', 'senate', 'biden', 'pc']",0,0,0,[]
