date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:17:36,1499617558852509699,MeeMaw_Paula,en,Pray for peace in the Ukraine. I know Dems liked the way the mail order voting experiment went. But! I sure could use a very mean tweet right now! While exporting USA oil and full oil reserves. Mail order voting is responsible for WW3. #Chinavirus #TRUMP2024  https://t.co/wzAGkrAowD,"['chinavirus', 'trump2024']",4,1,0,[]
2022-03-07 16:13:57,2345831796,USASMNR,en,@atensnut TRYING TO FADE OUT #chinaVIRUS  #ChinaJoe  #ChinaliedpeopleDIED,"['chinavirus', 'chinajoe', 'chinaliedpeopledied']",0,0,0,"[{'screen_name': 'atensnut', 'name': 'Juanita Broaddrick', 'id': '22677397'}]"
2022-03-07 15:31:44,3166191012,midnightsun91,en,"Florida to advise against #COVID19 i.e., #ChinaVirus #Chinavaccine for healthy kids, contradicting CDC #TheHill  https://t.co/K38xOk7RYd","['covid19', 'chinavirus', 'chinavaccine', 'thehill']",0,0,0,[]
2022-03-07 15:28:57,1248593262119727105,AnneYaskovic,en,No fly zone = no war with Russia. Vaccine = no #ChinaVirus Liars!,['chinavirus'],0,0,0,[]
2022-03-07 14:02:22,1228070703095832579,sean21769080,en,@NotExonerated_1 @bennyjohnson Four years later the #chinavirus was unleashed and with the shutting down the economy was the only way Brandon had a shot. He didn’t have a shot until they quit counting at 10:30 pm because The real President #Trump was on his way to a landslide. #FJB  #LetsGoBrandon,"['chinavirus', 'trump', 'fjb', 'letsgobrandon']",1,0,0,"[{'screen_name': 'NotExonerated_1', 'name': 'J. Marie', 'id': '1371552217417793538'}, {'screen_name': 'bennyjohnson', 'name': 'Benny', 'id': '15212187'}]"
2022-03-07 13:57:54,1228070703095832579,sean21769080,en,@NotExonerated_1 @bennyjohnson So you go off of the baseline of April 2020 just like Brandon does bragging about his economic and job numbers. The #chinavirus is not factored into this.,['chinavirus'],0,0,0,"[{'screen_name': 'NotExonerated_1', 'name': 'J. Marie', 'id': '1371552217417793538'}, {'screen_name': 'bennyjohnson', 'name': 'Benny', 'id': '15212187'}]"
2022-03-07 13:53:53,15888070,RickUpshaw,en,@Stephmiccy That would be me.    I've had a lot of fun laughing at all of the people who gave me a hard time over my stance on the #ChinaVirus and my lack of trust in @JoeBiden's #government. I trust my own immune system as #God made it than I trust relying on Joe or #BigPharma.,"['chinavirus', 'government', 'god', 'bigpharma']",2,0,0,"[{'screen_name': 'Stephmiccy', 'name': 'Stephanie', 'id': '284566465'}]"
2022-03-07 11:54:13,250398598,bostonuniv1987,en,#Chinavirus Let’s all look at this in perspective: 50 million people died from the 1918 Spanish Flu at a time when the world population was a lot less  https://t.co/p6lZLQ3UJ5,['chinavirus'],0,0,0,[]
2022-03-07 10:14:17,1420725135766609925,BillN_843,en,"@teamamerica79 @pnjaban But ""they did"" with the #chinavirus",['chinavirus'],0,0,0,"[{'screen_name': 'teamamerica79', 'name': 'Jeremy Zuber', 'id': '1059366810'}, {'screen_name': 'pnjaban', 'name': 'Harmeet K. Dhillon', 'id': '201066140'}]"
2022-03-07 09:31:33,23091853,stevo1962,und, https://t.co/smj9sZkZDD  #COVID19 #chinavirus #ivermectin,"['covid19', 'chinavirus', 'ivermectin']",0,0,0,[]
2022-03-07 09:30:06,14778671,Petedavis1,en,"Listening to ""Holy Crap It's Sports 410 March 7 2022"" at   https://t.co/w8Ztdwdb3o #Braves deliver #PapaJohns, coach let go over #chinavirus ""vaccine"", #CoachK goes out a Loser, Top 10 Most Heated Rivalries in College Sports, #UGA shines at #NFLCombine, #LSU's new QB, #Rodgers","['braves', 'papajohns', 'chinavirus', 'coachk', 'uga', 'nflcombine', 'lsu', 'rodgers']",1,0,0,[]
2022-03-07 08:31:41,1108454895454220288,AbolisHypocrisy,en,@atensnut @atensnut things were not talking about cause we’re being distracted by Russia…again…  ~Canadas rise of Totalitarianism via war powers authorization ~Sudden removal of mask/vax mandates by Democrats  ~where’s Fauci? ~China’s agreement w/ Russia ~6m people killed by #ChinaVirus,['chinavirus'],0,0,1,"[{'screen_name': 'atensnut', 'name': 'Juanita Broaddrick', 'id': '22677397'}]"
2022-03-07 08:27:58,1228005246070165506,AsiaSkyMedia,en,"@am870theanswer @JenniferHorn @stinchfield1776  #ChinaVirus is REAL and we should hold #CCP accountable for the pandemic.  https://t.co/1C1BxOWTog Regarding the vaccination, I believe people should have their choice. It's CDC's responsibility to educate people, not lie to people.","['chinavirus', 'ccp']",0,0,0,[]
2022-03-07 07:58:46,1280471445190082560,LuisCarlosMann1,pt,#POVOBRASILEIRO PRESTEM #ATENÇÃO #CHINAVIRUS  https://t.co/YYeBloLbcg,"['povobrasileiro', 'atenção', 'chinavirus']",0,0,1,[]
2022-03-07 07:33:33,47342601,Tedgforce,en,"I don't think Ukraine no matter what happens will be the the rally point/distraction the Biden Administration, democrats &amp; media allies hope it will be. Inflation &amp; supply chain issues &amp; the #Chinavirus were here long before Biden's unforced errors made Ukraine a worrying issue..",['chinavirus'],0,1,0,[]
2022-03-07 07:31:15,3146669395,Halle2017,en,#DemocratCities 🔥#WashingtonDC  Still using the #ChinaVirus Covid as a cudgel against their political opponents.,"['democratcities', 'washingtondc', 'chinavirus']",0,0,0,[]
