date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 14:26:41,4865463921,OrdoNews,en,Why do people still believe that the #Earth is flat : the oldest conspiracy theory  https://t.co/xfjH72lpum #ConspiracyTheory,"['earth', 'conspiracytheory']",0,0,0,[]
2022-03-07 13:00:22,1287439965211721728,Roger_Dyroy,in,Russian Propaganda #ConspiracyTheory,['conspiracytheory'],0,0,0,[]
2022-03-07 12:56:17,1494061410695135232,jodoesntblog,en,Well ask a silly question get a silly answer. Like it. #rumours #conspiracytheory #Convoy2022NZ #clownvoy2022,"['rumours', 'conspiracytheory', 'convoy2022nz', 'clownvoy2022']",3,0,0,[]
2022-03-07 10:05:46,1335230273852755971,ThaaatColin,en,#ConspiracyTheory time: #Putin has been given a terminal diagnosis. He wants 🇷🇺 to return to the very position it was in before he became the head of the Committee for External Relations for Anatoly Sobchak’s administration bc he believes Russian history will focus on his peak,"['conspiracytheory', 'putin']",1,0,0,[]
2022-03-07 09:21:55,292619181,scarletmonahan,en,Alan.. Alien abduction.  https://t.co/1N3Rbkjvhy #alienabduction #UFO #UFOs #ufosighting #roswell #alien #stopframe #conspiracy #conspiracytheory  #cartoon #cabininthewoods #Superstar 3,"['alienabduction', 'ufo', 'ufos', 'ufosighting', 'roswell', 'alien', 'stopframe', 'conspiracy', 'conspiracytheory', 'cartoon', 'cabininthewoods', 'superstar']",0,0,0,[]
2022-03-07 09:02:45,292619181,scarletmonahan,en,Alan.. Alien abduction.  https://t.co/1N3Rbkjvhy #alienabduction #UFO #UFOs #ufosighting #roswell #alien #stopframe #conspiracy #conspiracytheory  #cartoon #cabininthewoods #Superstar 5,"['alienabduction', 'ufo', 'ufos', 'ufosighting', 'roswell', 'alien', 'stopframe', 'conspiracy', 'conspiracytheory', 'cartoon', 'cabininthewoods', 'superstar']",0,0,0,[]
2022-03-07 08:15:46,1442382677571633155,Dani47858427,en,The one possibility no one has thought about. Is Russia coming to the United States to punish it for all of its moral corruption. Is Russia being sent by God to punish the world?? #GOD #RUSSIA #Ordained #ConspiracyTheory,"['god', 'russia', 'ordained', 'conspiracytheory']",0,0,0,[]
2022-03-07 07:37:14,292619181,scarletmonahan,en,Alan.. Alien abduction.  https://t.co/1N3Rbkjvhy #alienabduction #UFO #UFOs #ufosighting #roswell #alien #stopframe #conspiracy #conspiracytheory  #cartoon #cabininthewoods #Superstar 4,"['alienabduction', 'ufo', 'ufos', 'ufosighting', 'roswell', 'alien', 'stopframe', 'conspiracy', 'conspiracytheory', 'cartoon', 'cabininthewoods', 'superstar']",1,0,0,[]
2022-03-07 07:24:34,1101178717966090240,CrawleyRobby,en,"That’s not cool I only thought about craving banana pudding yesterday, and this is the 4th ad!!! #conspiracytheory",['conspiracytheory'],0,0,0,[]
2022-03-07 05:28:21,1492133735558483979,official_MCTwo,en,Coincidence?!  #Ukrainian #conspiracytheory  https://t.co/kPLCiq1Y90,"['ukrainian', 'conspiracytheory']",0,0,0,[]
2022-03-07 05:14:01,431138907,Dr_Shoals,en,"What if democrats let the price of gas get so high because, they wanted to detour the convoy! #ConspiracyTheory",['conspiracytheory'],0,0,0,[]
2022-03-07 04:52:28,1488940581200052229,BRASKConspiracy,en,"The myths and theories of Atlantis, the Bermuda Triangle, and El Dorado have made them infamous places, and no one seems to know the truth behind these mythological locations. This week, we’re jumping into it – join us for all the creepy, mysterious theories!   #conspiracytheory  https://t.co/LDZOaI4Km5",['conspiracytheory'],1,0,0,[]
2022-03-07 04:48:15,747526855943720960,AnitaMersault,es,La madre que me parió 🤦‍♀️🤦‍♀️🤦‍♀️  #conspiracytheory 🤣,['conspiracytheory'],2,0,0,[]
2022-03-07 01:11:52,292619181,scarletmonahan,en,Alan.. Alien abduction.  https://t.co/1N3Rbkjvhy #alienabduction #UFO #UFOs #ufosighting #roswell #alien #stopframe #conspiracy #conspiracytheory  #cartoon #cabininthewoods #Superstar 2,"['alienabduction', 'ufo', 'ufos', 'ufosighting', 'roswell', 'alien', 'stopframe', 'conspiracy', 'conspiracytheory', 'cartoon', 'cabininthewoods', 'superstar']",0,0,0,[]
2022-03-07 00:03:22,1347276609208905728,WeLnever,en,@DKLM71 @DarrenBellreads @equal_ibrium @GBNEWS @BBCNews @itvnews T cells no longer a #conspiracytheory,['conspiracytheory'],1,0,0,"[{'screen_name': 'DKLM71', 'name': 'DKLM71🌸💜', 'id': '1289877099604582400'}, {'screen_name': 'DarrenBellreads', 'name': 'Susan May writing as Darren Bell et al.💜🌸😀', 'id': '2651240916'}, {'screen_name': 'equal_ibrium', 'name': 'Vital Resistance', 'id': '851451269004877828'}, {'screen_name': 'GBNEWS', 'name': 'GB News', 'id': '1339166129110065152'}, {'screen_name': 'BBCNews', 'name': 'BBC News (UK)', 'id': '612473'}, {'screen_name': 'itvnews', 'name': 'ITV News', 'id': '21866939'}]"
2022-03-06 22:06:06,882172950778073088,Pammymeowmeow,th,5ทุ่ม นัดแตงโมใส่บอดี้สูท ไปขายตัวให้พลอ.อ. สลิดพุง สุขีวิมาลา #พระยาเหินได้ #สุขีวิมาลา #vimala #conspiracytheory,"['พระยาเหินได้', 'สุขีวิมาลา', 'vimala', 'conspiracytheory']",2,0,1,[]
2022-03-06 20:07:33,1230303232011972608,CrypdohBot,en,Has there ever been a test that proves her fuel can melt steel beams #conspiracytheory #twintowers #nine11 #sept11th,"['conspiracytheory', 'twintowers', 'nine11', 'sept11th']",0,0,0,[]
2022-03-06 19:29:06,1468317900448616456,SabrinaR____,und,#ActNow #SCIENTIST #podcast #sciencefiction #ConspiracyExposed #conspiracytheory #BidensWar #twitterspaces  #Conspiracytheories #Aliens  https://t.co/b1kTBpkrra,"['actnow', 'scientist', 'podcast', 'sciencefiction', 'conspiracyexposed', 'conspiracytheory', 'bidenswar', 'twitterspaces', 'conspiracytheories', 'aliens']",1,0,1,[]
2022-03-06 18:36:01,1432377127807164419,BadBitchCornPop,en,I’m old enough to remember when #Globalism was just a #ConspiracyTheory 😏😏😏,"['globalism', 'conspiracytheory']",4,0,1,[]
2022-03-06 16:46:47,14303901,jhamby,en,How #Russia Targets the U.S. Military (Jun. 2017)  https://t.co/vM3zOHPIEn via @politicomag #propaganda #conspiracytheory,"['russia', 'propaganda', 'conspiracytheory']",0,1,0,[]
2022-03-06 15:09:14,479529472,TheSav_Savva84,und,#conspiracytheory or #coincidence… #ukrainewar #worldwar  https://t.co/QGQ2z1ftPo,"['conspiracytheory', 'coincidence', 'ukrainewar', 'worldwar']",1,0,1,[]
2022-03-06 14:45:19,232065993,lemi_fg,en,"@thereal_truther Dude is angry his #ConspiracyTheory about all of us dropping dead didn't, isn't and will not happen.",['conspiracytheory'],5,0,0,"[{'screen_name': 'thereal_truther', 'name': 'The Real Truther', 'id': '4322065997'}]"
2022-03-06 14:36:04,34822706,akur01,und,@Elorajade @_trishann_ #Misinformation #ConspiracyTheory,"['misinformation', 'conspiracytheory']",0,0,0,"[{'screen_name': 'Elorajade', 'name': 'Spaghetti Harvest', 'id': '14384818'}, {'screen_name': '_trishann_', 'name': 'Tricia 🌻', 'id': '1262580600482992128'}]"
2022-03-06 14:28:56,164622407,billbellew,en,@mcannonbrookes I wonder how this could happen?? #conspiracytheory @PatsKarvelas @murpharoo @leighsales @vanOnselenP ????,['conspiracytheory'],0,0,0,"[{'screen_name': 'mcannonbrookes', 'name': 'Mike Cannon-Brookes 👨🏼\u200d💻🧢🇦🇺', 'id': '11781162'}]"
2022-03-06 13:52:11,1424413097721307143,CryptoArchit3ct,en,"Wait a minute ser....Why you need so many vpn services? One is not enought? Ohhh , wait plsss not another #ConspiracyTheory  https://t.co/1hh21xpt6J",['conspiracytheory'],0,0,0,[]
2022-03-06 13:33:43,259430710,FreeArcadianVox,en,I have heard of @YetiBlanc_ but now YetiVert? @YesMaybeNoPod @TheGregCoteShow #ConspiracyTheory  https://t.co/uDc8WY70Nk,['conspiracytheory'],2,1,0,[]
2022-03-06 13:00:09,1353043969417080837,MidCuriousPod,en,"Very unsettling episode. WarBeauty reveals her secret to making friends, we discuss famous cults, and spend far too much time talking about non-cult topics. Linktree in bio! #cults #cult #occult #witchcraft #spirituality #podcast #podcastandchill #metaphysics #conspiracytheory  https://t.co/h4itJE9J0X","['cults', 'cult', 'occult', 'witchcraft', 'spirituality', 'podcast', 'podcastandchill', 'metaphysics', 'conspiracytheory']",1,0,0,[]
2022-03-06 11:06:02,2955918167,jflomario,en,This picture embodies an ongoing narrative.  #conspiracytheory  https://t.co/G7wBxrWSCM,['conspiracytheory'],0,1,0,[]
2022-03-06 10:08:46,1078978837927657473,TheyTalkOnline,en,"@spriter99880 I wonder how many ""NATO"" stickers the GRU printed out that can now be ""found"" allover the Ukraine? 🤣  #falseflag #Russia #conspiracytheory #MYTH #russiainvadedukraine #war lies","['falseflag', 'russia', 'conspiracytheory', 'myth', 'russiainvadedukraine', 'war']",0,0,0,"[{'screen_name': 'spriter99880', 'name': 'Spriter', 'id': '1128337957289697281'}]"
2022-03-06 10:08:14,1078978837927657473,TheyTalkOnline,en,"@spriter99880 I wonder how many ""NATO"" stickers the GRU printed out that can now be ""found"" allover the Ukraine? 🤣  #falseflag #Russia #conspiracytheory #MYTH #russiainvadedukraine #war #lies","['falseflag', 'russia', 'conspiracytheory', 'myth', 'russiainvadedukraine', 'war', 'lies']",0,0,0,"[{'screen_name': 'spriter99880', 'name': 'Spriter', 'id': '1128337957289697281'}]"
2022-03-06 10:07:47,1078978837927657473,TheyTalkOnline,en,"@Kirby762 I wonder how many ""NATO"" sticker the GRU printed out that can now be ""found"" allover the Ukraine? 🤣  #falseflag #Russia #conspiracytheory #MYTH #russiainvadedukraine #war lies","['falseflag', 'russia', 'conspiracytheory', 'myth', 'russiainvadedukraine', 'war']",1,1,0,"[{'screen_name': 'Kirby762', 'name': 'Kirby76', 'id': '1383172964594688002'}]"
2022-03-06 09:50:38,2395317863,ocs9000,en,@talkSPORTDrive @A9Mac Bound to be covid or jab related #conspiracytheory,['conspiracytheory'],0,0,0,"[{'screen_name': 'talkSPORTDrive', 'name': 'Adrian Durham', 'id': '175694937'}, {'screen_name': 'A9Mac', 'name': 'Aaron Mclean', 'id': '469633574'}]"
2022-03-06 09:39:53,1171608882507943936,BcTechie,en,"Engaging #conspiracytheory proponents is futile. I know, I get pulled into it too. They score lower on many critical thinking attributes. They can learn, but this won't happen in their online tribal circular alt right media world. #criticalthinking    https://t.co/ioRuUSOlLD","['conspiracytheory', 'criticalthinking']",1,0,0,[]
2022-03-06 09:35:01,1244594809098174464,WickedPrepping,en,"😱Christianity Now a Dangerous Conspiracy???  Like 1930s Germany, Today's Propaganda is a           Harbinger of Dark things to Come!  ---&gt;  https://t.co/vtFlNDmdEw   #Christian #Christianity #ConspiracyTheory #EndTimes #NewWorldOrder #NWO #Apocalypse","['christian', 'christianity', 'conspiracytheory', 'endtimes', 'newworldorder', 'nwo', 'apocalypse']",0,0,0,[]
2022-03-06 09:30:54,1469698403349061633,krislsm66,en,#Conspiracytheory healthy food is expensive and crap food is cheap because they want us fat and malleable not lean and thinking!!💯😧😈🧐,['conspiracytheory'],0,0,0,[]
2022-03-06 08:42:11,1488940581200052229,BRASKConspiracy,en,Get ready for mythological locations week with this informative and fascinating article on the Bermuda Triangle!  https://t.co/k2iib8v8EQ   #bermudatriangle #conspiracytheory,"['bermudatriangle', 'conspiracytheory']",0,0,0,[]
2022-03-06 08:40:00,2722503240,vubblePOP,en,🇺🇸📰📱🤔  The allure of QAnon for a U.S. immigrant  https://t.co/uhH00Weq3V via @NewYorker   #Qanons #QAnonCult #Psychology #ConspiracyTheories #conspiracytheory #communications #disinformation #cult #USA,"['qanons', 'qanoncult', 'psychology', 'conspiracytheories', 'conspiracytheory', 'communications', 'disinformation', 'cult', 'usa']",0,0,0,[]
2022-03-06 04:38:34,1242295344794234880,statfreak1,en,He was made popular on TV as Reagan was and then was elected to provoke Russia and to train and arm the Nazis. Anyone who then called Ukraine under Zelensky Nazi could be ridiculed because Zelensky is Jewish and his grandparents were in the holocaust. #conspiracytheory,['conspiracytheory'],0,0,0,[]
2022-03-06 04:32:47,1242295344794234880,statfreak1,en,Have you heard a new conspiracy theory that might emerge as proven conspiracy theory? 1. Zelensky is a frontman deliberately picked by Mossad and other spy groups to destabilize Russia using the Nazi groups of Ukraine who want the fight Russia and are available #conspiracytheory,['conspiracytheory'],0,0,0,[]
