date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-02-18 12:48:04,41530827,makingitso,en,"#COVIDEUGENICGENOCIDE?  SEE #Federalism&amp; #Libertarianism:   OUR #EugenicsBias comes f/ False belief that Evolution optimizes (NO) &amp;works by #SurvivaloftheFittest (NO) Said #1stLibertarians #HerbertSpencer&amp; #Galton in 1860s, trying to Scientifically justify Racism! @AAPolicyForum  https://t.co/umEOExMOx6","['covideugenicgenocide', 'federalism', 'libertarianism', 'eugenicsbias', 'survivalofthefittest', '1stlibertarians', 'herbertspencer', 'galton']",0,0,0,[]
2022-02-18 08:40:35,41530827,makingitso,en,"@JeromeAdamsMD #COVIDEugenicGenocide Might your blindness to COVID EUGENIC GENOCIDE be due to a #Libertarian #Federalism &amp; #EugenicsBias due to a False Belief that Evolution optimizes by ""Survival of the Fittest,"" #HerbertSpencer&amp; Galton in 1860s to Scientifically justify Racism?  https://t.co/NI1OeQ3eFL","['covideugenicgenocide', 'libertarian', 'federalism', 'eugenicsbias', 'herbertspencer']",0,0,0,[]
2022-02-16 08:38:40,41530827,makingitso,en,#COVIDeugenicGENOCIDE #TrumpCOVIDEugenics #COVIDgenocide #COVIDeugenics #TrumpCOVIDGenocide #DesantisCOVIDEugenics #DesantisCOVIDGenocide #Deathsantis #DesantisCOVIDGenocide  https://t.co/YtdCp9Z81r Is Nothing Normal about One Million People Dead from COVID @sciam,"['covideugenicgenocide', 'trumpcovideugenics', 'covidgenocide', 'covideugenics', 'trumpcovidgenocide', 'desantiscovideugenics', 'desantiscovidgenocide', 'deathsantis', 'desantiscovidgenocide']",0,0,0,[]
2021-10-05 04:08:20,949277404991754240,GoldenRuleEduc,en,#COVIDEugenics #COVIDEugenicGenocide #COVIDGenocide #1stLibertarian  @ReverendRos @principalvoices @FLCities @BCFLBlkChamber @FLSenateDems @Annette_Taddeo @BABSEBroward @BrowardTeachers  @NCIprevention on @EugenicBias:  2.0XBlack 2.3XLatino 2.6XNative Am.   https://t.co/vTfszWkfns,"['covideugenics', 'covideugenicgenocide', 'covidgenocide', '1stlibertarian']",0,0,0,[]
2021-08-20 14:32:05,949277404991754240,GoldenRuleEduc,und,#ProCOVIDRepublicans #DesantisEugenicCOVIDGenocide #TrumpCovidGenocide #DesantisAbbottCOVIDGenocide #COVIDGENOCIDE #EUGENICGENOCIDE #COVIDEUGENICGENOCIDE #1stLibertarians #1stLibertarian #Libertarian #Libertarianism #1stLibertarianHerbertSpencer #Galton #EvolutionDOESNOTOptimize!  https://t.co/azZU8winBs,"['procovidrepublicans', 'desantiseugeniccovidgenocide', 'trumpcovidgenocide', 'desantisabbottcovidgenocide', 'covidgenocide', 'eugenicgenocide', 'covideugenicgenocide', '1stlibertarians', '1stlibertarian', 'libertarian', 'libertarianism', '1stlibertarianherbertspencer', 'galton', 'evolutiondoesnotoptimize']",0,0,0,[]
2021-06-07 01:14:51,41530827,makingitso,und,#TrumpKushnerCOVIDGenocide #KushnerCOVIDGenocide #TrumpCOVIDGenocide #COVIDGenocide #COVIDEugenicGenocide  https://t.co/NWr1WLOFmz,"['trumpkushnercovidgenocide', 'kushnercovidgenocide', 'trumpcovidgenocide', 'covidgenocide', 'covideugenicgenocide']",0,0,0,[]
2021-06-06 12:47:22,41530827,makingitso,ro,#EugenicBias #WesternEugenicBias #DarwinianEugenicBias #capitalismEugenicBias #LibertarianEugenicBias #CRTEugenicBias #COVIDEugenicBias #trumpcovidgenocide #covideugenicgenocide  Critical Race Theory LIBERTARIAN Western Capitalist Eugenic Bias.   https://t.co/F5i0BtqKMv,"['eugenicbias', 'westerneugenicbias', 'darwinianeugenicbias', 'capitalismeugenicbias', 'libertarianeugenicbias', 'crteugenicbias', 'covideugenicbias', 'trumpcovidgenocide', 'covideugenicgenocide']",0,0,0,[]
2021-06-03 17:48:24,41530827,makingitso,en,May 2021  FL Edu Czar CORCORAN Admits to being a Southern Racist &amp; Revisionist Cleansing of Curricula!  REMOVE CORCORAN FROM OFFICE!  #EugenicBias #covideugenicgenocide  #covidnaturalimmunitygenocide  #TrumpCOVIDGenocide   https://t.co/d0kCYXI8L2   https://t.co/hmf5NkTldn,"['eugenicbias', 'covideugenicgenocide', 'covidnaturalimmunitygenocide', 'trumpcovidgenocide']",0,0,0,[]
2021-05-20 11:43:11,321456785,MakeItSoNow,und,#TrumpCOVIDGenocide #TrumpCOVIDEugenicGenocide #COVIDEugenicGenocide #COVIDGenocide #COVIDNaturalImmunityPromotion   https://t.co/bn6VyEb2NW,"['trumpcovidgenocide', 'trumpcovideugenicgenocide', 'covideugenicgenocide', 'covidgenocide', 'covidnaturalimmunitypromotion']",0,0,0,[]
2021-05-18 18:26:23,41530827,makingitso,und,@ReverendRos @dwatkins1 @BrowardTeachers #TrumpEugenicGenocide #COVIDEugenicGENOCIDE #TRUMPCOVIDGenocide #EugenicGenocide #WesternCapitalismEugenicBias #EugenicBias #Eugenics #WesternEugenicBias #WesternCOVIDGenocide #COVIDGenocide #COVIDNaturalImmunityGenocide #COVIDEUGENICS  https://t.co/Fcs3UQ3cw7,"['trumpeugenicgenocide', 'covideugenicgenocide', 'trumpcovidgenocide', 'eugenicgenocide', 'westerncapitalismeugenicbias', 'eugenicbias', 'eugenics', 'westerneugenicbias', 'westerncovidgenocide', 'covidgenocide', 'covidnaturalimmunitygenocide', 'covideugenics']",1,0,0,[]
2021-05-16 13:01:28,41530827,makingitso,und,#COVIDCough #MasksinSchools #CloseSchools #TestinginSchools #COVIDSurveillanceTesting #COVIDEugenicGenocide  https://t.co/jBdK5vXAtN,"['covidcough', 'masksinschools', 'closeschools', 'testinginschools', 'covidsurveillancetesting', 'covideugenicgenocide']",0,0,0,[]
2021-05-15 15:12:28,41530827,makingitso,und,@DrEricDing #TrumpCOVIDGenocide #COVIDEugenicGenocide #EugenicCOVIDGenocide #DesantisCOVIDGenocide #DesantisEugenicCOVIDGenocide #TrumpEugenicCOVIDGenocide #WordsMatter  https://t.co/mnCHQy1FRT,"['trumpcovidgenocide', 'covideugenicgenocide', 'eugeniccovidgenocide', 'desantiscovidgenocide', 'desantiseugeniccovidgenocide', 'trumpeugeniccovidgenocide', 'wordsmatter']",0,0,0,"[{'screen_name': 'DrEricDing', 'name': 'Eric Feigl-Ding 💙💛', 'id': '18831926'}]"
2021-04-20 06:43:07,41530827,makingitso,en,#TrumpCOVIDGenocide  #TrumpCOVIDEUGENICGenocide  #COVIDEugenicGenocide  #EUGENICGenocide   https://t.co/KnLaEbJEl6 Policy Failures Have Exacted a Heavy Toll on Public Health via @sciam,"['trumpcovidgenocide', 'trumpcovideugenicgenocide', 'covideugenicgenocide', 'eugenicgenocide']",0,0,0,[]
2021-04-08 07:50:35,41530827,makingitso,en,#TrumpCOVIDGenocide #TrumpCOVIDHerdImmunityGenocide #COVIDGenocide #COVIDEugenics #COVIDEugenicGenocide #TrumpCOVIDEugenicGenocide EUGENIC GENOCIDE &amp; TRUMP HERD IMMUNITY GENOCIDE PRESIDENT TRUMP  https://t.co/26ngzMYgSw,"['trumpcovidgenocide', 'trumpcovidherdimmunitygenocide', 'covidgenocide', 'covideugenics', 'covideugenicgenocide', 'trumpcovideugenicgenocide']",0,0,0,[]
