date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-02-16 08:38:40,41530827,makingitso,en,#COVIDeugenicGENOCIDE #TrumpCOVIDEugenics #COVIDgenocide #COVIDeugenics #TrumpCOVIDGenocide #DesantisCOVIDEugenics #DesantisCOVIDGenocide #Deathsantis #DesantisCOVIDGenocide  https://t.co/YtdCp9Z81r Is Nothing Normal about One Million People Dead from COVID @sciam,"['covideugenicgenocide', 'trumpcovideugenics', 'covidgenocide', 'covideugenics', 'trumpcovidgenocide', 'desantiscovideugenics', 'desantiscovidgenocide', 'deathsantis', 'desantiscovidgenocide']",0,0,0,[]
2022-02-06 23:32:31,1452487580750995457,Strategema1,en,"Like orientalism and anticommunism (the antichina consensus), ableism is deeply ingrained.  #covideugenics",['covideugenics'],0,0,0,[]
2022-02-04 15:42:18,241662602,Master_Synaps,en,@RichardYabsley With the full support of #Scamo and his #CovidEugenics. Captives for #Profit. Following their #Refugee business model.,"['scamo', 'covideugenics', 'profit', 'refugee']",1,0,0,"[{'screen_name': 'RichardYabsley', 'name': 'Richard Yabsley', 'id': '1597408068'}]"
2022-02-04 15:36:26,326917598,Santamoniker,en,"@BillGates basically said there were too many people on the planet.  OK, focus on the poor.  How did he go from there, to being an expert on vaccines?   Unless, this was the solution to lowering world population.  #CovidEugenics",['covideugenics'],0,0,0,[]
2022-02-01 18:58:16,312382541,bryanfwillis,und,@CrabbBrendan #CovidEugenics,['covideugenics'],0,0,0,"[{'screen_name': 'CrabbBrendan', 'name': 'Prof Brendan Crabb', 'id': '2341433004'}]"
2022-01-30 15:20:42,312382541,bryanfwillis,en,@Markyles @SallyLawry @ScottMorrisonMP @Dom_Perrottet Covid Eugenics #covideugenics,['covideugenics'],2,0,0,"[{'screen_name': 'Markyles', 'name': 'Mark Eyles', 'id': '2357792587'}, {'screen_name': 'SallyLawry', 'name': '💧Sally Lawry', 'id': '4216062853'}, {'screen_name': 'ScottMorrisonMP', 'name': 'Scott Morrison', 'id': '34116377'}, {'screen_name': 'Dom_Perrottet', 'name': 'Dom Perrottet', 'id': '305328519'}]"
2022-01-24 06:13:12,41530827,makingitso,en,"Students AREN'T Safer at School, that is a LIE:  National Student Walkouts Protest Returning to Unsafe ""Normal"" of COVID Eugenicists keeping schools open ""at all costs"" for the economy &amp;mental health, to which I call BS: child suicides are down,not up. #CovidEugenics #EugenicBias  https://t.co/Ihoj64ipp2","['covideugenics', 'eugenicbias']",0,0,0,[]
2022-01-21 02:28:53,41530827,makingitso,en,"STUDENT LEADERSHIP - Students AREN'T Safer at School, that is a LIE: Students Are Walking Out of School Rather Than Returning to an Unsafe ""Normal"" &amp; COVID Eugenics! #covideugenics #COVIDsocialDarwinism #COVIDGenocide   https://t.co/1ZlGVlmWcS via @truthout","['covideugenics', 'covidsocialdarwinism', 'covidgenocide']",0,0,0,[]
2022-01-20 15:43:42,1429471254067679238,DoveAquitaine,en,"The veil is further lifted. There is a reason and purpose for Nuremburg. The list of the guilty is growing! Hospitals, Dr's, Medical Staff, All for Covid Genocide and $ Greed. Nuremburg 2.0 is Coming #Nuremberg2 #HospitalGenocide #CovidGenocide #CovidEugenics","['nuremberg2', 'hospitalgenocide', 'covidgenocide', 'covideugenics']",1,0,0,[]
2022-01-18 16:35:43,23648881,soundcube,en,A lot of epidemiological Cnut’s out today saying the pandemic is over so we can scrap protections &amp; learn to live with it   CeV under the bus  Eugenics   (original Canute spelling by the way)   #ToryCovidCatastrophe #CovidEugenics,"['torycovidcatastrophe', 'covideugenics']",1,0,0,[]
2022-01-09 15:46:42,265711753,veryshaunahill,en,👇🏼👇🏼👇🏼🔥🔥🔥 They are letting it wash over us &amp; won’t be changing course. #covideugenics #EugenicsByCDC #VotingRightsAct #VotingRights #CDC #vtpoli #vtedu #DisabilityTwitter #medtwitter #edutwitter,"['covideugenics', 'eugenicsbycdc', 'votingrightsact', 'votingrights', 'cdc', 'vtpoli', 'vtedu', 'disabilitytwitter', 'medtwitter', 'edutwitter']",4,0,0,[]
2022-01-08 23:33:20,1278197580330078208,NeuRevolution1,en,#CovidEugenics the Prequel Brought to you by @CDCgov,['covideugenics'],1,0,1,[]
2022-01-08 13:11:21,1172862188001878016,DisabledDem,en,There's another of these briefings this month (currently scheduled for the 20th). I'm wondering if someone from the administration will explain why Dr. Walensky is still @CDCDirector despite her policies of #COVIDEugenics.  #CripTheVote #NoBodyIsDisposable #DisabilityTwitter,"['covideugenics', 'cripthevote', 'nobodyisdisposable', 'disabilitytwitter']",0,0,0,[]
2022-01-08 12:00:23,1278197580330078208,NeuRevolution1,und,#covideugenics,['covideugenics'],0,0,0,[]
2022-01-08 11:45:22,20037894,mick_IRL,en,"@Astraea1974 something, something #covideugenics",['covideugenics'],1,0,0,"[{'screen_name': 'Astraea1974', 'name': 'Jon Wallace 🇺🇦', 'id': '134266069'}]"
2022-01-08 07:31:49,1278197580330078208,NeuRevolution1,und,#CovidEugenics,['covideugenics'],0,0,0,[]
2022-01-08 07:30:38,1278197580330078208,NeuRevolution1,und,#CovidEugenics,['covideugenics'],0,0,0,[]
2022-01-08 07:08:14,1278197580330078208,NeuRevolution1,en,END #CovidEugenics policy.,['covideugenics'],1,0,0,[]
2022-01-08 06:59:08,1278197580330078208,NeuRevolution1,en,"""...the #disabled community is often ""left behind"" in disasters and the #COVID19-19 pandemic is just the latest example of this.""  No policy IS a policy. #CovidEugenics","['disabled', 'covid19', 'covideugenics']",0,0,0,[]
2022-01-08 06:53:36,1278197580330078208,NeuRevolution1,und,#CovidEugenics,['covideugenics'],0,0,0,[]
2022-01-08 06:52:56,1278197580330078208,NeuRevolution1,en,"@CDCgov released NEW GUIDANCE for vulnerable &amp; #disabled ... yep, its #CovidEugenics","['disabled', 'covideugenics']",0,0,0,[]
2022-01-08 06:42:52,1278197580330078208,NeuRevolution1,en,#disabled #Disability support and community thred. We are not alone durig this epidemic of #CovidEugenics,"['disabled', 'disability', 'covideugenics']",0,0,0,[]
2021-12-30 07:19:32,1468724379232219144,AmyIsHopeful,en,"@ECMcLaughlin #DisabilityJustice #CripTheVote  We as humans must call out #CovidEugenics See us, hear us, respect our lives. We are ur neighbors, friends, children, parents, workers, human beings…Vital &amp; worthy of life.","['disabilityjustice', 'cripthevote', 'covideugenics']",0,0,0,"[{'screen_name': 'ECMcLaughlin', 'name': 'Elizabeth C. McLaughlin (she/her)', 'id': '335060282'}]"
2021-12-30 07:18:40,1468724379232219144,AmyIsHopeful,en,"@Winter #DisabilityJustice #CripTheVote  We as humans must call out #CovidEugenics See us, hear us, respect our lives. We are ur neighbors, friends, children, parents, workers, human beings…Vital &amp; worthy of life.","['disabilityjustice', 'cripthevote', 'covideugenics']",4,0,0,"[{'screen_name': 'Winter', 'name': 'Alex Winter', 'id': '112243614'}]"
