date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 13:11:55,1488674694,ClintonAlden,en,"Why would the FDA approve a new vaccine when 15,000 people had serious disorders of the nervous system after taking it?  There’s simply no good reason. #CovidGenocide  https://t.co/gcmRPe1bHg",['covidgenocide'],0,0,0,[]
2022-03-07 13:08:44,1488674694,ClintonAlden,en,"#CovidGenocide ""Hiding out in one appendix is the clinical data for Pfizer’s vaccine — which lists 1,291 adverse side effects in alphabetical order.""   https://t.co/46nRhHH51E",['covidgenocide'],0,0,0,[]
2022-03-07 11:47:20,1488674694,ClintonAlden,en,"This is #CovidGenocide ""saving the economy"" was never about ""the science"".  https://t.co/jvYyj5Vq4Z",['covidgenocide'],2,0,0,[]
2022-03-05 19:52:14,1437214346950684674,ResisterBessie,en,@WhereIsNormalcy So You Are A Radical GQP Death Cultist Who Wants To Attack Marginalized Trans &amp; BIPOC Communities With Your #CovidGenocide.,['covidgenocide'],2,1,0,"[{'screen_name': 'WhereIsNormalcy', 'name': '🇺🇦 Zelenskyy Stan 🇺🇦', 'id': '1180530481118531585'}]"
2022-03-05 11:42:33,2408645694,delhi_dave,en,"British deaths in WW2 approx 450,000....  #CovidGenocide approx 200,000.",['covidgenocide'],0,0,1,[]
2022-03-04 11:44:53,1488674694,ClintonAlden,en,"US #CovidGenocide nears 1 million dead.  Everyone that has advocated for ""saving the economy"" should be prosecuted for #CrimesAgainstHumanity  https://t.co/b3CwYeA1Ep","['covidgenocide', 'crimesagainsthumanity']",0,0,0,[]
2022-03-03 14:55:13,1488674694,ClintonAlden,en,@PressSec @POTUS More Americans have died under @POTUS than in all of WWII.        #CovidGenocide #SocialMurder  https://t.co/aIDsQby9JH,"['covidgenocide', 'socialmurder']",0,0,0,"[{'screen_name': 'PressSec', 'name': 'Jen Psaki', 'id': '1349170292564905988'}, {'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]"
2022-03-03 09:27:30,1488674694,ClintonAlden,und,#CovidGenocide  https://t.co/G44AiFOrZ1,['covidgenocide'],0,0,0,[]
2022-03-03 09:27:07,1488674694,ClintonAlden,en,"@harrisonjaime Hey, 💩 for brains 👇 More Americans have died under @POTUS than died in WWII.  #CovidGenocide  https://t.co/SMDTLUmPnE",['covidgenocide'],0,0,0,"[{'screen_name': 'harrisonjaime', 'name': 'Jaime Harrison, DNC Chair', 'id': '73754019'}]"
2022-03-02 13:18:20,1488674694,ClintonAlden,en,"While allowing more Americans to die, just his 1st year in office, than all the soldiers who died in WWII.   #CovidGenocide  https://t.co/mXbmAhxlSZ",['covidgenocide'],0,0,0,[]
