date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 12:55:39,1332663230565670912,Alex_KJanssen,nl,Het heeft mij jaren gekost om de #klimaathoax te doorzien  Het heeft mij maanden gekost om de goede kant van #Trump te doorzien   Het heeft mij weken gekost om de #covidhoax te doorzien.  Het heeft mij 2 dagen gekost om de #Ukraine situatie te doorzien  #hetkloptniet #greatreset,"['klimaathoax', 'trump', 'covidhoax', 'ukraine', 'hetkloptniet', 'greatreset']",8,2,1,[]
2022-03-07 11:51:24,26134460,BrianSStaveley,en,Follow My Telegram Channel For All Show Notifications No Matter The Platform(Only I Post To This) #MandelaEffect #FlatEarth #CovidHoax #Corona #CoronaHoax   https://t.co/Pj6oNN1cwl,"['mandelaeffect', 'flatearth', 'covidhoax', 'corona', 'coronahoax']",1,1,0,[]
2022-03-07 08:38:50,1476328260703297536,Gary84700786,en,If you love children u should be outraged at the corruption in our current incompetent illegitimate administration and government agencies it's intolerable! They used a manufacturered #Plandemic to steal over 2 years of our children's lives they can't get back!! #CovidHoax,"['plandemic', 'covidhoax']",0,0,0,[]
2022-03-07 06:39:55,738219417243246593,Wolverine4106,en,@JaydeLovell Maybe after your 10th booster you will finally be immune 🙄 #LiberalMentalDisorder #COVIDHoax #ProudPureBlood,"['liberalmentaldisorder', 'covidhoax', 'proudpureblood']",0,0,0,"[{'screen_name': 'JaydeLovell', 'name': 'Jayde Lovell', 'id': '42377905'}]"
2022-03-07 06:29:18,26134460,BrianSStaveley,en,LIVE NOW!  https://t.co/lG5bh0kYfY #FlatEarth #CovidHoax @FEKarenB,"['flatearth', 'covidhoax']",1,0,0,[]
2022-03-07 05:05:46,1458547789667971073,Truth_Freedom3,en,#CovidHoax  Some Truth!  https://t.co/8sAmMcTXfr,['covidhoax'],8,0,10,[]
2022-03-07 00:45:48,1212813435190202368,GrahamMLawrence,en,"The sheeple bitch at gutter level party politics unable to see the bigger picture. ALL politicians are puppet crooks of the #NWO trillionaire mafia! Whilst ur bitching away about GOP v Democrat, Tory v Labour, Left v Right the world mafia is screwing U with #covidhoax &amp; #Ukraine","['nwo', 'covidhoax', 'ukraine']",0,0,0,[]
2022-03-06 22:30:50,826494578450694144,Royadortolouee,en,Germany - Hospitals forged Covid documents and made millions of Euros without having ONE Covid patient. Search the article and use “translator”  #covidHOAX #criminalpoliticians #CrimesAgainstHumanity #MedicalTyranny #covidcrimes #hospitals #Scandal  https://t.co/T9jT27Ki3n,"['covidhoax', 'criminalpoliticians', 'crimesagainsthumanity', 'medicaltyranny', 'covidcrimes', 'hospitals', 'scandal']",21,4,2,[]
2022-03-06 22:16:03,1431429066045988865,Coolbreeze693,en,@JaydeLovell For a flu with a 99% recovery rate. #covidhoax,['covidhoax'],0,0,0,"[{'screen_name': 'JaydeLovell', 'name': 'Jayde Lovell', 'id': '42377905'}]"
2022-03-06 22:15:21,1467885167238856710,upskyz,und, https://t.co/eWTHoi6tLm   #covidhoax #freedom #AlexJonesWasRight,"['covidhoax', 'freedom', 'alexjoneswasright']",0,0,0,[]
