date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-04 19:09:01,1036616693362114561,KPDanielle1,en,Another Unfortunate Incident...👀💉😢  #CovidVaccineIsPoison #PlandemicGameOver  https://t.co/wwMOd2pjZa,"['covidvaccineispoison', 'plandemicgameover']",2,0,1,[]
2022-02-20 11:57:53,1036616693362114561,KPDanielle1,en,Over 500 people seek compensation for problems caused by Covid jabs - but not one payout‼️🙄  Millions more to come!! 😔  #CovidVaccineIsPoison #PlandemicGameOver #EndTheMandatesNow  https://t.co/dsMKi36e7p,"['covidvaccineispoison', 'plandemicgameover', 'endthemandatesnow']",2,0,1,[]
2022-02-19 16:28:36,1036616693362114561,KPDanielle1,und,#PlandemicGameOver #CovidVaccineIsPoison,"['plandemicgameover', 'covidvaccineispoison']",1,0,1,[]
2022-02-16 15:54:58,1036616693362114561,KPDanielle1,en,Anybody need a job?? They’re going to need a lot of employees to handle the incoming Covid vaccine injury claims! 🙄  #PlandemicGameOver  #1stSnitchGetsTheBestDeal  #EndTheMandatesNow  #CovidVaccineIsPoison  https://t.co/7x5SbzeftH,"['plandemicgameover', '1stsnitchgetsthebestdeal', 'endthemandatesnow', 'covidvaccineispoison']",1,0,1,[]
2022-02-16 15:27:02,1036616693362114561,KPDanielle1,en,4 - Microcrystalline Calcite with Carbonaceous inclusions  5 - Graphene Nano Forms with and without fluorescence  6 - Graphene nano objects  7 - Graphene nano scrolls   #PlandemicGameOver #CovidVaccineIsPoison #ItsTimeToWakeUpNow,"['plandemicgameover', 'covidvaccineispoison', 'itstimetowakeupnow']",1,0,1,[]
2021-12-12 12:06:53,1255545886345777157,pi_boul,fr,CTIAP* Centre Hospitalier de Cholet: ALERTE. Pharmacovigilance : un enfant devenu « presque aveugle » après l’administration d’un vaccin contre la Covid-19 #ReveillezVous #saveourchildren #covidvaccineispoison #vaccineisnotthecure #hcq #ivermectin   https://t.co/iPJDu23ooU,"['reveillezvous', 'saveourchildren', 'covidvaccineispoison', 'vaccineisnotthecure', 'hcq', 'ivermectin']",0,0,0,[]
2021-09-02 21:30:24,355882674,_iGetzItKraken_,en,HA! DO NOT TAKE THE VACCINE! #CovidVaccine #COVIDVaccination #CovidVaccineIsPoison #Pfizervaccine #modernavaccine #JohnsonAndJohnsonVaccine   https://t.co/MoFNaKl6Tg,"['covidvaccine', 'covidvaccination', 'covidvaccineispoison', 'pfizervaccine', 'modernavaccine', 'johnsonandjohnsonvaccine']",0,0,0,[]
2021-09-02 18:42:37,378863319,lauriescott5,en,@clarkfornorman Another friendly reminder!  #Iamafearmonger #covidvaccineispoison #byebyebreea,"['iamafearmonger', 'covidvaccineispoison', 'byebyebreea']",1,0,0,"[{'screen_name': 'clarkfornorman', 'name': 'Mayor Breea Clark', 'id': '4734965658'}]"
2021-08-31 17:29:51,39557537,discangirl,en,Oh stop! #CovidVaccineIsPoison,['covidvaccineispoison'],0,0,0,[]
2021-08-28 06:11:26,355882674,_iGetzItKraken_,en,DO NOT TAKE THE VACCINE! #COVIDVaccination #CovidVaccine #CovidVaccineIsPoison #Pfizer #Moderna #johnsonandjohnson,"['covidvaccination', 'covidvaccine', 'covidvaccineispoison', 'pfizer', 'moderna', 'johnsonandjohnson']",0,0,0,[]
2021-08-23 09:28:06,1104508581586657281,Jaded42358177,en,Jon Snow told in no uncertain terms what many feel about the MSM! #COVID19 #LeaveOurKidsAlone #CovidVaccineIsPoison  https://t.co/EAxMh0X4zX,"['covid19', 'leaveourkidsalone', 'covidvaccineispoison']",0,0,0,[]
2021-08-20 17:40:04,1268312776612642817,southernsw3,en,The F.D.A. is aiming to give full approval to Pfizer’s Covid vaccine on Monday.  https://t.co/CYFnCoN0Ru #FDANo #NOPfizerApproval #CovidVaccineIsPoison,"['fdano', 'nopfizerapproval', 'covidvaccineispoison']",0,0,0,[]
2021-08-16 12:33:08,3167650896,JoshuaPosadas,en,"3.) People that put their own irrational, personal health concerns above the health and wellness of their community, truly have no place being in that community. #COVID19 #VACCINE #VaccinePassports #CovidVaccineIsPoison #covidvaccinedeaths #healthcare","['covid19', 'vaccine', 'vaccinepassports', 'covidvaccineispoison', 'covidvaccinedeaths', 'healthcare']",1,0,0,[]
2021-08-16 08:10:54,1104508581586657281,Jaded42358177,und,#CovidVaccineIsPoison #Covid_19,"['covidvaccineispoison', 'covid_19']",0,0,0,[]
2021-08-12 17:49:48,2174822396,Antonella714,en,"@sunriseon7 Countries with high vaccination rates have high cases and are once again in lockdown (Iceland, Israel, US). Australia law requires informed consent for vaccines. #noforcedvaccinations #notocovidvaccineforkids #covidlies #plandemic  #covidvaccineispoison #depopulationagenda","['noforcedvaccinations', 'notocovidvaccineforkids', 'covidlies', 'plandemic', 'covidvaccineispoison', 'depopulationagenda']",0,0,0,"[{'screen_name': 'sunriseon7', 'name': 'Sunrise', 'id': '18753424'}]"
