date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:05:53,1039900743329820678,nicholedoimer,en,my user is @nicholepd on depop #Depop  @depop,['depop'],0,0,0,[]
2022-03-07 16:05:12,964642300126269441,Kasdeya83,en,One Piece collections 2-4 Uncut  #eBay #Vinted #shpock #depop #Amazon #etsy #ONEPIECE #animeMarketplace #AnimeJapan #anime   https://t.co/qjdrV7RNeB,"['ebay', 'vinted', 'shpock', 'depop', 'amazon', 'etsy', 'onepiece', 'animemarketplace', 'animejapan', 'anime']",0,0,0,[]
2022-03-07 14:52:02,1000104259,missMwaters,en,New new on the old ⁦@depop⁩ #depop #clothes #makeup  https://t.co/WyEnrfomGL  https://t.co/45nc0kG8hy,"['depop', 'clothes', 'makeup']",0,0,0,[]
2022-03-07 13:39:16,949402030329737216,RetroSolesUK,en,You always know when someone is selling trainers on #ebay or #depop and they dont show photo of the soles they have been worn to death 🤣,"['ebay', 'depop']",17,2,2,[]
2022-03-07 13:10:04,204419461,themultifandoms,en," https://t.co/hJRcsbbDb8 BUY BUY BUY PLS #TAYLORSWIFT #DEPOP #DEPOPUK #UKONLY #TAYLORSWIFTMERCH , other items are on a #CLOTHINGSALE , #halfprice - the eras water bottle is also on eBay 💙  https://t.co/6wKleED2wP","['taylorswift', 'depop', 'depopuk', 'ukonly', 'taylorswiftmerch', 'clothingsale', 'halfprice']",1,0,1,[]
2022-03-07 12:02:00,1061918095,JWonEtsy,en,Stainless Steel Ring - size 8.5  No stone  Material : Stainless Steel  Width : 0.2 inch  US Size : 8.5  Brand New  ship out next day with tracking number  #ring #stainless #steel #band #new #depop @depop @paypal #paypal    https://t.co/lMvFgF7TSL,"['ring', 'stainless', 'steel', 'band', 'new', 'depop', 'paypal']",0,0,0,[]
2022-03-07 11:28:01,1705654614,beverynohime,en,Check out what I'm selling on my @Depop shop 💸 #kavu #racoon #backpack #depop #shop #shopping #sale #forsale   https://t.co/uA0X9tccs8  https://t.co/bw0JNrWZYg,"['kavu', 'racoon', 'backpack', 'depop', 'shop', 'shopping', 'sale', 'forsale']",0,1,0,[]
2022-03-07 10:52:08,964642300126269441,Kasdeya83,en,One Piece Collection 2 #eBay #Vinted #shpock #depop #Amazon #etsy #ONEPIECE #anime #AnimeJapan #AnimeNews #DVD   https://t.co/Dwqp0wEGSf,"['ebay', 'vinted', 'shpock', 'depop', 'amazon', 'etsy', 'onepiece', 'anime', 'animejapan', 'animenews', 'dvd']",0,0,0,[]
2022-03-07 10:49:45,964642300126269441,Kasdeya83,en,One Piece Collection 3 #eBay #Vinted #shpock #depop #Amazon #etsy #ONEPIECE #anime #AnimeJapan #AnimeNews #DVD   https://t.co/HxTR5tHQrl,"['ebay', 'vinted', 'shpock', 'depop', 'amazon', 'etsy', 'onepiece', 'anime', 'animejapan', 'animenews', 'dvd']",1,0,1,[]
2022-03-07 10:49:22,964642300126269441,Kasdeya83,en,One Piece Collection 4 #eBay #Vinted #shpock #depop #Amazon #etsy #ONEPIECE #anime #AnimeJapan #AnimeNews #DVD   https://t.co/5U7bFGfQtM,"['ebay', 'vinted', 'shpock', 'depop', 'amazon', 'etsy', 'onepiece', 'anime', 'animejapan', 'animenews', 'dvd']",1,0,1,[]
2022-03-07 10:30:33,58281845,HazyHLBS,en,My friend is selling her clothes and giving all of the money to the Ukraine. Have a look to do some sustainable shopping while helping a good cause! #ukraine #depop #sustainablequeen   https://t.co/2Rme25kmtm,"['ukraine', 'depop', 'sustainablequeen']",0,1,0,[]
2022-03-07 10:28:58,1288097929023152129,Opheliabrooks43,und, https://t.co/C1r9DOQMrX  #depop #thrifting #nike  https://t.co/zLZNI6IAiu,"['depop', 'thrifting', 'nike']",0,0,0,[]
2022-03-07 10:09:41,1394335646899183617,TSbadart,en,"Just sold my kidneys on #depop , now isn't that trendy? 🤪",['depop'],0,1,0,[]
