date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:00:04,2749173263,marfsurfer,en,"#Pfizer  3 % ? MORTALITY rate?  3% mortality rate.   That""s 100+ million people?  #DepopulationAgenda?  They're still injecting children.","['pfizer', 'depopulationagenda']",0,1,0,[]
2022-03-07 15:14:41,791773970034888704,justsoudknowit_,und,🤡☠️👀👇 #DepopulationAgenda  #GeorgiaGuidestones #UkraineRussianWar  https://t.co/CRNR2sEEWO,"['depopulationagenda', 'georgiaguidestones', 'ukrainerussianwar']",1,0,1,[]
2022-03-07 13:29:48,1115490384,DomeLord,en,"@LutherBeckett Many things will be blamed on this conflict. Energy/food shortages. Rationing. The #DepopulationAgenda is getting into gear. People are scared to death with extra potential nuclear war stress on top of financial, covid, &amp; a whole host of other mountains of stresses. #Depopulation","['depopulationagenda', 'depopulation']",1,0,2,"[{'screen_name': 'LutherBeckett', 'name': 'LutherBeckett', 'id': '3380434083'}]"
2022-03-07 13:04:04,543394473,crvallotton,en,#WinnipegNews Shadoe at Nite Friday March 4th/2022  https://t.co/cw36HpogXE   Canada send weapons to the Ukraine 🇺🇦?   20 minutes in ... Canada govt sent weapons to the Ukraine??? ... Govts should be #AllLockedUp  👉 murderers.   How does sending weapons help? #DepopulationAgenda,"['winnipegnews', 'alllockedup', 'depopulationagenda']",0,0,0,[]
2022-03-07 07:42:51,1206787412912939013,NathaliebTemp,en,"#Globalists are executing #depopulationAgenda by all means : first depopulating with #vaccines , now #famine loading..  Will they use nuclear as well ? 👿  #HungerGames  https://t.co/jI23p8wV59","['globalists', 'depopulationagenda', 'vaccines', 'famine', 'hungergames']",9,1,0,[]
2022-03-07 06:08:15,1325488623857397764,ZephreneW,en,Still no word on the #msm #lawsuits coming where the #highcourt we need to start #prosecuting for #CrimesAgainstHumanity #Nuremberg2 #Genocide #Pfizer #DepopulationAgenda #FreedomConvoyCanada,"['msm', 'lawsuits', 'highcourt', 'prosecuting', 'crimesagainsthumanity', 'nuremberg2', 'genocide', 'pfizer', 'depopulationagenda', 'freedomconvoycanada']",0,0,0,[]
2022-03-07 03:25:21,1080737264,PWaliser,und,#PfizerInducedAIDS #PermanentPfizerCustomers #GiftThatKeepsOnGiving #DepopulationAgenda,"['pfizerinducedaids', 'permanentpfizercustomers', 'giftthatkeepsongiving', 'depopulationagenda']",1,0,0,[]
2022-03-07 03:18:08,1081529458148937728,mateo_tao,und,#DepopulationAgenda #Bilderberger,"['depopulationagenda', 'bilderberger']",0,0,0,[]
2022-03-07 02:35:49,1081529458148937728,mateo_tao,und,@BoxerMk2 @gratott #DepopulationAgenda,['depopulationagenda'],0,1,0,"[{'screen_name': 'BoxerMk2', 'name': 'BoxerTheHorseMK2', 'id': '1298548637715374080'}, {'screen_name': 'gratott', 'name': 'graeme totten', 'id': '395433311'}]"
2022-03-07 02:29:50,1081529458148937728,mateo_tao,en,Scott you never get too insider information about the extreme secretive #Bilderberger meetings- you would be horrified about some of their king projects like their #DepopulationAgenda,"['bilderberger', 'depopulationagenda']",0,0,0,[]
2022-03-07 02:22:51,1081529458148937728,mateo_tao,en,@200_zoka God bless you may all angels of heaven guide and surround you to defeat all the entire demonic #Bilderberger  #DepopulationAgenda monstrosities!,"['bilderberger', 'depopulationagenda']",0,0,0,"[{'screen_name': '200_zoka', 'name': 'ZOKA', 'id': '843251410456272897'}]"
2022-03-07 00:57:53,1285922119281336321,Holotropic100,en,Quote from Conspirators' Hierarchy: The Story of the Committee of 300 by ~ John Coleman.   Commonly misrepresented as a quote from The Great Reset #WEF #Agenda2030 #Nuremberg2 #DepopulationAgenda #Genocide #democide #eugenics  https://t.co/z2gO46rQmz,"['wef', 'agenda2030', 'nuremberg2', 'depopulationagenda', 'genocide', 'democide', 'eugenics']",13,0,7,[]
2022-03-07 00:55:22,68659927,diarmuid05,en,This happened all over the world in order to create those plandemic numbers #DepopulationAgenda  #Depopulation,"['depopulationagenda', 'depopulation']",1,0,0,[]
2022-03-07 00:27:00,1107600182705876992,JeSuisTinkerbel,en,"Manipulated by a ""pandemic""? Manipulated by a ""war""?  #NWO #GreatReset  #WEF  #UN #FEAR #DepopulationAgenda","['nwo', 'greatreset', 'wef', 'un', 'fear', 'depopulationagenda']",6,1,2,[]
2022-03-07 00:25:40,2514206399,Maylis8Tite,fr,"D'après vous, quand a eu lieu la première vax de masse donnant lieu à une dépopulation massive?    #DepopulationAgenda",['depopulationagenda'],0,1,0,[]
2022-03-07 00:13:26,1081529458148937728,mateo_tao,en,"The Bilderberger plan is now been rolling on: causing as much poverty &amp;  stress to the population in EU states -  to put them in to a permanent state of fear, in oder to execute even more neo liberal austerity policies to benefit the ruling 0,1% elites #DepopulationAgenda",['depopulationagenda'],0,0,0,[]
2022-03-06 18:50:06,1477328340587618304,KSax1966,und,#RothschildIsTheVirus #COVID19 #Plannedemic #Genocide #DepopulationAgenda  https://t.co/xYtNNpRuZ3,"['rothschildisthevirus', 'covid19', 'plannedemic', 'genocide', 'depopulationagenda']",0,1,0,[]
2022-03-06 18:33:39,1240376220115664903,TorC26,en,#pfizerdocuments  are available. #DepopulationAgenda  #EXPOSED,"['pfizerdocuments', 'depopulationagenda', 'exposed']",0,0,0,[]
2022-03-06 18:32:06,1240376220115664903,TorC26,en,"@ChatterBox_Muse Welcome HOME ❤️ Yes, many died, but it was bc they were DENIED proper treatment protocols. They weren’t given normal treatment, such as steroids, breathing treatments,  antibiotics for bacterial infections, etc. #DepopulationAgenda  We loose 100’s of 1,000’s yr to flu.",['depopulationagenda'],1,0,0,"[{'screen_name': 'ChatterBox_Muse', 'name': 'ChatterBoxMuse🚛', 'id': '3022406601'}]"
2022-03-06 16:33:20,785114914927022080,WeRFedUp,en,"It's just Pfizer, who made the bio-weapon injection that killed 1 out of 35 ppl in trial, among other things,paying millions of dollars to the FDA. Yeah, move along, nothing to see here. #Pfizer #FD #NWO #DepopulationAgenda #GreatReset","['pfizer', 'fd', 'nwo', 'depopulationagenda', 'greatreset']",11,0,7,[]
2022-03-06 14:43:23,1186906638,77kmd,und,#ukgov #orchestratedtheatre #DepopulationAgenda #GenocideGames,"['ukgov', 'orchestratedtheatre', 'depopulationagenda', 'genocidegames']",2,0,0,[]
2022-03-06 14:03:14,1325154634898477056,TCovid1984,und,"приве́т!  If the psychopaths start the #WW3, when the people will die from the #jab, they will say that it was a #bioweapon from the enemies. #DepopulationAgenda #daegel","['ww3', 'jab', 'bioweapon', 'depopulationagenda', 'daegel']",28,7,8,[]
2022-03-06 12:32:28,1427406754967605248,Ty67521954,en,@JackPosobiec We’re all being played #DepopulationAgenda  https://t.co/tA7qXAaDLI,['depopulationagenda'],0,0,0,"[{'screen_name': 'JackPosobiec', 'name': 'Jack Posobiec 🇺🇸', 'id': '592730371'}]"
2022-03-06 11:29:36,1180105262025207808,pdf00587301,en,💥Coincidence? WEF backwards spells “FEW”. Cabal loves their inversions.   #DepopulationAgenda  @ninoboxer @ChickenGate @TransSplendor @BJdichter @TuckerCarlson @liz_churchill_ @PoliceOnGuard @kaki385 @TheoFleury14 @BillTufts @1FreeInhabitant  https://t.co/32M3o2HiNj,['depopulationagenda'],5,1,3,[]
2022-03-06 09:16:08,548973524,patriotygirl,und,@KylexHam #DepopulationAgenda  #Davos  #WorldEconomicForum  #Schaub #Gates,"['depopulationagenda', 'davos', 'worldeconomicforum', 'schaub', 'gates']",0,0,0,"[{'screen_name': 'KylexHam', 'name': 'US ARMY VETERAN', 'id': '824705520548220929'}]"
2022-03-06 08:52:15,1240376220115664903,TorC26,en,ALL PLANNED  #DepopulationAgenda  #RockefellerPlan  #Agenda21 now called  #Agenda2030  #PLANdemic to bring #NWOwefGlobalReset  AKA... #BuildBackBetter 🤬 #Pfizergate  #pfizerdocuments,"['depopulationagenda', 'rockefellerplan', 'agenda21', 'agenda2030', 'plandemic', 'nwowefglobalreset', 'buildbackbetter', 'pfizergate', 'pfizerdocuments']",0,0,0,[]
2022-03-06 08:10:06,1469807450282942475,cynicsofuckoff,en,@WHOAFRO Are people aware you are promoting a vaccine that has 1291 side effects? #DepopulationAgenda  https://t.co/GU9FnyVfrp,['depopulationagenda'],1,0,0,"[{'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': '544389588'}]"
2022-03-06 08:03:12,1069688276662001664,DavidNKing1,und,#DepopulationAgenda,['depopulationagenda'],0,0,0,[]
2022-03-06 07:33:00,1416052834114670597,EfremPublio,und,#VaccinesWork ☠️✝️ to #DepopulationAgenda  #nessunacorrelazione #VaccineDeath  #IoStoConPutin,"['vaccineswork', 'depopulationagenda', 'nessunacorrelazione', 'vaccinedeath', 'iostoconputin']",1,0,1,[]
2022-03-06 07:12:25,752306247601360896,MsandristBuster,en,Another form of #DepopulationAgenda .,['depopulationagenda'],2,0,0,[]
2022-03-06 07:11:02,305723700,Megamaniak16,en,Healthy kids never needed the jab. Those who got it participated in a State-run eugenics program. #DepopulationAgenda #Scamdemic,"['depopulationagenda', 'scamdemic']",1,0,1,[]
2022-03-06 06:47:36,1416052834114670597,EfremPublio,und,#VaccinesWork ☠️✝️ to #DepopulationAgenda  #nessunacorrelazione #VaccineDeath #CovidHoax ☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️☠️,"['vaccineswork', 'depopulationagenda', 'nessunacorrelazione', 'vaccinedeath', 'covidhoax']",0,0,0,[]
2022-03-06 06:23:25,1081529458148937728,mateo_tao,en,#Dragonbear  don’t like neo colonialists. A stringent move to prevent the secretive #Bilderberger who select every PM in NATO countries and their heinous mass #DepopulationAgenda They want a food crisis and shy rocketing inflation to kill millions of people in the global south!,"['dragonbear', 'bilderberger', 'depopulationagenda']",0,0,0,[]
2022-03-06 06:21:36,1081529458148937728,mateo_tao,en,#Dragonbear  don’t like neo colonialists. A string move to prevent the secretive #Bilderberger who select every PM in NATO countries and their heinous mass #DepopulationAgenda They want a food crisis and shy rocketing inflation to kill millions of people in the global south.,"['dragonbear', 'bilderberger', 'depopulationagenda']",12,1,7,[]
2022-03-06 06:16:57,543394473,crvallotton,en,"Because the NWO needs to keep the best clean oil and gas in the ground for themselves.   It is not a necessity for these wicked people because they CAN afford it and can just take what they need.   Freeze the people out.   Plus, People can walk to work.   #DepopulationAgenda  ✅",['depopulationagenda'],0,0,0,[]
2022-03-06 06:12:24,607305422,bperras12,en,Dr. Malone on the Stew Peters show talking about @pfizer jab and it is a de-population jab! Killing many people!   https://t.co/sKcRC4eXua #StewPeters #DepopulationAgenda  #NWO  #RussiaUkraine,"['stewpeters', 'depopulationagenda', 'nwo', 'russiaukraine']",0,0,2,[]
