date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:34:10,1185292463545704448,Lady44391431,en,I really hope #Pfizer is held accountable for lying along with #Fauci &amp; all of the leaders who should have asked those hard qs to make sure this was safe...b/c clearly it wasn't and THEY KNEW &amp; DIDN'T CARE! #CovidVaccine #pfizerdocuments #FauciLied #PfizerLeak #DigDeep #AskQs,"['pfizer', 'fauci', 'covidvaccine', 'pfizerdocuments', 'faucilied', 'pfizerleak', 'digdeep', 'askqs']",2,0,0,[]
2022-03-07 16:26:21,1385699623294185472,EvilRedhead3129,en,I’ll pay for his airline ticket. #FauciLied #COVID19 #DrFauci #coronavirus,"['faucilied', 'covid19', 'drfauci', 'coronavirus']",0,0,0,[]
2022-03-07 16:20:21,3392492531,lifenotlabs,en,"2022 will be the year that people like #fauci are finally held accountable.  Filing your own complaint creates a key block of evidence. As a tax payer, you have the right to give feedback    https://t.co/9MF0rwGuif #FireFauci #FauciLied #fauciliedpeopledied #wuhan #lies","['fauci', 'firefauci', 'faucilied', 'fauciliedpeopledied', 'wuhan', 'lies']",1,0,1,[]
2022-03-07 16:13:21,82955872,coachdefitness,en,This woman is a lier and corrupt as #FauciLied   #PfizerLeak #Pfizer #VaccineSideEffects #vaccinedeaths #VaccinesWork ??   https://t.co/5GsXEs7QsV,"['faucilied', 'pfizerleak', 'pfizer', 'vaccinesideeffects', 'vaccinedeaths', 'vaccineswork']",1,0,1,[]
2022-03-07 15:54:03,30497289,bob16066,und,...  #FauciLied #fauciliedpeopledied   ....,"['faucilied', 'fauciliedpeopledied']",0,0,0,[]
2022-03-07 15:18:32,1460768925340291073,first_authentic,en,"Real, honest science is discussing data and forming strategies based on the real science. Thank goodness we have one state in the US that has been an outspoken advocate for the DO NO HARM principle. #MedTwitter #FauciLied #COVID19","['medtwitter', 'faucilied', 'covid19']",0,0,0,[]
2022-03-07 15:09:08,730168057465864192,pivitinvesting,en,She &amp; Fauci made it perfectly clear that is was black &amp; white &amp; you the public will be treated as if it's black &amp; white or else you'll be blocked by MSM! #Covid_19 #OmicronVarient #vaccines #Health #UkraineWar @CDCDirector #FauciLied #Science #NFLDraft #MarchMadness #Syracuse,"['covid_19', 'omicronvarient', 'vaccines', 'health', 'ukrainewar', 'faucilied', 'science', 'nfldraft', 'marchmadness', 'syracuse']",2,0,1,[]
2022-03-07 14:04:43,171591545,ecfcJakey,en,The covid scam timeline  #COVID19 #FauciLied #VaccineMandate  #Corruption #cdc   https://t.co/vqK1wPznX7,"['covid19', 'faucilied', 'vaccinemandate', 'corruption', 'cdc']",0,0,0,[]
2022-03-07 12:01:32,99095270,CleansweepUSA,en,@PressSec your press conference today showed you giving information that healthy children should be vaccinated. That is misinformation. Healthy children should not be vaccinated. Stop pedaling that propaganda. @CDCgov Reminder the big guy gets 10%💰 💉💉💉💉💉🍼👶🚼 #FauciLied  https://t.co/aNZ2yxxSeq,['faucilied'],0,0,0,[]
2022-03-07 11:40:04,1155110852221120518,roemerwolf,nl,"Je ziet het wereldwijd, de zogenaamde ""experts"" (Hi @MarionKoopmans ) ineens, na de #pfizerdocuments , bijna niet meer in de #MSM . Weet U het nog de video s met de bijsluiter van de gen, gemanipuleerde rotzooi, helemaal leeg? En nu 9 pagina s met ""bijwerkingen"" tja..#FauciLied","['pfizerdocuments', 'msm', 'faucilied']",0,0,0,[]
2022-03-07 11:22:38,1493669585995714561,BrettJo31837690,en,#Fauci will eventually pay for all the lies and sins that he created and hid. It always catches up with you. #FauciLied,"['fauci', 'faucilied']",1,0,0,[]
2022-03-07 11:18:44,34171854,sheatonio,in,👋 uh buh bye 👋  #FauciLied,['faucilied'],0,0,0,[]
2022-03-07 11:15:14,1500507481482534912,SargeSargento,en,My medical colleagues are freaking out over the Pfizer released data. They are very upset and are not going to recommend the shot anymore.  @pfizer #NoMandates #FauciLied  https://t.co/y8uXdh7NWN,"['nomandates', 'faucilied']",1,0,0,[]
2022-03-07 11:03:54,1300816610568019968,DiogeSays,und,@louietraub @YoloJenkins3 #FauciLied,['faucilied'],0,0,0,"[{'screen_name': 'louietraub', 'name': 'Louie Traub', 'id': '26559980'}, {'screen_name': 'YoloJenkins3', 'name': 'Smug Conservative', 'id': '1408819006304403458'}]"
2022-03-07 10:08:01,1460905932246818817,Miss5250,en,What about what @Pfizer did?   What about #FauciLied?   MIGUEL?,['faucilied'],0,0,0,[]
2022-03-07 07:12:56,610152742,Marxxalicious,en,"Since #Pfizer has released the harmful side effects of the jab, why don’t we get those warnings when we see or hear an advertisement for the #FauciOuchie??  Because they’re not liable??  #FauciLied #CDC #LetsGoBrandon","['pfizer', 'fauciouchie', 'faucilied', 'cdc', 'letsgobrandon']",6,3,3,[]
2022-03-07 05:22:39,1011832504167354368,rp_warner,en,"#FauciForPrisonForViolatingHisHippocraticOathTimesInfinity ""DO NO HARM. #FauciLied&gt; DR FAUCI WE DEMAND TO SEE YOUR CLINICAL STUDIES PROVING EXPERIMENTAL 'GENE THERAPY' NOT HARMFUL TO PREGNANT WOMEN AND YOUNG CHILDRENS DEVELOPING IMMUNE SYSTEMS?😡😡😡","['fauciforprisonforviolatinghishippocraticoathtimesinfinity', 'faucilied']",2,0,2,[]
2022-03-07 05:05:28,28227778,barochoc,en,What are all you experts and “It’s science” sheep waiting for? Here’s $1m up for grabs!!!! #MoneyForNothing if your #COVID19 #vaccines are #SafeAndEffective right?  You have NO EXCUSE. Who couldn’t use $1m?   #Scamdemic #Plandemic #VaccineSideEffects #CovidVaccination #FAUCILIED,"['moneyfornothing', 'covid19', 'vaccines', 'safeandeffective', 'scamdemic', 'plandemic', 'vaccinesideeffects', 'covidvaccination', 'faucilied']",0,0,0,[]
2022-03-07 03:52:44,81910236,aarmark,en,#WhereisFauci come out and play you rat bastard. #Pfizer #FauciLied #LockHimUp,"['whereisfauci', 'pfizer', 'faucilied', 'lockhimup']",12,0,2,[]
2022-03-07 03:40:08,1300281194039238657,michael14316424,en,@dcexaminer @RandPaul @NathanDahm  https://t.co/oEGOZPvvoe  Fauci only love own money not human being. #Fauci #FauciLied,"['fauci', 'faucilied']",0,0,0,"[{'screen_name': 'dcexaminer', 'name': 'Washington Examiner', 'id': '18956073'}, {'screen_name': 'RandPaul', 'name': 'Rand Paul', 'id': '216881337'}, {'screen_name': 'NathanDahm', 'name': 'Nathan Dahm', 'id': '40406009'}]"
2022-03-07 02:06:10,1463067330338975744,NelediQueen,en,If found throw in nearest trash can! #fauciliedpeopledied  #FauciLied  #Fauci  https://t.co/80dANhQezr,"['fauciliedpeopledied', 'faucilied', 'fauci']",1,0,0,[]
2022-03-07 01:54:11,827523433244274689,navynotnuclear,en,Yep time to get #factsinated on the #Fauci emails #FauciLied,"['factsinated', 'fauci', 'faucilied']",1,0,3,[]
2022-03-06 22:25:19,1258216632163250177,LynnOwe53622654,en,Our Federal Govt WITHHELD this information for over a YEAR! @pfizer wanted it WITHHELD for another 69 yrs! #PfizerLied #FauciLied   It's also WHY #LocalGovMatters thinks it's okay to do it to you. @FresnoPolice &amp; @MayorJerryDyer thinks it's okay to Hide a #DirtyCop for 2 mos!?!,"['pfizerlied', 'faucilied', 'localgovmatters', 'dirtycop']",1,0,1,[]
2022-03-06 20:50:53,268063667,thelsns,en,Forget about all this Russian-Ukraine stuff.  Where is Dr. Fauci?  #fauciliedpeopledied #FauciForPrison #FauciLied #FauciKilledPuppies #PlanDEMic,"['fauciliedpeopledied', 'fauciforprison', 'faucilied', 'faucikilledpuppies', 'plandemic']",0,1,0,[]
