date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:26:06,2665769877,DanangTiyasworo,en,Universal Acceleration under #FlatEarth or I prefer its reverse version: Downwards Universal Deceleration.  The flat earth moves vertically.,['flatearth'],0,3,0,[]
2022-03-07 16:07:13,86656924,indio007,en,"FLAT EARTH MEETUP - MARCH 13TH, 2022 - FAYETTEVILLE, AR  https://t.co/PIpASwimwc via @YouTube #flatearth #nasalies","['flatearth', 'nasalies']",0,0,0,[]
2022-03-07 16:02:35,64573222,fturriaf,en,"@knutsvanholm Interestingly, #FlatEarth believers share a lot of characteristics with #Bitcoin enthusiast  1) Cult-like behavior 2) Disbelieve in science (especially climate change in the case of $BTC acolytes) 3) Distrust in government/institutions 4) Disrespect to anyone who doesn't share op","['flatearth', 'bitcoin']",1,0,0,"[{'screen_name': 'knutsvanholm', 'name': 'Knut Svanholm', 'id': '50835297'}]"
2022-03-07 15:19:12,137059210,nyjerrykane,en,"@TheWilderThings And Shaq, who’s awesome, is a #FlatEarth believer.",['flatearth'],0,0,0,"[{'screen_name': 'TheWilderThings', 'name': 'Charlotte Wilder', 'id': '99016057'}]"
2022-03-07 14:53:40,1292390448493760513,wakeywakey107,und,#NASAlies #FlatEarth  https://t.co/8FcCVaX3bD,"['nasalies', 'flatearth']",0,0,0,[]
2022-03-07 14:51:23,1464105581195804674,MansplainingAb1,en,Believe it or not. There are people dumber than anti-choicers.  #FlatEarth.,['flatearth'],4,1,0,[]
2022-03-07 14:40:24,2749173263,marfsurfer,und,#UnitedNations #Ukraine️ #FlatEarth  https://t.co/qGtvHB6nL7,"['unitednations', 'ukraine️', 'flatearth']",3,0,0,[]
2022-03-07 14:21:12,47033806,MordecaiMpls,en,@RonFilipkowski @caglanville Is he one of those #FlatEarth people?,['flatearth'],0,0,0,"[{'screen_name': 'RonFilipkowski', 'name': 'Ron Filipkowski', 'id': '1298372735383605249'}, {'screen_name': 'caglanville', 'name': 'Carol Glanville', 'id': '80391480'}]"
2022-03-07 13:33:32,562437801,IrishBrassil,en,Austin Witsit #TopLeft Award 2022 Voting Video  https://t.co/T9YSrsCtrd via @YouTube   #Vote #FlatEarth  It's your civic duty - Ballot B   @Mctoon27 @FTFEofficial @bobthe_guy @SurveyorMaine @CatzConspiracy @SciManDan @ItsMrSensible @flerfspective #Roohif #BlueMarbleScience,"['topleft', 'vote', 'flatearth', 'roohif', 'bluemarblescience']",1,1,1,[]
2022-03-07 13:19:59,1289776073362857984,Tinavalen2505,es,Me llegaron fotos jamás antes vistas de la tierra. #FlatEarth #latierraesplana  https://t.co/KQJBgcS8Kl,"['flatearth', 'latierraesplana']",3,0,0,[]
2022-03-07 12:45:03,766663052368445440,JonR303,en,"Any #FlatEarth ers out there willing to tell me that the airplane is flying vertically upwards, like a rocket? Just thinking about FE claims about crepuscular rays here.  @SciManDan, you're free to use this next time ;)  https://t.co/kGXPvIPiev",['flatearth'],1,0,0,[]
2022-03-07 12:16:54,938675726852730880,LFnord,en,Jack the Ripper was contaminated by your white infinite demon in Berkeley. #FlatEarth,['flatearth'],0,0,0,[]
2022-03-07 12:06:39,1480463790655168512,traderym,en,"@TerezeKalman You got the curves, and the earth ain't 😉 #FlatEarth #curvygirl","['flatearth', 'curvygirl']",0,0,0,"[{'screen_name': 'TerezeKalman', 'name': 'Tereze M. Kalman OF', 'id': '1249680356036542464'}]"
2022-03-07 11:51:24,26134460,BrianSStaveley,en,Follow My Telegram Channel For All Show Notifications No Matter The Platform(Only I Post To This) #MandelaEffect #FlatEarth #CovidHoax #Corona #CoronaHoax   https://t.co/Pj6oNN1cwl,"['mandelaeffect', 'flatearth', 'covidhoax', 'corona', 'coronahoax']",1,1,0,[]
2022-03-07 11:06:47,1345252424152477697,6oatgirl,en,"@ioIetsgo I shat my pants, this is what God wanted. #FlatEarth",['flatearth'],2,0,1,"[{'screen_name': 'ioIetsgo', 'name': 'Ivory', 'id': '1168925110289534978'}]"
2022-03-07 11:02:53,771769571644678144,ArtPrints2,en,Check out Flat Earth Map - CBS American School Of The Air : Hammond : Map Print #FlatEarth #Map  https://t.co/LwKYZxeX4I via @eBay #Aviation #flying #flatearth #wallart #decor #gift,"['flatearth', 'map', 'aviation', 'flying', 'flatearth', 'wallart', 'decor', 'gift']",0,0,0,[]
2022-03-07 11:00:41,1131185784839655424,HarlysCorner,en,Well.. #FlatEarth morons will say it's fake and what not...,['flatearth'],6,0,1,[]
2022-03-07 10:49:58,771769571644678144,ArtPrints2,en,Check out The Story Map of Flying : Flat Earth :  Art Print : Map #ArchivalReprintCompany #Map  https://t.co/IrZ8UQS4fL via @eBay #Flying #Aviation #FlatEarth #WallArt #Decor,"['archivalreprintcompany', 'map', 'flying', 'aviation', 'flatearth', 'wallart', 'decor']",0,0,0,[]
2022-03-07 10:39:55,1417481959085953035,GWISU72,en,proof @KyrieIrving has long covid?? #brainfog #nobodycaresKy 😃😃 #FlatEarth,"['brainfog', 'nobodycaresky', 'flatearth']",1,0,0,[]
2022-03-07 10:15:20,938675726852730880,LFnord,en,Enemy agents now know that you should not be tearful in Middle-earth. #FlatEarth,['flatearth'],0,0,0,[]
2022-03-07 10:11:10,763935857329844225,kristinactually,en,"I tried dating a Flat Earther, but the relationship felt one-sided.  #comedy #jokes #flatearth","['comedy', 'jokes', 'flatearth']",0,0,0,[]
2022-03-07 10:02:09,1196965334370127872,MasterDebateNet,en,"Not that it matters to them, but the high altitude balloons show Earth's curvature when the horizon is at the undistorted center-line of the camera. #FlatEarth  https://t.co/gyqVBt6fVf  https://t.co/pCtO0C35lr",['flatearth'],0,0,0,[]
2022-03-07 09:59:21,3161775569,Stonejack87,en,@depsurrel @100ItsLevel Maybe they are very slowly.  Are u the same account that called me disrespectful because I said the challenger mission deaths were faked? Yes u were. But now you are suggesting assassination of all truthers? 🤔  this is how contradictory you guys are.Smh. #earthisflat #flatearth,"['earthisflat', 'flatearth']",0,3,0,"[{'screen_name': 'depsurrel', 'name': 'Depsurrel, the Gator Rager', 'id': '1094739011162251264'}, {'screen_name': '100ItsLevel', 'name': 'Michael', 'id': '1256307310948950018'}]"
2022-03-07 09:55:39,1451605116885168129,nomoreoptionsig,en,#FlatEarth is a bunch of virion-sized beings running around on a basketball using minor discrepancies in the grip ridges and vertical pressure gradient as proof the basketball is non-volumetric 🤣  Makes about as much sense as saying we know the size of the universe from CMBR 🤣,['flatearth'],1,1,0,[]
2022-03-07 09:52:33,1284733939446251521,angeltesla369,en,Humans instinctively were born to trust. We will go back to that soon. #teamhumanity #432hz #antartica #thefirmament #flatearth #nasalies  https://t.co/9Dzi6qlv4b  https://t.co/YbAlqBiCXe,"['teamhumanity', '432hz', 'antartica', 'thefirmament', 'flatearth', 'nasalies']",1,1,0,[]
2022-03-07 09:45:51,1164090913083330560,boston_hoax,en,"bla, bla, we know the truth, Mike.  #FlatEarth",['flatearth'],1,0,0,[]
2022-03-07 09:39:51,2314971950,free_happy_life,ja,近頃、アセンション・スピリチュアル系業界までもが「地上は丸くない」と言い出しました。フラットアースを受け入れてから人生の本番が始まる。情報を見聞きしただけでは「目覚め」とは言えない。 #フラットアース #Flatearth #宇宙詐欺 #目覚め  https://t.co/JgMPVsXFMc,"['フラットアース', 'flatearth', '宇宙詐欺', '目覚め']",2,0,0,[]
2022-03-07 09:29:09,1131185784839655424,HarlysCorner,en,A #FlatEarth'er tried to argue with an #astronaut on TV and it was hard to watch:  #FlatEarthFails   https://t.co/0vK30jzURl,"['flatearth', 'astronaut', 'flatearthfails']",1,0,0,[]
2022-03-07 09:20:23,20831584,OurWorldChange,en,Annie Lennox and the waters above the #dome. #Truth in plain sight.  https://t.co/fJaokDWzd6 via #FlatEarth @YouTube,"['dome', 'truth', 'flatearth']",0,0,0,[]
2022-03-07 09:00:21,864676908361011202,TheDailyPlane,en,Win Alex Stein's Money - Without Alex Stein - Let's Play Truther vs Truther - LINK in DESCR! #flatearth #researchflatearth #flatearthers  https://t.co/MTaWeRtnzO,"['flatearth', 'researchflatearth', 'flatearthers']",0,0,0,[]
2022-03-07 08:05:42,714448197779910657,MattysParadigm,en,"If the Earth has ends does that mean it has to be flat? No, because “end” is a translation of a word which means “extremity or furthest reaches of” in which case we’re talking about ""the beach.""  https://t.co/LulwdwBDYp #flatearth #Bible #astronomy #astrology #physics #wsnc #myws  https://t.co/Rt6fzngFdD","['flatearth', 'bible', 'astronomy', 'astrology', 'physics', 'wsnc', 'myws']",0,0,0,[]
2022-03-07 08:02:28,1424418950520127489,B_Art01,en,Have a good day on this terrestrial plane! #flatearth  https://t.co/AHEd6hmev2,['flatearth'],0,0,0,[]
2022-03-07 07:45:20,265293921,badibulgator,en,"@DuaneAustinK @CollinOctantis @keigh_see @TheWhaleSays @flerfsareidiots @Spike19621 Unlike the math of #FlatEarth whose predictions completely #fail to match observed reality.   https://t.co/oTYmluJfZj  Nothing works, so you think it must be true! 🤡🤡🤡","['flatearth', 'fail']",2,0,0,"[{'screen_name': 'DuaneAustinK', 'name': 'Duane Krkovich', 'id': '979216123945107456'}, {'screen_name': 'CollinOctantis', 'name': 'Collin masonic Bikini 👙🌸🦜🐑🎖', 'id': '3842204952'}, {'screen_name': 'keigh_see', 'name': 'KeighSee🇨🇦', 'id': '80481990'}, {'screen_name': 'TheWhaleSays', 'name': 'Jonah ✞🐋🇺🇸', 'id': '2358311520'}, {'screen_name': 'flerfsareidiots', 'name': 'FlerfsAreIdiots😷🐧👙🍺😷', 'id': '1244703393949593601'}, {'screen_name': 'Spike19621', 'name': 'Spike1962', 'id': '1390397189659238402'}]"
2022-03-07 07:16:48,1252594519578640385,Daughter_of_Yah,en,Fantastic #Flatearth Documentary!  Interesting info and well worth the watch.     https://t.co/a55aeXbaP5,['flatearth'],0,2,0,[]
2022-03-07 06:51:07,139203034,usefulinfo101,en,"video is two hours  long, if pandemic is hoax as some of these conspiracy theorists believe,then #ivermectin is no good, apply common sense. it also looks like many #antivaxxers are #flatearth believers which takes away  any credability(sp?) from any potential thing they say","['ivermectin', 'antivaxxers', 'flatearth']",0,1,0,[]
2022-03-07 06:44:47,1247597028260982785,P_for_PranavB,en,"@zone_astronomy Okay, i don't follow #FlatEarth theory. But imagine, what if it is true that #Australians are paid actors🤣. This reminds me of a famous movie #thetrumanshow starring @JimCarrey","['flatearth', 'australians', 'thetrumanshow']",1,0,0,"[{'screen_name': 'zone_astronomy', 'name': 'Physics & Astronomy Zone', 'id': '1222182373867032576'}]"
2022-03-07 06:29:22,310338138,FEKarenB,en,"Coffee Talk with Karen B - Episode 032 - Moonday, March 7, 2022  https://t.co/1hibfsG2xm #Rokfin #flatearth","['rokfin', 'flatearth']",1,0,1,[]
2022-03-07 06:29:18,26134460,BrianSStaveley,en,LIVE NOW!  https://t.co/lG5bh0kYfY #FlatEarth #CovidHoax @FEKarenB,"['flatearth', 'covidhoax']",1,0,0,[]
2022-03-07 06:29:06,180810321,AdamJoshDotCom,en,Remember that time I joined the illuminati just so I could prove #flatearth to you guys?  Who does that!?  https://t.co/LOAHW2cSAV,['flatearth'],5,2,0,[]
2022-03-07 05:39:52,2314971950,free_happy_life,ja,筆文字作品No.48( https://t.co/DCV7QF3nTT)を掘り下げ。#フラットアース を示唆する古典作品はまだありそう。先人の遺産から考察しよう。#真実探究 をやめるな！世界の成り立ち・歴史を探る手がかりとなるかも…？ #Flatearth #漢詩 #筆文字  https://t.co/fbS5tlJ0vo,"['フラットアース', '真実探究', 'flatearth', '漢詩', '筆文字']",0,0,0,[]
2022-03-07 05:24:25,1131185784839655424,HarlysCorner,en,"And I have personally chatted with #NASA astronaut's son on discord. Many times. He is literally debating #flerfs all the time.  And based on the aforementioned conversations, I'd say #FlatEarth'ers are blatantly lying. They are literally making shit up!","['nasa', 'flerfs', 'flatearth']",2,0,1,[]
2022-03-07 04:23:31,758056912550113280,AnwarRachmat,en,Spacehehehe: Realize the difference between truth and opinion.   Research #FlatEarth  https://t.co/CFGmS9m7jv,['flatearth'],0,1,0,[]
2022-03-07 04:08:13,1549162866,Spacehehehe,en,Realize the difference between truth and opinion.   Research #FlatEarth  https://t.co/LOLmsae7GD,['flatearth'],144,9,33,[]
2022-03-07 03:52:11,3161775569,Stonejack87,en,For some reason all shills must have had a meeting about poles. They have a new angle they are trying to push with celestial poles. #itsflat #fe #flatearth   #shilling,"['itsflat', 'fe', 'flatearth', 'shilling']",1,4,0,[]
2022-03-07 03:26:39,187394293,vinniemalaguti,en,@Thereason_2 Aww I love that they added in all the adorable little antarctic military guards on their lil icebergs making sure that boat doesn't get any closer! 🤗🥰 #flatearth,['flatearth'],0,0,0,"[{'screen_name': 'Thereason_2', 'name': 'Thereason', 'id': '1944099554'}]"
2022-03-07 03:24:02,17968866,leftwingcyclist,nl,"#FlatEarth: dan dus ook geen andere (bolvormige) planeten. Dan dus ook écht geen alternatief! Dan is #klimaatverandering dus wel echt een supergroot ding!  Groter dan groot!  (En die maan, zon, en sterren eigenlijk? Zijn dat lampjes aan het plafond?)","['flatearth', 'klimaatverandering']",1,1,0,[]
2022-03-07 03:08:02,1035273521621082112,DanielB59756947,en,#flatearth fail,['flatearth'],1,0,0,[]
2022-03-07 02:55:26,2665769877,DanangTiyasworo,en,"Goto 5:50 Flashlight Proves a Flying Land Inside The Cloud.  The dark bat image indicates a flat body. If the cloud consisted of only mist, the bat image would not be so contrast. #FlatEarth   https://t.co/F4O5H8fB9z  https://t.co/v9WUVdTMlH",['flatearth'],0,0,0,[]
