date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 12:51:22,252521587,sherivandenburg,en,"Thread is ultra-specific. #GermWarfare #ToxicWarfare #Biolabs #Ukraine #USDeptOfDefense #DOD #NATO #Ukraine Wondering why U.S. places ""military biolabs"" on foreign soil? Can't place them on U.S. soil? More #FortDetrick? #Virus #Bacteria","['germwarfare', 'toxicwarfare', 'biolabs', 'ukraine', 'usdeptofdefense', 'dod', 'nato', 'ukraine', 'fortdetrick', 'virus', 'bacteria']",0,0,0,[]
2022-03-07 06:47:33,1407548943391596547,woshishiyilang,en,Tsk tsk tsk and yes we still haven't forgotten #FortDetrick -🦠🇺🇸#madeinusa,"['fortdetrick', 'madeinusa']",0,0,0,[]
2022-03-06 18:21:38,276944655,PeterPyke,en,"@alexbruesewitz Nah.  World knows the #COVID19 bioweapon  was created in the labs at #FortDetrick,  Maryland, USA.  https://t.co/zsVixPYtWe","['covid19', 'fortdetrick']",1,0,0,"[{'screen_name': 'alexbruesewitz', 'name': 'Alex Bruesewitz', 'id': '499154896'}]"
2022-03-06 14:27:25,747451360715616257,giu33liana,it,@InformazioneA #FacciamoRete #FacciamoStoria  #Giugno2021   La #Cina chiede indagini a 360° sull'origine del #COVID19. Anche negli #USA: a #FortDetrick. E in 200 laboratori biologici. Ed esorta gli #USA a condividere dati e a fornire supporto trasparente alle indagini.   https://t.co/YGqCfqpyfp  https://t.co/hoZ4Iqmkcr,"['facciamorete', 'facciamostoria', 'giugno2021', 'cina', 'covid19', 'usa', 'fortdetrick', 'usa']",0,0,0,"[{'screen_name': 'InformazioneA', 'name': 'Informazione Alternativa', 'id': '1235244517307166725'}]"
2022-03-06 14:25:42,747451360715616257,giu33liana,it,"@InformazioneA #FacciamoRete #FacciamoInformazione  #FortDetrick: il centro delle armi biologiche #USA  (🧐Fino al 1969 ufficialmente centro per la guerra batteriologica, poi pudicamente rinominato da Nixon centro per la ricerca medica militare...)   https://t.co/iWzUHN55ZP  https://t.co/6tjUrL7Ibn","['facciamorete', 'facciamoinformazione', 'fortdetrick', 'usa']",0,1,0,"[{'screen_name': 'InformazioneA', 'name': 'Informazione Alternativa', 'id': '1235244517307166725'}]"
2022-03-05 11:54:13,1388551315551363076,loumtaylor1,und,@ClintonAlden #fortdetrick #drralphbaric #amerikkka,"['fortdetrick', 'drralphbaric', 'amerikkka']",0,0,0,"[{'screen_name': 'ClintonAlden', 'name': 'The Ranting Rooster', 'id': '1488674694'}]"
2022-03-04 08:48:28,966718138980225024,HelloHypercube,en,@anguillaman2 Where are the biological samples of Vaping Disease being held from world scrutiny?  https://t.co/aXBgUsOAAI  The original covid leaked from #FortDetrick - we know from the 4000 filed patents on bat experiments on corona viruses.,['fortdetrick'],0,0,0,"[{'screen_name': 'anguillaman2', 'name': 'anguillaman2', 'id': '18850438'}]"
2022-03-03 01:17:14,2927958183,BenMurphy1952,en,"@DrOz Explain #VapingDisease, please! Why was #FortDetrick closed? Why does the US military need more than 400 bio labs around the world?","['vapingdisease', 'fortdetrick']",1,0,0,"[{'screen_name': 'DrOz', 'name': 'Dr. Mehmet Oz', 'id': '38531995'}]"
2022-03-02 22:58:26,411731864,mauro_vaiani,it,#FortDetrick avrebbe dovuto essere investigato sin dall'inizio dell'affare #Covid19:  https://t.co/KQ6b2iA3kZ,"['fortdetrick', 'covid19']",0,0,0,[]
2022-03-02 22:55:00,411731864,mauro_vaiani,en,@Annette61430051 #FortDetrick needed to be investigated since the beginning of #COVID19 affair :  https://t.co/KQ6b2iA3kZ,"['fortdetrick', 'covid19']",1,0,0,"[{'screen_name': 'Annette61430051', 'name': 'Annette Clark', 'id': '1486059552382791681'}]"
2022-03-02 17:57:01,1248951241675345920,jerezana0902,und,#FortDetrick #bioweapons,"['fortdetrick', 'bioweapons']",2,0,1,[]
2022-03-02 11:34:40,146216062,cjunn,und,@DrOz #FortDetrick,['fortdetrick'],0,0,0,"[{'screen_name': 'DrOz', 'name': 'Dr. Mehmet Oz', 'id': '38531995'}]"
2022-03-01 11:25:21,3068707517,IainCampbell008,en,#USA #FortDetrick Do your research people!,"['usa', 'fortdetrick']",2,0,0,[]
2022-03-01 10:13:22,1115723971654107136,FoolsMultiply,en,Military lab changed mission statement after report questioned value of its work via @USRightToKnow . #USAMRIID  #FortDetrick   https://t.co/Wti9zS9H1t,"['usamriid', 'fortdetrick']",1,0,1,[]
2022-03-01 08:10:49,16897082,garyruskin,en,Military lab changed its mission statement after report questioned the value of its work. #USAMRIID #FortDetrick Via @emilyakopp @USRightToKnow   https://t.co/uYfEgPdg5R,"['usamriid', 'fortdetrick']",17,1,8,[]
2022-02-26 22:13:41,861755090,JenniferLSimon1,en,@AndyorAndo @dgaytandzhieva Where's ur whistleblowers? Conveniently Kari Mullis died of pneumonia in September 2019. Lots more deaths recently of outspoken scientists. China calling for investigation. I agree w/ them. Why isn't this in the public discourse hm? #SARSCoV2 #FortDetrick  https://t.co/kIUXEqz1Sq,"['sarscov2', 'fortdetrick']",12,0,8,"[{'screen_name': 'AndyorAndo', 'name': 'Gevorg Costanza', 'id': '1310329376844795905'}, {'screen_name': 'dgaytandzhieva', 'name': 'Dilyana Gaytandzhieva', 'id': '1678273014'}]"
2022-02-26 12:29:38,942109767165767680,Soundwave_Boss,en,@ModerateMonty Or #FortDetrick in Maryland.,['fortdetrick'],1,0,0,"[{'screen_name': 'ModerateMonty', 'name': 'Dottore Monty IV 🇨🇦', 'id': '1286263439715971072'}]"
2022-02-26 06:52:28,1489059100117790720,Samson00777,en,@MaGetTheShotgun Why? I don't know? I read alot about #FortDetrick in 2020.  Wuhan lab leak theory: How Fort Detrick became a centre for Chinese conspiracies - BBC News  https://t.co/oYTmfxpjX6,['fortdetrick'],0,1,0,"[{'screen_name': 'MaGetTheShotgun', 'name': '🇨🇦 Pépin dit Tranchemontagne... Pureblood', 'id': '1048985868600373248'}]"
2022-02-25 12:53:13,788406604764893184,SquatchyWildMan,en,"#RobertMalone is a CIA asset feeding people controlled information. He will never talk about #DavidMiller #HaroldSmith #Germinator #Oyagen #ActivePure #FortDetrick Be careful listening to him. There is a reason ""they"" have pushed him so hard recently.   https://t.co/6J6IkahSxm","['robertmalone', 'davidmiller', 'haroldsmith', 'germinator', 'oyagen', 'activepure', 'fortdetrick']",11,2,7,[]
2022-02-24 04:54:36,1018144154445144064,LGcommaI,en,"""for some reason, [the stations resemble] #FortDetrick""  https://t.co/lI4IJB43Iv",['fortdetrick'],1,1,0,[]
2022-02-24 02:02:09,2927958183,BenMurphy1952,en,"It has been 2 years, I retrieved some old tweets to talk about #COVID19 again! In case anyone forgets these suspicious details! Where exactly did the virus start? Why haven't @WHO done any investigation on #FortDetrick? So many questions!   https://t.co/CAgGaCOwm7","['covid19', 'fortdetrick']",2,0,0,[]
2022-02-21 09:07:56,942109767165767680,Soundwave_Boss,en,".Hello @JikkyKjj &amp; @jjcouey, any chance you both could check out the claim made by China w.r.t. the bio-leaks @ #FortDetrick please? Gain of function research was being held there &amp; many people died from rare respiratory illness similar to covid-19.  #Wuhan &amp; #FtDetrick are 🔑.","['fortdetrick', 'wuhan', 'ftdetrick']",0,0,0,[]
2022-02-21 06:08:53,1454501654888423426,deliriorumi,en,"They were even ready to give money, and you paid. There can't be such an extraordinary lifebuoy! you are unbelievable! so it wasn't #FortDetrick it was the lab and animal market in wuhan!  So, does China not know what it's doing, or have we always misunderstood China? @MFA_China",['fortdetrick'],0,0,0,[]
2022-02-20 19:10:13,1436305653765578752,KatieLi16905354,en,"@AmarNat80461431 @PacificSubs Well, actually China did allow the investigation by WHO and international specialists. To be fair, China said it's now the US' turn to allow international investigators into #FortDetrick.",['fortdetrick'],0,1,0,"[{'screen_name': 'AmarNat80461431', 'name': 'Amar Nath Verma', 'id': '1157990407684284417'}, {'screen_name': 'PacificSubs', 'name': 'Pacific Submarines', 'id': '237054368'}]"
2022-02-19 16:29:15,788406604764893184,SquatchyWildMan,en,#Oyagen removed it but #DavidMiller's links to that company are archived and proof is everywhere. #NIH funded these traitors and they worked at #FortDetrick   Wuhan is a distraction  https://t.co/V22C8WTdMv,"['oyagen', 'davidmiller', 'nih', 'fortdetrick']",1,0,1,[]
2022-02-17 17:18:26,1171256911519461376,comradebirb,en,@BirbBookThreads 🦜📚🧵 From CLOUDS OF SECRECY  Fort Detrick in Maryland is the US headquarters for biological warfare research.  Notice how Merck &amp; Co pharmaceuticals worked w/the US govt to create more virulent stains of bacteria to weaponize.   #History #USA #WarCrimes #FortDetrick  https://t.co/HNFrhKTdkN,"['history', 'usa', 'warcrimes', 'fortdetrick']",1,1,1,"[{'screen_name': 'BirbBookThreads', 'name': 'BirbBookThreads', 'id': '1434635223950561285'}]"
2022-02-17 12:33:03,178213368,poolpharmacy,en,#CIAAct 1949 allows CIA to secretly fund covert operations and develop procedures outside standard government practices. #ProjectBluebird 1949 #ProjectArtichoke 1951 #MKUltra 1953 #TAMI 1976 #InQTel 1999 #FauciGates 2019 #DEW #FortDetrick #MentalSlavery #TortureResearch,"['ciaact', 'projectbluebird', 'projectartichoke', 'mkultra', 'tami', 'inqtel', 'faucigates', 'dew', 'fortdetrick', 'mentalslavery', 'tortureresearch']",0,0,0,[]
2022-02-16 23:59:39,875107384535900161,FrontendLA,de,"#FortDetrick #jobs #hiring #opportunity @ Mlt Systems (Fort Detrick, MD) - Cost Analyst IV  https://t.co/loar1gFkMg","['fortdetrick', 'jobs', 'hiring', 'opportunity']",0,0,1,[]
2022-02-15 12:11:23,1334517290109440000,AnyaMoriluna,en,@Zer0up0nZer0 @Moonwal22198795 @LastTake @HuXijin_GT @10DowningStreet It's from #fortDetrick,['fortdetrick'],0,1,0,"[{'screen_name': 'Zer0up0nZer0', 'name': 'AB D', 'id': '3151310556'}, {'screen_name': 'Moonwal22198795', 'name': 'Moonwalker', 'id': '1391505732097515526'}, {'screen_name': 'LastTake', 'name': 'Uzi Hula Hoop', 'id': '2178241596'}, {'screen_name': 'HuXijin_GT', 'name': 'Hu Xijin 胡锡进', 'id': '2775998016'}, {'screen_name': '10DowningStreet', 'name': 'UK Prime Minister', 'id': '14224719'}]"
2022-02-14 13:49:04,1272293895980924938,OuahOuah88,en,COVID-safe relief (#FortDetrick is in Maryland 😁): PLA Navy flotilla to arrive in Tonga to deliver second batch of relief from China  https://t.co/LoXe7dfaVA,['fortdetrick'],0,0,0,[]
