date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:41:52,902528816,CaccioppoliMike,und,#masksdontwork,['masksdontwork'],0,0,0,[]
2022-03-07 16:31:52,902528816,CaccioppoliMike,und,#masksdontwork,['masksdontwork'],0,0,0,[]
2022-03-07 16:00:49,1487422158015971335,STOPmaskingKIDS,en,"I hate to say it, but this is 100% correct.   #STOPmaskingKIDS  #NeverMaskKidsAgain  #masksdontwork  #UnmaskOurKids  #UNMASKOURCHILDREN  #unmaskthekids  #unmaskthechildren  #DoNoHarm  #UrgencyOfNormal","['stopmaskingkids', 'nevermaskkidsagain', 'masksdontwork', 'unmaskourkids', 'unmaskourchildren', 'unmaskthekids', 'unmaskthechildren', 'donoharm', 'urgencyofnormal']",1,0,0,[]
2022-03-07 14:18:09,1254771680775307268,Gustavo90200658,en,Mask do not reduce COVID transmition in USA. #COVID19  #VaccineSideEffects  #masksdontwork,"['covid19', 'vaccinesideeffects', 'masksdontwork']",1,0,0,[]
2022-03-07 14:02:24,3033589653,aranaudaniel,es,@Inconforme75 @Birikina_7 Mira como nos toman el pelo; con la vieja de 90 tacos sin mascarillas y con el líder zionista del partido laborista se la ponen.  #MasksDontWork #MaskOff #DoNotComply #NoAlPaseSanitario #vaccineSideEffects #TrudeauTyranny #TrudeauDictatorshipMustGo #StarmerOut  https://t.co/InVyV2K8iq,"['masksdontwork', 'maskoff', 'donotcomply', 'noalpasesanitario', 'vaccinesideeffects', 'trudeautyranny', 'trudeaudictatorshipmustgo', 'starmerout']",1,0,0,"[{'screen_name': 'Inconforme75', 'name': 'Esaü', 'id': '127962734'}, {'screen_name': 'Birikina_7', 'name': 'Birikina', 'id': '1915318441'}]"
2022-03-07 13:56:13,1413200023349772288,BraddersMT10,und,#masksdontwork  https://t.co/4p2lGPzoNE,['masksdontwork'],6,1,1,[]
2022-03-07 13:16:50,1306269025023012865,nspiralsmemes,en,@brooklyndumbo Not in Georgia. Our kids are still mostly sane; they are also boys and girls...and nothing else.   There are irreconcilable differences in our values. A National divorce is the only bloodless (or least bloody) way forward.   #nationaldivorce #only2genders #masksdontwork,"['nationaldivorce', 'only2genders', 'masksdontwork']",0,0,0,"[{'screen_name': 'brooklyndumbo', 'name': 'maskless in NY #masklikeakid', 'id': '1370931572'}]"
2022-03-07 13:07:33,1284163109196713985,mi_bella_novela,en,Cast of idiots!!! 😡😡😡 #MasksDontWork #FollowTheScience #SaveTheChildren #BringBackBetter  https://t.co/hGg1XolfiD,"['masksdontwork', 'followthescience', 'savethechildren', 'bringbackbetter']",6,2,0,[]
2022-03-07 12:06:39,1269985268779692032,AnLa18294437,de,"@AndyN55 @MMFischbach @Stina2312 @MichaelPiazolo Hey, machen Sie sich locker. Hier rauscht es durch die Schulen, es nervt nur die Gängelei, gesundete Kinder müssen länger zu Hause bleiben, als notwendig.  Meine vollständig gesunde Nichte erlebte einen doofen 16. Geburtstag.  #masksdontwork - zumindest nicht im Alltagssetting.",['masksdontwork'],1,1,0,"[{'screen_name': 'AndyN55', 'name': 'AndyN55', 'id': '1351929856464973825'}, {'screen_name': 'MMFischbach', 'name': 'Matthias Fischbach', 'id': '519637627'}, {'screen_name': 'Stina2312', 'name': 'Stina', 'id': '1236735035383984128'}, {'screen_name': 'MichaelPiazolo', 'name': 'Michael Piazolo', 'id': '2834864151'}]"
2022-03-07 12:03:55,433732282,FancyComedy,en,"@optoutmom Maybe wear a #MasksDontWork T-shirt. Stating all the facts and while you are at it, the opposite side could read #MaskingChildrenIsChildAbuse Here in Los Angeles County we never masked our now 5.5 year old.","['masksdontwork', 'maskingchildrenischildabuse']",1,0,0,"[{'screen_name': 'optoutmom', 'name': 'optoutmom', 'id': '1230552124703903744'}]"
