date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:23:07,1249373376,ballardsigns,en,@propofolsbff @nypost Apology not accepted. #NurembergTrialsForCovid,['nurembergtrialsforcovid'],0,0,0,"[{'screen_name': 'propofolsbff', 'name': 'nextupdnapfreedomeconvoy2022', 'id': '953510025959415808'}, {'screen_name': 'nypost', 'name': 'New York Post', 'id': '17469289'}]"
2022-03-07 16:20:08,1325488623857397764,ZephreneW,en,Pfizer Exposed: Worldwide Evidence of Big Pharma Parasites  https://t.co/kYqOVpXd6X  #Pfizer #VaccineSideEffects #NurembergTrialsForCovid #CrimesAgainstHumanity,"['pfizer', 'vaccinesideeffects', 'nurembergtrialsforcovid', 'crimesagainsthumanity']",0,0,0,[]
2022-03-07 16:08:27,273559988,DreamerWarrior,es,"@MaraJuanaGonzl2 @MundoplanoF @DrEnriqueParis @pdazan @eduardowmusic @NataliaRavanal1 @arroyomatteucc1 @Fnix41330175 Y mejor a nivel de varios países. Son un grupo criminal, hay que desmantelarlos #NurembergTrialsForCovid",['nurembergtrialsforcovid'],0,0,0,"[{'screen_name': 'MaraJuanaGonzl2', 'name': 'Dra.MárianGonzG./Anticomunista', 'id': '1218978543595610112'}, {'screen_name': 'MundoplanoF', 'name': 'Mundoplano Flat', 'id': '1488641257446404099'}, {'screen_name': 'DrEnriqueParis', 'name': 'Dr. Enrique Paris M.', 'id': '795381833684885504'}, {'screen_name': 'pdazan', 'name': 'Paula Daza', 'id': '2496588486'}, {'screen_name': 'eduardowmusic', 'name': 'Eduardo Waghorn', 'id': '74925312'}, {'screen_name': 'NataliaRavanal1', 'name': 'Natalia Ravanales.', 'id': '1289261734201622530'}, {'screen_name': 'arroyomatteucc1', 'name': 'Marcela ARROYO-MATTEUCCI⚖Abog.🇨🇱🇪🇸🇮🇹', 'id': '936086446821314562'}, {'screen_name': 'Fnix41330175', 'name': 'René Fuchslocher', 'id': '1241089068370444290'}]"
2022-03-07 15:46:20,4707467188,rightroadnow,en,👇 Brilliant. #Nuremberg2 #NurembergTrialsForCovid,"['nuremberg2', 'nurembergtrialsforcovid']",2,0,1,[]
2022-03-07 14:46:59,273559988,DreamerWarrior,es,@Samara05055 @Juan35508129 tanta info sobre las vacunas. De hecho les hacemos 1 favor hablando de esa guerra. Ellos nos señalan a través d sus medios corruptos de qué quieren q hablemos y hacia dónde quieren desviar nuestra atención. No lo permitamos #NurembergTrialsForCovid  https://t.co/69SWqAuXnw,['nurembergtrialsforcovid'],1,0,1,"[{'screen_name': 'Samara05055', 'name': 'Samara 🎶', 'id': '1445159895649632259'}, {'screen_name': 'Juan35508129', 'name': 'Jcsigo', 'id': '1420133422371119109'}]"
2022-03-07 14:41:20,2800435362,Zosha123,en,"@JasonMa75487078 @FreoRogue @freocookster Trudeau had COVID got vaxed, &amp; boosted &amp; like BILLIONS of others he is still testing positive. Vaccinated Bill Maher &amp; entire sports teams/testing positive.  They didn't know the short term effects so nobody knows what the possible long term effects are.  #Nurembergtrialsforcovid",['nurembergtrialsforcovid'],0,0,0,"[{'screen_name': 'JasonMa75487078', 'name': 'sewerRAT', 'id': '1472917485347213313'}, {'screen_name': 'FreoRogue', 'name': 'FreoRogue (Jay)', 'id': '1422006596641513473'}, {'screen_name': 'freocookster', 'name': 'Freocookster ⚓', 'id': '15015082'}]"
2022-03-07 14:39:27,273559988,DreamerWarrior,ca,"@Catatn1 @Joan_Fost Crec q els fem un favor parlant d'aquesta guerra.És la mateixa estratègia q la farsèmia.Volen q tots parlem només d'això mentre s'ignoren molts altres conflictes i sobretot per tapar la info q surt d les vacunes,per això tota aquesta maquinària mediàtica #NurembergTrialsForCovid",['nurembergtrialsforcovid'],3,1,0,"[{'screen_name': 'Catatn1', 'name': 'Catatún', 'id': '971071914931294209'}, {'screen_name': 'Joan_Fost', 'name': 'Joan Fost', 'id': '755492538'}]"
2022-03-07 14:34:23,4707467188,rightroadnow,en,I think they knew they’d gone too far. #Nuremberg2 #NurembergTrialsForCovid,"['nuremberg2', 'nurembergtrialsforcovid']",1,0,0,[]
2022-03-07 14:29:00,273559988,DreamerWarrior,es,"@Samara05055 @Juan35508129 Me los imagino cenando y brindando mientras se ríen de nosotros y se distribuyen qué rol interpretan.Nos quieren enfrentados y distraídos,especialmente ahora q sale tanta info d las vacunas. A favor de la población d todas partes, d políticos ni 1 decente #NurembergTrialsForCovid",['nurembergtrialsforcovid'],1,1,1,"[{'screen_name': 'Samara05055', 'name': 'Samara 🎶', 'id': '1445159895649632259'}, {'screen_name': 'Juan35508129', 'name': 'Jcsigo', 'id': '1420133422371119109'}]"
2022-03-07 13:40:30,2607842889,billyoffgrid,en,@RCDHealthUnit Why are you still jabbing. #NurembergTrialsForCovid,['nurembergtrialsforcovid'],0,0,0,[]
2022-03-07 12:28:25,1328974194957111296,radswan1,en,Bring on #NurembergTrialsForCovid !! These fear peddlers just never stop !!,['nurembergtrialsforcovid'],8,2,2,[]
2022-03-07 12:24:41,76599202,GethD,en,@AliCat2329 They came after our children #NurembergTrialsForCovid,['nurembergtrialsforcovid'],3,0,0,"[{'screen_name': 'AliCat2329', 'name': 'alison williams ♐🦄♿️🏴\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f🌸', 'id': '468778192'}]"
2022-03-07 11:57:57,3311438469,battosai24601,und,#NurembergTrialsForCovid,['nurembergtrialsforcovid'],0,0,0,[]
2022-03-07 11:57:20,3311438469,battosai24601,en,@RogerSeheult DRUG PUSHER #NurembergTrialsForCovid  https://t.co/4cVEV85H4W,['nurembergtrialsforcovid'],1,0,0,"[{'screen_name': 'RogerSeheult', 'name': 'Roger Seheult, MD', 'id': '1359363872558227459'}]"
2022-03-07 11:39:58,1439901326780076032,NoToNaziJoe,und,#NurembergTrialsForCovid,['nurembergtrialsforcovid'],0,0,0,[]
2022-03-07 11:35:10,1439901326780076032,NoToNaziJoe,en,"They knew it could kill you and your kids but they forced it on you anyway, while exempting themselves.   #NurembergTrialsForCovid",['nurembergtrialsforcovid'],1,0,0,[]
2022-03-07 10:58:57,826325720557305857,kewpified,und,@GOP @SenateGOP   #NurembergTrialsForCovid,['nurembergtrialsforcovid'],0,0,0,[]
2022-03-07 09:06:19,2288201525,ContactLene,da,"Danskerne kræver en uvildig granskning af @regeringDK @folketinget og statens Covid håndtering for at afdække den fulde sandhed og de underliggende indflydelser fra EU, WEF, WHO for at finde ind til om her er #crimesgainsthumanity der kræver #nurembergtrialsforcovid  https://t.co/fnIMbVP5XO","['crimesgainsthumanity', 'nurembergtrialsforcovid']",0,0,1,[]
2022-03-07 08:21:13,2800435362,Zosha123,en,@NeedlesOnNews @MLHealthUnit @londonnewstoday @ClassicRock981 Tricking BILLIONS into taking what they said at first was an immunity giving vaccine that turned out to be a medication for ICU's is the greatest crime in Human history.  BILLIONS were needlessly exposed to unknown long term side effects. #Nurembergtrialsforcovid  #LdnOnt  https://t.co/loJKMrA5KF,"['nurembergtrialsforcovid', 'ldnont']",1,2,2,"[{'screen_name': 'NeedlesOnNews', 'name': 'Craig Needles', 'id': '70544000'}, {'screen_name': 'MLHealthUnit', 'name': 'MLHealthUnit', 'id': '83649318'}, {'screen_name': 'londonnewstoday', 'name': 'London News Today', 'id': '270357351'}, {'screen_name': 'ClassicRock981', 'name': 'Classic Rock 98.1', 'id': '253145145'}]"
2022-03-07 06:59:41,1481263501763035139,Bond_Institute,en,@IshmaelMcgoo @AllTheRisks human subject testing is a crime. #NurembergTrialsForCovid  https://t.co/rWDeSAgGFy,['nurembergtrialsforcovid'],1,0,1,"[{'screen_name': 'IshmaelMcgoo', 'name': 'Ishmael Mcgoo', 'id': '1427559449498046465'}, {'screen_name': 'AllTheRisks', 'name': 'Jonathan Weissman', 'id': '1436743403249745920'}]"
2022-03-07 04:18:58,2288201525,ContactLene,da,"Så bliver det afdækket hvorvidt @IntlCrimCourt er infiltreret af WEF på niveau med EU, WHO og nationale regeringer. Hvorfor har @IntlCrimCourt ikke starter tilsvarende høringer med fokus på mRNA masse injektion af verdens befolkning? Hvis-skal der skabes #Nurembergtrialsforcovid",['nurembergtrialsforcovid'],1,0,1,[]
2022-03-06 23:28:17,1410898242397691905,Politic01774202,und,@Etruria72 @ANMagistrati @CorteCost @Quirinale #Norimberga #NurembergTrialsForCovid,"['norimberga', 'nurembergtrialsforcovid']",0,0,0,"[{'screen_name': 'Etruria72', 'name': 'Marcel Proust', 'id': '470180296'}]"
2022-03-06 23:17:53,1232966449637023746,WYH530,en,@PatrickJaulent @Equatomos @DrTedros #NurembergTrialsForCovid and others,['nurembergtrialsforcovid'],0,0,0,"[{'screen_name': 'PatrickJaulent', 'name': 'Patrick Jaulent,', 'id': '331526869'}, {'screen_name': 'Equatomos', 'name': 'Equatomos', 'id': '1337168183178956800'}]"
2022-03-06 23:14:36,1410898242397691905,Politic01774202,it,@Quirinale @Palazzo_Chigi @Montecitorio @SenatoStampa voi invece sempre dalla parte sbagliata! 🤮🤦🏻‍♀️🆘😡👿 #Norimberga2 #NurembergTrialsForCovid #Nuremberg2ticktock 💪,"['norimberga2', 'nurembergtrialsforcovid', 'nuremberg2ticktock']",0,0,0,[]
2022-03-06 22:55:14,1410898242397691905,Politic01774202,und,@amnesty @CourPenaleInt @Quirinale #NurembergTrialsForCovid #norimberga2,"['nurembergtrialsforcovid', 'norimberga2']",6,0,4,[]
2022-03-06 22:45:00,1410898242397691905,Politic01774202,it,@febodena @Nocavia2 @dottorbarbieri Non esiste più in nessuna parte del Mondo il #COVID19! #Governo italiano marcio  @Palazzo_Chigi @Montecitorio @SenatoStampa  #dittaturaDraghi e corte di SERVI IMMORALI! Ridateci il lavoro VIGLIACCHI! #norimberga2 #Nuremberg2ticktock  #NurembergTrialsForCovid  #noobbligovaccinale,"['covid19', 'governo', 'dittaturadraghi', 'norimberga2', 'nuremberg2ticktock', 'nurembergtrialsforcovid', 'noobbligovaccinale']",1,0,1,"[{'screen_name': 'febodena', 'name': 'Febodena', 'id': '2661228929'}, {'screen_name': 'Nocavia2', 'name': 'Noobbligovaccinale🇷🇺❤️', 'id': '1495512090890711053'}, {'screen_name': 'dottorbarbieri', 'name': 'drb', 'id': '445201884'}]"
