date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-02-24 03:21:12,186985081,VidalioVar,en,"@disclosetv Those who do not know their history are open to repeating it.   For more than two years, humanity has been trying to learn and has been failing  #TrudeauIsACoward #TrudeauMustGo #TrudeauTryanny #COVID19 #TrudeauDictatorship #PandemicHoax  https://t.co/8IWJcT2oE7","['trudeauisacoward', 'trudeaumustgo', 'trudeautryanny', 'covid19', 'trudeaudictatorship', 'pandemichoax']",0,0,0,"[{'screen_name': 'disclosetv', 'name': 'Disclose.tv', 'id': '15392486'}]"
2022-02-10 11:39:50,765178951,E_Zack_Lee,en,World population = 7.9 billion World covid deaths = 5.9 million Death rate = .07% Let those numbers sink in. #COVID19 #pandemichoax #covidhoax,"['covid19', 'pandemichoax', 'covidhoax']",0,0,0,[]
2022-02-10 04:49:56,798863779,theindiereef,en,How's the pandemic going in your country these days?  Still not looking anything like a global Chinese Communist takeover?  #PandemicHoax #ArrestTheWEF,"['pandemichoax', 'arrestthewef']",0,0,0,[]
2022-01-27 14:27:34,3095843580,rvpredv,en,"Very smart Virus. Only attacks you in a night club if you're dancing or standing up in a restaurant walking to the bar, but sitting next to eachother in a packed outdoor venue is perfectly fine. Trust the #science 🤣 #PandemicHoax #COVID19  https://t.co/r2R1VLNO8T","['science', 'pandemichoax', 'covid19']",5,1,0,[]
2022-01-18 18:27:11,186985081,VidalioVar,en,@PeterSweden7 They are all actors in #plandemic #Bigpharma #MSM #government each reading and acting according to the script that #2030Agenda has assigned them.   They will not go unpunished #COVID19 #PandemicHoax #USA #London #France #Canada #Australia  #AustraliaOpen #NoVaccineMandates  https://t.co/QQh9rGega2,"['plandemic', 'bigpharma', 'msm', 'government', '2030agenda', 'covid19', 'pandemichoax', 'usa', 'london', 'france', 'canada', 'australia', 'australiaopen', 'novaccinemandates']",3,0,0,"[{'screen_name': 'PeterSweden7', 'name': 'PeterSweden', 'id': '707231479047315456'}]"
2022-01-18 18:16:20,186985081,VidalioVar,en,"@rick_pittman @100trillionUSD Without individual freedom, there is no financial freedom Rights are not requested, they are exercised 💪  #Dictatorship #PandemicHoax  https://t.co/QbY7CbtAYY","['dictatorship', 'pandemichoax']",59,4,12,"[{'screen_name': 'rick_pittman', 'name': 'Rick Pittman', 'id': '122274835'}, {'screen_name': '100trillionUSD', 'name': 'PlanB', 'id': '918804624303382528'}]"
2022-01-16 07:27:33,186985081,VidalioVar,en,"Meanwhile #AustralianOpen   @DjokerNole 40 vs #2030agenda 0 #breakpoint  ComeOn #COVIDIOTS Take your next shot, the vaccine is safe 😷 #PandemicHoax is for your own good, don't forget to go out and applaud 👏  #Djokovic  #NoVaccineMandates #VaccineSideEffects #miocarditis","['australianopen', '2030agenda', 'breakpoint', 'covidiots', 'pandemichoax', 'djokovic', 'novaccinemandates', 'vaccinesideeffects', 'miocarditis']",1,0,1,[]
2022-01-13 13:16:59,186985081,VidalioVar,en,"@MichaelPSenger This specimen will not be spared, its hands carry a lot of blood of innocent humans #Dictatorship #PandemicHoax  https://t.co/8cTFVrq11i","['dictatorship', 'pandemichoax']",0,0,0,"[{'screen_name': 'MichaelPSenger', 'name': 'Michael P Senger', 'id': '1679362640'}]"
2022-01-11 06:51:37,18432002,steelejman,en,@TrevBoland You're dealing with clinical psychopaths. Those who comply facilitate them... #Vaccinemandates #pandemichoax #LetsGoBrandon #HCQ #ivermectin #Budesonide,"['vaccinemandates', 'pandemichoax', 'letsgobrandon', 'hcq', 'ivermectin', 'budesonide']",0,0,0,"[{'screen_name': 'TrevBoland', 'name': 'Trevor Boland', 'id': '1301697845645447168'}]"
2022-01-05 07:28:50,1466874229526249482,IverMectin123,en,@POTUS Let's just start calling it what it actually is...a mild cold #pandemichoax,['pandemichoax'],0,0,0,"[{'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]"
