date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:57:09,24986797,johnnye1,en,"Remember when this was ""misinformation""? #Pfizerdocuments #CrimesAgainstHumanity","['pfizerdocuments', 'crimesagainsthumanity']",1,0,0,[]
2022-03-07 16:52:32,1494310019172483073,colina21412346,en,#NurembergTrialsForCovid #Nuremberg2ticktock #VaccineSideEffects #EnoughIsEnough #pfizerdocuments ....and they're STILL offering the #vaccine #COVID19AB  #CrimesAgainstHumanity,"['nurembergtrialsforcovid', 'nuremberg2ticktock', 'vaccinesideeffects', 'enoughisenough', 'pfizerdocuments', 'vaccine', 'covid19ab', 'crimesagainsthumanity']",0,0,0,[]
2022-03-07 16:40:39,551351270,V2Rtv,en,"@disclosetv #JenPsaki tell me you didn't read the #pfizerdocuments without telling me you didn't read the #pfizerdocuments, ready set go......","['jenpsaki', 'pfizerdocuments', 'pfizerdocuments']",1,0,0,"[{'screen_name': 'disclosetv', 'name': 'Disclose.tv', 'id': '15392486'}]"
2022-03-07 16:38:10,1408907950354092035,GhitaSAndersen,und,#pfizerdocuments #scandic #COVID19  https://t.co/ZWbwDkOTyc,"['pfizerdocuments', 'scandic', 'covid19']",1,0,0,[]
2022-03-07 16:37:31,24986797,johnnye1,und,#Pfizerdocuments #CrimesAgainstHumanity  https://t.co/PfnijxCg0p,"['pfizerdocuments', 'crimesagainsthumanity']",1,0,1,[]
2022-03-07 16:36:02,757492144827424768,Verdad_Global,es,#Pfizer que poco falta para q seáis juzgados #pfizerdocuments La verdad se sabrá … sólo es cuestión de tiempo ⏱… #EstafaGlobal #Covid_19 #COVID,"['pfizer', 'pfizerdocuments', 'estafaglobal', 'covid_19', 'covid']",0,0,0,[]
2022-03-07 16:34:10,1185292463545704448,Lady44391431,en,I really hope #Pfizer is held accountable for lying along with #Fauci &amp; all of the leaders who should have asked those hard qs to make sure this was safe...b/c clearly it wasn't and THEY KNEW &amp; DIDN'T CARE! #CovidVaccine #pfizerdocuments #FauciLied #PfizerLeak #DigDeep #AskQs,"['pfizer', 'fauci', 'covidvaccine', 'pfizerdocuments', 'faucilied', 'pfizerleak', 'digdeep', 'askqs']",2,0,0,[]
2022-03-07 16:30:04,964918919898304513,Gracelandfarmer,en,He warned us but we laughed at him.  #pfizerdocuments #Pfizer #OperationDudula #PutSouthAficansFirst #CovidVaccine #VaccineSideEffects  https://t.co/0zQigl8hEc,"['pfizerdocuments', 'pfizer', 'operationdudula', 'putsouthaficansfirst', 'covidvaccine', 'vaccinesideeffects']",6,1,7,[]
2022-03-07 16:28:02,1491021910343307267,quarter_castle,en,An interesting discusson.   https://t.co/AJnuti8Yt8  #pfizerdocuments #Pfizer,"['pfizerdocuments', 'pfizer']",0,0,0,[]
2022-03-07 16:26:00,1338749414513446913,ValForever2,pt,Quero ver o @mqueiroga2 na prisão PERPÉTUA! E @jairbolsonaro junto. GENOCIDAS #COVID19 #pfizerdocuments #VaccineSideEffects,"['covid19', 'pfizerdocuments', 'vaccinesideeffects']",0,0,0,[]
2022-03-07 16:16:56,188276023,MartinRides,en,"@Peston You may want to bring yourself up to speed on the #pfizerdocuments 👇👇👇 Can't have you looking daft on camera again, can we...",['pfizerdocuments'],0,0,0,[]
2022-03-07 16:06:53,1378401617695944709,KingBob53,en,@disclosetv It’s deeply disturbing they don’t cover the side effects in more detail. A black out by the media as #pfizerdocuments releases side effects including #myocarditis which I’ve gotten from the shot.   It’s time our leaders stop dodging questions and act like leaders.  https://t.co/RayYzE0rH9,"['pfizerdocuments', 'myocarditis']",4,0,1,"[{'screen_name': 'disclosetv', 'name': 'Disclose.tv', 'id': '15392486'}]"
