date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:32:55,40376662,coronelp,es,MÁS DEL #Pfizergate #Pfizergate #Pfizergate👇👇👇👇,"['pfizergate', 'pfizergate', 'pfizergate']",0,0,0,[]
2022-03-07 16:26:22,1468961496080084997,MyName854421351,en,Remember this administration lied about the Plandemic They &amp; MSM will always to line their pockets #BidenIsALaughingstock #Pfizergate,"['bidenisalaughingstock', 'pfizergate']",0,0,0,[]
2022-03-07 16:24:22,40376662,coronelp,und,@EimyMorer @farmaceuticoac1 @gaditanasinmor1 #Pfizergate #Pfizergate #Pfizergate  https://t.co/xHDNeHPjuT,"['pfizergate', 'pfizergate', 'pfizergate']",0,0,0,"[{'screen_name': 'EimyMorer', 'name': 'Emorer', 'id': '495510520'}, {'screen_name': 'farmaceuticoac1', 'name': 'farmaceuticoactivo', 'id': '1397057159083577348'}, {'screen_name': 'gaditanasinmor1', 'name': 'gaditanasinmordaza', 'id': '1164807697314676736'}]"
2022-03-07 16:24:00,1369582784667344900,NotIda7,fr,@BMKeira2901 Des paumés suffisamment intelligents pour ne pas écouter leur propagande de merde et qui ont eu raison sur toute la ligne depuis deux ans...Mais non rien...🙄 #Pfizergate #DavosAgenda #event201 #CrimesAgainstHumanity,"['pfizergate', 'davosagenda', 'event201', 'crimesagainsthumanity']",1,1,0,"[{'screen_name': 'BMKeira2901', 'name': 'Barbara M', 'id': '1420203852150804483'}]"
2022-03-07 16:20:17,1007829272642424832,lukhanyombilin,en,"IT WAS JUST A ""CONSPIRACY THEORY"" RIGHT? IT. ALTERS. YOUR DNA #Pfizer #Pfizergate #PfizerLeak  https://t.co/JawUaMJm0u","['pfizer', 'pfizergate', 'pfizerleak']",0,0,0,[]
2022-03-07 16:08:30,750450067,DrMichaelMaster,en,"Prior to approval for EUA, Pfizer had known the biodistribution of the lipid nanoparticle tech, which carries the synthetic mRNA tech, extended from the point of injection in the arm to the liver, and ovaries in women.  #LiveNotByLies #PfizerGate #CovidVaccine","['livenotbylies', 'pfizergate', 'covidvaccine']",0,0,0,[]
2022-03-07 15:53:48,3462482356,patty_sawicki,en,"Re: the covid shots- the injected have permanently altered genes, how much of a danger do they pose to the uninjected through physical contact/bodily fluids etc? Especially women? #pfizerdocuments #Pfizergate","['pfizerdocuments', 'pfizergate']",0,0,0,[]
2022-03-07 15:45:46,40376662,coronelp,es,@PatriItalyBlue @rodysuarez @alfredocornejo @juliocobos @diariouno @radiomitremza Esas inoculaciones ma.tan!  #Pfizergate #Pfizergate #Pfizergate  https://t.co/EzMNIzwZuT,"['pfizergate', 'pfizergate', 'pfizergate']",0,0,0,"[{'screen_name': 'PatriItalyBlue', 'name': 'Patricia 💫', 'id': '1274352426934505472'}, {'screen_name': 'rodysuarez', 'name': 'Rodolfo Suarez', 'id': '93763185'}, {'screen_name': 'alfredocornejo', 'name': 'Alfredo Cornejo', 'id': '3092373641'}, {'screen_name': 'juliocobos', 'name': 'Julio Cobos', 'id': '18466094'}, {'screen_name': 'diariouno', 'name': 'Diario UNO Mendoza', 'id': '38456951'}, {'screen_name': 'radiomitremza', 'name': 'Radio Mitre Mendoza', 'id': '632210837'}]"
2022-03-07 15:39:57,15738620,chrischew,en,"What part of #GeneTherapy do these people not understand? #pfizergate  ""She said that the US military has relied on mandatory immunization since 1777 when George Washington directed the inoculation of the Continental Army against smallpox.""   https://t.co/s793kflLjd","['genetherapy', 'pfizergate']",0,0,0,[]
2022-03-07 15:38:47,173607588,pdc251,pt,@mqueiroga2 @jairbolsonaro #Pfizergate não deixará impune todos que tiveram culpa direta ou indiretamente.,['pfizergate'],1,0,0,"[{'screen_name': 'mqueiroga2', 'name': 'Marcelo Queiroga', 'id': '2823869072'}, {'screen_name': 'jairbolsonaro', 'name': 'Jair M. Bolsonaro', 'id': '128372940'}]"
2022-03-07 15:37:07,817240166511349761,tommyBoomboom,en,Did Putin Cure Covid? #Covid19 #NarrativesAreCollapsing #Pfizergate,"['covid19', 'narrativesarecollapsing', 'pfizergate']",1,0,0,[]
2022-03-07 15:36:05,1244571397382443011,MoonchildWarri1,en," https://t.co/Maerfw9Fvi  💥Pfizer CEO this morning 7th March discussing his new book Moonshot and how wonderful the 💉 is.😩 No mention of harms, or #pfizergate Documents. This is unbelievable. He's still pushing it big time Comments are still open 😉",['pfizergate'],1,0,1,[]
2022-03-07 15:30:39,981499749265281024,Roberta64284151,pt,@mqueiroga2 @jairbolsonaro O senhor ouviu falar dk #Pfizergate,['pfizergate'],4,0,0,"[{'screen_name': 'mqueiroga2', 'name': 'Marcelo Queiroga', 'id': '2823869072'}, {'screen_name': 'jairbolsonaro', 'name': 'Jair M. Bolsonaro', 'id': '128372940'}]"
2022-03-07 15:15:55,1466090870676017160,CosmicKonscious,de,##ploetzlichundunerwartet Ist kein Zufall. Alle wissen es. Alle schweigen. #PfizerGate,"['ploetzlichundunerwartet', 'pfizergate']",0,0,0,[]
2022-03-07 15:12:22,1415683026411917316,MariaMe61230810,und,@CoxinhaBaiana @Lito02BR @anvisa_oficial #Pfizergate #anvisagenovida,"['pfizergate', 'anvisagenovida']",0,0,0,"[{'screen_name': 'CoxinhaBaiana', 'name': 'Paula2ag ⚡️ 🇧🇷 ⚡️', 'id': '793949732209102848'}, {'screen_name': 'Lito02BR', 'name': 'Carlos 🇧🇷🇧🇷🇧🇷', 'id': '4458312677'}, {'screen_name': 'anvisa_oficial', 'name': 'Anvisa', 'id': '59477935'}]"
2022-03-07 14:51:07,53489202,DerrickSweet,en,Like I said! #pfizerdocuments #Pfizer #modernagate #Moderna #arrestfauci #arresttrudeau #PfizerGate #CrimesAgainstHumanity,"['pfizerdocuments', 'pfizer', 'modernagate', 'moderna', 'arrestfauci', 'arresttrudeau', 'pfizergate', 'crimesagainsthumanity']",2,0,2,[]
