date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:34:10,1185292463545704448,Lady44391431,en,I really hope #Pfizer is held accountable for lying along with #Fauci &amp; all of the leaders who should have asked those hard qs to make sure this was safe...b/c clearly it wasn't and THEY KNEW &amp; DIDN'T CARE! #CovidVaccine #pfizerdocuments #FauciLied #PfizerLeak #DigDeep #AskQs,"['pfizer', 'fauci', 'covidvaccine', 'pfizerdocuments', 'faucilied', 'pfizerleak', 'digdeep', 'askqs']",2,0,0,[]
2022-03-07 16:20:17,1007829272642424832,lukhanyombilin,en,"IT WAS JUST A ""CONSPIRACY THEORY"" RIGHT? IT. ALTERS. YOUR DNA #Pfizer #Pfizergate #PfizerLeak  https://t.co/JawUaMJm0u","['pfizer', 'pfizergate', 'pfizerleak']",0,0,0,[]
2022-03-07 16:13:21,82955872,coachdefitness,en,This woman is a lier and corrupt as #FauciLied   #PfizerLeak #Pfizer #VaccineSideEffects #vaccinedeaths #VaccinesWork ??   https://t.co/5GsXEs7QsV,"['faucilied', 'pfizerleak', 'pfizer', 'vaccinesideeffects', 'vaccinedeaths', 'vaccineswork']",1,0,1,[]
2022-03-07 16:08:22,1499570630878023683,NelsonPCarm,und,👏👏👏👏👏  #CovidIsNotOver #maskupportland #quadvaxxed #boosted #Pfizer #pfizerleak  https://t.co/x8mIRw2YsT,"['covidisnotover', 'maskupportland', 'quadvaxxed', 'boosted', 'pfizer', 'pfizerleak']",0,0,0,[]
2022-03-07 15:55:11,1480660069956341761,Fremdenlegionr1,de,"@Tim_Roehn @henriette_nette Alter Schwurbler, du 🤣🤣🤣   #PandemiederGeimpften #BoosterClub #Booster #PfizerLeak #Pfizerpapers #BioNTech","['pandemiedergeimpften', 'boosterclub', 'booster', 'pfizerleak', 'pfizerpapers', 'biontech']",1,0,1,"[{'screen_name': 'Tim_Roehn', 'name': 'Tim Röhn', 'id': '19802110'}, {'screen_name': 'henriette_nette', 'name': 'Henriette', 'id': '818876539202891776'}]"
2022-03-07 15:49:30,295867771,O287Ro8At1,und,#pfizerdocuments #PfizerLeak   https://t.co/iuunjXjst1  https://t.co/a0gUuJTXoa,"['pfizerdocuments', 'pfizerleak']",0,1,0,[]
2022-03-07 15:45:34,15738620,chrischew,en,Alarming health trends with vaccines. Meanwhile 2 #Pfizer drugs this week recalled by the FDA over carcinogenic concerns. #PfizerLeak #Pfizervaccine #Getvaccinated is no longer trending for good reason. #Moderna and #BioNTech stocks both drop another $10 bucks today.,"['pfizer', 'pfizerleak', 'pfizervaccine', 'getvaccinated', 'moderna', 'biontech']",0,0,0,[]
2022-03-07 15:17:27,1446583235165655040,BobnChop,en,"“It's deeply disturbing that there are politicians peddling conspiracy theories out there and casting doubt on vaccinations.""  Sorry sweetheart, the #PfizerLeak kinda verified the “theories”  #COVID19 #pfizerdocuments  https://t.co/6CibquyacM","['pfizerleak', 'covid19', 'pfizerdocuments']",1,0,1,[]
2022-03-07 14:59:08,1342528123628351489,TellUnknown,en,I want to be a fly in a ANC NEC meeting the day they talk about the #PfizerLeak #pfizerdocuments  It will be a colossal mess.,"['pfizerleak', 'pfizerdocuments']",0,0,0,[]
2022-03-07 14:56:30,1445093391893676041,MaraveleThabo23,en,Today relationships are full occupied by pretenders #BBManzi  #PfizerLeak  https://t.co/VS80lVGrwK,"['bbmanzi', 'pfizerleak']",0,0,0,[]
2022-03-07 14:28:57,3150425065,mjfq396_jon,und,@samis_tim @Ze_Ardi @RachelNotley #naturalimmunity #99percentrecovery #maskingisuseless #PfizerLeak,"['naturalimmunity', '99percentrecovery', 'maskingisuseless', 'pfizerleak']",0,0,0,"[{'screen_name': 'samis_tim', 'name': 'Tim Samis', 'id': '1267281801308811264'}, {'screen_name': 'Ze_Ardi', 'name': 'Gemoraw ZeArdi', 'id': '1413358903945957379'}, {'screen_name': 'RachelNotley', 'name': 'Rachel Notley', 'id': '42836999'}]"
2022-03-07 14:12:24,1332417342,fabio35590,fr,"@amelie_for_you Putain c'est pas possible de lire des conneries pareilles. Ça n'a aucun sens  dans le contexte Omicron, et conflits d'intérêts manifestes.  Certains devront rendre des comptes de persévérer dans la manipulation criminelle. #Nuremberg2 #PfizerGate #PfizerLeak","['nuremberg2', 'pfizergate', 'pfizerleak']",0,1,0,"[{'screen_name': 'amelie_for_you', 'name': 'Doc Tagada Sunshine', 'id': '2251682060'}]"
2022-03-07 13:59:01,1009653649935683584,henaryn,es,"@Olympus2021 Hay no más para q circule,  #No #pfizerdocuments  #Pfizervaccine #PfizerLeak  #pfizerdocs  https://t.co/pKse96tjox","['no', 'pfizerdocuments', 'pfizervaccine', 'pfizerleak', 'pfizerdocs']",1,0,0,"[{'screen_name': 'Olympus2021', 'name': 'Zeus', 'id': '1259293364668764161'}]"
2022-03-07 13:28:43,1351981978686545922,Seatbelttestet,de,@hessenschau Horrorszenarien der Bundesregierung sind nicht eingetreten. Zum wiederholten Mal wurde Panik verbreitet um Maßnahmen zu begründen. Jetzt auch noch #PfizerLeak ! Angeblich alles sicher und empfohlen. Absolut nachvollziehbar dass Novavax nun auch abgelehnt wird.,['pfizerleak'],0,0,0,"[{'screen_name': 'hessenschau', 'name': 'hessenschau', 'id': '17360630'}]"
2022-03-07 13:24:33,1478400052880105474,katleho_letsaba,en,"To Them, It's Just Business At The End Of The Day. They've Legit Secured The Bag With So Many Lives Being Lost Shame. Fela Heh, What's Done In The Dark Always Comes To Light. Modimo o Teng 🤞🏽🤍  #Pfizer #pfizerdocuments #PfizerLeak #Pfizerdata","['pfizer', 'pfizerdocuments', 'pfizerleak', 'pfizerdata']",0,0,0,[]
