date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 00:17:11,1275283569758269440,JaneTaylore,und,#EndVaccineMandates #PfizerLied,"['endvaccinemandates', 'pfizerlied']",1,0,0,[]
2022-03-06 22:25:19,1258216632163250177,LynnOwe53622654,en,Our Federal Govt WITHHELD this information for over a YEAR! @pfizer wanted it WITHHELD for another 69 yrs! #PfizerLied #FauciLied   It's also WHY #LocalGovMatters thinks it's okay to do it to you. @FresnoPolice &amp; @MayorJerryDyer thinks it's okay to Hide a #DirtyCop for 2 mos!?!,"['pfizerlied', 'faucilied', 'localgovmatters', 'dirtycop']",1,0,1,[]
2022-03-06 08:37:21,1348332933678030849,Donna04375170,en,#PfizerLied #FindFauci so he can be #ArrestFauci for crimes against humanity and make Pfizer pay.,"['pfizerlied', 'findfauci', 'arrestfauci']",2,0,1,[]
2022-03-05 23:52:34,1494460713125003264,RhettRocking,en,@walkawayAUS Not if you’ve had people in your own world harmed or killed by it only for govt &amp; medicos deny any connection / responsibility ... no  #pfizerdocuments #Pfizer #PfizerLeak #pfizerlied #Pfizergate   This is what people want to discuss,"['pfizerdocuments', 'pfizer', 'pfizerleak', 'pfizerlied', 'pfizergate']",3,1,1,"[{'screen_name': 'walkawayAUS', 'name': 'نJohn Green🇦🇺❌', 'id': '976052549357731842'}]"
2022-03-05 22:57:21,1101333157637349377,OllieOptVuur,en,So @pfizer had to pay 2.8 billion in criminal fines in 2008 for bribing doctors.   Now look at this… #Pfizer #pfizerlied #NoMandates    https://t.co/iVvqYAMHYG,"['pfizer', 'pfizerlied', 'nomandates']",0,0,0,[]
2022-03-05 19:48:16,174512046,VeroYoSoy,und,#pfizerlied #PfizerLeak  #pfizerdocuments  #Pfizergate,"['pfizerlied', 'pfizerleak', 'pfizerdocuments', 'pfizergate']",1,0,0,[]
2022-03-05 19:21:17,855699337,IngeScott,und,#FDA #pfizerlied,"['fda', 'pfizerlied']",0,0,0,[]
2022-03-05 17:10:26,1361377766155853827,MildaBach,und,#pfizerdocuments #pfizerdata #pfizerdocs #pfizerlied,"['pfizerdocuments', 'pfizerdata', 'pfizerdocs', 'pfizerlied']",7,0,2,[]
2022-03-05 17:09:14,1449535939198345216,KateKelly1111,en,@CraigKellyMP Msm where are you? #pfizerlied #auspol #ShaneWarne  https://t.co/PBXJ0RR6g9,"['pfizerlied', 'auspol', 'shanewarne']",8,1,1,"[{'screen_name': 'CraigKellyMP', 'name': 'Craig Kelly MP', 'id': '211371719'}]"
2022-03-05 17:08:41,604545802,basboon007,en,Pfizer’s list of vaccine side effects (new data).  Who called us conspiracy theorists for warning you about this?  #pfizerscandal #Pfizerdata #pfizerlied #pfizer #VaccineSideEffects  https://t.co/QQ74PgyqPU  https://t.co/WsA5qpbC1E,"['pfizerscandal', 'pfizerdata', 'pfizerlied', 'pfizer', 'vaccinesideeffects']",5,1,4,[]
2022-03-04 16:06:18,1492601916647682049,lufeqjohn,en,How much longer @GregHuntMP ? #Treason #PfizerLied,"['treason', 'pfizerlied']",5,1,0,[]
2022-03-03 15:34:40,535568224,TrailsOfDoom,en,#Pfizerlied #notsafe #killers #murderers #Pfizer #Facebook #propaganda here is page 1 of pfizers actual vaccine trial. Page 30-38 is where they list all the side effects they found... and hid...  https://t.co/s1B7kNo8kw,"['pfizerlied', 'notsafe', 'killers', 'murderers', 'pfizer', 'facebook', 'propaganda']",0,1,0,[]
2022-03-02 17:35:14,629385779,MichiganMommy11,en,Read the thread  #COVID19 #PfizerLied,"['covid19', 'pfizerlied']",1,0,0,[]
2022-03-02 10:51:46,1268897776714371074,Gladiat70020473,en,#PfizerLied People died,['pfizerlied'],0,0,0,[]
