date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:00:54,1036616693362114561,KPDanielle1,und,#CrackPipeJoeHasGotGo  #PlandemicGameOver   https://t.co/J9lHFkR2jC,"['crackpipejoehasgotgo', 'plandemicgameover']",0,0,0,[]
2022-03-07 11:00:48,1036616693362114561,KPDanielle1,en,"Another Unfortunate Incident...😢  It's no wonder the CDC is refusing to release the number of Covid Deaths, Infections, &amp; Vaccine Injuries since they told everyone to get their Booster!! 💉🙄  #ItsTimeToWakeUpNow #PlandemicGameOver","['itstimetowakeupnow', 'plandemicgameover']",2,0,1,[]
2022-03-07 10:39:15,1056892575808974849,__Marie_Marie__,ja,世界中がウクライナ一色になっているのは  何かを隠したいのでは?🙄  75年→ 55年情報を隠そうとしていた  ファイザー 臨床試験資料  P30〜の付録1.特に注目すべき有害事象のリストの一部 (日本語訳) スクショ  #茶番 #茶番劇 #詐欺 #真実 #茶番終了 #PlandemicGameOver #WakeUp  https://t.co/wttuQYasxj,"['茶番', '茶番劇', '詐欺', '真実', '茶番終了', 'plandemicgameover', 'wakeup']",4,0,1,[]
2022-03-06 23:18:20,1366315010876575749,TruthLoveKind,und,@DeanBarron7 @FatherBob @debra_mcgrath #PlandemicGameOver #TheBatman,"['plandemicgameover', 'thebatman']",0,0,0,"[{'screen_name': 'DeanBarron7', 'name': 'Deano', 'id': '750011032119062530'}, {'screen_name': 'FatherBob', 'name': 'FatherBob', 'id': '9560992'}, {'screen_name': 'debra_mcgrath', 'name': 'Debra McGrath', 'id': '2216519718'}]"
2022-03-06 20:08:41,1434815552476831744,SoaringGrypho,en,#MainstreamMedia quietly transitioned from @covid1984 to #Russia real quick.   What will the sheep do now? Go to #Ukraine?   #PlandemicGameOver,"['mainstreammedia', 'russia', 'ukraine', 'plandemicgameover']",0,0,0,[]
2022-03-05 21:39:48,431001068,iamlomaverde,en,Must see TV…#FauciLied #FauciLiedAndPeopleDied #PlandemicGameOver #Plandemic,"['faucilied', 'fauciliedandpeopledied', 'plandemicgameover', 'plandemic']",0,0,0,[]
2022-03-05 14:15:16,1467269161013370882,binomlink,tr,#münchen özgürlüğe adımlar ✌🏼😎 #PlandemicGameOver 🥳🥳🥳  https://t.co/fyMw8ILmcB,"['münchen', 'plandemicgameover']",1,0,0,[]
2022-03-05 13:54:25,431001068,iamlomaverde,en,In the sarcastic words of our great coach Mike McDaniel on the @PatMcAfeeShow show…”we did it!! The NFL beat COVID!!!”  😂😂😂 Y’all fall for anything.  #PlandemicGameOver #COVID #NoMoreBSNews,"['plandemicgameover', 'covid', 'nomorebsnews']",0,0,0,[]
2022-03-05 12:18:39,431001068,iamlomaverde,en,The only thing we “dying” of is laugher.  #PlandemicGameOver #BidenIsADisgrace #DemocratsAreADisaster,"['plandemicgameover', 'bidenisadisgrace', 'democratsareadisaster']",1,0,0,[]
2022-03-05 12:11:32,908172805,roobjack,tr,Birisi şuna söylesin #plandemi bitti!  #maske #heskodu #PlandemicGameOver #bengibaser  https://t.co/cC2oAxDALD,"['plandemi', 'maske', 'heskodu', 'plandemicgameover', 'bengibaser']",0,0,0,[]
