date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-02-27 09:46:47,49815071,Carla_Almeida0,en,@fringe_canadian @RNCResearch @GadgetCan2 #plannedWAR just like it was a #plannedpandemic !,"['plannedwar', 'plannedpandemic']",1,1,0,"[{'screen_name': 'fringe_canadian', 'name': 'Antonio', 'id': '1334516442318958597'}, {'screen_name': 'RNCResearch', 'name': 'RNC Research', 'id': '55329156'}, {'screen_name': 'GadgetCan2', 'name': 'Agent Rebecca', 'id': '1033874423525388289'}]"
2022-02-24 06:43:22,1350868550093684737,manoukliar,en,#FauxPandemic #PlannedPandemic #MasksDontWork #NoJab I ain't sick and it ain't no vaccine because it ain't got no Wuhan in it  we've been fooked #WakeUpAmerica,"['fauxpandemic', 'plannedpandemic', 'masksdontwork', 'nojab', 'wakeupamerica']",1,0,2,[]
2022-02-23 03:51:42,1350868550093684737,manoukliar,en,#FauxPandemic  #PlannedPandemic #MasksDontWork #NoJab I ain't sick and it ain't no vaccine because it ain't got no Wuhan in it 😡 😡😡😡😡😡😡😡😡,"['fauxpandemic', 'plannedpandemic', 'masksdontwork', 'nojab']",0,0,1,[]
2022-02-14 07:16:57,1350868550093684737,manoukliar,en,#FauxPandemic #PlannedPandemic 😡 😡 we've been lied to,"['fauxpandemic', 'plannedpandemic']",0,0,0,[]
2022-02-10 08:45:00,1350868550093684737,manoukliar,en,#FauxPandemic #PlannedPandemic an Endemic at worst 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,"['fauxpandemic', 'plannedpandemic']",0,0,1,[]
2022-02-07 18:38:09,1350868550093684737,manoukliar,und,#FauxPandemic #PlannedPandemic 😡 😡 😡 😡,"['fauxpandemic', 'plannedpandemic']",1,0,1,[]
2022-02-04 14:59:46,1350868550093684737,manoukliar,en,It never was 😡😡😡😡😡😡😡😡😡😡 #FauxPandemic #PlannedPandemic,"['fauxpandemic', 'plannedpandemic']",0,0,1,[]
2022-01-27 16:07:41,1350868550093684737,manoukliar,en,@9KUSATHINKS Thanks sister Patriot 💪🏻🇺🇸 #FauxPandemic #PlannedPandemic,"['fauxpandemic', 'plannedpandemic']",0,0,0,[]
2022-01-16 14:40:49,1350868550093684737,manoukliar,en,An endemic at worst Iis a cold virus. #FauxPandemic #PlannedPandemic 😡,"['fauxpandemic', 'plannedpandemic']",1,0,1,[]
2022-01-12 15:04:06,1350868550093684737,manoukliar,und,#FauxPandemic #PlannedPandemic 😡,"['fauxpandemic', 'plannedpandemic']",2,0,2,[]
