date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:48:31,4709520015,CorvusUrsa,en,"@VincentZahler @Mike_Grieco @GovRonDeSantis @RonDeSantisFL @ChristinaPushaw I gave you one example of how this is happening under another ""Parent's Bill of Rights"" bill that already passed and was the inspiration for Harding to introduce this pro-#QAnon legislation. Funny how none of you chuds address this large amount of vaugeness on the ""standards""",['qanon'],0,0,0,"[{'screen_name': 'VincentZahler', 'name': 'Vincent Zahler', 'id': '879105124001513478'}, {'screen_name': 'Mike_Grieco', 'name': 'Michael Grieco', 'id': '28808016'}, {'screen_name': 'GovRonDeSantis', 'name': 'Ron DeSantis', 'id': '1058807868'}, {'screen_name': 'RonDeSantisFL', 'name': 'Ron DeSantis', 'id': '487297085'}, {'screen_name': 'ChristinaPushaw', 'name': 'Christina Pushaw 🇺🇸', 'id': '31667539'}]"
2022-03-07 16:47:21,4709520015,CorvusUrsa,en,"@VincentZahler @Mike_Grieco @GovRonDeSantis @RonDeSantisFL @ChristinaPushaw Now you're just conflating my tweets because you have no retort. This bill weaponizes civil lawfare for #Qanon freaks to sue school districts over whatever pathetic perceived slight they dream up, all to crack the public systems apart and mire them in legal costs.",['qanon'],0,2,0,"[{'screen_name': 'VincentZahler', 'name': 'Vincent Zahler', 'id': '879105124001513478'}, {'screen_name': 'Mike_Grieco', 'name': 'Michael Grieco', 'id': '28808016'}, {'screen_name': 'GovRonDeSantis', 'name': 'Ron DeSantis', 'id': '1058807868'}, {'screen_name': 'RonDeSantisFL', 'name': 'Ron DeSantis', 'id': '487297085'}, {'screen_name': 'ChristinaPushaw', 'name': 'Christina Pushaw 🇺🇸', 'id': '31667539'}]"
2022-03-07 16:44:46,4709520015,CorvusUrsa,en,@DontSayGayBill is just legalizing lawfare for #Qanon freaks in places like Pasco County to sue school districts into oblivion so as to crack the public system in favor of the charter/private school systems. If you don't think RW PAC money ain't gonna prop up these legal teams...,['qanon'],0,0,0,[]
2022-03-07 16:44:35,938138749329985536,DefeatTrumpinWI,en,@SmoreNewsletter you know what isn’t cool? Allowing anti-teacher groups to host their witch hunts on your site. This site was created to go after #teachers for teaching anti bias or anything else the group doesn’t approve of. #education #QAnon @nea @wea  https://t.co/9ZRfL81xrD,"['teachers', 'education', 'qanon']",0,0,0,[]
2022-03-07 16:38:22,14837621,timethief,en,@RyanSarai1 #5G and #QAnon: how #conspiracy theorists steered Canada’s anti-vaccine trucker protest. Ottawa’s occupation was a result of unrivaled coordination between anti-vax and anti-government organizations  https://t.co/Rvkm7utMmU,"['5g', 'qanon', 'conspiracy']",1,0,0,"[{'screen_name': 'RyanSarai1', 'name': '𝑹𝒚𝒂𝒏 𝑺𝒂𝒓𝒂𝒊', 'id': '1168957317355888645'}]"
2022-03-07 16:32:41,21786370,Milvet2009,en,Florida governor creates GOP Gestapo...  #GOPterrorists #resist #resistance #TheResistance #Insurrectionists #OathKeepers #ProudBoys #MAGA #BanFoxNews #GOPVoterFraud #TheBase #QAnon #VoteBlue    https://t.co/NNloyyHoxg,"['gopterrorists', 'resist', 'resistance', 'theresistance', 'insurrectionists', 'oathkeepers', 'proudboys', 'maga', 'banfoxnews', 'gopvoterfraud', 'thebase', 'qanon', 'voteblue']",0,0,0,[]
2022-03-07 16:30:22,990985771606728705,SeanSpammity,en,Am I doing it right? #QAnon #FollowTheWhiteRabbit,"['qanon', 'followthewhiterabbit']",0,0,0,[]
2022-03-07 16:29:39,16725512,ZenithUpwards,en,Is this why Trump loves Russia and Putin so much? They paid for him? They owned him? #GOP #Republicans #MAGA #QAnon,"['gop', 'republicans', 'maga', 'qanon']",0,0,0,[]
2022-03-07 16:20:19,1166381062248783874,forcemultstevea,en,Idiocracy: a disturbingly prophetic look at the future of America – and our era of stupidity  https://t.co/SSDZgudChw  Neurons in brain make enough electricity each day to run a light bulb (20 watts) but #GOP #QAnon #MAGA #whitetrash supporters &lt; 1 watt,"['gop', 'qanon', 'maga', 'whitetrash']",0,0,0,[]
2022-03-07 16:20:07,1166381062248783874,forcemultstevea,en,@TrophyXpose @laurenboebert Idiocracy: a disturbingly prophetic look at the future of America – and our era of stupidity  https://t.co/SSDZgudChw  Neurons in brain make enough electricity each day to run a light bulb (20 watts) but #GOP #QAnon #MAGA #whitetrash supporters &lt; 1 watt,"['gop', 'qanon', 'maga', 'whitetrash']",0,0,0,"[{'screen_name': 'TrophyXpose', 'name': 'XposeTrophyKilling', 'id': '1361142865728954370'}, {'screen_name': 'laurenboebert', 'name': 'Lauren Boebert', 'id': '1201670995435646976'}]"
2022-03-07 15:57:25,1356317083269783553,cannoli1000,und,#mentalillness #Qanon  https://t.co/gpeSNYwbx9,"['mentalillness', 'qanon']",1,1,1,[]
2022-03-07 15:53:19,1356317083269783553,cannoli1000,en,Of course the Russian Z tanks are connected to the #Qanon #mentalillness  https://t.co/BROKuGcgOs,"['qanon', 'mentalillness']",1,0,1,[]
2022-03-07 15:32:00,505431909,NewtownBooks,en,"""If you care about the future of a civil society ... this is the book to read to get an idea of the forces that have gathered against those ideals."" Linda Godfrey reviews Van Badham's QAnon and On:  https://t.co/kR55HkjYPm @HardieGrant @vanbadham #QAnon #internetconspiracies","['qanon', 'internetconspiracies']",3,0,2,[]
2022-03-07 15:08:44,29540950,RevChuckCurrie,en,"In Ukraine, brave people are fighting an invasion. In Russia, protesters are telling Putin “No!” to his war &amp; ending up in Putin’s jails. In the United States, the #PeoplesConvoyUSA is spreading #QAnon conspiracies, tying up traffic, &amp; undermining public health.   #PeoplesConvoy","['peoplesconvoyusa', 'qanon', 'peoplesconvoy']",11,0,0,[]
2022-03-07 15:01:58,770356860,BrotherLeeLuv,en,"Dream Scenario: #Anonymous FINDS  #Epstein 'cover your ass' videos of #Pedophile #trump committing rape. PROVEN that the kind of pedos, #QAnon warned about IS THE #TrumpCrimeFamily. #RightWing joins #FarLeft crying for blood. ""Short drop, sudden stop,"" ends crime spree.","['anonymous', 'epstein', 'pedophile', 'trump', 'qanon', 'trumpcrimefamily', 'rightwing', 'farleft']",1,0,0,[]
2022-03-07 15:01:25,1285104865,stenderstender,en,"@GuyAdami Hang tough Guy, the #QAnon branch just has to clear the bowels of the #Repub party, u know as smoothly as a branch can.","['qanon', 'repub']",0,0,0,"[{'screen_name': 'GuyAdami', 'name': 'Guy Adami', 'id': '39264827'}]"
2022-03-07 14:36:16,488748110,jojofuse,en,@thejohnbronson @briantylercohen 'Articulation' requires some learning from the #DeptofEducation. #FreedomTruckers do their own research on #RightSideBroadcadting or #QANON &amp; they've concluded that articulation of grievances is not needed. Just like the mask.,"['deptofeducation', 'freedomtruckers', 'rightsidebroadcadting', 'qanon']",0,0,0,"[{'screen_name': 'thejohnbronson', 'name': 'John Bronson', 'id': '968233809723449344'}, {'screen_name': 'briantylercohen', 'name': 'Brian Tyler Cohen', 'id': '455684839'}]"
2022-03-07 14:30:13,81179597,cambskeptics,en,"Multiple figures who have supported the #QAnon conspiracy theory have active shows hosted on #Spotify, despite the platform’s previous crackdown on QAnon content, reports @AlKapDC for @mmfa.  https://t.co/dDEZkBvgwI","['qanon', 'spotify']",1,0,0,[]
2022-03-07 14:28:51,838736654537994240,8BrianVogel4,und,@Liz_Wheeler #LizWheeler #AntiAmerican #traitor #Qanon #Dumb #YouStupidAF #MentallyIll,"['lizwheeler', 'antiamerican', 'traitor', 'qanon', 'dumb', 'youstupidaf', 'mentallyill']",0,0,0,"[{'screen_name': 'Liz_Wheeler', 'name': 'Liz Wheeler', 'id': '264361128'}]"
2022-03-07 14:00:57,27336862,Lila33,en,@an_untamed As far as I understand it #Anonymous  is a collective of hackers/activists waging cyberwar against oppression and corruption. Anonymous claim #QAnon has stolen their 'branding' and are currently are trying to wipe out out  QAnon's presence on social networks to 'deplatform' them.,"['anonymous', 'qanon']",1,0,0,"[{'screen_name': 'an_untamed', 'name': 'VaxxedVixen lefty 💉💉rusted on prole sewer🐁', 'id': '1115423323163217921'}]"
