date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:33:26,849641087367094274,MKay54,en,Well I know for a fact that #MAGA &amp; #QAnonCult &amp; @GOP voters WANT TO PAY MORE in TAXES and MORE for MEDICARE  to help out the filthy rich in this country.  Thank You @GOP for making everyday Americans pay more for everything in order to subsidize ULTRA WEATHY Americans.,"['maga', 'qanoncult']",0,0,0,[]
2022-03-07 16:17:03,570387863,solomongrundy6,en,#TrumpCult members crying Impeach Biden  😭they Impeached Trump twice😭 its only right!  Fucking crybabies! Watergate #TrumpIsGuilty #Ukrainian #TrumpIsARussianAsset #TraitorTrump Truth Social #TrumpIsACriminal #GOPtheRussianPartyofTraitors #LockHimUp #ArrestTrumpNow #QAnonCult  https://t.co/h29e2oQbNS,"['trumpcult', 'trumpisguilty', 'ukrainian', 'trumpisarussianasset', 'traitortrump', 'trumpisacriminal', 'goptherussianpartyoftraitors', 'lockhimup', 'arresttrumpnow', 'qanoncult']",1,0,1,[]
2022-03-07 16:09:22,389801920,MikeTwome,en,BREAKING: Whistleblower tells all!! It looks like Queen Romana Dildo has some internal leaks coming out. Anyone questioning her is banned outright and threatened to 30 days in jail. #QanonCult #Q #Clownvoy #FluTruxKlan 🤪  https://t.co/4Oswitll2z,"['qanoncult', 'q', 'clownvoy', 'flutruxklan']",1,0,1,[]
2022-03-07 15:42:56,23409510,Jill33324,en,Honey it’s probably already out they probably are not letting you read it because you make stupid comments like you have all day realize that you were on the wrong side of history and you will be voted out this November thank Gd! #mtgresinetraitor #QAnonCult,"['mtgresinetraitor', 'qanoncult']",0,0,0,[]
2022-03-07 15:11:10,1386171188968255488,JerryVPMH,en,Haha. I'll take my chances. 🤣  #QAnonCult  #q  #RomanaDidulo,"['qanoncult', 'q', 'romanadidulo']",0,0,0,[]
2022-03-07 15:02:53,823643324041007105,mynewlife2017,en,Can someone translate this to English for me!?!  WTF do they get their crazy conspiracies from?  #QAnonCult,['qanoncult'],0,0,0,[]
2022-03-07 13:36:06,260831308,greevy64,en,Check out The Good Liars's video! #TikTok  https://t.co/H6yw4AMiEW #crazy #QAnonCult #TruckersGoHome #truckers,"['tiktok', 'crazy', 'qanoncult', 'truckersgohome', 'truckers']",0,0,0,[]
2022-03-07 13:22:29,389801920,MikeTwome,en,Queen Romana Dildo declares treason on those that abandoned her!! #QAnonCult #Q #FluTruxKlan 😂😂😂  https://t.co/WaBGJxpCdC,"['qanoncult', 'q', 'flutruxklan']",7,8,0,[]
2022-03-07 13:17:39,171267518,reddawns,en,"@SenatorSinema  is the only person standing in the way of Biden’s domestic plan. @Sen_JoeManchin , floats a spending plan he can support, leaving greedy, undemocratic Sinema as the only roadblock. She reminds me of #RepubliKKKlan female #QAnonCult    https://t.co/E1DNEssibB","['republikkklan', 'qanoncult']",0,0,0,[]
2022-03-07 12:55:30,1446281568985747458,MrElGuapo2U,en,Where wre the #wethepeople dummies?  I want my freedom from something that doesn't exist any longer.  #QAnonCult nuts and just plain gullible people. Next you will see clues in traffic signs #666  https://t.co/zLKoLckAZz,"['wethepeople', 'qanoncult']",0,0,0,[]
2022-03-07 12:52:18,23689566,katesone,en,@RepMikeGarcia We are strong. Our economy is strong. We have rejected your QAnon insanity and WE do deserve better than the likes of you. #QAnonCult,['qanoncult'],8,0,0,"[{'screen_name': 'RepMikeGarcia', 'name': 'Rep. Mike Garcia', 'id': '1262531473057423361'}]"
2022-03-07 12:43:41,713895383462711297,Rowvitch2012,en,"Pleased to follow you @prieta_one No matter where we are in the 🌎 we must organize, network, collaborate, stick together, &amp; SPEAK OUT to resist dictators &amp; aspiring dictators I stand WITH u #FBR  #Resist  #VoteBlue  #Resisters  #FBRParty  #MAGACult  #TrumpCult  #QAnonCult  https://t.co/dyyaz6Uwse","['fbr', 'resist', 'voteblue', 'resisters', 'fbrparty', 'magacult', 'trumpcult', 'qanoncult']",1,0,0,[]
2022-03-07 12:43:39,24095891,wandor,en,@JeffreyLuscombe This is so crazy. #QAnonCult,['qanoncult'],0,0,0,"[{'screen_name': 'JeffreyLuscombe', 'name': 'Jeffrey Luscombe', 'id': '17204460'}]"
