date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:31:15,446333973,STiWeasel,en,"@RyanAFournier Planning the next strain of his man-made political pandemic so that he can make more millions, and so that the hospitals can claim ""Massive head trauma caused by COVID-19"" so they can get more money. #greed #SCAMdemic","['greed', 'scamdemic']",0,0,0,"[{'screen_name': 'RyanAFournier', 'name': 'Ryan Fournier', 'id': '166751745'}]"
2022-03-07 16:15:49,1329531834821066752,schristophermi1,en,"@Catty1026 @DAdvocate24 @hotmomma1516 @Oupavia Quit while you’re ahead. Shit was going great until the #Scamdemic. But let me guess, you’re quintuple-jabbed? You got the very, very first mRNA #4 and #5 boosters as soon as you heard that Moderna patented the sequence for Covid? Can’t be too careful, eh Komrade?🤡🤡🤔  https://t.co/gxNy9YzNbg",['scamdemic'],0,1,0,"[{'screen_name': 'Catty1026', 'name': 'Mary Haeberle', 'id': '280303133'}, {'screen_name': 'DAdvocate24', 'name': 'DevAdvocate24', 'id': '1355278354983870465'}, {'screen_name': 'hotmomma1516', 'name': 'Faith over Fear ✝️🇺🇲❤🐾', 'id': '3329937850'}, {'screen_name': 'Oupavia', 'name': 'Allison Fox, MSN, FNP', 'id': '28316190'}]"
2022-03-07 16:11:06,1485277207022952451,CindyHendren2,und,#Scamdemic,['scamdemic'],0,0,0,[]
2022-03-07 16:10:53,1485277207022952451,CindyHendren2,und,#Scamdemic,['scamdemic'],0,0,0,[]
2022-03-07 15:38:26,729808480442277889,Tdoubleyu,en,@AdamMacVicar @GlobalCalgary Aren't you embarrassed to still be pushing a vaccine that has far more adverse effects than catching the virus does?  The vaccine scam is over. Don't you know that all is forgotten and there is a war going on now?   #mediascam #scamdemic #TrudeauworstPMever #TrudeauForTreason,"['mediascam', 'scamdemic', 'trudeauworstpmever', 'trudeaufortreason']",0,0,0,"[{'screen_name': 'AdamMacVicar', 'name': 'Adam MacVicar', 'id': '382947250'}, {'screen_name': 'GlobalCalgary', 'name': 'Global Calgary', 'id': '18228708'}]"
2022-03-07 15:34:17,729808480442277889,Tdoubleyu,en,"@Adoomies3 Because you live in fear, like a robot.   You gave up your rights, that's your choice, we don't care, let us live our lives the way we wish to.   #unmasked  #scamdemic #TrudeauworstPMever #TrudeauNationalDisgrace #robots #FreedomConvoyCanada  #freedomoverfear","['unmasked', 'scamdemic', 'trudeauworstpmever', 'trudeaunationaldisgrace', 'robots', 'freedomconvoycanada', 'freedomoverfear']",0,0,1,"[{'screen_name': 'Adoomies3', 'name': 'yas', 'id': '1382642851167764480'}]"
2022-03-07 15:33:38,1391475030694014981,post_survival,en,"@MPanda73 @JoeBiden The “pandemic”, excuse me, #SCAMdemic was over before it started… gas prices were never this high, and gas prices were at an all time low under #Trump, even before 2020 and continued to stay low until that incompetent dick took office you fucking libtard.","['scamdemic', 'trump']",0,0,0,"[{'screen_name': 'MPanda73', 'name': 'MandaPanda73', 'id': '1252278241412501505'}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': '939091'}]"
2022-03-07 15:03:21,35680069,CraigSobey,en,"@HuntingtonJoel Oh C'mon Comrade, surely u don't believe the truth? Lies are much more paletable. Sweet and sticky. C'mon Comrade no need to think for yourself - Party Knows Best! 😁 MASK ON. TV ON. FEAR ON. JAB ON. OWN NOTHING. B HAPPY (OR ELSE!) 😁 # #ccp #COVID19 #scamdemic #economic_H_bomb  https://t.co/VWSOfYqS6A","['ccp', 'covid19', 'scamdemic', 'economic_h_bomb']",1,0,0,"[{'screen_name': 'HuntingtonJoel', 'name': 'Joel Huntington', 'id': '1283005678496419840'}]"
2022-03-07 14:52:33,35680069,CraigSobey,en,Circus Tent begins to sag under the weight of BS...  crowd begins to wake.. 'Smart' Clowns know what comes next... 😁 #ccp #scamdemic #economic_H_bomb #asymmetric #warfare #fakenews #psyop #propoganda #crimesagainsthumanity #CrimesAgainstChildren #Genocide #Nuremberg2 #auspol  https://t.co/GDFHnDHq3K,"['ccp', 'scamdemic', 'economic_h_bomb', 'asymmetric', 'warfare', 'fakenews', 'psyop', 'propoganda', 'crimesagainsthumanity', 'crimesagainstchildren', 'genocide', 'nuremberg2', 'auspol']",1,0,0,[]
2022-03-07 14:29:23,1028421193710202880,RFouru,en, https://t.co/x2R2QB0V8n I wish I could find this video on another source other than Fakebook. It's not on ScrewTube that I can see. I'll never forget this video. #scamdemic #stopthemandates #TruthUnveiled #CrimesAgainstHumanity,"['scamdemic', 'stopthemandates', 'truthunveiled', 'crimesagainsthumanity']",1,1,0,[]
