date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-02-26 15:45:47,2155930262,DReadyMixPilot,en,@karen_dippity LIPS Clean Wipe!!! Ordered a WHOLE Case During the #tRumpCovidGenocide!!,['trumpcovidgenocide'],1,1,0,"[{'screen_name': 'karen_dippity', 'name': 'Karen Dippity', 'id': '1269088604078260229'}]"
2022-02-16 08:38:40,41530827,makingitso,en,#COVIDeugenicGENOCIDE #TrumpCOVIDEugenics #COVIDgenocide #COVIDeugenics #TrumpCOVIDGenocide #DesantisCOVIDEugenics #DesantisCOVIDGenocide #Deathsantis #DesantisCOVIDGenocide  https://t.co/YtdCp9Z81r Is Nothing Normal about One Million People Dead from COVID @sciam,"['covideugenicgenocide', 'trumpcovideugenics', 'covidgenocide', 'covideugenics', 'trumpcovidgenocide', 'desantiscovideugenics', 'desantiscovidgenocide', 'deathsantis', 'desantiscovidgenocide']",0,0,0,[]
2021-12-20 18:58:28,907602162766753793,Advancedape2E,und,#TrumpCovidGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-12-20 18:57:30,907602162766753793,Advancedape2E,und,#TrumpCovidGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-12-20 18:52:29,907602162766753793,Advancedape2E,und,#TrumpCovidGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-12-17 12:29:37,838810388695252992,PogoChrestman,und,@UROCKlive1 #TrumpCovidGenocide,['trumpcovidgenocide'],0,0,0,"[{'screen_name': 'UROCKlive1', 'name': 'Khashoggi’s Ghost 🇺🇦🌻', 'id': '87983041'}]"
2021-12-06 08:07:02,958888262973689856,2DarkEyes6,en,It was already reported that Trump &amp; his family had COVID while he was debating Biden. Thus .... #TrumpCOVIDGenocide  Trump lashes out at Biden after media reports on his positive COVID test before first debate - Raw Story -  https://t.co/gUtS3shzxk,['trumpcovidgenocide'],0,0,0,[]
2021-12-03 10:00:20,958888262973689856,2DarkEyes6,und,#TrumpCOVIDGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-12-03 09:59:56,958888262973689856,2DarkEyes6,en,"780,000 + died of COVID-19 &amp; its variants because Trump &amp; his co-conspirators wanted 2 weaken America 2 destory democracy.They wanted 2 kill off voters, make cities &amp; towns underpopulated so Trump &amp; his foreign oligarchs &amp; corporations could usher in fascism. #TrumpCOVIDGenocide",['trumpcovidgenocide'],0,0,0,[]
2021-11-21 14:28:22,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-11-14 12:30:45,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide #KushnerCOVIDGenocide,"['trumpcovidgenocide', 'kushnercovidgenocide']",1,0,0,[]
2021-11-14 12:29:24,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-11-14 12:28:42,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-11-12 11:40:09,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-11-12 11:39:27,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-11-12 11:38:42,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-11-09 17:01:02,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide #TrumpCrimeFamilyForPrison,"['trumpcovidgenocide', 'trumpcrimefamilyforprison']",0,0,0,[]
2021-11-09 16:49:17,907602162766753793,Advancedape2E,und,#TrumpCOVIDGenocide,['trumpcovidgenocide'],0,0,0,[]
2021-11-07 04:27:01,907602162766753793,Advancedape2E,und,#TrumpFailedInEveryWay #TrumpCovidGenocide,"['trumpfailedineveryway', 'trumpcovidgenocide']",0,0,0,[]
