date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:47:09,2438794752,BethBashert,en,"Is anyone surprised? A Trump Charity that is not compliant with regulations? Shocked! I'm shocked, I tell you!  #TrumpCrimeFamily  Melania Trump Event Called Off After Officials Question Fund-Raising  https://t.co/0FKSSIHFCG",['trumpcrimefamily'],0,0,0,[]
2022-03-07 16:45:59,19132764,lbian007,und,#DisbarTrumpAttorneys #TrumpCrimeFamily,"['disbartrumpattorneys', 'trumpcrimefamily']",0,0,0,[]
2022-03-07 16:44:38,945631453823500289,deafear101,en,"@PBS @JudyWoodruff #pbsnewshour Why do u keep giving air time 2 #trump arsekisser #KurtVolker who volunteered his ""services"" 2 the #TrumpCrimeFamily 2 go 2 #Ukraine &amp; extort lies from #Zelensky. And U act giddy about having trumq run in 2024 crimes be damned!  STOP IT!","['pbsnewshour', 'trump', 'kurtvolker', 'trumpcrimefamily', 'ukraine', 'zelensky']",0,0,0,[]
2022-03-07 16:43:41,787209107107348481,ElectraSteel,en,@JohnJHarwood U.S. goods and services trade with China totaled an estimated $615.2 billion in 2020. Including the #TrumpCrimeFamily clothing factories.🇺🇦🇺🇸,['trumpcrimefamily'],0,0,0,"[{'screen_name': 'JohnJHarwood', 'name': 'John Harwood', 'id': '259395895'}]"
2022-03-07 16:40:44,1491995859139108864,stein_way1,en,"Impeach Biden is trending because Trump yelled at Don Jr so Jr &amp; Morticia started a trend so Jr could say, “see daddy I’m not stupid like you say! #TrumpCrimeFamily #BidenStrong #TrumpIsARussianAsset  https://t.co/QHMhJOxEH0","['trumpcrimefamily', 'bidenstrong', 'trumpisarussianasset']",1,1,0,[]
2022-03-07 16:38:31,29747246,PabloDurissimo,en,@The65Project Bravo!!!  The #BigLie needs to be exposed as much as possible.  Illegal activities must have consequences.  It is bad enough we haven’t seen enough traction about prosecution of the #TrumpCrimeFamily yet… Hope supporters of #LawAndOrder @tedcruz &amp; @JohnCornyn agree with me!,"['biglie', 'trumpcrimefamily', 'lawandorder']",1,0,0,"[{'screen_name': 'The65Project', 'name': 'The 65 Project', 'id': '1475477901697028101'}]"
2022-03-07 16:35:33,712852680000073728,yep_ImGay,en,There is something up with @ManhattanDA Alvin Bragg and we need find out what it is. I’m thinking he had a price. #TrumpCrimeFamily,['trumpcrimefamily'],0,0,0,[]
2022-03-07 16:35:24,1197864396,sandford185,und,@NotHoodlum #TrumpCrimeFamily,['trumpcrimefamily'],0,0,0,"[{'screen_name': 'NotHoodlum', 'name': 'Hoodlum 🇺🇸', 'id': '1106771843929788419'}]"
2022-03-07 16:34:17,1278741779286720514,Vote2020Blue,en,#TrumpCrimeFamily #TrumpIsACriminal #TrumpCrimeFamily #GOPtheRussianPartyofTraitors  The orange one sure is a streaming pile of 💩  The 20 most outlandish lines from Donald Trump's letter to Lester Holt   https://t.co/Bp6PGaMo7t,"['trumpcrimefamily', 'trumpisacriminal', 'trumpcrimefamily', 'goptherussianpartyoftraitors']",0,0,0,[]
2022-03-07 16:33:26,120797984,dadstories,en,@ReallyAmerican1 @chipfranklin More connections to #Russia for the #TrumpCrimeFamily   Come on #MerrickGarland,"['russia', 'trumpcrimefamily', 'merrickgarland']",1,0,0,"[{'screen_name': 'ReallyAmerican1', 'name': 'Really American 🇺🇸', 'id': '767788995962998784'}, {'screen_name': 'chipfranklin', 'name': 'Chip Franklin.com', 'id': '48325671'}]"
2022-03-07 16:30:01,932758909173026818,14Truth14,en,"@Acyn @Acosta Nice try... The Supreme Court, in response to @GOP attempts to alter NC voting districts in their favor. ""The congressional maps are ""unconstitutional beyond a reasonable doubt"" under several clauses of the North Carolina Constitution"" #TrumpCrimeFamily   https://t.co/7ZkzWlXGtJ",['trumpcrimefamily'],0,0,0,"[{'screen_name': 'Acyn', 'name': 'Acyn', 'id': '16635277'}, {'screen_name': 'Acosta', 'name': 'Jim Acosta', 'id': '22771961'}]"
2022-03-07 16:29:44,932758909173026818,14Truth14,en,"@RepBoebert Nice try... The Supreme Court, in response to @GOP attempts to alter NC voting districts in their favor. ""The congressional maps are ""unconstitutional beyond a reasonable doubt"" under several clauses of the North Carolina Constitution"" #TrumpCrimeFamily   https://t.co/7ZkzWlXGtJ",['trumpcrimefamily'],0,0,0,"[{'screen_name': 'RepBoebert', 'name': 'Rep. Lauren Boebert', 'id': '1342989756611907584'}]"
2022-03-07 16:29:29,932758909173026818,14Truth14,en,"@RNCResearch @GOPChairwoman Nice try... The Supreme Court, in response to @GOP attempts to alter NC voting districts in their favor. ""The congressional maps are ""unconstitutional beyond a reasonable doubt"" under several clauses of the North Carolina Constitution"" #TrumpCrimeFamily   https://t.co/7ZkzWlXGtJ",['trumpcrimefamily'],0,0,0,"[{'screen_name': 'RNCResearch', 'name': 'RNC Research', 'id': '55329156'}, {'screen_name': 'GOPChairwoman', 'name': 'Ronna McDaniel', 'id': '2353605901'}]"
2022-03-07 16:29:23,932758909173026818,14Truth14,en,"@GovRonDeSantis @GOPChairwoman Nice try... The Supreme Court, in response to @GOP attempts to alter NC voting districts in their favor. ""The congressional maps are ""unconstitutional beyond a reasonable doubt"" under several clauses of the North Carolina Constitution"" #TrumpCrimeFamily   https://t.co/7ZkzWlXGtJ",['trumpcrimefamily'],0,0,0,"[{'screen_name': 'GovRonDeSantis', 'name': 'Ron DeSantis', 'id': '1058807868'}, {'screen_name': 'GOPChairwoman', 'name': 'Ronna McDaniel', 'id': '2353605901'}]"
2022-03-07 16:29:11,932758909173026818,14Truth14,en,"@TuckerCarlson Nice try... The Supreme Court, in response to @GOP attempts to alter NC voting districts in their favor. ""The congressional maps are ""unconstitutional beyond a reasonable doubt"" under several clauses of the North Carolina Constitution"" #TrumpCrimeFamily   https://t.co/7ZkzWlXGtJ",['trumpcrimefamily'],0,0,0,"[{'screen_name': 'TuckerCarlson', 'name': 'Tucker Carlson', 'id': '22703645'}]"
2022-03-07 16:29:05,932758909173026818,14Truth14,en,"@TuckerToday @TuckerCarlson @jamespoulos @foxnation Nice try... The Supreme Court, in response to @GOP attempts to alter NC voting districts in their favor. ""The congressional maps are ""unconstitutional beyond a reasonable doubt"" under several clauses of the North Carolina Constitution"" #TrumpCrimeFamily   https://t.co/7ZkzWlXGtJ",['trumpcrimefamily'],0,0,0,"[{'screen_name': 'TuckerToday', 'name': 'Tucker Carlson Today', 'id': '1489389200445214721'}, {'screen_name': 'TuckerCarlson', 'name': 'Tucker Carlson', 'id': '22703645'}, {'screen_name': 'jamespoulos', 'name': 'James Poulos', 'id': '14427663'}, {'screen_name': 'foxnation', 'name': 'Fox Nation', 'id': '37764422'}]"
2022-03-07 16:28:51,932758909173026818,14Truth14,en,"@TomiLahren Nice try... The Supreme Court, in response to @GOP attempts to alter NC voting districts in their favor. ""The congressional maps are ""unconstitutional beyond a reasonable doubt"" under several clauses of the North Carolina Constitution"" #TrumpCrimeFamily   https://t.co/7ZkzWlXGtJ",['trumpcrimefamily'],0,0,0,"[{'screen_name': 'TomiLahren', 'name': 'Tomi Lahren', 'id': '468646961'}]"
2022-03-07 16:28:14,932758909173026818,14Truth14,en,"The Supreme Court, in response to @GOP attempts to alter NC voting districts in their favor. ""The congressional maps are ""unconstitutional beyond a reasonable doubt"" under several clauses of the North Carolina Constitution"" #TrumpCrimeFamily   https://t.co/7ZkzWlYejh",['trumpcrimefamily'],0,0,0,[]
2022-03-07 16:21:33,29747246,PabloDurissimo,en,"@OccupyDemocrats Wait a minute!  Son of #CadetBoneSpurs is talking about military courage?!  As far as I know, not a single member of the #TrumpCrimeFamily has ever served in any branches of the service.","['cadetbonespurs', 'trumpcrimefamily']",0,0,0,"[{'screen_name': 'OccupyDemocrats', 'name': 'Occupy Democrats', 'id': '878284831'}]"
2022-03-07 16:16:34,568272623,firedviking,en,"@thehill @DonaldJTrumpJr Oh no, #BlowBoy, they're laughing at your entire family.  #TrumpCrimeFamily  #putinsbitch  https://t.co/9MDKKBBkMI","['blowboy', 'trumpcrimefamily', 'putinsbitch']",0,0,0,"[{'screen_name': 'thehill', 'name': 'The Hill', 'id': '1917731'}, {'screen_name': 'DonaldJTrumpJr', 'name': 'Donald Trump Jr.', 'id': '39344374'}]"
2022-03-07 16:08:00,100987374,TrueBlueLiberal,en,"You can read deeply about why NFTs are nothing but a scam, but all you need to do is look a Melania's ""Official POTUS NFT Collection"" to see that they're all a joke. The #TrumpCrimeFamily is always good at spotting the newest ways to fleece the gullible.   https://t.co/J9IDLpxC1l",['trumpcrimefamily'],0,0,0,[]
2022-03-07 16:07:54,568272623,firedviking,en,"@DonaldJTrumpJr Why don't you go, junior? Nah, you'd piss you pants at the site of any conflict.  All talk,no action. #TrumpCrimeFamily  #GOPtheRussianPartyofTraitors  #putinsbitch  https://t.co/oGTpHbOx4p","['trumpcrimefamily', 'goptherussianpartyoftraitors', 'putinsbitch']",0,0,0,"[{'screen_name': 'DonaldJTrumpJr', 'name': 'Donald Trump Jr.', 'id': '39344374'}]"
2022-03-07 16:01:33,1351601845886738436,i_joeb,und,#TruthIsKryptonite2Trump #TrumpCrimeFamily   https://t.co/vRdNGNhPKW,"['truthiskryptonite2trump', 'trumpcrimefamily']",1,1,1,[]
2022-03-07 16:00:04,1351601845886738436,i_joeb,en,#ImpeachBiden??? When you still support the #TrumpCrimeFamily and #TrumpsBestPeople #MAGA???   https://t.co/vRdNGNhPKW,"['impeachbiden', 'trumpcrimefamily', 'trumpsbestpeople', 'maga']",0,1,0,[]
2022-03-07 15:56:27,2628017594,DocBarrister,en,"Well, finally, #TrumpTraitor got something right. #TrumpCrimeFamily 😀","['trumptraitor', 'trumpcrimefamily']",0,0,0,[]
2022-03-07 15:53:08,1048305866078867458,KJ12me,und,#TrumpCrimeFamily,['trumpcrimefamily'],0,0,0,[]
2022-03-07 15:43:58,312089154,AllenCrider,en,@DonaldJTrumpJr But what would the #TrumpCrimeFamily do?  https://t.co/2WfqVYETHv,['trumpcrimefamily'],0,0,0,"[{'screen_name': 'DonaldJTrumpJr', 'name': 'Donald Trump Jr.', 'id': '39344374'}]"
