date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-04 18:10:19,2820675258,ClickyBuzz_c2c,en,#trump #trumpisamassmurderer &amp; #trumpcine is the #markofthebeast #DepopulationAgenda   #trump2024 NO TO THE #ANTICHRIST!!!!,"['trump', 'trumpisamassmurderer', 'trumpcine', 'markofthebeast', 'depopulationagenda', 'trump2024', 'antichrist']",1,0,0,[]
2022-02-28 06:59:24,760813473949487104,acyork1887,en,Certainly is MAD — #MAGAsshole Dumbfuckery.  #PutinWarCriminal   #TrumpIsAMassMurderer (from his Covid #ClusterTrump) and #TrumpIsARussianAsset   🤬😂🤬😂🤬,"['magasshole', 'putinwarcriminal', 'trumpisamassmurderer', 'clustertrump', 'trumpisarussianasset']",5,0,0,[]
2022-02-25 06:00:30,1423361021993832450,guitarded4lyf,und,@HillReporter #trumpisputinsbitch #TrumpIsAMassMurderer  #TrumpIsARussianAsset,"['trumpisputinsbitch', 'trumpisamassmurderer', 'trumpisarussianasset']",0,0,0,"[{'screen_name': 'HillReporter', 'name': 'HillReporter.com', 'id': '16790005'}]"
2022-02-24 10:26:53,1423361021993832450,guitarded4lyf,und,@DeanObeidallah #TrumpIsAMassMurderer,['trumpisamassmurderer'],0,0,0,"[{'screen_name': 'DeanObeidallah', 'name': '(((DeanObeidallah)))', 'id': '18320938'}]"
2022-02-18 14:56:24,2300392795,honeybadgermuma,und,@RepCawthorn #TrumpIsAMassMurderer #TrumpCrimeFamilyForPrison  https://t.co/NljHpJYOPE,"['trumpisamassmurderer', 'trumpcrimefamilyforprison']",0,0,0,"[{'screen_name': 'RepCawthorn', 'name': 'Rep. Madison Cawthorn', 'id': '1344007696555663360'}]"
2022-02-13 05:36:01,59574144,MWM4444,en,"On Jan. 29, 2022, America's first god-emperor openly admitted he is trying to destroy America's democracy &amp; urged his white supremacist worshipers to start a race war.  On Feb. 13, almost 943,000 Americans are dead of his ""Democrat hoax.""  #TrumpCoupAttempt #TrumpIsAMassMurderer","['trumpcoupattempt', 'trumpisamassmurderer']",0,0,0,[]
2022-02-10 07:34:15,940690011120312320,PoorPeoplesPets,und,@JohnRMoffitt @JMPeck69 @indivisibletx24 @txswede2010 @republicatrisk @keithmehl @gunsnrosesgirl3 @TwiHusband @IrvingForbush2 @NotLordByron @Patbagley #TrumpIsAMassMurderer,['trumpisamassmurderer'],3,0,2,"[{'screen_name': 'JohnRMoffitt', 'name': 'John Moffitt 🌊🌊🧢🧢', 'id': '1969346438'}, {'screen_name': 'JMPeck69', 'name': 'Professor Peacock🇺🇦', 'id': '825057711134035968'}, {'screen_name': 'indivisibletx24', 'name': 'Indivisible TX-24', 'id': '839905562406043648'}, {'screen_name': 'txswede2010', 'name': 'Björn, Swede of Texas - #BLM', 'id': '188124456'}, {'screen_name': 'republicatrisk', 'name': 'Randy Hull', 'id': '1218652699488661504'}, {'screen_name': 'keithmehl', 'name': 'Keith Mehl', 'id': '186906190'}, {'screen_name': 'gunsnrosesgirl3', 'name': 'Science girl', 'id': '1179892477714718721'}, {'screen_name': 'TwiHusband', 'name': '(((Stargazer))) 🌻🌻🌻', 'id': '128414115'}, {'screen_name': 'IrvingForbush2', 'name': 'Dr. Irving Forbush', 'id': '1054523821955432448'}, {'screen_name': 'NotLordByron', 'name': 'Byron The Cosmic Goat', 'id': '628688453'}, {'screen_name': 'Patbagley', 'name': 'Pat Bagley', 'id': '442593662'}]"
2022-02-10 07:06:44,825057711134035968,JMPeck69,en,"Yes, I remember, Brother John.  #TrumpIsAMassMurderer",['trumpisamassmurderer'],6,0,2,[]
2022-02-08 07:41:45,59574144,MWM4444,en,"On Jan. 29, 2022, America's first god-emperor openly admitted he is trying to destroy America's democracy &amp; urged his white supremacist worshipers to start a race war.  On Feb. 8, almost 929,000 Americans are dead of his ""Democrat hoax.""  #TrumpCoupAttempt #TrumpIsAMassMurderer","['trumpcoupattempt', 'trumpisamassmurderer']",0,0,0,[]
2022-02-06 05:52:03,59574144,MWM4444,en,I stand with anyone who would rather politely withdraw than tacitly support neofascism.   #TrumpIsAMassMurderer #TrumpCoupAttempt,"['trumpisamassmurderer', 'trumpcoupattempt']",0,0,0,[]
