date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 16:53:47,1442126947098632192,hsemorris,en,Yep and speaking of… #WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 16:41:47,2428916787,zerofiltertruth,und,#WheresFauci  🤪,['wheresfauci'],0,0,0,[]
2022-03-07 16:33:34,1412551413289426945,VoightC72,und,#fauci #wheresfauci #lockhimup  https://t.co/1en8eGHgij,"['fauci', 'wheresfauci', 'lockhimup']",0,0,0,[]
2022-03-07 16:17:32,1442126947098632192,hsemorris,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 16:09:27,1442126947098632192,hsemorris,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 15:54:11,3256621520,NaegeleCarol,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 15:52:42,48933259,49erJojo,en,@gretchenwhitmer hey where’s your Dr. Fauci pillow at? Are you replacing it with a Ukrainian pillow?  #wheresFauci #Fauci  https://t.co/w1GfsEgAij,"['wheresfauci', 'fauci']",0,0,0,[]
2022-03-07 15:48:15,1490691391894212616,CageTed,und,#WheresFauci #nomorecovid #BidenIsAFailure,"['wheresfauci', 'nomorecovid', 'bidenisafailure']",0,0,0,[]
2022-03-07 15:38:24,1437307105183027204,Kelly66548861,en,#WheresFauci  ? Did Covid just evaporate? So we're not all gonna die anymore? #fauciliedpeopledied,"['wheresfauci', 'fauciliedpeopledied']",1,0,1,[]
2022-03-07 15:38:05,1442126947098632192,hsemorris,und,#WheresFauci,['wheresfauci'],1,0,0,[]
2022-03-07 15:16:40,3353505133,lafkas_m,und,#WheresFauci,['wheresfauci'],1,0,0,[]
2022-03-07 15:12:13,1442126947098632192,hsemorris,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 15:04:38,1359047166820577284,BasMiller2,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 14:23:09,2269412946,adamdjohnson,en,👇. Anyone? #WheresFauci,['wheresfauci'],1,0,1,[]
2022-03-07 14:14:06,892214750297436160,SurlyCPO,en,Fauci joins the Trucker's Convoy. #WheresFauci  https://t.co/B0UoHYhTpP,['wheresfauci'],1,0,0,[]
2022-03-07 13:24:43,1326873701355319297,gulag776,en,We finally no longer have to hear &amp; see the tiny little dictator!! #Fauci #wheresfauci  #FauciLiedAndPeopleDied,"['fauci', 'wheresfauci', 'fauciliedandpeopledied']",0,1,0,[]
2022-03-07 13:14:26,2847246676,kerriestodd,und,#whereslyingfauci #wheresfauci #whereshunter #wheresthepresident #whatajoke,"['whereslyingfauci', 'wheresfauci', 'whereshunter', 'wheresthepresident', 'whatajoke']",0,0,0,[]
2022-03-07 13:12:12,1492300316318052363,TruthSocialPost,en,"#WheresFauci #PoliticalScience #COVIDTheater   Science: Yeah, so there's been some changes.  Anthony Fauci:","['wheresfauci', 'politicalscience', 'covidtheater']",8,1,1,[]
2022-03-07 12:57:45,1064850427135574017,VoicesofMisery,en,"Where is that little scumbag Fauci? #wheresfauci the thing is, if you haven’t figured this all out, this was a scam since the beginning. How did ya’ll fall for this shit?",['wheresfauci'],3,1,0,[]
2022-03-07 12:49:25,28283718,LacesOutFinkle5,en,Maybe Dr Fauci knows how to fix gas prices?!  LOL. #WheresFauci,['wheresfauci'],1,0,0,[]
2022-03-07 12:04:09,55316099,Superhog32,und,@disclosetv #wheresfauci,['wheresfauci'],1,0,0,"[{'screen_name': 'disclosetv', 'name': 'Disclose.tv', 'id': '15392486'}]"
2022-03-07 11:58:28,2639394446,samuelbeachbum,en,"@BonginoReport @dbongino You’ll find him @ Biden resident home in Delaware ,Hiding in his basement closet #WheresFauci  https://t.co/y8H3R9AZFP",['wheresfauci'],0,0,0,"[{'screen_name': 'BonginoReport', 'name': 'Bongino Report', 'id': '1194770389634895873'}, {'screen_name': 'dbongino', 'name': 'Dan Bongino', 'id': '232901331'}]"
2022-03-07 11:23:55,832960558819319809,LinOklahoma,und,#wheresfauci :),['wheresfauci'],0,0,0,[]
2022-03-07 11:19:04,1450872274513498116,Namara18Mc,und,#ConvoyForFreedom2022 #WheresFauci #WorstPresidentEver,"['convoyforfreedom2022', 'wheresfauci', 'worstpresidentever']",0,0,0,[]
2022-03-07 11:01:23,49418134,Mstwinkle1966,und,#wheresfauci,['wheresfauci'],0,0,0,[]
2022-03-07 10:58:07,39501483,nzo11,en,Yes I do…..  By the way  #WheresTony???  After JOES #SOTU2022 address the little TROLL disappeared  #WheresFauci???  https://t.co/3GVQtBxUmv,"['wherestony', 'sotu2022', 'wheresfauci']",0,0,0,[]
2022-03-07 10:07:47,38719321,Rob_F112,und,#wheresfauci  https://t.co/f3tTTtcoX8,['wheresfauci'],0,0,1,[]
2022-03-07 09:59:38,2553813950,lauratannehill,und,#wheresfauci? #LockHimUp,"['wheresfauci', 'lockhimup']",0,0,0,[]
2022-03-07 09:51:32,1269491825200357381,KrumelsBunker,und,#WheresFauci ?  https://t.co/n6KO8AFUjy,['wheresfauci'],0,0,0,[]
2022-03-07 09:32:02,2475989550,DeepInTropics,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 09:30:50,807709681317777410,AlGallo6,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 09:29:11,3363921843,vaporlols,und,@newsmax #WheresFauci,['wheresfauci'],0,0,0,"[{'screen_name': 'newsmax', 'name': 'Newsmax', 'id': '20545835'}]"
2022-03-07 09:12:02,3363921843,vaporlols,und,#WheresFauci,['wheresfauci'],1,0,0,[]
2022-03-07 08:43:06,1046202259,SilentNoMore87,in,Interdasting jawlines...  #WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-07 08:02:45,257035601,princewizardkid,und,#WHERESFAUCI,['wheresfauci'],0,0,0,[]
2022-03-07 07:28:58,2308716064,MrsS_73,und,#WheresFauci  https://t.co/Lyw6W4fS0E,['wheresfauci'],0,0,0,[]
2022-03-07 06:49:49,833318849613352960,BjhaneyHaney,und,#WheresFauci  #LockHimUp,"['wheresfauci', 'lockhimup']",0,0,0,[]
2022-03-07 06:18:26,257149836,reikiwithlisa,en,3% death rate....from the pfizer injection...did you do your research?? wasn't that the number Neal Ferguson used for his JH mathematical algorithm...the BIG RED map everyone was memorized by for 725 days now?? #wheresfauci #arrestfauci asking for a friend,"['wheresfauci', 'arrestfauci']",0,0,0,[]
2022-03-07 06:00:53,1395432732113608705,GIO_B_CEO,und,#WheresFauci?,['wheresfauci'],0,0,0,[]
2022-03-07 05:44:46,1330241058249302016,DBonhoeffer3,en,"Meanderings. Russia ""invades"" Ukraine and finds 11? biological labs supported by the US. These labs have been found to working on viruses and gain-of-function. If the ""invasion"" had NOT happened...we would NEVER have known. #wheresfauci @RandPaul @KurtSchlichter @RichardGrenell",['wheresfauci'],3,0,2,[]
2022-03-07 05:27:15,1450790506527666182,RadioFreeCT,en,@Stop5GCT Must've been kidnapped by the Clintons.  LOL.  #wheresFauci,['wheresfauci'],1,0,0,"[{'screen_name': 'Stop5GCT', 'name': 'Stop5GCT', 'id': '1156736677332881409'}]"
2022-03-07 05:05:27,1291566578463629312,RUKiddi77830545,en,"#WheresFauci??? This ""man"" deserves NO protection!!!",['wheresfauci'],1,1,0,[]
2022-03-07 04:57:00,15477558,NoLeftTurns,en,Where's Fauci? #WheresFauci #FindingFauci,"['wheresfauci', 'findingfauci']",7,4,1,[]
2022-03-07 04:20:52,1397974822504873986,bev52744672,und,#WheresFauci  https://t.co/J49hwsUNx2,['wheresfauci'],11,0,5,[]
2022-03-07 04:10:39,505046798,CrazieDiamond,en,#WheresFauci  Just wondering.  Did he go to China?  https://t.co/y5gZqboVHh,['wheresfauci'],0,0,0,[]
2022-03-07 04:07:21,1183743767456747523,KeepClimbing15,und,#NeverForget #fauciliedpeopledied #wheresfauci,"['neverforget', 'fauciliedpeopledied', 'wheresfauci']",1,0,0,[]
2022-03-07 03:15:39,16370716,tomdesee,en,good morning... #wheresfauci,['wheresfauci'],0,0,0,[]
2022-03-07 02:59:00,378908038,Dingo_Roberts,und,#WheresFauci  https://t.co/NqHHGDI0zA,['wheresfauci'],0,0,0,[]
2022-03-06 22:34:01,882412914019356673,Lastdrift3,en,Money laundering #trumpwon #wheresfauci,"['trumpwon', 'wheresfauci']",1,0,0,[]
2022-03-06 21:52:47,39501483,nzo11,en,How about…  #WheresTony #WheresFauci ???  What ever happened to that lil troll?  https://t.co/gby5V2fww3,"['wherestony', 'wheresfauci']",1,0,1,[]
2022-03-06 21:24:32,1047964487641419777,tosu68700214,und,#Truth  #TruthUnveiled  #TruthMatters  #WheresFauci  👇👇👇👇👇,"['truth', 'truthunveiled', 'truthmatters', 'wheresfauci']",0,0,0,[]
2022-03-06 21:11:51,21629298,Krazy_Boy_Fredo,en,@Milarky_ Not a peep out of this guy in 2 weeks. #WheresFauci  https://t.co/LP638YJF6V,['wheresfauci'],1,0,0,"[{'screen_name': 'Milarky_', 'name': '🍌 MILA 🍌', 'id': '4658780776'}]"
2022-03-06 19:21:37,2847246676,kerriestodd,und,#WheresFauci,['wheresfauci'],1,0,0,[]
2022-03-06 18:58:46,2555163656,thausman51,en,@jbjk216 @CDCgov ?? @US_FDA  @FDA_Drug_Info  and of course… #wheresfauci,['wheresfauci'],0,0,0,"[{'screen_name': 'jbjk216', 'name': 'Trump won! (Jen)', 'id': '705924292949594113'}]"
2022-03-06 18:56:47,2826684188,HealthFreedomRX,und,#WheresFauci  https://t.co/EykRAshc5N,['wheresfauci'],3,0,0,[]
2022-03-06 18:52:29,1442126947098632192,hsemorris,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-06 18:49:58,1319411296836661252,CryptLot,en,Winter of Death is no longer significant enough to talk about so we’ve moved on to another topic.  #WheresFauci #WhatsNext #MuhSheep  https://t.co/svXX07a8UN,"['wheresfauci', 'whatsnext', 'muhsheep']",2,0,0,[]
2022-03-06 18:49:42,1442126947098632192,hsemorris,und,#WheresFauci,['wheresfauci'],4,0,5,[]
2022-03-06 18:49:33,626211643,_SeymourMac,und,#WheresFauci,['wheresfauci'],0,0,0,[]
2022-03-06 18:28:12,1148771388502630401,7deadlysinzxx,und,#WheresFauci  https://t.co/Ae4pF511Hl,['wheresfauci'],1,0,0,[]
2022-03-06 18:02:13,2533292040,jo_mamakin,und,👀 #WheresFauci,['wheresfauci'],1,0,0,[]
2022-03-06 17:28:14,1270204030111961088,Supsup06407706,und,#WheresFauci  https://t.co/AzZ8iis4LL,['wheresfauci'],0,0,0,[]
2022-03-06 17:27:24,1487972950468960266,bridgetglendean,en,I'm sick at my stomach over this video #wheresfauci #CDC #Pfizer #EndTheMandates #UnmaskOurKids #unmaskourtoddlers #UNMASKOURCHILDREN,"['wheresfauci', 'cdc', 'pfizer', 'endthemandates', 'unmaskourkids', 'unmaskourtoddlers', 'unmaskourchildren']",3,0,0,[]
