date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-03 06:05:18,1334940153127837698,FactsMatterRB,en,"In an interview with Eric Schmitt, the attorney general of #Missouri, we discussed his many challenges to the #BidenAdministration and his lawsuit against the #WuhanInstituteofVirology.  👉 https://t.co/bAf0tea8zE  🔥 Unlock @EpochTVus for Just $1 👉  https://t.co/izy0luZrKJ  https://t.co/W1SG17Ao1b","['missouri', 'bidenadministration', 'wuhaninstituteofvirology']",3,0,1,[]
2022-03-02 19:13:47,1334940153127837698,FactsMatterRB,en,"At #CPAC2022, I spoke with @Eric_Schmitt, the attorney general of Missouri, and we discussed not only his many challenges to the Biden administration, but also his lawsuit against the #WuhanInstituteofVirology.   🔥 Watch here 👉 https://t.co/bAf0tea8zE  https://t.co/JEykVaGoaJ","['cpac2022', 'wuhaninstituteofvirology']",9,0,5,[]
2022-03-01 17:15:05,1424010979747246083,OisinOs111,en,Why we should question latest report that pandemic originated in wuhan market.  #WuhanInstituteofVirology #COVID19 #COVIDisAirborne #COVID19Global #Covid19Ireland #Covid19UK #Covid19USA #COVID19Aus #covid19Canada #Covid19NZ #WuhanLabLeak #WuhanWetMarket   https://t.co/Uv46C9R3cU,"['wuhaninstituteofvirology', 'covid19', 'covidisairborne', 'covid19global', 'covid19ireland', 'covid19uk', 'covid19usa', 'covid19aus', 'covid19canada', 'covid19nz', 'wuhanlableak', 'wuhanwetmarket']",0,0,1,[]
2022-02-27 00:26:46,989136978380804097,YTHISNEWS,en,"#China’s #Wuhan wet market may be the source of origin of #CovidPandemic and not the #WuhanInstituteofVirology (WIV) as previously speculated, a team of #USscientists has revealed in two new studies.   https://t.co/BhGFyKJ8FI","['china', 'wuhan', 'covidpandemic', 'wuhaninstituteofvirology', 'usscientists']",0,0,0,[]
2022-02-23 10:25:04,3114721961,ghn_news,en,"In a profile of the #WuhanInstituteofVirology, where #COVID19 was first isolated and a virologist there, @janeqiuchina provides more understanding of “how this deeply entrenched controversy has come about and how we can move forward.”  https://t.co/DUQUEzBUR3","['wuhaninstituteofvirology', 'covid19']",2,0,2,[]
2022-02-22 09:36:21,331276809,caroline_pers,en,"Retired after ""Gainoffunction"" funding of #WuhanInstituteofVirology by USA came out into the open #GoF #Wuhan #Collins #Biden","['wuhaninstituteofvirology', 'gof', 'wuhan', 'collins', 'biden']",0,0,0,[]
2022-02-18 03:03:53,19568898,MattRSchaefer,en,"#CovidOrigin: Was it from #WuhanWetmarket (#WetMarket) OR #WuhanInstituteofVirology {#gainoffunction}? [#COVID19] ""To date, a natural connection for #COVID has not been found""  https://t.co/jvOHNewCdT","['covidorigin', 'wuhanwetmarket', 'wetmarket', 'wuhaninstituteofvirology', 'gainoffunction', 'covid19', 'covid']",0,0,0,[]
2022-02-13 06:18:32,159524468,DaveWallaceUS,en,#JamieCarville @JamesCarville grow up! Israeli Hospitals are seeing 80% of most severely sick in ICU ARE VACCINATED! Get angry at those who caused it! The #CCP &amp; #Fauci #ECOHEALTH #WUHANinstituteofVirology created  #killerVirus   https://t.co/ZYa1eHulDm,"['jamiecarville', 'ccp', 'fauci', 'ecohealth', 'wuhaninstituteofvirology', 'killervirus']",0,0,0,[]
2022-02-05 20:12:52,916815768267915264,thrashima,en,@daniel_corcos @threadreaderapp unroll #lableak #corruption #coverup   #wuhaninstituteofvirology #nointermediatehoste #furincleavagesite,"['lableak', 'corruption', 'coverup', 'wuhaninstituteofvirology', 'nointermediatehoste', 'furincleavagesite']",0,2,0,"[{'screen_name': 'daniel_corcos', 'name': 'Daniel Corcos', 'id': '981820619187802113'}]"
2022-01-28 00:23:19,1457785691702579205,KelvinKevinsky,en,"If the #WuhanInstituteOfVirology couldn’t stop the transmission of the #Wuhan Coronavirus wearing these outfits, how exactly did our keystone kops public health officials think N95 #Masks are going to stop it?  #MasksDontWork  https://t.co/7Nkyxg5pFK","['wuhaninstituteofvirology', 'wuhan', 'masks', 'masksdontwork']",2,0,2,[]
2022-01-22 10:23:42,1316937211,therealADWarren,en,"@Delta Wuhan, China.  Home of the #WuhanInstituteofVirology   You happy now?",['wuhaninstituteofvirology'],0,0,0,"[{'screen_name': 'Delta', 'name': 'Delta', 'id': '5920532'}]"
2022-01-21 09:42:30,331276809,caroline_pers,nl,"@hanszandvliet79 @hansvantelling @ErasmusMC Idem over #ecohealth, relatie met #PeterDaszak, betrapt op liegen, de speciale #bats die ecohealth vanuit Myanmar naar #WuhanInstituteofVirology verscheepte voor #gainoffunction onderzoek, (documenten geopenbaard ogv. FOIA verzoek, de Amerikaanse variant van onze WOB, en .. en ..","['ecohealth', 'peterdaszak', 'bats', 'wuhaninstituteofvirology', 'gainoffunction']",15,1,6,"[{'screen_name': 'hanszandvliet79', 'name': 'Hans Zandvliet', 'id': '2873578621'}, {'screen_name': 'hansvantelling', 'name': 'Hans van Tellingen', 'id': '561171009'}, {'screen_name': 'ErasmusMC', 'name': 'Erasmus MC', 'id': '57046824'}]"
2022-01-19 08:17:33,1375172820536340488,StueyTee,en,The Abominable Dr. Fauci. How can people seriously revere this man? He's a huge part of the reason the world went to shit.  #gainoffunction #Wuhan #wuhaninstituteofvirology #covidcamefromalab #thegreatreset #vaccinepusher  #ManMade #DrFauci #thenarrativeiscrumbling  https://t.co/bdIwETAiSt,"['gainoffunction', 'wuhan', 'wuhaninstituteofvirology', 'covidcamefromalab', 'thegreatreset', 'vaccinepusher', 'manmade', 'drfauci', 'thenarrativeiscrumbling']",0,0,0,[]
2022-01-15 14:30:09,1424010979747246083,OisinOs111,en,Looking more and more likely that China's government covered up Covid   https://t.co/f1jNUZGkc0  First case could have been as far back as October 2019   #covid19 #wuhan #wuhanlableak #wuhaninstituteofvirology #chinacoverup,"['covid19', 'wuhan', 'wuhanlableak', 'wuhaninstituteofvirology', 'chinacoverup']",0,1,0,[]
