date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 06:59:43,248859211,WhiteCoatWaste,en,“Hard earned American taxpayer dollars should not be going…to labs that are controlled by the Chinese Communist Party.”  THANK YOU @GReschenthaler for working with WCW to INVESTIGATE the #WuhanLab &amp; COVID-19 origin #LabLeak 👏  https://t.co/rFotRAsMNG,"['wuhanlab', 'lableak']",13,1,4,[]
2022-03-06 04:53:07,1244351889204002822,AlexQndreDumas,fr,@franceinfo Après la création de celui-ci dans le #WuhanLab ?,['wuhanlab'],0,0,0,"[{'screen_name': 'franceinfo', 'name': 'franceinfo', 'id': '38395124'}]"
2022-03-06 01:50:51,907939316046995457,muriel_fonck,de,@DrPuerner @Karl_Lauterbach @janoschdahmen Ich will keine Maßnahmen...wenn ich dieses Wort schon höre! Ich entscheide selbst ob ein Virus für mich gefährlich ist oder nicht und ob ich Maske trage oder nicht! Icg lass mir nichts mehr einreden. Weg mit der Maskerade und die neue Grippe wird uns auf ewig begleiten. #Wuhanlab,['wuhanlab'],1,0,0,"[{'screen_name': 'DrPuerner', 'name': 'Dr. Friedrich Pürner, MPH', 'id': '1232950329483898881'}, {'screen_name': 'Karl_Lauterbach', 'name': 'Prof. Karl Lauterbach', 'id': '3292982985'}, {'screen_name': 'janoschdahmen', 'name': 'Janosch Dahmen', 'id': '16697497'}]"
2022-03-05 17:10:11,981980416226799617,shemsuhorltd,und,#COVID19  #wuhanlab   https://t.co/C9EEIw7zMC,"['covid19', 'wuhanlab']",8,0,0,[]
2022-03-05 13:03:34,19492833,mdaconta,en,Is this the REAL reason #Fauci is now absent from public view ... aka HIDING!  #accountability #vaccinemandates #wuhanlab #wuhan #maskmandates,"['fauci', 'accountability', 'vaccinemandates', 'wuhanlab', 'wuhan', 'maskmandates']",0,0,0,[]
2022-03-05 09:41:56,379344539,akhilraj_RAJA,en,"@Respond2Racism I agree n m against any kind of racial hatred,was pointing here d political bigotry of communist #China #CCP govt that manufactured COVID-19 pandemic in #WuhanLab causing million of deaths throughout d world n still disowning her responsibility,m not against innocent chinese ppl.","['china', 'ccp', 'wuhanlab']",0,0,0,"[{'screen_name': 'Respond2Racism', 'name': 'First Responder', 'id': '1255603473309028352'}]"
2022-03-05 08:28:43,1387006423779921920,Tlshaw19971,en,"Tying #HunterBiden, #RosemontSeneca, #Metabiota &amp; #WuhanLab all together, to ""protect the world from the spread of epidemics"".  https://t.co/Cv7xpAP9J5","['hunterbiden', 'rosemontseneca', 'metabiota', 'wuhanlab']",2,2,0,[]
2022-03-04 22:30:33,1432367696092581888,GrannysPaddle,en,So does China just own all of the media and Hollywood and the NBA? #NoOneBelievesYou #BankruptTheMedia #WuhanLab #StopLying  https://t.co/TEYuwkupJi,"['noonebelievesyou', 'bankruptthemedia', 'wuhanlab', 'stoplying']",0,0,1,[]
2022-03-04 15:07:17,185776473,DamonDK7,en,Ive got a feeling that #china will make #Russia to stop the #UkraineRussianWar and suddenly we all forget about what happened in #WuhanLab. #masterplan of communist party!,"['china', 'russia', 'ukrainerussianwar', 'wuhanlab', 'masterplan']",0,0,0,[]
2022-03-04 08:47:17,876471691,Pete_CT,en,"Dear virus hunters @peterDaszak @EcoHealthNYC ,  Just an update... 6 Million deaths.  cc: @NIHDirector @NIAIDNews #ShiZhengli #WuhanLab  https://t.co/ScupaddPhB","['shizhengli', 'wuhanlab']",1,0,0,[]
