date,user_id,username,language,tweet,hashtags,nlikes,nreplies,nretweets,reply_to
2022-03-07 00:35:42,830809962,JeremiahGooner,en,"@Gibson33Lynn As politicians go Trump was awful &amp; should never have been in the White House. That being said I have to agree with you &amp; his total lack of political hocus pocus was his great strength. He said it how it is, no matter how undiplomatic saying the truth might be. e.g. #WuhanLabLeak",['wuhanlableak'],2,0,0,"[{'screen_name': 'Gibson33Lynn', 'name': 'Lynn Gibson', 'id': '629545516'}]"
2022-03-06 08:02:56,1287416577055490049,DeepHood3,en,"This is the Asia of old, closing off to the world, but not before stabbing you in the back  #WuhanLabLeak  #tRumpTrainWreck  #coviddisaster   China's President Xi reiterates grain security, urges for domestic dominance  https://t.co/fSly1BiS0B via @Yahoo","['wuhanlableak', 'trumptrainwreck', 'coviddisaster']",0,0,0,[]
2022-03-05 16:51:24,2272050032,vernita888,en,"The #CDC2022 is still trying to put false narratives!! “Two, not yet peer-reviewed studies show more evidence that the coronavirus spread to humans from animals at a market in Wuhan, China.” There is ABUNDANT evidence that the Covid-19 virus is from a #WUHANLABLEAK","['cdc2022', 'wuhanlableak']",0,0,1,[]
2022-03-05 10:58:02,1287416577055490049,DeepHood3,en,America is corrupt and decadent....Chinese should stay home so they are not influenced by our immoral society  @MFA_China  #WuhanLabLeak  #UkraineRussianWar   China Calls What the U.S. did to Native Americans “Genocide”  https://t.co/YEh1JwXuGS via @Yahoo,"['wuhanlableak', 'ukrainerussianwar']",0,0,0,[]
2022-03-04 19:30:46,1073573696135151616,BoomingSports1,en,@POTUS Sleepy 😴 Joe Biden is definitely compromised by China 🇨🇳 and XI. His family has benefited from their business dealings with China 🇨🇳. That’s why he doesn’t bring up the origins of The Coronavirus. #WuhanLabLeak. He’s beholden to China 🇨🇳. He praises XI.,['wuhanlableak'],0,0,0,[]
2022-03-04 05:15:06,986066565333471233,LethimTakeFifth,en,@tanvi_madan 1/3 No Sanction on 🇨🇳 for refusing an international investigation that has killed Million Americans 4 mil Indians &amp; made 2 Billion in the 🌎 unemployed!No Congressional investigation of #Covid19 of origins. #Wuhanlableak crook #PeterDaszak #NIH &amp; Gain of function research in 🇨🇳.,"['covid19', 'wuhanlableak', 'peterdaszak', 'nih']",0,1,0,"[{'screen_name': 'tanvi_madan', 'name': 'Tanvi Madan', 'id': '741520723'}]"
2022-03-03 14:25:11,1287416577055490049,DeepHood3,en,"@shen_shiwei Americans and EU shamelessly support 1/4 of Russia's  economy, Russia in-turn stabs them in the back. There I re-wrote it for you d-bag.  @MFA_China  @mfa_russia  #WuhanLabLeak  #Batwoman  #UkraineUnderAttack","['wuhanlableak', 'batwoman', 'ukraineunderattack']",0,0,0,"[{'screen_name': 'shen_shiwei', 'name': 'Shen Shiwei 沈诗伟', 'id': '587955457'}]"
2022-03-01 17:15:05,1424010979747246083,OisinOs111,en,Why we should question latest report that pandemic originated in wuhan market.  #WuhanInstituteofVirology #COVID19 #COVIDisAirborne #COVID19Global #Covid19Ireland #Covid19UK #Covid19USA #COVID19Aus #covid19Canada #Covid19NZ #WuhanLabLeak #WuhanWetMarket   https://t.co/Uv46C9R3cU,"['wuhaninstituteofvirology', 'covid19', 'covidisairborne', 'covid19global', 'covid19ireland', 'covid19uk', 'covid19usa', 'covid19aus', 'covid19canada', 'covid19nz', 'wuhanlableak', 'wuhanwetmarket']",0,0,1,[]
2022-03-01 09:56:10,986066565333471233,LethimTakeFifth,en,@RShivshankar @krish_krusna China? We are a chinese colony. #UyghurGenocide #HongKongProtests #TiananmenSquareMassacre #Ukraine #USHypocrisy #DismantleNATO #cnn #msnbc #foxnews #WuhanLabLeak,"['uyghurgenocide', 'hongkongprotests', 'tiananmensquaremassacre', 'ukraine', 'ushypocrisy', 'dismantlenato', 'cnn', 'msnbc', 'foxnews', 'wuhanlableak']",0,1,0,"[{'screen_name': 'RShivshankar', 'name': 'Rahul Shivshankar', 'id': '635895185'}, {'screen_name': 'krish_krusna', 'name': 'Krish Maheshwari 🕉️🇮🇳(Krishna)', 'id': '313449542'}]"
2022-02-28 19:24:16,1058521576696676352,SilkCelluloid,en,"#HongKong was once one the vibrant international cities in the world, now the #CCP has ruined it.  #WuhanLabLeak  https://t.co/Hnox4Ppsow","['hongkong', 'ccp', 'wuhanlableak']",1,0,0,[]
2022-02-28 10:25:29,1424112595968086028,JohanvdB8,nl,@MarionKoopmans als u echt wil bijdragen aan het onderzoek naar het #originofcovid zult u beide opties voor mogelijk moeten houden en onderzoek. Als u de #wuhanlableak-theorie per definitie afwijst maakt u zich niet bepaald geloofwaardiger. #coronapandemie #Coronavirus #SARSCoV2,"['originofcovid', 'wuhanlableak', 'coronapandemie', 'coronavirus', 'sarscov2']",0,0,0,[]
2022-02-28 06:35:41,1471992964612116484,pekcartoonist,und,#XiJinping  #WuhanLabLeak  https://t.co/7sQNrvd3mT,"['xijinping', 'wuhanlableak']",0,0,0,[]
