id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1442647854368055298,1442632827598745608,1632789026000.0,2021-09-27 17:30:26,-700,,@WhitlockJason Wow we are in some serious trouble with nuts like this. #governmentflu God didn't create it..or at least he didn't make it into a weapon.,en,['governmentflu'],[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,1,17,https://twitter.com/EconomicMoron/status/1442647854368055298,[],[],0,,False,0,0,0,,#governmentflu,,,,,,,"[{'screen_name': 'WhitlockJason', 'name': 'Jason Whitlock', 'id': '40891771'}]",,,,
1434675951032492033,1434550835468378116,1630888376000.0,2021-09-05 17:32:56,-700,,"@bigclasstraitor @jeananncord What expert told you this in the beginning of this. Make you wonder what is truth. .... For SARS-CoV-2, scientists estimate that one mutation becomes established every 11 days. #governmentflu",en,['governmentflu'],[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,7,17,https://twitter.com/EconomicMoron/status/1434675951032492033,[],[],0,,False,1,0,0,,#governmentflu,,,,,,,"[{'screen_name': 'bigclasstraitor', 'name': 'Michael Brandow 🍎', 'id': '1229542577252126720'}, {'screen_name': 'jeananncord', 'name': 'Petit Poulet🌹💚🐥🐤🐣🦍🚀💎👐', 'id': '216455440'}]",,,,
1434538971921530880,1434538971921530880,1630855718000.0,2021-09-05 08:28:38,-700,,@WhitlockJason I'm gonna go out on a limb and be the first to state that this  #governmentflu was designed with racism in mind. I would bet statistically that it's a racist disease. If we could get true statistics.  https://t.co/PYBQBSw1q5,en,['governmentflu'],[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,7,8,https://twitter.com/EconomicMoron/status/1434538971921530880,['https://www.huffpost.com/entry/15-school-death-miami-dade-ron-desantis-covid_n_61340e51e4b0eab0ad99a1ca'],[],0,,False,0,0,0,,#governmentflu,,,,,,,[],,,,
1434484146617962500,1434465868918951938,1630842646000.0,2021-09-05 04:50:46,-700,,@Theone2and3 This was the same in most of the country... including blue states. #COVID is a #GovernmentFlu. Planned by the elites as a cover for wall street. What's a million dead when it's keeping out the Russians? #jellobiafra,en,"['covid', 'governmentflu', 'jellobiafra']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,7,4,https://twitter.com/EconomicMoron/status/1434484146617962500,[],[],0,,False,0,0,0,,#governmentflu,,,,,,,"[{'screen_name': 'Theone2and3', 'name': 'Hunter Fulghum↙️', 'id': '976198500533727232'}]",,,,
1434256725926989833,1434218769220579330,1630788425000.0,2021-09-04 13:47:05,-700,,@WhitlockJason You beat me to Jason f****** hilarious we have packed football stadiums no social distance even the commentators dont social distance anymore but we're told we're all going to die tomorrow and there's a new variant. #governmentflu #COVIDIOTS,en,"['governmentflu', 'covidiots']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,6,13,https://twitter.com/EconomicMoron/status/1434256725926989833,[],[],0,,False,0,1,0,,#governmentflu,,,,,,,"[{'screen_name': 'WhitlockJason', 'name': 'Jason Whitlock', 'id': '40891771'}]",,,,
1429424869809303552,1429393782114504707,1629636421000.0,2021-08-22 05:47:01,-700,,@McguiganScott @peterdaou @BernieToVest We haven't been testing it for it for years but now all of a sudden we decide to test for it makes you think  #governmentflu. Which governments though?,en,['governmentflu'],[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,7,5,https://twitter.com/EconomicMoron/status/1429424869809303552,[],[],0,,False,0,0,0,,#governmentflu,,,,,,,"[{'screen_name': 'McguiganScott', 'name': 'off with their heads🍄🕸', 'id': '1161727374'}, {'screen_name': 'peterdaou', 'name': 'Peter Daou', 'id': '18464266'}, {'screen_name': 'BernieToVest', 'name': '☭ L-Bird', 'id': '1256787024880623620'}]",,,,
1429423504013893635,1429423504013893635,1629636095000.0,2021-08-22 05:41:35,-700,,The fear creators continue. Look at his declared resume and maybe you'll start to think for yourself. #plannedpandemic #governmentflu. #COVIDIOTS #covidlies @fakestats.,en,"['plannedpandemic', 'governmentflu', 'covidiots', 'covidlies']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,7,5,https://twitter.com/EconomicMoron/status/1429423504013893635,[],[],0,,False,0,0,0,https://twitter.com/peterdaou/status/1429393782114504707,#governmentflu,,,,,,,[],,,,
1429423003297886209,1429393782114504707,1629635976000.0,2021-08-22 05:39:36,-700,,@MessMakerPro @peterdaou It's absolutely a planned pandemic. #plannedpandemic. #wallstreetbailout.  #GovernmentFlu,en,"['plannedpandemic', 'wallstreetbailout', 'governmentflu']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,7,5,https://twitter.com/EconomicMoron/status/1429423003297886209,[],[],0,,False,0,0,0,,#governmentflu,,,,,,,"[{'screen_name': 'MessMakerPro', 'name': 'Suzi ♫', 'id': '20880974'}, {'screen_name': 'peterdaou', 'name': 'Peter Daou', 'id': '18464266'}]",,,,
1428496488989175808,1428455800897421315,1629415077000.0,2021-08-19 16:17:57,-700,,@Logically_Left @kthalps One word...#darwin. Second phrase #GovernmentFlu,en,"['darwin', 'governmentflu']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,4,16,https://twitter.com/EconomicMoron/status/1428496488989175808,[],[],0,,False,0,1,0,,#governmentflu,,,,,,,"[{'screen_name': 'Logically_Left', 'name': 'Logically Left (No Grift/Tons of Shade)', 'id': '1262442914782883840'}, {'screen_name': 'kthalps', 'name': 'Katie Halper', 'id': '15859912'}]",,,,
1425589502538620930,1425589502538620930,1628721998000.0,2021-08-11 15:46:38,-700,,"#DeadKennedys | #GovernmentFlu | #PunkRock  ""We got a drug We're gonna try it out on you Won't make you die It'll getcha just a little bit sick  Got a head cold, got a chest cold And it's three days old Goin' on forever Make you hazy, make you lazy Drive you crazy...""",en,"['deadkennedys', 'governmentflu', 'punkrock']",[],1394702024495837187,1394702024495837187,xsicxboyx,XSICXBOYX,3,15,https://twitter.com/xsicxboyx/status/1425589502538620930,[],[],0,,False,2,1,0,,#governmentflu,,,,,,,[],,,,
1421589814114242565,1421565638896717827,1627768398000.0,2021-07-31 14:53:18,-700,,@SenSanders #plannedpandemic #governmentflu. Say it by name criminal.,en,"['plannedpandemic', 'governmentflu']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,6,14,https://twitter.com/EconomicMoron/status/1421589814114242565,[],[],0,,False,0,0,0,,#governmentflu,,,,,,,"[{'screen_name': 'SenSanders', 'name': 'Bernie Sanders', 'id': '29442313'}]",,,,
1418934285151653897,1418722034528497666,1627135270000.0,2021-07-24 07:01:10,-700,,@Humanlty1o1 I'll admit even I got vaccinated even though I got the #COVID19 before they even said it was here in late 2019. The numbers they have been 'releasing' are lies at best.  It was less then a normal #governmentflu to me but was clearly something different.,en,"['covid19', 'governmentflu']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,6,7,https://twitter.com/EconomicMoron/status/1418934285151653897,[],[],0,,False,3,3,1,,#governmentflu,,,,,,,"[{'screen_name': 'Humanlty1o1', 'name': 'Herb Powell - 🇨🇦🇺🇸🇩🇪', 'id': '1240450485594841090'}]",,,,
1418447839735156741,1418447839735156741,1627019293000.0,2021-07-22 22:48:13,-700,," https://t.co/w8ZdlqOJab  It's like Jello could see the future...  ""Got a head cold, got a chest cold And it's three days old Goin' on forever Make you hazy, make you lazy Drive you crazy For days and days and days and days and days and years""  #DeadKennedys  #GovernmentFlu",en,"['deadkennedys', 'governmentflu']",[],1287954323872210951,1287954323872210951,neuralnetdreams,P_H_Y_X,4,22,https://twitter.com/neuralnetdreams/status/1418447839735156741,['https://youtu.be/RT0PdG4FzrI'],[],0,,False,2,0,0,,#governmentflu,,,,,,,[],,,,
1418132114491457537,1417637448088231937,1626944018000.0,2021-07-22 01:53:38,-700,,@HaffaAlan @lilradishn #Governmentflu #plannedpandemic #Antivaccin #VaccinePassports,und,"['governmentflu', 'plannedpandemic', 'antivaccin', 'vaccinepassports']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,4,1,https://twitter.com/EconomicMoron/status/1418132114491457537,[],[],0,,False,0,1,0,,#governmentflu,,,,,,,"[{'screen_name': 'HaffaAlan', 'name': 'Alan Haffa', 'id': '3017963387'}, {'screen_name': 'lilradishn', 'name': 'Aggressive progressive 🌹', 'id': '3691090335'}]",,,,
1417600743612157954,1417600743612157954,1626817329000.0,2021-07-20 14:42:09,-700,,We wouldn’t have “woke” culture if it wasn’t for #punk and #hardcorepunk and some early #newave. They spoke of things we currently experience in society but on a more governmental level. Just make sure you don’t catch that #governmentflu,en,"['punk', 'hardcorepunk', 'newave', 'governmentflu']",[],1352324838245888001,1352324838245888001,Velozzittee,Velozzittee,2,14,https://twitter.com/Velozzittee/status/1417600743612157954,[],[],0,,False,0,0,0,,#governmentflu,,,,,,,[],,,,
1414783549249576961,1414647997846065156,1626145658000.0,2021-07-12 20:07:38,-700,,@BernieSanders #governmentFlu #plannedpandemic,und,"['governmentflu', 'plannedpandemic']",[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,1,20,https://twitter.com/EconomicMoron/status/1414783549249576961,[],[],0,,False,0,0,0,,#governmentflu,,,,,,,"[{'screen_name': 'BernieSanders', 'name': 'Bernie Sanders', 'id': '216776631'}]",,,,
1414284489686142983,1414058106657464321,1626026673000.0,2021-07-11 11:04:33,-700,,@CatJova Really? Do you believe a little #governmentFlu?  Same reaction same bailouts for wall street.,en,['governmentflu'],[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,7,11,https://twitter.com/EconomicMoron/status/1414284489686142983,[],[],0,,False,0,1,0,,#governmentflu,,,,,,,"[{'screen_name': 'CatJova', 'name': 'Comrade Cat ⚔️🔮🛸🏴🚩🇵🇸', 'id': '23232650'}]",,,,
1412758505891696643,1412715089245900801,1625662850000.0,2021-07-07 06:00:50,-700,,@Screechyland @ZubyMusic No sir it wasn't. it was a well-designed #GovernmentFlu. Wake up,en,['governmentflu'],[],1348849379545903104,1348849379545903104,EconomicMoron,EconomicMoron,3,6,https://twitter.com/EconomicMoron/status/1412758505891696643,[],[],0,,False,1,1,0,,#governmentflu,,,,,,,"[{'screen_name': 'Screechyland', 'name': 'Screechy', 'id': '178350946'}, {'screen_name': 'ZubyMusic', 'name': 'ZUBY:', 'id': '57441414'}]",,,,
