id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1502796284356444161,1502795532074463232,1647129529000.0,2022-03-12 15:58:49,-700,,@mmpadellan #MAGA #TrumpRally #TrumpIsACriminal #Trumpism #cult45 #LiarNotALeader #brainwashed #braindead #idiots  https://t.co/ErsIOW1Ryh,und,"['maga', 'trumprally', 'trumpisacriminal', 'trumpism', 'cult45', 'liarnotaleader', 'brainwashed', 'braindead', 'idiots']",[],703982954423394304,703982954423394304,debbie_rutgers,Debbie Rutgers,6,15,https://twitter.com/debbie_rutgers/status/1502796284356444161,[],['https://pbs.twimg.com/media/FNsBQV7VEAE46E3.jpg'],1,https://pbs.twimg.com/media/FNsBQV7VEAE46E3.jpg,False,36,0,8,,#maga,,,,,,,"[{'screen_name': 'mmpadellan', 'name': 'BrooklynDad_Defiant!', 'id': '1640929196'}]",,,,
1502796119511687171,1502760903778918401,1647129490000.0,2022-03-12 15:58:10,-700,,@RanceWilla @NotHoodlum #TrumpRally #MAGA #TrumpIsARussianAsset,und,"['trumprally', 'maga', 'trumpisarussianasset']",[],272036325,272036325,ZipPulse,ZipPulse 🌻,6,15,https://twitter.com/ZipPulse/status/1502796119511687171,[],[],0,,False,1,0,0,,#maga,,,,,,,"[{'screen_name': 'RanceWilla', 'name': 'J Rance 🇺🇦', 'id': '1325889136872611843'}, {'screen_name': 'NotHoodlum', 'name': 'Hoodlum 🇺🇸', 'id': '1106771843929788419'}]",,,,
1502795928356356096,1502760903778918401,1647129444000.0,2022-03-12 15:57:24,-700,,@NotHoodlum 🤣🤣🤣 #TrumpRally #MAGA 🤣🤣🤣  https://t.co/8NOa16bkP6,und,"['trumprally', 'maga']",[],272036325,272036325,ZipPulse,ZipPulse 🌻,6,15,https://twitter.com/ZipPulse/status/1502795928356356096,[],['https://pbs.twimg.com/tweet_video_thumb/FNsA7bAUcAAVQyS.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FNsA7bAUcAAVQyS.jpg,False,2,0,0,,#maga,,,,,,,"[{'screen_name': 'NotHoodlum', 'name': 'Hoodlum 🇺🇸', 'id': '1106771843929788419'}]",,,,
1502795691269279749,1502795691269279749,1647129388000.0,2022-03-12 15:56:28,-700,,Wordle 266 5/6  ⬛🟩⬛⬛⬛ ⬛🟩⬛⬛⬛ 🟩🟩⬛⬛🟩 🟩🟩⬛⬛🟩 🟩🟩🟩🟩🟩 #IAmAGenius #MAGA,en,"['iamagenius', 'maga']",[],1340189049605251072,1340189049605251072,TheDonaldTrumpa,@TheDonaldJTrump 🇺🇸,6,15,https://twitter.com/TheDonaldTrumpa/status/1502795691269279749,[],[],0,,False,0,0,0,,#maga,,,,,,,[],,,,
1502795443935358987,1502795443935358987,1647129329000.0,2022-03-12 15:55:29,-700,,#trumprally #maga #FJB #LiberalismIsAMentalDisorder  #JussieSmollettsentencing,und,"['trumprally', 'maga', 'fjb', 'liberalismisamentaldisorder', 'jussiesmollettsentencing']",[],1455876291320860673,1455876291320860673,TRiley1228,thelifeofRiley1228🍊,6,15,https://twitter.com/TRiley1228/status/1502795443935358987,[],[],0,,False,0,0,0,https://twitter.com/TRiley1228/status/1502794932976816131,#maga,,,,,,,[],,,,
1502794932976816131,1502794932976816131,1647129207000.0,2022-03-12 15:53:27,-700,,#JussieSmollett getting into position for the #trumprally in prison   #maga  https://t.co/wvdhoXOCLl,en,"['jussiesmollett', 'trumprally', 'maga']",[],1455876291320860673,1455876291320860673,TRiley1228,thelifeofRiley1228🍊,6,15,https://twitter.com/TRiley1228/status/1502794932976816131,[],['https://pbs.twimg.com/tweet_video_thumb/FNsABg7XsAYuUjD.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FNsABg7XsAYuUjD.jpg,False,1,0,0,,#maga,,,,,,,[],,,,
1502794896524333057,1502794896524333057,1647129198000.0,2022-03-12 15:53:18,-700,,#TrumpRally #DonaldJTrump #Trump #draintheswamp #MAGA   LOCK THEM ALL UP!!!!  https://t.co/VhMdRKHSMw,en,"['trumprally', 'donaldjtrump', 'trump', 'draintheswamp', 'maga']",[],33309988,33309988,Maaa52,Everything Woke Goes To Shyt,6,15,https://twitter.com/Maaa52/status/1502794896524333057,[],['https://pbs.twimg.com/media/FNr__FEUcAEX_Jw.jpg'],1,https://pbs.twimg.com/media/FNr__FEUcAEX_Jw.jpg,False,30,12,13,,#maga,,,,,,,[],,,,
1502794674389626883,1502794674389626883,1647129145000.0,2022-03-12 15:52:25,-700,,Trump Would Like Supporters to Fund a 'Trump Force One' Plane After Emergency Landing in Private Jet: Report  Why would a “billionaire “ need money to buy a plane.  Another scam for #maga to support trumps. 🤪  https://t.co/Si5wbM0SAL,en,['maga'],[],1109574535,1109574535,KindnessWins6,KindnessWins,6,15,https://twitter.com/KindnessWins6/status/1502794674389626883,['https://people.com/politics/donald-trump-requests-donations-new-trump-force-one-plane-emergency-landing/'],[],0,,False,0,0,0,,#maga,,,,,,,[],,,,
1502794632366899202,1502794632366899202,1647129135000.0,2022-03-12 15:52:15,-700,,Priceless! #Trump #Putin #GOP #Republicans #MAGA #TrueLove #Kleptocracy #Oligarchs #Russia,en,"['trump', 'putin', 'gop', 'republicans', 'maga', 'truelove', 'kleptocracy', 'oligarchs', 'russia']",[],746777603558735872,746777603558735872,WhKilroy,"Kilroy, W.H.",6,15,https://twitter.com/WhKilroy/status/1502794632366899202,[],[],0,,False,1,0,0,https://twitter.com/HLMenckensGhost/status/1502786746567774216,#maga,,,,,,,[],,,,
1502794420315299844,1502009684676407316,1647129085000.0,2022-03-12 15:51:25,-700,,@duty2warn @ungerbn103 #TrumpIsARussianAsset #TrumpPutin #MAGA #TrumpRally  https://t.co/QSmMDxpq3o,und,"['trumpisarussianasset', 'trumpputin', 'maga', 'trumprally']",[],272036325,272036325,ZipPulse,ZipPulse 🌻,6,15,https://twitter.com/ZipPulse/status/1502794420315299844,[],['https://pbs.twimg.com/media/FNr_jvmVQAICUkl.jpg'],1,https://pbs.twimg.com/media/FNr_jvmVQAICUkl.jpg,False,1,0,0,,#maga,,,,,,,"[{'screen_name': 'duty2warn', 'name': 'Duty To Warn 🔉', 'id': '879147821915615233'}, {'screen_name': 'ungerbn103', 'name': 'Brandon Unger 🌎🇺🇲 🇺🇦🌊', 'id': '3156120964'}]",,,,
