id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1490099923836182530,1489400770109886465,1644102481000.0,2022-02-05 15:08:01,-700,,@gbrou10 #covidhoax,und,['covidhoax'],[],1431429066045988865,1431429066045988865,Coolbreeze693,Coolbreeze69,6,15,https://twitter.com/Coolbreeze693/status/1490099923836182530,[],[],0,,False,0,0,0,,#covidhoax,,,,,,,"[{'screen_name': 'gbrou10', 'name': 'Gary WontBackDown', 'id': '1449120918937165827'}]",,,,
1490070561216778244,1490070561216778244,1644095480000.0,2022-02-05 13:11:20,-700,,#MandelaEffect #flatEarth #CovidHoax  https://t.co/pnXdQslqfl,und,"['mandelaeffect', 'flatearth', 'covidhoax']",[],26134460,26134460,BrianSStaveley,Brian S Staveley,6,13,https://twitter.com/BrianSStaveley/status/1490070561216778244,['https://www.youtube.com/watch?v=eof0YNsongk'],[],0,,False,1,1,0,,#covidhoax,,,,,,,[],,,,
1490056320426283010,1489717844065624069,1644092085000.0,2022-02-05 12:14:45,-700,,@RepBoebert #ThanksTrump #COVIDhoax   https://t.co/SIvnYKyWPq,und,"['thankstrump', 'covidhoax']",[],16324499,16324499,beaulen,Len Adams,6,12,https://twitter.com/beaulen/status/1490056320426283010,['https://nypost.com/2022/02/05/covid-19-death-toll-in-us-surpasses-900000-now-leads-the-world/'],[],0,,False,0,0,0,,#covidhoax,,,,,,,"[{'screen_name': 'RepBoebert', 'name': 'Rep. Lauren Boebert', 'id': '1342989756611907584'}]",,,,
1490036356269096961,1489729402573410306,1644087325000.0,2022-02-05 10:55:25,-700,,@adeleoop figure it out ill give you a hint its not the one you branch covidians have been terrified of for the last 2 years.  #HonkHonk2022 #FreedomConvoyCanada2022 #TruckersForFreedom2020 #covidHoax #branchcovidians #ID2020  https://t.co/EKE0LwZrDD,en,"['honkhonk2022', 'freedomconvoycanada2022', 'truckersforfreedom2020', 'covidhoax', 'branchcovidians', 'id2020']",[],765923012185030656,765923012185030656,phiyaatv,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Phiyaatv unacceptableFringeMinority,6,10,https://twitter.com/phiyaatv/status/1490036356269096961,[],['https://pbs.twimg.com/tweet_video_thumb/FK2sKnxWUAMDApI.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FK2sKnxWUAMDApI.jpg,False,0,1,0,,#covidhoax,,,,,,,"[{'screen_name': 'adeleoop', 'name': 'Bridele', 'id': '1479201032009916417'}]",,,,
1490024101129379840,1490024101129379840,1644084403000.0,2022-02-05 10:06:43,-700,,#CovidHoax #ClotShot #Manchester,und,"['covidhoax', 'clotshot', 'manchester']",[],1387445194681896963,1387445194681896963,ChancerDr,Dr Chancer,6,10,https://twitter.com/ChancerDr/status/1490024101129379840,[],[],0,,False,3,0,2,https://twitter.com/srah_jan111/status/1490008818616610823,#covidhoax,,,,,,,[],,,,
1490018736585195525,1490018736585195525,1644083124000.0,2022-02-05 09:45:24,-700,,Alle fysieke winkels wereldwijd 2 jaar lang af en aan in lockdown en wat krijg je dan 👇  Amazon maakt (in dollars) grootste koerssprong ooit op Wall Street.   #thegreatreset #covidhoax #WorldEconomicForum    https://t.co/2DRD71MAqS via @NUnl,nl,"['thegreatreset', 'covidhoax', 'worldeconomicforum']",[],1225960554877145089,1225960554877145089,RNnieuws,Realistisch Nieuws,6,9,https://twitter.com/RNnieuws/status/1490018736585195525,['https://www.nu.nl/economie/6182264/amazon-maakt-in-dollars-grootste-koerssprong-ooit-op-wall-street.html'],[],0,,False,0,0,0,,#covidhoax,,,,,,,[],,,,
1489974908864147459,1489974908864147459,1644072675000.0,2022-02-05 06:51:15,-700,,More proof that Covid was a plandemic. #Covid #CovidHoax #PlandemicGameOver  #Canada  https://t.co/ienxgOvvsm,en,"['covid', 'covidhoax', 'plandemicgameover', 'canada']",[],1148557361667350530,1148557361667350530,newshounddet,I AM newshounddet,6,6,https://twitter.com/newshounddet/status/1489974908864147459,['https://t.me/love17andyahweh/51504'],[],0,,False,0,0,0,,#covidhoax,,,,,,,[],,,,
1489945201170915332,1489945201170915332,1644065592000.0,2022-02-05 04:53:12,-700,,Same evil that was pushed on us in 1918-1984 is being pushed pushed on us today 2019-2022   #CovidHoax   @John_F_Kennedy_Jr   https://t.co/YowQ14JdPz  https://t.co/YHAZUxsPKs,en,['covidhoax'],[],172934084,172934084,eloylobogris,Eloy Lobo Gris 🕊️,6,4,https://twitter.com/eloylobogris/status/1489945201170915332,['https://t.me/John_F_Kennedy_Jr/1116'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1489945140126961680/pu/img/eIv0-RSUw7r10up1.jpg,False,1,0,0,,#covidhoax,,,,,,,[],,,,
1489906869992841226,1489311346709733377,1644056453000.0,2022-02-05 02:20:53,-700,,@reddevil68 No... the #CovidHoax has it beat!,en,['covidhoax'],[],1387445194681896963,1387445194681896963,ChancerDr,Dr Chancer,6,2,https://twitter.com/ChancerDr/status/1489906869992841226,[],[],0,,False,0,0,0,,#covidhoax,,,,,,,"[{'screen_name': 'reddevil68', 'name': 'Jeff 🇬🇧', 'id': '52065508'}]",,,,
1489902141246423045,1489902141246423045,1644055326000.0,2022-02-05 02:02:06,-700,,"Vaccine is required to enter this ludicrous thing called Heaven. Of course, only the small God fearing minds would believe this. Poor Francis… leave them kids alone! #covidhoax #VaccineDeath #whatgod  https://t.co/71nqLdMvDQ",en,"['covidhoax', 'vaccinedeath', 'whatgod']",[],1909261922,1909261922,patriciap_13,Pat,6,2,https://twitter.com/patriciap_13/status/1489902141246423045,[],['https://pbs.twimg.com/media/FK0yGYYWQAA7THN.jpg'],1,https://pbs.twimg.com/media/FK0yGYYWQAA7THN.jpg,False,0,0,0,,#covidhoax,,,,,,,[],,,,
