id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1491176602935660544,1491176602935660544,1644359181000.0,2022-02-08 14:26:21,-700,,#PfizerGate #Pfizer #PfizerLeak,und,"['pfizergate', 'pfizer', 'pfizerleak']",[],1256507979634966529,1256507979634966529,wave_chock,Chock Wave 🌍🔻🏴‍☠️ ✊🏾,2,14,https://twitter.com/wave_chock/status/1491176602935660544,[],[],0,,False,0,0,0,https://twitter.com/sergiodde/status/1490957001157144577,#pfizerleak,,,,,,,[],,,,
1491172070025494531,1491172070025494531,1644358100000.0,2022-02-08 14:08:20,-700,,.@ScottMorrisonMP #HarveyWeinstein #auspol  #PfizerLeak #ScottyTheCreep,und,"['harveyweinstein', 'auspol', 'pfizerleak', 'scottythecreep']",[],1487004303261061121,1487004303261061121,TheNewRight22,@TheNewRight,2,14,https://twitter.com/TheNewRight22/status/1491172070025494531,[],[],0,,False,0,0,0,https://twitter.com/zerohedge/status/1491149926348345345,#pfizerleak,,,,,,,[],,,,
1491166232963588097,1491166232963588097,1644356709000.0,2022-02-08 13:45:09,-700,,À conserver pour procès ! #PfizerLeak #PfizerGate #VaccineSideEffects,fr,"['pfizerleak', 'pfizergate', 'vaccinesideeffects']",[],1108099697711951873,1108099697711951873,EloHello8,ElodieMR,2,13,https://twitter.com/EloHello8/status/1491166232963588097,[],[],0,,False,0,0,0,https://twitter.com/le_Parisien/status/1491156443189370881,#pfizerleak,,,,,,,[],,,,
1491136372631310336,1491136372631310336,1644349589000.0,2022-02-08 11:46:29,-700,,Pfizer expects to produce 120 million courses by the end of the year  #Pfizer #PfizerGate #PfizerLeak   https://t.co/Klkayk5QyT,en,"['pfizer', 'pfizergate', 'pfizerleak']",[],2348028319,2348028319,mediadoor2pk,MEDIA DOOR,2,11,https://twitter.com/mediadoor2pk/status/1491136372631310336,['https://www.thenews2day.com/pfizer-expects-to-produce-120-million-courses-by-the-end-of-the-year-pfizer-expects-54-billion-in-2022-sales-on-covid-vaccine-and-treatment-pill/'],[],0,,False,1,0,0,,#pfizerleak,,,,,,,[],,,,
1491127105769607168,1491127105769607168,1644347380000.0,2022-02-08 11:09:40,-700,,"Il y a 5 titulaires de brevets qui possèdent le processus utilisé par #PfizerLeak pour ses ""vaccins"". Fauci est l'un d'entre eux. Chaque fois que tu reçois une injection, Fauci encaisse des royalties. Est ce que tu as bien compris ce que je dis ?  https://t.co/FT2F6Ysc5f",fr,['pfizerleak'],[],1290247728790933505,1290247728790933505,butalorsyouare1,ButAlorsYouAreFrench 🐺🐭🐺,2,11,https://twitter.com/butalorsyouare1/status/1491127105769607168,[],['https://pbs.twimg.com/media/FLGLmmEXoAcuHaF.png'],1,https://pbs.twimg.com/media/FLGLmmEXoAcuHaF.png,False,4,0,3,,#pfizerleak,,,,,,,[],,,,
1491123940701667328,1491123940701667328,1644346625000.0,2022-02-08 10:57:05,-700,,#effetssecondaires #effetsecondaires #effetsindésirables #NonVaccinés #nonvax #NonAuVaccinObligatoire #PfizerLeak #pfizergate,und,"['effetssecondaires', 'effetsecondaires', 'effetsindésirables', 'nonvaccinés', 'nonvax', 'nonauvaccinobligatoire', 'pfizerleak', 'pfizergate']",[],142719460,142719460,defrecannes,Defrecannes 🥕🥕🥕,2,10,https://twitter.com/defrecannes/status/1491123940701667328,[],[],0,,False,0,0,1,https://twitter.com/Kojak20230235/status/1490805285174267906,#pfizerleak,,,,,,,[],,,,
1491101509488373761,1491101509488373761,1644341277000.0,2022-02-08 09:27:57,-700,,Der Glaube an die evidenzbasierte Wissenschaft - und dass da schon alles seine Ordnung hat und niemand betrügt - ist hoch ansteckend und womöglich gefährlich. #PfizerLeak #pfizergate #BioNTech,de,"['pfizerleak', 'pfizergate', 'biontech']",[],975758714,975758714,SaschaOpel,Sascha Opel,2,9,https://twitter.com/SaschaOpel/status/1491101509488373761,[],[],0,,False,1,0,0,,#pfizerleak,,,,,,,[],,,,
1491077306944995333,1491077306944995333,1644335507000.0,2022-02-08 07:51:47,-700,,"- Dr. Joan-Ramon Laporte Roselló, imminent Expert Espagnol en pharmacovigilance, a déclaré Lors d'un Congrès le 7 février.  ""Les injections à ARn Messager Pfizer et Moderna ne sont pas des vaccins...  #NonALaVaccinationObligatoire #PfizerLeak #moderna #vaccines @disclosetv  https://t.co/iLZjVQ9Fmv",fr,"['nonalavaccinationobligatoire', 'pfizerleak', 'moderna', 'vaccines']",[],1434254615839707138,1434254615839707138,Artinstantly75,Artinstantly,2,7,https://twitter.com/Artinstantly75/status/1491077306944995333,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1491077040220655622/pu/img/Gb3EtEBf2KIuuGqR.jpg,False,1,0,0,,#pfizerleak,,,,,,,[],,,,
1491075522172194817,1491075522172194817,1644335081000.0,2022-02-08 07:44:41,-700,,"Pfizer may withhold ""life saving"" V@X from nations that wont shield them from liability? REALLY!!!  #PfizerGate #PfizerLeak #PfizerWhistleBlower #NegativeEfficacy #VaccineMandate #VaccinesWork #convoy #VaccineDeaths #vaccineinjuries #BigPharma  https://t.co/hEbvT5bwD0",en,"['pfizergate', 'pfizerleak', 'pfizerwhistleblower', 'negativeefficacy', 'vaccinemandate', 'vaccineswork', 'convoy', 'vaccinedeaths', 'vaccineinjuries', 'bigpharma']",[],817240166511349761,817240166511349761,tommyBoomboom,Tommy boomboom,2,7,https://twitter.com/tommyBoomboom/status/1491075522172194817,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1491074796213313540/pu/img/l_YPabbmwf8LTC62.jpg,False,4,1,6,,#pfizerleak,,,,,,,[],,,,
1491072931208003584,1491072931208003584,1644334464000.0,2022-02-08 07:34:24,-700,,When does that SH0T kick in? #Pfizergate #ModernaGate #PfizerLeak #PfizerWhistleBlower #VaccinesWork #NegativeEfficacy #VaccineMandate #convoy  https://t.co/mCB7EAAAlA,en,"['pfizergate', 'modernagate', 'pfizerleak', 'pfizerwhistleblower', 'vaccineswork', 'negativeefficacy', 'vaccinemandate', 'convoy']",[],817240166511349761,817240166511349761,tommyBoomboom,Tommy boomboom,2,7,https://twitter.com/tommyBoomboom/status/1491072931208003584,[],['https://pbs.twimg.com/media/FLFamXyUYAAPGMk.png'],1,https://pbs.twimg.com/media/FLFamXyUYAAPGMk.png,False,0,1,0,,#pfizerleak,,,,,,,[],,,,
