id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1493009872652148740,1492853924159791105,1644796267000.0,2022-02-13 15:51:07,-0700,,"@ConnieSchultz @JoyceWhiteVance After watching the #antivaxxer protests, the continued denialism about #schoolshootings, and the rise of #Trumpsim, my two big pillars have fallen.  We see these people commit their crimes in plain view, and more and more it's hard to imagine any of them being redeemable.",en,"['antivaxxer', 'schoolshootings', 'trumpsim']",[],710682235754532864,710682235754532864,LarryDeLuca,Elle Dee Elle,7,15,https://twitter.com/LarryDeLuca/status/1493009872652148740,[],[],0,,False,1,0,0,,#antivaxxer,,,,,,,"[{'screen_name': 'ConnieSchultz', 'name': 'Connie Schultz', 'id': '20715936'}, {'screen_name': 'JoyceWhiteVance', 'name': 'Joyce Alene', 'id': '548384458'}]",,,,
1493008245325066244,1493008245325066244,1644795879000.0,2022-02-13 15:44:39,-0700,,"@ACTPolicing confirm that the amount of people attending the #AntiVaxxer protests in #Canberra over the weekend was more like 10,000. Organizers would have you believe more attended, however ACT Police is a more credible source.",en,"['antivaxxer', 'canberra']",[],92597651,92597651,adzz75,adzz75,7,15,https://twitter.com/adzz75/status/1493008245325066244,[],[],0,,False,7,0,3,,#antivaxxer,,,,,,,[],,,,
1493002301988118529,1493002301988118529,1644794462000.0,2022-02-13 15:21:02,-0700,,These #antivaxxer fuckwads are a god damn problem. This one was near Chicago when she called restaurant staff Nazi’s.,en,['antivaxxer'],[],389708024,389708024,CharityWhatever,FUCK Texas/Florida/Idaho,7,15,https://twitter.com/CharityWhatever/status/1493002301988118529,[],[],0,,False,0,0,0,https://twitter.com/itsmorganariel/status/1492901369774325768,#antivaxxer,,,,,,,[],,,,
1492998054806437891,1492961184546533386,1644793449000.0,2022-02-13 15:04:09,-0700,,@drscottjensen Why do you still have a medical license? #sciencedenialism #fraud #antivaxxer,en,"['sciencedenialism', 'fraud', 'antivaxxer']",[],1313806019257131011,1313806019257131011,DaphSci,Matt Beckman,7,15,https://twitter.com/DaphSci/status/1492998054806437891,[],[],0,,False,0,0,0,,#antivaxxer,,,,,,,"[{'screen_name': 'drscottjensen', 'name': 'Scott Jensen', 'id': '4074051493'}]",,,,
1492992472561045506,1492979817540509699,1644792118000.0,2022-02-13 14:41:58,-0700,,@CapeQueen75 I'm a gay man who lived through the #AIDS crisis in the 1980's.  There's a lot of history repeating itself.  What did NOT repeat itself the #LGBT embrace of science and public health to protect not just ourselves but each other.  The #antivaxxer selfishness disgusts me.,en,"['aids', 'lgbt', 'antivaxxer']",[],710682235754532864,710682235754532864,LarryDeLuca,Elle Dee Elle,7,14,https://twitter.com/LarryDeLuca/status/1492992472561045506,[],[],0,,False,2,2,0,,#antivaxxer,,,,,,,"[{'screen_name': 'CapeQueen75', 'name': 'Karen,🌻🇺🇦not THAT Karen💙💛🐕🐕🐕🐕💙🌈🐕😢💙💛', 'id': '243478422'}]",,,,
1492975644564676617,1492800757351030788,1644788106000.0,2022-02-13 13:35:06,-0700,,@AdriaanBeenen Het was een vliegende #antivaxxer,nl,['antivaxxer'],[],352419571,352419571,VGfotovideo,VG FOTO & FILM PROD.,7,13,https://twitter.com/VGfotovideo/status/1492975644564676617,[],[],0,,False,1,0,0,,#antivaxxer,,,,,,,"[{'screen_name': 'AdriaanBeenen', 'name': 'Adriaan Beenen', 'id': '371932423'}]",,,,
1492974435573317633,1492895318819708930,1644787818000.0,2022-02-13 13:30:18,-0700,,@xAbbottx He deserves every ounce of it. #misinformation #antivaxxer #culturalappropriation,en,"['misinformation', 'antivaxxer', 'culturalappropriation']",[],823241523793903616,823241523793903616,nigeltufnel71,T.J.,7,13,https://twitter.com/nigeltufnel71/status/1492974435573317633,[],[],0,,False,0,1,0,,#antivaxxer,,,,,,,"[{'screen_name': 'xAbbottx', 'name': 'Abbott', 'id': '3312351429'}]",,,,
1492973930805616645,1492973930805616645,1644787697000.0,2022-02-13 13:28:17,-0700,,Anonymous #antivaxxer accuses Jewish man who lost people in the Holocaust of sympathizing with Nazism. Typical.,en,['antivaxxer'],[],27013347,27013347,michaelcoren,Reverend Michael Coren,7,13,https://twitter.com/michaelcoren/status/1492973930805616645,[],[],0,,False,24,2,2,https://twitter.com/Jimbobo7575/status/1492957275731812359,#antivaxxer,,,,,,,[],,,,
1492962448713957378,1492962448713957378,1644784960000.0,2022-02-13 12:42:40,-0700,,Every #antivaxxer on #Twitter explained in one easy Tweet.,en,"['antivaxxer', 'twitter']",[],1686805202,1686805202,MutzUk,Mutzy,7,12,https://twitter.com/MutzUk/status/1492962448713957378,[],[],0,,False,1,0,0,https://twitter.com/groin_hammer/status/1492956258260987906,#antivaxxer,,,,,,,[],,,,
1492955922234163206,1492770425990168577,1644783404000.0,2022-02-13 12:16:44,-0700,,@PJVenneman @CharleyK @_TFL_ @JustinTrudeau @JoeBiden @jacindaardern @SpeakerTrevor @EmmanuelMacron @fordnation @GavinNewsom @SpeakerPelosi I'm not an #antivaxxer at all. I am vaccinated. I am #antimandate. #ProChoice #MyBodyMyChoice Mind blown yet? 🤯   #FreedomConvoy2022 #FreedomConvoyCanada,en,"['antivaxxer', 'antimandate', 'prochoice', 'mybodymychoice', 'freedomconvoy2022', 'freedomconvoycanada']",[],522370572,522370572,THATJennCheng,Jenn Cheng,7,12,https://twitter.com/THATJennCheng/status/1492955922234163206,[],[],0,,False,2,1,0,,#antivaxxer,,,,,,,"[{'screen_name': 'PJVenneman', 'name': 'PJ Venneman', 'id': '219803579'}, {'screen_name': 'CharleyK', 'name': 'Charly K', 'id': '29953459'}, {'screen_name': '_TFL_', 'name': 'The French Laundry', 'id': '824883872'}, {'screen_name': 'JustinTrudeau', 'name': 'Justin Trudeau', 'id': '14260960'}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': '939091'}, {'screen_name': 'jacindaardern', 'name': 'Jacinda Ardern', 'id': '22959763'}, {'screen_name': 'SpeakerTrevor', 'name': 'Trevor Mallard', 'id': '33394729'}, {'screen_name': 'EmmanuelMacron', 'name': 'Emmanuel Macron', 'id': '1976143068'}, {'screen_name': 'fordnation', 'name': 'Doug Ford', 'id': '2809959174'}, {'screen_name': 'GavinNewsom', 'name': 'Gavin Newsom', 'id': '11347122'}, {'screen_name': 'SpeakerPelosi', 'name': 'Nancy Pelosi', 'id': '15764644'}]",,,,
1492952107481059334,1492871188879745026,1644782494000.0,2022-02-13 12:01:34,-0700,,@MaximeBernier Seems odd to see this picture of a completely shrouded lone protester standing  far away with their back a fascist #AntiVaxxer rally…  You guys are so incredibly gullible!,en,['antivaxxer'],[],112810120,112810120,BigHeadTales,Bighead Tales - Vaccinated & best 5G service ever!,7,12,https://twitter.com/BigHeadTales/status/1492952107481059334,[],[],0,,False,0,0,0,,#antivaxxer,,,,,,,"[{'screen_name': 'MaximeBernier', 'name': 'Maxime Bernier', 'id': '2791988124'}]",,,,
1492950270615203842,1491815168715673608,1644782056000.0,2022-02-13 11:54:16,-0700,,@SCD24177429 @Justin_Ling @HillBeverlyhill #antivaxxer and #antimasker BOT with 1 follower (LOL) and ZERO likes on all his tweets is trying to convince us we should care about his decades old photos.,en,"['antivaxxer', 'antimasker']",[],1036323176718843904,1036323176718843904,FuriousHare,StormHare's Evolution 🏴‍☠️🇺🇦 🇨🇦 🇺🇦🇨🇦🇺🇦,7,11,https://twitter.com/FuriousHare/status/1492950270615203842,[],[],0,,False,1,0,1,,#antivaxxer,,,,,,,"[{'screen_name': 'SCD24177429', 'name': 'SCD', 'id': '1273852728620400645'}, {'screen_name': 'Justin_Ling', 'name': 'Justin Ling', 'id': '16753407'}, {'screen_name': 'HillBeverlyhill', 'name': 'Bev', 'id': '1453270633'}]",,,,
