id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1497719424702464008,1497719424702464008,1645919111000.0,2022-02-26 15:45:11,-0700,,But BUT 👀👀👀 I thought that was just a #conspiracytheory 😁🙈💩💩💩maaan I need to find new #conspiracies… 💩 I’m running out… only a few left.. a #conspiracy #realist #NWO,en,"['conspiracytheory', 'conspiracies', 'conspiracy', 'realist', 'nwo']",[],2321123638,2321123638,ArankaASKS,✨⚫️hgtp://✨Aranka ASKS✨,6,15,https://twitter.com/ArankaASKS/status/1497719424702464008,[],[],0,,False,0,0,0,https://twitter.com/zerohedge/status/1497617575743787012,#conspiracytheory,,,,,,,[],,,,
1497694579067392000,1497694579067392000,1645913188000.0,2022-02-26 14:06:28,-0700,,Another Gazprom Executive Found dead in the same town as previous executive!? #PutinHitler #conspiracytheory,en,"['putinhitler', 'conspiracytheory']",[],23617937,23617937,IrishSetterTM,Colonel J.C. 🌻 | $RVP 💎🙌🏼,6,14,https://twitter.com/IrishSetterTM/status/1497694579067392000,[],[],0,,False,0,0,0,https://twitter.com/47News_ru/status/1497298178516865027,#conspiracytheory,,,,,,,[],,,,
1497694358685949952,1497694358685949952,1645913135000.0,2022-02-26 14:05:35,-0700,,"If u read only 1 thing today, read this. Proof that #Vaccine causes large scale deaths. NOT #ConspiracyTheory but financial data from stock market &amp; Insurance companies.",en,"['vaccine', 'conspiracytheory']",[],2556436302,2556436302,KittyV71,Kitty,6,14,https://twitter.com/KittyV71/status/1497694358685949952,[],[],0,,False,1,0,1,https://twitter.com/prettyg2626/status/1497345091739992070,#conspiracytheory,,,,,,,[],,,,
1497684865600278528,1497684865600278528,1645910872000.0,2022-02-26 13:27:52,-0700,,How refreshing!  A magazine for people who think for themselves!   https://t.co/EWb8Jl0ATY  #WakeUp #WakeUpPeople #WakeUpEverybody #TruthSocial #TruthMatters #Truth #TruthSeekerIsNeverBored #ConspiracyExposed #conspiracytheory #ConspiracyTheories,en,"['wakeup', 'wakeuppeople', 'wakeupeverybody', 'truthsocial', 'truthmatters', 'truth', 'truthseekerisneverbored', 'conspiracyexposed', 'conspiracytheory', 'conspiracytheories']",[],16669580,16669580,Atheria,Atheria the Petite Medium,6,13,https://twitter.com/Atheria/status/1497684865600278528,['https://www.newdawnmagazine.com/'],[],0,,False,1,0,3,,#conspiracytheory,,,,,,,[],,,,
1497680558511607809,1497680558511607809,1645909845000.0,2022-02-26 13:10:45,-0700,,Sad that we’ve been lied to so much by our governments that we question the validity of WWIII.  #conspiracytheory #WW3 #WorldWarIII #UkraineRussiaWar #UkraineWar,en,"['conspiracytheory', 'ww3', 'worldwariii', 'ukrainerussiawar', 'ukrainewar']",[],1378364147084185602,1378364147084185602,Smuttoon1,Smuttoon,6,13,https://twitter.com/Smuttoon1/status/1497680558511607809,[],[],0,,False,1,0,0,,#conspiracytheory,,,,,,,[],,,,
1497680049469853698,1497680049469853698,1645909724000.0,2022-02-26 13:08:44,-0700,,Signup for the mailing list today!  Clermont era X-Men meets #ancientaliens in this ensemble team of supers with heart.  #ComicsGate #sciencefiction #ConspiracyTheory #RPG #GreekMythology #comicbooks #indiecomics #SupportIndieComics    https://t.co/gWgNJNWbh1  https://t.co/Z8vwZ8LTLp,en,"['ancientaliens', 'comicsgate', 'sciencefiction', 'conspiracytheory', 'rpg', 'greekmythology', 'comicbooks', 'indiecomics', 'supportindiecomics']",[],56524963,56524963,LukeStoneStudio,LukeStoneStudios,6,13,https://twitter.com/LukeStoneStudio/status/1497680049469853698,['https://IGG.me/at/killingfield3'],['https://pbs.twimg.com/media/FMjUEVbXoAUTqWe.jpg'],1,https://pbs.twimg.com/media/FMjUEVbXoAUTqWe.jpg,False,19,1,13,,#conspiracytheory,,,,,,,[],,,,
1497675347248263185,1497675347248263185,1645908602000.0,2022-02-26 12:50:02,-0700,,"Now, go with me on this: What if there isn’t even a war going on and everything is being staged to make everyone THINK it’s happening.  And in actuality, this is how government and world leaders get what they want; by tricking everyone. #WWIII #conspiracytheory",en,"['wwiii', 'conspiracytheory']",[],1378364147084185602,1378364147084185602,Smuttoon1,Smuttoon,6,12,https://twitter.com/Smuttoon1/status/1497675347248263185,[],[],0,,False,0,0,0,,#conspiracytheory,,,,,,,[],,,,
1497657919361409026,1497657919361409026,1645904447000.0,2022-02-26 11:40:47,-0700,,"The Department of Truth (@JamesTheFourth @Martin_Simmonds), ma plus grosse claque comics depuis DMZ. La VF est chez @urbancomincs et la VO chez @imagecomics #DMZ #thedepartmentoftruth #ConspiracyExposed #ConspiracyTheories #conspiracytheory #comics   https://t.co/wXl4r0tehP",fr,"['dmz', 'thedepartmentoftruth', 'conspiracyexposed', 'conspiracytheories', 'conspiracytheory', 'comics']",[],1495326527483006977,1495326527483006977,artofthomasd,Beignet Bison (Constellations),6,11,https://twitter.com/artofthomasd/status/1497657919361409026,['https://blogconstellations.home.blog/2022/02/05/the-department-of-truth-tome-1-james-tynion-iv-martin-simmonds/'],[],0,,False,0,0,0,,#conspiracytheory,,,,,,,[],,,,
1497657011537854469,1497657011537854469,1645904231000.0,2022-02-26 11:37:11,-0700,,What does this mysterious message mean?  https://t.co/kwLokYU5g0  #conspiracy #conspiracytheory #newworldorder #amazon  https://t.co/TcRkBDqufR,en,"['conspiracy', 'conspiracytheory', 'newworldorder', 'amazon']",[],120647572,120647572,FitFromDan,D.W. Eamer Official Author,6,11,https://twitter.com/FitFromDan/status/1497657011537854469,['https://www.amazon.com/SATAN-Gene-Thriller-D-W-Eamer-ebook/dp/B09NCC5R9N'],['https://pbs.twimg.com/media/FMi_HLUXIAEif5K.jpg'],1,https://pbs.twimg.com/media/FMi_HLUXIAEif5K.jpg,False,1,0,0,,#conspiracytheory,,,,,,,[],,,,
1497638131922841603,1497638131922841603,1645899730000.0,2022-02-26 10:22:10,-0700,,Alan.. Alien abduction.  https://t.co/1N3Rbkjvhy #alienabduction #UFO #UFOs #ufosighting #roswell #alien #stopframe #conspiracy #conspiracytheory  #cartoon #cabininthewoods #Superstar 1,en,"['alienabduction', 'ufo', 'ufos', 'ufosighting', 'roswell', 'alien', 'stopframe', 'conspiracy', 'conspiracytheory', 'cartoon', 'cabininthewoods', 'superstar']",[],292619181,292619181,scarletmonahan,scarlet monahan,6,10,https://twitter.com/scarletmonahan/status/1497638131922841603,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1127284957100036096/pu/img/TQgrJ4NqxJyZRVj8.jpg,False,0,0,1,,#conspiracytheory,,,,,,,[],,,,
