id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1500611167059955716,1500611167059955716,1646608556000.0,2022-03-06 15:15:56,-0700,,#WheresFauci,und,['wheresfauci'],[],344772996,344772996,Jack_Shih_tzu,I AM SPARTACUS-I stand for liberty and freedom✊🏼,7,15,https://twitter.com/Jack_Shih_tzu/status/1500611167059955716,[],[],0,,False,2,0,0,https://twitter.com/Patriot79Baker/status/1500567508062982148,#wheresfauci,,,,,,,[],,,,
1500607593894400003,1500607593894400003,1646607704000.0,2022-03-06 15:01:44,-0700,,This was a crime to humanity to support the symbiotic partnership between big pharma and CDC. #WheresFauci,en,['wheresfauci'],[],1429952442922266632,1429952442922266632,TRF27278461,TRF,7,15,https://twitter.com/TRF27278461/status/1500607593894400003,[],[],0,,False,1,0,0,https://twitter.com/EplurebusUnum/status/1500539057474056199,#wheresfauci,,,,,,,[],,,,
1500593735536558080,1500593735536558080,1646604400000.0,2022-03-06 14:06:40,-0700,,"#WheresFauci   Anyone seen him, perhaps the Russians are holding him hostage",en,['wheresfauci'],[],1481647751981002752,1481647751981002752,clownfaceworld,ClownFace_World,7,14,https://twitter.com/clownfaceworld/status/1500593735536558080,[],[],0,,False,1,0,0,,#wheresfauci,,,,,,,[],,,,
1500593491549868039,1500593491549868039,1646604342000.0,2022-03-06 14:05:42,-0700,,#WheresFauci  https://t.co/0froNj9HVH,und,['wheresfauci'],[],1428275258977628162,1428275258977628162,SoSeeeek,Zeak,7,14,https://twitter.com/SoSeeeek/status/1500593491549868039,[],['https://pbs.twimg.com/tweet_video_thumb/FNMt0pJXoAchnmm.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FNMt0pJXoAchnmm.jpg,False,0,0,0,,#wheresfauci,,,,,,,[],,,,
1500586812842156032,1500586812842156032,1646602750000.0,2022-03-06 13:39:10,-0700,,#WheresFauci,und,['wheresfauci'],[],1442126947098632192,1442126947098632192,hsemorris,Sam Morris,7,13,https://twitter.com/hsemorris/status/1500586812842156032,[],[],0,,False,0,0,0,https://twitter.com/halvorpie/status/1500505908048277510,#wheresfauci,,,,,,,[],,,,
1500586300180598784,1500342973111812098,1646602628000.0,2022-03-06 13:37:08,-0700,,"@jbjk216 @KatVonZ3 #WheresFauci we've been asking for days....  This is a grave mistake scientists would make in humanity forcefully injecting people , knowing its toxic side effect and never disclosing to almost 13 months . @CDCDirector is criminal mafia style drug push, must be held accountable",en,['wheresfauci'],[],1493357776617152513,1493357776617152513,NeSabaye,SabayeNeኝ,7,13,https://twitter.com/NeSabaye/status/1500586300180598784,[],[],0,,False,3,0,1,,#wheresfauci,,,,,,,"[{'screen_name': 'jbjk216', 'name': 'Trump won! (Jen)', 'id': '705924292949594113'}, {'screen_name': 'KatVonZ3', 'name': 'KatVonZ', 'id': '1460452106347950084'}]",,,,
1500580133232680963,1500580133232680963,1646601157000.0,2022-03-06 13:12:37,-0700,,#WheresFauci  https://t.co/YuplM0PO3S,und,['wheresfauci'],[],4691493384,4691493384,atimenseason,🌷Deb🌷,7,13,https://twitter.com/atimenseason/status/1500580133232680963,[],['https://pbs.twimg.com/tweet_video_thumb/FNMhrOoWUAkoh12.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FNMhrOoWUAkoh12.jpg,False,1,0,0,,#wheresfauci,,,,,,,[],,,,
1500573417673744386,1500573417673744386,1646599556000.0,2022-03-06 12:45:56,-0700,,#WheresFauci  https://t.co/PXB9XZiiKM,und,['wheresfauci'],[],344772996,344772996,Jack_Shih_tzu,I AM SPARTACUS-I stand for liberty and freedom✊🏼,7,12,https://twitter.com/Jack_Shih_tzu/status/1500573417673744386,[],['https://pbs.twimg.com/media/FNMbkWwX0AU5qLl.jpg'],1,https://pbs.twimg.com/media/FNMbkWwX0AU5qLl.jpg,False,47,3,13,,#wheresfauci,,,,,,,[],,,,
1500572556079906821,1500572556079906821,1646599351000.0,2022-03-06 12:42:31,-0700,,#wheresFauci  https://t.co/cau1lMm3w6,und,['wheresfauci'],[],344772996,344772996,Jack_Shih_tzu,I AM SPARTACUS-I stand for liberty and freedom✊🏼,7,12,https://twitter.com/Jack_Shih_tzu/status/1500572556079906821,[],['https://pbs.twimg.com/media/FNMayHXXIAA5-y8.jpg'],1,https://pbs.twimg.com/media/FNMayHXXIAA5-y8.jpg,False,1,0,0,,#wheresfauci,,,,,,,[],,,,
1500567370477326348,1498789412775235587,1646598114000.0,2022-03-06 12:21:54,-0700,,@Brejchanation @_GreenTable_ @ecooke2 @Steve_the_free #WheresFauci,und,['wheresfauci'],[],39315113,39315113,DRAMAGRRRL,DRAMAGRL HONK HONK,7,12,https://twitter.com/DRAMAGRRRL/status/1500567370477326348,[],[],0,,False,0,0,0,,#wheresfauci,,,,,,,"[{'screen_name': 'Brejchanation', 'name': 'Kyle Brejcha', 'id': '322832516'}, {'screen_name': '_GreenTable_', 'name': 'MesaVerde', 'id': '29045807'}, {'screen_name': 'ecooke2', 'name': 'Earl', 'id': '74660635'}, {'screen_name': 'Steve_the_free', 'name': 'Steve_the_North', 'id': '1402431990985420803'}]",,,,
