id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1500979214656356357,1500895621665886210,1646696306000.0,2022-03-07 15:38:26,-0700,,@AdamMacVicar @GlobalCalgary Aren't you embarrassed to still be pushing a vaccine that has far more adverse effects than catching the virus does?  The vaccine scam is over. Don't you know that all is forgotten and there is a war going on now?   #mediascam #scamdemic #TrudeauworstPMever #TrudeauForTreason,en,"['mediascam', 'scamdemic', 'trudeauworstpmever', 'trudeaufortreason']",[],729808480442277889,729808480442277889,Tdoubleyu,Tee,1,15,https://twitter.com/Tdoubleyu/status/1500979214656356357,[],[],0,,False,2,0,1,,#scamdemic,,,,,,,"[{'screen_name': 'AdamMacVicar', 'name': 'Adam MacVicar', 'id': '382947250'}, {'screen_name': 'GlobalCalgary', 'name': 'Global Calgary', 'id': '18228708'}]",,,,
1500978171486908423,1500906098076827654,1646696057000.0,2022-03-07 15:34:17,-0700,,"@Adoomies3 Because you live in fear, like a robot.   You gave up your rights, that's your choice, we don't care, let us live our lives the way we wish to.   #unmasked  #scamdemic #TrudeauworstPMever #TrudeauNationalDisgrace #robots #FreedomConvoyCanada  #freedomoverfear",en,"['unmasked', 'scamdemic', 'trudeauworstpmever', 'trudeaunationaldisgrace', 'robots', 'freedomconvoycanada', 'freedomoverfear']",[],729808480442277889,729808480442277889,Tdoubleyu,Tee,1,15,https://twitter.com/Tdoubleyu/status/1500978171486908423,[],[],0,,False,0,1,1,,#scamdemic,,,,,,,"[{'screen_name': 'Adoomies3', 'name': 'yas', 'id': '1382642851167764480'}]",,,,
1500970384740741122,1500699627754242048,1646694201000.0,2022-03-07 15:03:21,-0700,,"@HuntingtonJoel Oh C'mon Comrade, surely u don't believe the truth? Lies are much more paletable. Sweet and sticky. C'mon Comrade no need to think for yourself - Party Knows Best! 😁 MASK ON. TV ON. FEAR ON. JAB ON. OWN NOTHING. B HAPPY (OR ELSE!) 😁 # #ccp #COVID19 #scamdemic #economic_H_bomb  https://t.co/VWSOfYqS6A",en,"['ccp', 'covid19', 'scamdemic', 'economic_h_bomb']",[],35680069,35680069,CraigSobey,Craig Sobey,1,15,https://twitter.com/CraigSobey/status/1500970384740741122,[],['https://pbs.twimg.com/tweet_video_thumb/FNSEmpSakAEOKTX.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FNSEmpSakAEOKTX.jpg,False,1,0,0,,#scamdemic,,,,,,,"[{'screen_name': 'HuntingtonJoel', 'name': 'Joel Huntington', 'id': '1283005678496419840'}]",,,,
1500967667683164161,1500967667683164161,1646693553000.0,2022-03-07 14:52:33,-0700,,Circus Tent begins to sag under the weight of BS...  crowd begins to wake.. 'Smart' Clowns know what comes next... 😁 #ccp #scamdemic #economic_H_bomb #asymmetric #warfare #fakenews #psyop #propoganda #crimesagainsthumanity #CrimesAgainstChildren #Genocide #Nuremberg2 #auspol  https://t.co/GDFHnDHq3K,en,"['ccp', 'scamdemic', 'economic_h_bomb', 'asymmetric', 'warfare', 'fakenews', 'psyop', 'propoganda', 'crimesagainsthumanity', 'crimesagainstchildren', 'genocide', 'nuremberg2', 'auspol']",[],35680069,35680069,CraigSobey,Craig Sobey,1,14,https://twitter.com/CraigSobey/status/1500967667683164161,[],['https://pbs.twimg.com/media/FNSCIaQaAAM2nJF.jpg'],1,https://pbs.twimg.com/media/FNSCIaQaAAM2nJF.jpg,False,6,0,1,,#scamdemic,,,,,,,[],,,,
1500961838191632384,1500961838191632384,1646692163000.0,2022-03-07 14:29:23,-0700,, https://t.co/x2R2QB0V8n I wish I could find this video on another source other than Fakebook. It's not on ScrewTube that I can see. I'll never forget this video. #scamdemic #stopthemandates #TruthUnveiled #CrimesAgainstHumanity,en,"['scamdemic', 'stopthemandates', 'truthunveiled', 'crimesagainsthumanity']",[],1028421193710202880,1028421193710202880,RFouru,Zoxo,1,14,https://twitter.com/RFouru/status/1500961838191632384,['https://www.facebook.com/100076773025516/videos/1730423883955680'],[],0,,False,1,1,0,,#scamdemic,,,,,,,[],,,,
1500935409005514752,1500785637535805440,1646685862000.0,2022-03-07 12:44:22,-0700,,@Elativ75 @BradJamin3 A #Scamdemic #NarrativeImplosion revealing #PopulationControl requires #Pacification involving #CrisisCapitalism using #ShockDoctrine against us for #ImposedAusterity  #WEFsGreatReset #UNAgenda2030   #Digitalid &amp; #CarbonCreditScore (aka #DigitalRationCard) = #SocialCreditSystem  https://t.co/OVLzq9JQka,en,"['scamdemic', 'narrativeimplosion', 'populationcontrol', 'pacification', 'crisiscapitalism', 'shockdoctrine', 'imposedausterity', 'wefsgreatreset', 'unagenda2030', 'digitalid', 'carboncreditscore', 'digitalrationcard', 'socialcreditsystem']",[],1079336532291375104,1079336532291375104,QuirkyReally,Chairman Biden's Cultural Revolution,1,12,https://twitter.com/QuirkyReally/status/1500935409005514752,[],['https://pbs.twimg.com/tweet_video_thumb/FNRky6SaMAEkL1k.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FNRky6SaMAEkL1k.jpg,False,0,0,0,,#scamdemic,,,,,,,"[{'screen_name': 'Elativ75', 'name': 'DanOz', 'id': '2724783770'}, {'screen_name': 'BradJamin3', 'name': 'Brad Jamin', 'id': '1317031398507622401'}]",,,,
1500932915026345989,1500932915026345989,1646685267000.0,2022-03-07 12:34:27,-0700,,"#scamdemic  #VaccineSideEffects  #Pfizer  I told you so, it was never safe.  Real and honest doctors like me were silenced 🔕   This was a  human experiment, the scientists around the world 🌎 wanted to wipe out human population in coming decades or years  https://t.co/RIneWgFKOp",en,"['scamdemic', 'vaccinesideeffects', 'pfizer']",[],1373571110122496001,1373571110122496001,Assassi41090130,"doctor Arnold Schumer, PhD consultant",1,12,https://twitter.com/Assassi41090130/status/1500932915026345989,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1500932867995619329/pu/img/yUu02J1uXzp_04P4.jpg,False,7,0,3,,#scamdemic,,,,,,,[],,,,
1500921012153720832,1500921012153720832,1646682429000.0,2022-03-07 11:47:09,-0700,,Whatever @GovRonDeSantis &amp; @FLSurgeonGen are doing In #Florida re: the #COVID19 #SCAMdemic is what EVERY state should do‼️  The Curtain Close on COVID by @rwmalonemd highlights @RonDeSantisFL roundtable on COVID Theater.    https://t.co/c3dfzAEgnE,en,"['florida', 'covid19', 'scamdemic']",[],1494549134807814144,1494549134807814144,Connor4America,Connor,1,11,https://twitter.com/Connor4America/status/1500921012153720832,['https://rwmalonemd.substack.com/p/the-curtain-close-on-covid?s=r'],[],0,,False,0,0,0,,#scamdemic,,,,,,,[],,,,
1500919087194685449,1500919087194685449,1646681970000.0,2022-03-07 11:39:30,-0700,,People are out there boycotting an entire countries products for what their president is doing......but didn't say a peep for the last two years when their own leaders were removing their freedoms 🙄 #covid1984 #scamdemic,en,"['covid1984', 'scamdemic']",[],1419281487384522754,1419281487384522754,DarrenJBrookes,Darren J Brookes,1,11,https://twitter.com/DarrenJBrookes/status/1500919087194685449,[],[],0,,False,0,0,0,,#scamdemic,,,,,,,[],,,,
1500916230856884237,1500916230856884237,1646681289000.0,2022-03-07 11:28:09,-0700,,The Little Demon...😈💉🧬  #ArrestFauci #Fraudci #CrimesAgainstHumanity #Convid #Plandemic #Scamdemic #Nuremberg2  https://t.co/MdxjH3Oq9y,en,"['arrestfauci', 'fraudci', 'crimesagainsthumanity', 'convid', 'plandemic', 'scamdemic', 'nuremberg2']",[],1458327544550371332,1458327544550371332,ShannxPennywise,🏴󠁧󠁢󠁷󠁬󠁳󠁿 Shannon S 🏴󠁧󠁢󠁷󠁬󠁳󠁿 (Backup.),1,11,https://twitter.com/ShannxPennywise/status/1500916230856884237,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1500916217590296584/pu/img/jsjPrRiJMHeuU5cB.jpg,False,19,0,11,,#scamdemic,,,,,,,[],,,,
