id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1501701599177191427,1501701599177191427,1646868536000.0,2022-03-09 15:28:56,-700,,@zlj517 Pot calling the kettle black.   #chinavirus China accuses US of ‘biological military activities’ in Ukraine  https://t.co/tIO3zzjgEw #FoxNews,en,"['chinavirus', 'foxnews']",[],1375643816590503937,1375643816590503937,Patriot12251,Patriot1225,3,15,https://twitter.com/Patriot12251/status/1501701599177191427,['https://www.foxnews.com/world/china-us-biolabs-ukraine-russia'],[],0,,False,0,0,0,,#chinavirus,,,,,,,[],,,,
1501697883326005248,1501697883326005248,1646867650000.0,2022-03-09 15:14:10,-700,,"All that #Govt #Tyranny, over a “sore throat”.  An active duty sailor told me his ships CO, instructed the ships doc to stop testing and reporting sailors with #ChinaVirus infections, if to high, they’d be kept in port, denied sea quals. The #Hypocrisy   https://t.co/pkiIvBahTO",en,"['govt', 'tyranny', 'chinavirus', 'hypocrisy']",[],1447970136174972932,1447970136174972932,MrFiat2,Mr. Fiat,3,15,https://twitter.com/MrFiat2/status/1501697883326005248,['https://www.chicksonright.com/blog/2022/03/09/breaking-navy-ship-cant-leave-for-its-mission-for-dumbest-reason-imaginable/?utm_source=mcotr'],[],0,,False,0,0,0,,#chinavirus,,,,,,,[],,,,
1501689610363027461,1501646756270190592,1646865677000.0,2022-03-09 14:41:17,-700,,"@DrShaneRRR Can you provide a link to a study that can prove that masks stop the #ChinaVirus? 🦘 Maskidiots get sick like anyone else, probably because they wear the same mask for several days, which is nothing but a trap for decease and a blockage to the airways. You should know Doc🦘",en,['chinavirus'],[],1273701966,1273701966,SumMatch,SumMatch,3,14,https://twitter.com/SumMatch/status/1501689610363027461,[],[],0,,False,8,0,0,,#chinavirus,,,,,,,"[{'screen_name': 'DrShaneRRR', 'name': 'Dr Shane Huntington OAM', 'id': '523949557'}]",,,,
1501682424530407426,1501682424530407426,1646863964000.0,2022-03-09 14:12:44,-700,,That #CHINAVIRUS needs to disappear,en,['chinavirus'],[],1955398932,1955398932,DeeTheFAJA,KAMRON,3,14,https://twitter.com/DeeTheFAJA/status/1501682424530407426,[],[],0,,False,0,0,0,,#chinavirus,,,,,,,[],,,,
1501667803430068226,1501615546122620936,1646860478000.0,2022-03-09 13:14:38,-700,,@mikepompeo Right. The guy who made COVID into a racial issue by calling it the #ChinaVirus - #JustNotCredible,en,"['chinavirus', 'justnotcredible']",[],1176255237805486080,1176255237805486080,PDMGsbmba2020,Tweeting for #EndMAGAnow and #SlavaUkraini!,3,13,https://twitter.com/PDMGsbmba2020/status/1501667803430068226,[],[],0,,False,0,1,0,,#chinavirus,,,,,,,"[{'screen_name': 'mikepompeo', 'name': 'Mike Pompeo', 'id': '1163992520252153857'}]",,,,
1501666241609887747,1501666241609887747,1646860106000.0,2022-03-09 13:08:26,-700,,Japanese virus is not racist but #ChinaVirus is? #WhitePeopleLogic 😅   https://t.co/NV6bUWILc9,en,"['chinavirus', 'whitepeoplelogic']",[],1227339988414545920,1227339988414545920,tenzinrigsang19,tenzin dolma,3,13,https://twitter.com/tenzinrigsang19/status/1501666241609887747,['https://youtu.be/5QJPzYz8Gdc'],[],0,,False,0,0,0,,#chinavirus,,,,,,,[],,,,
1501658066898817025,1501658066898817025,1646858157000.0,2022-03-09 12:35:57,-700,,ワースト1位大阪、2位京都、高知が東京を上回る、沖縄は意外に41位、全国47都道府県コロナ死亡数〈dot.〉(AERA dot.) #Yahooニュース #ChinaVirus #武漢肺炎 #COVID19  https://t.co/ssyoBc2IU9,ja,"['yahooニュース', 'chinavirus', '武漢肺炎', 'covid19']",[],1419393197629788165,1419393197629788165,DetectiveBeastP,ビースト,3,12,https://twitter.com/DetectiveBeastP/status/1501658066898817025,['https://news.yahoo.co.jp/articles/dae2f03575e962e3b9b4ed57e2ccd9c3e0f1c5ba'],[],0,,False,0,0,0,,#chinavirus,,,,,,,[],,,,
1501649811292012544,1501576019664273408,1646856188000.0,2022-03-09 12:03:08,-700,,"@Doug92563085 @DanaPerino Biden is far from respected, hence the invasion. Biden only leads from behind otherwise Russia would have been stopped. Oh and the stats above, have nothing to do with @POTUS or the @DNC, they're simply an adjustment due to the devastation caused by the #ChinaVirus. #BidenSucks",en,"['chinavirus', 'bidensucks']",[],17011768,17011768,theBenLeJeune,ben lejeune,3,12,https://twitter.com/theBenLeJeune/status/1501649811292012544,[],[],0,,False,0,1,0,,#chinavirus,,,,,,,"[{'screen_name': 'Doug92563085', 'name': 'Petersen', 'id': '3230001318'}, {'screen_name': 'DanaPerino', 'name': 'Dana Perino', 'id': '27311044'}]",,,,
1501609615750012929,1501609615750012929,1646846605000.0,2022-03-09 09:23:25,-700,,"Again, this is the same group with the exploding heads when #Trump called #Covid the #ChinaVirus because THAT was #racist to the country of #China. You really can not make up this nonsense.",en,"['trump', 'covid', 'chinavirus', 'racist', 'china']",[],1458491330326405120,1458491330326405120,1mSoBze,1mSoBze,3,9,https://twitter.com/1mSoBze/status/1501609615750012929,[],[],0,,False,0,0,0,https://twitter.com/robbystarbuck/status/1501606487722020869,#chinavirus,,,,,,,[],,,,
1501582485259530250,1501500198559883266,1646840137000.0,2022-03-09 07:35:37,-700,,@CarloDiNardo77 @rick_pittman @StJohnsTelegram #Chinavirus #wuhanflu #chinamurderedus,und,"['chinavirus', 'wuhanflu', 'chinamurderedus']",[],1219659857495777281,1219659857495777281,SunkenSeaman,Jumpin Dyin,3,7,https://twitter.com/SunkenSeaman/status/1501582485259530250,[],[],0,,False,1,0,0,,#chinavirus,,,,,,,"[{'screen_name': 'CarloDiNardo77', 'name': 'Carlo DiNardo', 'id': '1476143036983910404'}, {'screen_name': 'rick_pittman', 'name': 'Rick Pittman', 'id': '122274835'}, {'screen_name': 'StJohnsTelegram', 'name': 'The Telegram', 'id': '42935811'}]",,,,
