id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1503158337675923459,1503158337675923459,1647215849000.0,2022-03-13 16:57:29,-0700,,Welcome to #MarjorieTaylorGreene sez something stupid an hour early day.  #DonaldTrump #QAnonCult #TrumpCult #QAnon #GOP  https://t.co/c3kegX07QL,en,"['marjorietaylorgreene', 'donaldtrump', 'qanoncult', 'trumpcult', 'qanon', 'gop']",[],23529546,23529546,RandyKaus,Rändy Käus,7,16,https://twitter.com/RandyKaus/status/1503158337675923459,[],['https://pbs.twimg.com/media/FNxKXKsUYAIbS1m.jpg'],1,https://pbs.twimg.com/media/FNxKXKsUYAIbS1m.jpg,False,2,0,0,,#QAnoncult,,,,,,,[],,,,
1503156140858916874,1503156140858916874,1647215325000.0,2022-03-13 16:48:45,-0700,,"I'M AT A POINT WHERE I SAY ""LET THE WORLD IMPLODE"" BECAUSE IF Y'ALL CAN BELIEVE THE WORDS THAT COME OUT OF THESE '#whitesuprecists #MAGA #QAnonCult AND THEIR STATE CONTROLLED MEDIA @FoxNews THEN THE WORLD DOES NOT DESERVE PEACE.  #BlackLivesMatter #BlackPeopleInUkraine #racism",en,"['whitesuprecists', 'maga', 'qanoncult', 'blacklivesmatter', 'blackpeopleinukraine', 'racism']",[],2319710954,2319710954,WayneParcheman,Wayne Parcheman,7,16,https://twitter.com/WayneParcheman/status/1503156140858916874,[],[],0,,False,0,0,0,,#QAnoncult,,,,,,,[],,,,
1503146811728576523,1503139008209063937,1647213101000.0,2022-03-13 16:11:41,-0700,,"@AdoptedKenzi @2022_Karma HOLY SHIT! #PhilGodlewski really is a pedophile and a #QAnonCult Extremist:  “In 2010, Godlewski was indicted for statutory sexual assault, aggravated indecent assault and other crimes for sex w/ a 15-year-old girl while he was 28”   https://t.co/HCOS84O2oz",en,"['philgodlewski', 'qanoncult']",[],1355138452258435074,1355138452258435074,heraldvii,HeraldVii,7,16,https://twitter.com/heraldvii/status/1503146811728576523,['https://www.thedailybeast.com/qanon-conspiracy-theorist-admitted-to-corrupting-minor'],[],0,,False,6,2,0,,#QAnoncult,,,,,,,"[{'screen_name': 'AdoptedKenzi', 'name': 'Lemon Gingerale', 'id': '1095037788657983488'}, {'screen_name': '2022_Karma', 'name': '2022 Karma 🌻🌻', 'id': '1257202888750665728'}]",,,,
1503136899103346699,1503136899103346699,1647210738000.0,2022-03-13 15:32:18,-0700,,"Here is the 7 that showed up to welcome the ""freedom convoy."" #QAnonCult is really dwindling in numbers. I guess, people woke up to see that they were all full of BS. 😂🤣😂🤣  https://t.co/kvEFGeYlwA",en,['qanoncult'],[],1047305575435001857,1047305575435001857,GeorgeVDeLuca3,"George V. De Luca, III💻🇺🇸",7,15,https://twitter.com/GeorgeVDeLuca3/status/1503136899103346699,[],['https://pbs.twimg.com/media/FNw3Cw0XMAANpYx.jpg'],1,https://pbs.twimg.com/media/FNw3Cw0XMAANpYx.jpg,False,0,0,0,,#QAnoncult,,,,,,,[],,,,
1503136015833309192,1503136015833309192,1647210527000.0,2022-03-13 15:28:47,-0700,,Image of Europe in Russian media  https://t.co/beiZIO89EO via @YouTube This is outrageous. #Putin will invade everyone b/c that's what he's preparing #Russians for. He spread #QAnonCult. #StopPutinNOW He's weaponized #propaganda. He must be stopped. #StopWar #UkraineWar #Ukraine️,en,"['putin', 'russians', 'qanoncult', 'stopputinnow', 'propaganda', 'stopwar', 'ukrainewar', 'ukraine️']",[],2902080532,2902080532,EwaStanska,EWA STANSKA,7,15,https://twitter.com/EwaStanska/status/1503136015833309192,['https://youtu.be/gojjDHlsVLI'],[],0,,False,1,1,1,,#QAnoncult,,,,,,,[],,,,
1503134430759579649,1503134430759579649,1647210149000.0,2022-03-13 15:22:29,-0700,,"As we have seen, this insane cult has created a conspiracy theory around #Ukraine. It seems all roads lead to their unhinged view of the world. #Reality   The #Psychological Needs That #QAnonCult  Feeds | Psychology Today  https://t.co/wWY2wACrGQ",en,"['ukraine', 'reality', 'psychological', 'qanoncult']",[],16004848,16004848,VeronicaMonet,Veronica Monet,7,15,https://twitter.com/VeronicaMonet/status/1503134430759579649,['https://www.psychologytoday.com/us/blog/psych-unseen/202008/the-psychological-needs-qanon-feeds'],[],0,,False,0,0,0,,#QAnoncult,,,,,,,[],,,,
1503131063928905740,1503113817986936838,1647209347000.0,2022-03-13 15:09:07,-0700,,"@MadisonU It’s for the #QAnonCult quacks. She won’t admit it, but it really is. They vote, and they are mostly Republican.",en,['qanoncult'],[],966369132383014912,966369132383014912,RambleWamble,Clyde Walker Wambles,7,15,https://twitter.com/RambleWamble/status/1503131063928905740,[],[],0,,False,1,0,0,,#QAnoncult,,,,,,,"[{'screen_name': 'MadisonU', 'name': 'Madison Underwood', 'id': '16334969'}]",,,,
1503123304596520966,1503123304596520966,1647207497000.0,2022-03-13 14:38:17,-0700,,#QAnonCult  #WhiteNationalism #NeverVoteConservative  #RepubliCON #TrumpCult #NeverAgain  https://t.co/5f2xaZasgq,und,"['qanoncult', 'whitenationalism', 'nevervoteconservative', 'republicon', 'trumpcult', 'neveragain']",[],1406220117638266880,1406220117638266880,Charlie85915085,Charlie Harris,7,14,https://twitter.com/Charlie85915085/status/1503123304596520966,[],"['https://pbs.twimg.com/media/FNwqq8xXwAAA3XG.jpg', 'https://pbs.twimg.com/media/FNwqrGqX0AA4px1.jpg', 'https://pbs.twimg.com/media/FNwqrVaXMAop35y.jpg', 'https://pbs.twimg.com/media/FNwqrh9XoAMSafl.jpg']",1,https://pbs.twimg.com/media/FNwqq8xXwAAA3XG.jpg,False,3,0,2,https://twitter.com/asifintoronto/status/1503038973874257924,#QAnoncult,,,,,,,[],,,,
1503114995949010947,1502499421459984384,1647205516000.0,2022-03-13 14:05:16,-0700,,"@kiley_kimball @MattCJChisholm @DrKGregorevic LMAO …god help my tainted blood.  This one has gone too far down the #QAnonCult rabbit hole …. As they say, only in American🤣🤣🤣🤣",en,['qanoncult'],[],625188557,625188557,JennyPickles1,Jenny Pickles,7,14,https://twitter.com/JennyPickles1/status/1503114995949010947,[],[],0,,False,0,0,0,,#QAnoncult,,,,,,,"[{'screen_name': 'kiley_kimball', 'name': 'kiley kimball', 'id': '1323261351503036423'}, {'screen_name': 'MattCJChisholm', 'name': 'Matthew Chisholm', 'id': '274472454'}, {'screen_name': 'DrKGregorevic', 'name': 'Dr Kate Gregorevic', 'id': '3267068268'}]",,,,
1503108533809606657,1503108533809606657,1647203975000.0,2022-03-13 13:39:35,-0700,,"No this is a conspiracy theory I can get behind, because more than likely it’s fucking true. #QAnonCult #Q #Qanon #MAGA",en,"['qanoncult', 'q', 'qanon', 'maga']",[],1187254941200470016,1187254941200470016,ForgiveUsPls,Owned Lib 🇺🇦,7,13,https://twitter.com/ForgiveUsPls/status/1503108533809606657,[],[],0,,False,0,0,0,https://twitter.com/Dixie202021/status/1503075318600503300,#QAnoncult,,,,,,,[],,,,
1503107587763548166,1503107587763548166,1647203749000.0,2022-03-13 13:35:49,-0700,,"Great review of my sci-fi/baseball/political novel ""Jamie Whistler""...  https://t.co/Z0JHZX8ppJ #MLB #MLBfreeagency #FreddieFreeman  #QAnonCult",en,"['mlb', 'mlbfreeagency', 'freddiefreeman', 'qanoncult']",[],46498973,46498973,RichardOSully,RJ O'Sullivan,7,13,https://twitter.com/RichardOSully/status/1503107587763548166,['https://www.instagram.com/p/CbDob-lr5jq/'],[],0,,False,0,0,0,,#QAnoncult,,,,,,,[],,,,
