id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1503515595224010756,1503515595224010756,1647301026000.0,2022-03-14 16:37:06,-700,,#deltacron #scamdemic  https://t.co/nvICJQz02B,und,"['deltacron', 'scamdemic']",[],1457039191716646923,1457039191716646923,NoTo4IR,Hard NO to Global Digital Slave System & PHARMA ☠️,1,16,https://twitter.com/NoTo4IR/status/1503515595224010756,[],['https://pbs.twimg.com/media/FN2PaIEXIAMJqvq.png'],1,https://pbs.twimg.com/media/FN2PaIEXIAMJqvq.png,False,0,1,0,,#scamdemic,,,,,,,[],,,,
1503512904938754072,1503512904938754072,1647300385000.0,2022-03-14 16:26:25,-700,,One might want to question why lots of injected folks now have had multiple bouts of Covid and are turning up positive from the flu. #Scamdemic  https://t.co/KYocGasZO6,en,['scamdemic'],[],1491891660,1491891660,TheJewCrewX6,Brandi,1,16,https://twitter.com/TheJewCrewX6/status/1503512904938754072,[],['https://pbs.twimg.com/media/FN2NBNDX0AY_GYF.jpg'],1,https://pbs.twimg.com/media/FN2NBNDX0AY_GYF.jpg,False,3,0,1,,#scamdemic,,,,,,,[],,,,
1503506623079329794,1503506623079329794,1647298887000.0,2022-03-14 16:01:27,-700,,America post-freedom:  Day 419 of fake election winners  Week 104 of two weeks to flatten the curve  #WeStandWithTrump #StopTheSteal #PresidentAsteriskBiden #UnionOfSovietStatesOfAmerica #Covid1984 #Scamdemic #MakeOrwellFictionAgain #FJoeBiden #ResistCommunism,en,"['westandwithtrump', 'stopthesteal', 'presidentasteriskbiden', 'unionofsovietstatesofamerica', 'covid1984', 'scamdemic', 'makeorwellfictionagain', 'fjoebiden', 'resistcommunism']",[],17181227,17181227,AmericaHostage,America Held Hostage,1,16,https://twitter.com/AmericaHostage/status/1503506623079329794,[],[],0,,False,0,0,0,,#scamdemic,,,,,,,[],,,,
1503497981265330179,1503497981265330179,1647296827000.0,2022-03-14 15:27:07,-700,,A jednak da się... #scamdemic  https://t.co/iQi6qdQR4L,pl,['scamdemic'],[],929097348889837570,929097348889837570,mrheniek,Mr. Heniek,1,15,https://twitter.com/mrheniek/status/1503497981265330179,[],['https://pbs.twimg.com/media/FN1_cikXIAMUU-z.jpg'],1,https://pbs.twimg.com/media/FN1_cikXIAMUU-z.jpg,False,1,0,0,,#scamdemic,,,,,,,[],,,,
1503496520792002562,1503491296618496005,1647296478000.0,2022-03-14 15:21:18,-700,,@turf_on_fire #scamdemic,und,['scamdemic'],[],1474452957454348291,1474452957454348291,SienaRaider,Mike D’Amico,1,15,https://twitter.com/SienaRaider/status/1503496520792002562,[],[],0,,False,0,0,0,,#scamdemic,,,,,,,"[{'screen_name': 'turf_on_fire', 'name': 'DomeNachos 🇺🇸', 'id': '816079914'}]",,,,
1503492547259338755,1503492547259338755,1647295531000.0,2022-03-14 15:05:31,-700,,This 👇🏻👇🏻👇🏻👌🏻👏🏻  #scamdemic #NoVaccineMandates  #VaccineSideEffects  #vaccinedeaths,en,"['scamdemic', 'novaccinemandates', 'vaccinesideeffects', 'vaccinedeaths']",[],1229700522262892546,1229700522262892546,Carlitto1975,Carl Wootton,1,15,https://twitter.com/Carlitto1975/status/1503492547259338755,[],[],0,,False,2,0,0,https://twitter.com/Mikenotsoyeadon/status/1502769823662718991,#scamdemic,,,,,,,[],,,,
1503491077747228673,1503455689762611201,1647295181000.0,2022-03-14 14:59:41,-700,,@CNBC @onlyyoontv @CNBCClosingBell They still trying to sell the #scamdemic  https://t.co/nvnRzkrXkN,en,['scamdemic'],[],1460651960089128961,1460651960089128961,BradCam69,B,1,14,https://twitter.com/BradCam69/status/1503491077747228673,[],['https://pbs.twimg.com/tweet_video_thumb/FN15KLqXwAMomnF.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FN15KLqXwAMomnF.jpg,False,2,1,0,,#scamdemic,,,,,,,"[{'screen_name': 'CNBC', 'name': 'CNBC', 'id': '20402945'}, {'screen_name': 'onlyyoontv', 'name': 'Eunice Yoon', 'id': '37397428'}, {'screen_name': 'CNBCClosingBell', 'name': ""CNBC's Closing Bell"", 'id': '21778391'}]",,,,
1503484409902555138,1503484409902555138,1647293591000.0,2022-03-14 14:33:11,-700,,#scamdemic update from a 🐑,en,['scamdemic'],[],1322392951633383438,1322392951633383438,ApexMkm,Your Freedom is next…,1,14,https://twitter.com/ApexMkm/status/1503484409902555138,[],[],0,,False,0,0,0,https://twitter.com/ASlavitt/status/1503412039389102083,#scamdemic,,,,,,,[],,,,
1503477830121893891,1503477830121893891,1647292022000.0,2022-03-14 14:07:02,-700,,"Arrest @BillGates &amp; Fraudci, for Crimes Against Humanity! 🤓💉🤓  #ArrestBillGates #ArrestFauci #CrimesAgainstHumanity #Plandemic #Scamdemic #Convid #BigPharma #Corruption  https://t.co/s0WOFUrfKY",ca,"['arrestbillgates', 'arrestfauci', 'crimesagainsthumanity', 'plandemic', 'scamdemic', 'convid', 'bigpharma', 'corruption']",[],1458327544550371332,1458327544550371332,ShannxPennywise,🏴󠁧󠁢󠁷󠁬󠁳󠁿 Shannon S 🏴󠁧󠁢󠁷󠁬󠁳󠁿 (Backup.),1,14,https://twitter.com/ShannxPennywise/status/1503477830121893891,[],['https://pbs.twimg.com/media/FN1tHmHXwAMdrIP.jpg'],1,https://pbs.twimg.com/media/FN1tHmHXwAMdrIP.jpg,False,22,1,14,,#scamdemic,,,,,,,[],,,,
1503477008562417665,1503477008562417665,1647291826000.0,2022-03-14 14:03:46,-700,,"#WakeUp #WeDoNotConsent #CoronaVirus #Covid19 #Covid1984 #Plandemic #Scamdemic #Nuremberg2   See my recent tweets regarding ""covid"".  Twitter has shadow banned me yet again since they know I'm right over the target... One is regarding Kary M*llis, the inventor of the PCR test.",en,"['wakeup', 'wedonotconsent', 'coronavirus', 'covid19', 'covid1984', 'plandemic', 'scamdemic', 'nuremberg2']",[],1214720684,1214720684,Springjack73,Springjack73,1,14,https://twitter.com/Springjack73/status/1503477008562417665,[],[],0,,False,0,0,0,,#scamdemic,,,,,,,[],,,,
