id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1504177673693810688,1504177673693810688,1647458878000.0,2022-03-16 12:27:58,-700,,Stop testing for a cold and start taking VitaminD3 it's that simple #CovidHoax.,en,['covidhoax'],[],815350219940438016,815350219940438016,petersingh206,M.K. Sikh.,3,12,https://twitter.com/petersingh206/status/1504177673693810688,[],[],0,,False,6,0,1,https://twitter.com/ArgyleBecky/status/1504093353511686150,#covidhoax,,,,,,,[],,,,
1504175188166029321,1504131905750450178,1647458285000.0,2022-03-16 12:18:05,-700,,@babymohouseman @Karl_Lauterbach @janoschdahmen Só ist es #normalegrippe #covidhoax #DieMaskeMussWeg,pt,"['normalegrippe', 'covidhoax', 'diemaskemussweg']",[],882616715091349504,882616715091349504,Danielarose88,Daniela,3,12,https://twitter.com/Danielarose88/status/1504175188166029321,[],[],0,,False,0,0,0,,#covidhoax,,,,,,,"[{'screen_name': 'babymohouseman', 'name': 'Monique', 'id': '539376668'}, {'screen_name': 'Karl_Lauterbach', 'name': 'Prof. Karl Lauterbach', 'id': '3292982985'}, {'screen_name': 'janoschdahmen', 'name': 'Janosch Dahmen', 'id': '16697497'}]",,,,
1504160559796740103,1503976948191870976,1647454798000.0,2022-03-16 11:19:58,-700,,@Eldon_JM @tcsmo You mean there might be another reason other than the WHOLE thing was bullshit??? #CovidHoax  https://t.co/MYG20uLmUa,en,['covidhoax'],[],828031543,828031543,55cmvs,SMITH,3,11,https://twitter.com/55cmvs/status/1504160559796740103,[],['https://pbs.twimg.com/media/FN_aDuJX0AM-6g8.jpg'],1,https://pbs.twimg.com/media/FN_aDuJX0AM-6g8.jpg,False,3,0,1,,#covidhoax,,,,,,,"[{'screen_name': 'Eldon_JM', 'name': 'E Marcotte', 'id': '1149064678888230913'}, {'screen_name': 'tcsmo', 'name': 'Build the Wall ""Come on Man""', 'id': '1279559982'}]",,,,
1504143259630805001,1503973723816161280,1647450673000.0,2022-03-16 10:11:13,-700,,@BYounger13 Nothing to see here - move along #NWO #SADISTIC #CovidHoax #CrimesAgainstHumanity #CriminalCabal #Children #USA #CANADA #THEGREATRESET,en,"['nwo', 'sadistic', 'covidhoax', 'crimesagainsthumanity', 'criminalcabal', 'children', 'usa', 'canada', 'thegreatreset']",[],1310766469815304192,1310766469815304192,HighNoon12000,High Noon,3,10,https://twitter.com/HighNoon12000/status/1504143259630805001,[],[],0,,False,0,0,0,,#covidhoax,,,,,,,"[{'screen_name': 'BYounger13', 'name': 'Agent Brandoe 🍊 The Pipe Hitter', 'id': '256224404'}]",,,,
1504139453752877064,1503816282029789184,1647449765000.0,2022-03-16 09:56:05,-700,,"@unusual_whales COVID is a hoax, why are worried now. I thought you were against all the COVID measures taken by the government and you hated FAUCI. #COVIDHOAX 🤣🤣🤣🤣",en,['covidhoax'],[],741264851650109444,741264851650109444,mytwits_fornon,AliveNhappy,3,9,https://twitter.com/mytwits_fornon/status/1504139453752877064,[],[],0,,False,0,0,0,,#covidhoax,,,,,,,"[{'screen_name': 'unusual_whales', 'name': 'unusual_whales', 'id': '1200616796295847936'}]",,,,
1504088602355159041,1504088602355159041,1647437642000.0,2022-03-16 06:34:02,-700,,Welkom in de nieuwe wereld: een gouden #kooi waarvan de glans iedere dag vervaagt en die elke dag ietsje kleiner wordt. Totdat je niets meer hebt en geen kant meer op kunt. Leve de #EU!🤔 Vrijheid onder voorwaarden ≠ geen #vrijheid. #vaccinatieplicht #covidhoax #hetkloptniet,nl,"['kooi', 'eu', 'vrijheid', 'vaccinatieplicht', 'covidhoax', 'hetkloptniet']",[],124586700,124586700,riandab,Rianda Bos,3,6,https://twitter.com/riandab/status/1504088602355159041,[],[],0,,False,0,0,0,https://twitter.com/ArnoWellens/status/1503131722052947970,#covidhoax,,,,,,,[],,,,
1504082897267208195,1504082897267208195,1647436281000.0,2022-03-16 06:11:21,-700,,🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯🎯 #covidhoax #nevercomply  https://t.co/UJS6vpnkM7,und,"['covidhoax', 'nevercomply']",[],1495204201370161157,1495204201370161157,HEREAGAIN732,NEVERCOMPLY732,3,6,https://twitter.com/HEREAGAIN732/status/1504082897267208195,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1504082847535144966/pu/img/6OQCP8-mqsV2HWu6.jpg,False,0,0,0,,#covidhoax,,,,,,,[],,,,
1504065768496971781,1504065768496971781,1647432198000.0,2022-03-16 05:03:18,-700,,#CovidHoax @robersperanza,und,['covidhoax'],[],1416052834114670597,1416052834114670597,EfremPublio,EfremPublio 🍊,3,5,https://twitter.com/EfremPublio/status/1504065768496971781,[],[],0,,False,1,0,1,https://twitter.com/metaanto/status/1504035517956034562,#covidhoax,,,,,,,[],,,,
1504054433646264321,1503733008305725440,1647429495000.0,2022-03-16 04:18:15,-700,,"@AndyKimNJ Boy you people just don’t get it do you?  You mean the incentivized hospitals are carrying out the death protocols, right?  Ventilator + RemDEATHivir.  #covidhoax",en,['covidhoax'],[],43329975,43329975,aprileve1,april besch,3,4,https://twitter.com/aprileve1/status/1504054433646264321,[],[],0,,False,0,0,0,,#covidhoax,,,,,,,"[{'screen_name': 'AndyKimNJ', 'name': 'Andy Kim', 'id': '24215154'}]",,,,
1504011745920172032,1504011745920172032,1647419318000.0,2022-03-16 01:28:38,-700,,Bill Gates on Depopulation of 1.05 billion People TED TALK  https://t.co/Ps7CWPPNtU  #BillGates #CovidHoax #ExposeCovidHoax #ExposeGlobalists #AlexJonesWasRight #Freedom,en,"['billgates', 'covidhoax', 'exposecovidhoax', 'exposeglobalists', 'alexjoneswasright', 'freedom']",[],1467885167238856710,1467885167238856710,upskyz,kool- aid,3,1,https://twitter.com/upskyz/status/1504011745920172032,['https://youtu.be/oWxsEAmh85Q'],[],0,,False,0,0,0,,#covidhoax,,,,,,,[],,,,
