id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1504913216362754051,1504567865327984640,1647634245000.0,2022-03-18 13:10:45,-700,,@olivierveran @EmmanuelMacron #VeranEnPrison #McKinseyGate #Pfizergate,und,"['veranenprison', 'mckinseygate', 'pfizergate']",[],1427961961531252737,1427961961531252737,duport_baptiste,Baptiste Duport φ 🧹,5,13,https://twitter.com/duport_baptiste/status/1504913216362754051,[],[],0,,False,0,0,0,,#pfizergate,,,,,,,"[{'screen_name': 'olivierveran', 'name': 'Olivier Véran', 'id': '600345740'}, {'screen_name': 'EmmanuelMacron', 'name': 'Emmanuel Macron', 'id': '1976143068'}]",,,,
1504900498796724229,1504877001521434628,1647631213000.0,2022-03-18 12:20:13,-700,,"@PENELOPPE192 Si j'étais au pouvoir, je le refilerai à tout le monde ! #referendum  tous responsables, tout le monde participe, tout le monde assume. Je ne veux plus de la 💩 #JeNeSuisPASMacron  #PassSanitaireDeLaHonte #MacronDegage2022 #COVID19 #Pfizergate  #VeranEnPrison",fr,"['referendum', 'jenesuispasmacron', 'passsanitairedelahonte', 'macrondegage2022', 'covid19', 'pfizergate', 'veranenprison']",[],1136254122376736770,1136254122376736770,Syssy_Tron_vert,Syssy,5,12,https://twitter.com/Syssy_Tron_vert/status/1504900498796724229,[],[],0,,False,1,0,0,,#pfizergate,,,,,,,"[{'screen_name': 'PENELOPPE192', 'name': 'PENELOPPE', 'id': '2279483574'}]",,,,
1504881916033572864,1504806484412145667,1647626782000.0,2022-03-18 11:06:22,-700,,@nytopinion Gaslighting much?  #Hunterbidenlaptop  #JulianAssange  #WuhanFauci  #Pfizergate  #CovidCorruption  #VaccineDeaths  #CensorshipUSA  https://t.co/SI9LqFfBxB,en,"['hunterbidenlaptop', 'julianassange', 'wuhanfauci', 'pfizergate', 'covidcorruption', 'vaccinedeaths', 'censorshipusa']",[],1501575695755059202,1501575695755059202,ClaraTeaTime,ClaraTea,5,11,https://twitter.com/ClaraTeaTime/status/1504881916033572864,[],['https://pbs.twimg.com/tweet_video_thumb/FOJqHvSWQAYzuIj.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FOJqHvSWQAYzuIj.jpg,False,0,0,0,,#pfizergate,,,,,,,"[{'screen_name': 'nytopinion', 'name': 'New York Times Opinion', 'id': '16686144'}]",,,,
1504877784660852743,1504824676001869825,1647625797000.0,2022-03-18 10:49:57,-700,,"@fargosi Tendrían que dar las gracias, porque ahora están saliendo los #Pfizergate,  no soy adepta a ningún gobierno, ni partido, ni ideología política..  No comento sobre Sputnik porque no se nada de esa vacuna.    https://t.co/rJNUyMOLQh",es,['pfizergate'],[],55901598,55901598,GiovanaDu,Giovana Du,5,10,https://twitter.com/GiovanaDu/status/1504877784660852743,['https://twitter.com/_Critico_Mdq_76/status/1504822357243961349?s=20&t=8wvxOy7bLQrKu6Gkrr3uXA'],[],0,,False,2,0,0,https://twitter.com/_Critico_Mdq_76/status/1504822357243961349?s=20&t=8wvxOy7bLQrKu6Gkrr3uXA,#pfizergate,,,,,,,"[{'screen_name': 'fargosi', 'name': 'Alejandro Fargosi', 'id': '254599256'}]",,,,
1504873298806644742,1504873298806644742,1647624728000.0,2022-03-18 10:32:08,-700,,Avec moi... Un petit rappel M. @EmmanuelMacron (@bayrou) Promesses... Non seulement votre bilan est dans le négatif mais en plus vous en avez ajouté avec un p'tit coup de pouce de vos amis #pfizergate #McKinseyGate  Sans oublier votre bras armé M. @olivierveran  👇,fr,"['pfizergate', 'mckinseygate']",[],898433837209747456,898433837209747456,A_Tout_Pique,ici_ou_là,5,10,https://twitter.com/A_Tout_Pique/status/1504873298806644742,[],[],0,,False,0,1,0,https://twitter.com/BriceOf_Lyon/status/1504833681545904146,#pfizergate,,,,,,,[],,,,
1504872603072270372,1504872603072270372,1647624562000.0,2022-03-18 10:29:22,-700,,"#COVID19 #vaccine is *safe,* umm, sure it is.  #Pfizer, along with the other 2, lied to you, they falsified their trial data, this is FRAUD! #pfizerdocuments #Pfizergate #PfizerLeak #Covid_19 #VaccineSideEffects #VaccineDeaths #BidenIsAFailure #Biden",en,"['covid19', 'vaccine', 'pfizer', 'pfizerdocuments', 'pfizergate', 'pfizerleak', 'covid_19', 'vaccinesideeffects', 'vaccinedeaths', 'bidenisafailure', 'biden']",[],938433275332386816,938433275332386816,JoshAnd20147162,Josh,5,10,https://twitter.com/JoshAnd20147162/status/1504872603072270372,[],[],0,,False,0,1,0,https://twitter.com/DrJackSKYWATCH1/status/1504704999959396352,#pfizergate,,,,,,,[],,,,
1504848459232391172,1504471151338147847,1647618806000.0,2022-03-18 08:53:26,-700,,@FrancoisDAssisi @ZemmourEric #McKinseyGate responsable de milliers de morts et on lui confit la gestion de la crise covid en France ! #Pfizergate lui aussi multicondamné pour fraude et on devrait vacciné nos gosses sur leur bonne parole ! #MacronGate oui! #LobbyGate trop de pognon de dingue en jeu!,fr,"['mckinseygate', 'pfizergate', 'macrongate', 'lobbygate']",[],1317147264276746241,1317147264276746241,FPlaie,Fer Plaie,5,8,https://twitter.com/FPlaie/status/1504848459232391172,[],[],0,,False,0,0,0,,#pfizergate,,,,,,,"[{'screen_name': 'FrancoisDAssisi', 'name': ""Francis D'Assisi"", 'id': '4188569667'}, {'screen_name': 'ZemmourEric', 'name': 'Eric Zemmour', 'id': '1183418538285027329'}]",,,,
1504845138052489218,1504845130448125972,1647618014000.0,2022-03-18 08:40:14,-700,,(Et france Rivotril bien sûr) -Non efficacité du vaccin #Moderna Vaccin empêche pas transmission  https://t.co/0w4UDRGLai #Pfizergate fraude essai  https://t.co/wJXCGHoPBg #Islande: pas d'immunité collective vaccin  https://t.co/a1EYn1qsI2 Baisse anticorps après 2 doses vaccin,fr,"['moderna', 'pfizergate', 'islande']",[],40220359,40220359,loindevant,loindevant ℹ️ 🆓,5,8,https://twitter.com/loindevant/status/1504845138052489218,"['https://t.me/momotchiii/242', 'https://t.me/momotchiii/2103', 'https://t.me/momotchiii/1081']",[],0,,False,0,1,0,,#pfizergate,,,,,,,[],,,,
1504844257554841600,1504788715511726081,1647617804000.0,2022-03-18 08:36:44,-700,,"@NUnl Dit is zó'n smerig machtsmisbruik spelletje. Willem komt voor ze, dus komen ze voor hem. Nooit zullen ze hun fouten toegeven! #Afreden #ruttemoetweg #GeenWEF #GEENeu #Pfizergate",nl,"['afreden', 'ruttemoetweg', 'geenwef', 'geeneu', 'pfizergate']",[],2789706809,2789706809,Soraya19791,Soraya,5,8,https://twitter.com/Soraya19791/status/1504844257554841600,[],[],0,,False,1,0,0,,#pfizergate,,,,,,,"[{'screen_name': 'NUnl', 'name': 'NU.nl', 'id': '2493701'}]",,,,
1504840686230720514,1504503179374960645,1647616952000.0,2022-03-18 08:22:32,-700,,@LeonardoCustd15 @LOUFLORIPA @solangegoesmot1 @ContaratoSenado Vou torcer para q as dúvidas em relação à estas inoculações experimentais sejam teoria da conspiração. O #Pfizergate ganha cada vez mais tração. O histórico da empresa demonstra q a preocupação é mais do q necessária.   https://t.co/0yp1Kd60Me,pt,['pfizergate'],[],149254737,149254737,FlaviofsLopes,FlavioLopes,5,8,https://twitter.com/FlaviofsLopes/status/1504840686230720514,['https://violationtracker.goodjobsfirst.org/parent/pfizer'],[],0,,False,0,1,0,,#pfizergate,,,,,,,"[{'screen_name': 'LeonardoCustd15', 'name': 'leo_', 'id': '1243164940019646471'}, {'screen_name': 'LOUFLORIPA', 'name': 'LouFloripa 🇧🇷', 'id': '67028065'}, {'screen_name': 'solangegoesmot1', 'name': 'Solange', 'id': '4426555361'}, {'screen_name': 'ContaratoSenado', 'name': 'Fabiano Contarato', 'id': '1050121324436307970'}]",,,,
